source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,the stranger,The stranger,3442,3454,29
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,5818,5836,13
booknlp,COREF,92,He,5955,5957,13
exp,exp_name,gabriel syme,Gabriel Syme,7963,7975,9
exp,exp_name,gregory,Gregory,8187,8194,13
exp,exp_name,syme,Syme,8246,8250,9
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,8443,8461,13
booknlp,COREF,92,he,8527,8529,13
booknlp,COREF,92,his,8539,8542,13
pdnc,qID,Q0-1,You,8707,8710,9
pdnc,qID,Q0-1,you,8715,8718,9
booknlp,COREF,92,I,8738,8739,13
pdnc,qID,Q0-1,you,8744,8747,9
booknlp,COREF,92,I,8778,8779,13
pdnc,qID,Q0-1,you,8843,8846,9
exp,exp_name,gregory,Gregory,9024,9031,13
exp,exp_name,rosamond,Rosamond,9041,9049,17
exp,exp_name,gregory,Gregory,9230,9237,13
pdnc,qID,Q1-1,You,9334,9337,9
exp,exp_name,mr. syme,Mr. Syme,9849,9857,9
exp,exp_name,gregory,Gregory,9877,9884,13
pdnc,qID,Q3-1,you,10059,10062,9
pdnc,qID,Q4-0,you,10490,10493,13
exp,exp_name,syme,Syme,10532,10536,9
pdnc,qID,Q4-1,you,10547,10550,13
pdnc,qID,Q4-1,your,10605,10609,13
pdnc,qID,Q4-1,your,11068,11072,13
booknlp,COREF,93,me,11109,11111,9
pdnc,qID,Q4-1,your,11157,11161,13
booknlp,COREF,93,me,11211,11213,9
booknlp,COREF,93,me,11261,11263,9
booknlp,COREF,93,I,11274,11275,9
pdnc,qID,Q5-0,you,11289,11292,9
exp,exp_name,gregory,Gregory,11307,11314,13
booknlp,COREF,93,I,11332,11333,9
pdnc,qID,Q6-0,you,11339,11342,13
exp,exp_name,syme,Syme,11353,11357,9
booknlp,COREF,93,I,11406,11407,9
pdnc,qID,Q6-1,You,11506,11509,13
booknlp,COREF,93,I,11593,11594,9
booknlp,COREF,93,I,11662,11663,9
booknlp,COREF,93,I,11682,11683,9
booknlp,COREF,93,I,11731,11732,9
booknlp,COREF,93,me,11817,11819,9
booknlp,COREF,93,me,11870,11872,9
exp,exp_name,gregory,Gregory,11921,11928,13
pdnc,qID,Q7-1,we,12011,12013,13
pdnc,qID,Q7-1,you,12076,12079,9
pdnc,qID,Q7-1,You,12097,12100,9
pdnc,qID,Q7-1,We,12143,12145,13
exp,exp_name,syme,Syme,12320,12324,9
pdnc,qID,Q8-1,You,12383,12386,13
booknlp,COREF,93,I,12565,12566,9
booknlp,COREF,93,I,12579,12580,9
exp,exp_name,syme,Syme,12727,12731,9
booknlp,COREF,93,he,12786,12788,9
exp,exp_name,gregory,Gregory,13082,13089,13
pdnc,qID,Q10-1,you,13120,13123,9
booknlp,COREF,93,I,13135,13136,9
pdnc,qID,Q11-0,your,13141,13145,13
exp,exp_name,syme,Syme,13160,13164,9
booknlp,COREF,93,I,13174,13175,9
exp,exp_name,gregory,Gregory,13262,13269,13
pdnc,qID,Q12-0,You,13284,13287,9
exp,exp_name,syme,Syme,13357,13361,9
booknlp,COREF,93,I,13418,13419,9
booknlp,COREF,93,he,13428,13430,9
booknlp,COREF,93,I,13442,13443,9
pdnc,qID,Q13-1,you,13460,13463,13
pdnc,qID,Q13-1,your,13483,13487,13
pdnc,qID,Q13-1,you,13520,13523,13
exp,exp_name,gregory,Gregory,13536,13543,13
exp,exp_name,bull,bull,13550,13554,7
pdnc,qID,Q14-0,you,13667,13670,9
booknlp,COREF,93,I,13757,13758,9
pdnc,qID,Q15-0,your,13763,13767,13
exp,exp_name,syme,Syme,13782,13786,9
exp,exp_name,gregory,Gregory,13834,13841,13
pdnc,qID,Q17-0,My dear fellow,13865,13879,13
exp,exp_name,syme,Syme,13887,13891,9
exp,exp_name,rosamond,Rosamond,13966,13974,17
exp,exp_name,gregory,Gregory,13975,13982,13
