qID,menText,start_byte,end_byte,matches,pdncID
Q0-1,You,8707,8710,[9],9
Q0-1,you,8715,8718,[9],9
Q0-1,you,8744,8747,[9],9
Q0-1,you,8843,8846,[9],9
Q1-1,You,9334,9337,[9],9
Q3-1,you,10059,10062,[9],9
Q4-0,you,10490,10493,[13],13
Q4-1,you,10547,10550,[13],13
Q4-1,your,10605,10609,[13],13
Q4-1,your,11068,11072,[13],13
Q4-1,your,11157,11161,[13],13
Q5-0,you,11289,11292,[9],9
Q6-0,you,11339,11342,[13],13
Q6-1,You,11506,11509,[13],13
Q7-1,we,12011,12013,[13],13
Q7-1,you,12076,12079,[9],9
Q7-1,You,12097,12100,[9],9
Q7-1,We,12143,12145,[13],13
Q8-1,You,12383,12386,[13],13
Q10-1,you,13120,13123,[9],9
Q11-0,your,13141,13145,[13],13
Q12-0,You,13284,13287,[9],9
Q13-1,you,13460,13463,[13],13
Q13-1,your,13483,13487,[13],13
Q13-1,you,13520,13523,[13],13
Q14-0,you,13667,13670,[9],9
Q15-0,your,13763,13767,[13],13
Q17-0,My dear fellow,13865,13879,[13],13
Q18-0,Mr. Syme,14007,14015,[9],9
Q18-1,you,14057,14060,[9],9
Q18-1,my brother,14065,14075,[13],13
Q18-1,you,14105,14108,[9],9
Q18-1,you,14119,14122,[9],9
Q19-0,you,14152,14155,[17],17
Q20-0,you,14178,14181,[9],9
Q21-0,My dear Miss Gregory,14224,14244,[17],17
Q21-1,you,14322,14325,[17],17
Q21-1,you,14359,14362,[17],17
Q21-1,you,14373,14376,[17],17
Q21-1,you,14391,14394,[17],17
Q21-1,you,14424,14427,[17],17
Q21-1,you,14438,14441,[17],17
Q21-1,you,14467,14470,[17],17
Q21-1,your brother ,14512,14525,[13],13
Q22-0,he,14944,14946,[13],13
Q23-1,you,15041,15044,[17],17
Q26-0,you,17802,17805,[9],9
Q28-1,your,18073,18077,[9],9
Q29-1,you,18293,18296,[13],13
Q29-1,you,18355,18358,[13],13
Q30-0,you,18456,18459,[13],13
Q32-0,Mr. Syme,18854,18862,[9],9
Q32-1,you,18888,18891,[9],9
Q32-1,You,18940,18943,[9],9
Q34-1,You,19198,19201,[9],9
Q36-0,your,19295,19299,[9],9
Q36-1,you,19429,19432,[9],9
Q36-1,you,19619,19622,[9],9
Q36-1,you,19628,19631,[9],9
Q36-1,you,19651,19654,[9],9
Q38-0,You,19683,19686,[9],9
Q39-1,you,19815,19818,[13],13
Q39-1,you,19862,19865,[13],13
Q39-1,you,19879,19882,[13],13
Q39-1,you,19912,19915,[13],13
Q40-1,you,20059,20062,[9],9
Q40-1,You,20081,20084,[9],9
Q40-1,You,20139,20142,[9],9
Q42-1,you,20728,20731,[9],9
Q43-0,You,20887,20890,[9],9
Q43-0,you,20951,20954,[9],9
Q45-0,you,21050,21053,[9],9
Q45-0,your,21090,21094,[9],9
Q45-0,you,21118,21121,[9],9
Q45-0,you,21166,21169,[9],9
Q45-0,you,21229,21232,[9],9
Q45-0,you,21248,21251,[9],9
Q45-0,you,21301,21304,[9],9
Q45-0,your,21328,21332,[9],9
Q45-0,you,21354,21357,[9],9
Q45-0,you,21392,21395,[9],9
Q45-0,you,21437,21440,[9],9
Q46-0,You,21455,21458,[13],13
Q47-0,you,21540,21543,[9],9
Q48-0,Your,21608,21612,[13],13
Q48-1,You,21666,21669,[13],13
Q50-0,you,22824,22827,[9],9
Q52-0,sir,23195,23198,[9],9
Q53-0,you,23249,23252,[9],9
Q53-1,you,23439,23442,[9],9
Q56-0,You,24038,24041,[9],9
Q56-0,you,24067,24070,[9],9
Q56-1,You,24088,24091,[9],9
Q56-1,your,24161,24165,[9],9
Q56-1,your,24192,24196,[9],9
Q56-1,We,24397,24399,[13],13
Q58-1,We,24556,24558,[13],13
Q58-1,you,24596,24599,[9],9
Q59-1,You,24644,24647,[13],13
Q60-0,we,24686,24688,[13],13
Q61-0,your,24853,24857,[9],9
Q61-0,you,24899,24902,[9],9
Q63-2,You,25546,25549,[9],9
Q66-0,you,26974,26977,[9],9
Q67-1,your,27107,27111,[13],13
Q68-0,my dear Mr. Syme,27944,27960,[9],9
Q68-1,you,28131,28134,[9],9
Q68-1,you,28163,28166,[9],9
Q68-1,you,28287,28290,[9],9
Q68-1,you,28343,28346,[9],9
Q68-1,you,28356,28359,[9],9
Q68-1,you,28436,28439,[9],9
Q68-1,you,28461,28464,[9],9
Q68-1,you,28546,28549,[9],9
Q68-1,you,28560,28563,[9],9
Q68-1,you,28637,28640,[9],9
Q69-1,you,28744,28747,[13],13
Q69-1,You,28763,28766,[13],13
Q69-1,you,28817,28820,[13],13
Q69-1,you,28831,28834,[13],13
Q69-1,you,29037,29040,[13],13
Q69-1,You,29052,29055,[13],13
Q70-1,We,29150,29152,[13],13
Q70-1,We,29302,29304,[13],13
Q70-1,we,29320,29322,[13],13
Q70-1,you,29328,29331,[9],9
Q70-1,We,29340,29342,[13],13
Q70-1,We,29551,29553,[13],13
Q70-1,we,29569,29571,[13],13
Q70-1,We,29585,29587,[13],13
Q71-1,you,29687,29690,[13],13
Q72-0,You,29755,29758,[9],9
Q74-2,you,30817,30820,[9],9
Q74-3,you,31767,31770,[9],9
Q76-0,You,32177,32180,[9],9
Q78-0,You,33524,33527,[13],13
Q79-0,you,33620,33623,[13],13
Q80-0,We,33668,33670,[13],13
Q80-1,You,33733,33736,[9],9
Q80-1,you,33917,33920,[9],9
Q80-1,you,33971,33974,[9],9
Q80-1,we,34306,34308,[13],13
Q81-0,you,34482,34485,[9],9
Q81-0,Syme,34502,34506,[9],9
Q81-1,you,34571,34574,[9],9
Q81-1,you,34579,34582,[9],9
Q81-1,you,34640,34643,[9],9
Q81-1,We,34763,34765,[13],13
Q81-1,you,34840,34843,[9],9
Q82-0,My dear fellow,34998,35012,[13],13
Q82-1,you,35051,35054,[13],13
Q85-1,you,36094,36097,[13],13
Q85-1,you,36150,36153,[13],13
Q85-1,Gregory,36155,36162,[13],13
Q86-0,you,36247,36250,[13],13
Q87-0,Gregory,36450,36457,[13],13
Q87-0,you,36466,36469,[13],13
Q87-0,you,36566,36569,[13],13
Q89-1,your,36761,36765,[13],13
Q89-1,you,36793,36796,[13],13
Q89-1,you,36842,36845,[13],13
Q89-1,you,36863,36866,[13],13
Q90-0,Your,36913,36917,[9],9
Q90-1,you,36960,36963,[9],9
Q91-2,you,37043,37046,[13],13
Q92-0,You,37131,37134,[9],9
Q92-0,you,37196,37199,[9],9
Q92-0,you,37255,37258,[9],9
Q93-1,you,37609,37612,[13],13
Q93-1,your,37656,37660,[13],13
Q93-1,you,37724,37727,[13],13
Q93-1,your,37731,37735,[13],13
Q93-1,We,37747,37749,[9],9
Q94-0,you,37874,37877,[9],9
Q95-1,your,37985,37989,[13],13
Q96-1,you,38666,38669,[13],13
Q96-1,you,38700,38703,[13],13
Q97-0,you,38860,38863,[13],13
Q97-1,you,38935,38938,[13],13
Q97-1,You,38957,38960,[13],13
Q97-1,you,39021,39024,[13],13
Q97-1,you,39039,39042,[13],13
Q97-1,you,39048,39051,[13],13
Q97-1,You,39209,39212,[13],13
Q97-1,my poor fellow,39214,39228,[13],13
Q97-1,your,39365,39369,[13],13
Q97-1,You,39378,39381,[13],13
Q97-1,you,39486,39489,[13],13
Q98-1,you,39752,39755,[9],9
Q98-1,your,39770,39774,[9],9
Q98-1,you,39812,39815,[9],9
Q99-1,you,39898,39901,[13],13
Q99-1,your,39924,39928,[13],13
Q100-0,Comrade Gregory,40200,40215,[13],13
Q100-1,this man,40238,40246,[9],9
Q102-0,you,40615,40618,[9],9
Q104-0,you,40762,40765,[9],9
Q105-1,you,40887,40890,[6],6
Q106-0,comrade,41166,41173,[9],9
Q106-1,you,41248,41251,[9],9
Q107-0,you,41281,41284,[6],6
Q107-1,you,41357,41360,[6],6
Q108-1,Comrade Buttons,42371,42386,[6],6
Q111-0,Comrade Gregory,44105,44120,[13],13
Q113-1, Comrade Gregory,44353,44369,[13],13
Q116-0,Comrade Witherspoon,47216,47235,[14],14
Q116-1,he,47270,47272,[14],14
Q116-1,he,47301,47303,[14],14
Q116-1,His,47319,47322,[14],14
Q116-1,his,47355,47358,[14],14
Q116-1,him,47569,47572,[14],14
Q116-1,Comrade Witherspoon,47725,47744,[14],14
Q120-0,Comrade Witherspoon,48105,48124,[14],14
Q120-1,him,48201,48204,[14],14
Q120-2,him,48258,48261,[14],14
Q123-0,Comrade Gregory,48999,49014,[13],13
Q124-0,Mr. Chairman,49368,49380,[6],6
Q125-1,Comrade Gregory,50038,50053,[13],13
Q125-1,Comrade Gregory's,50188,50205,[13],13
Q125-5,Comrade Gregory,50508,50523,[13],13
Q125-6,Comrade Gregory,50811,50826,[13],13
Q126-0,You damnable hypocrite,51154,51176,[9],9
Q127-0,Comrade Gregory,51281,51296,[13],13
Q127-0,He,51322,51324,[13],13
Q127-0,Comrade Gregory,51469,51484,[13],13
Q127-0,his,51517,51520,[13],13
Q127-0,He,51540,51542,[13],13
Q127-0,his,51578,51581,[13],13
Q127-1,Comrade Gregory,51800,51815,[13],13
Q127-1,he,51965,51967,[13],13
Q127-3,Comrade Gregory,52073,52088,[13],13
Q127-3,Gregory,52233,52240,[13],13
Q127-3,his,52245,52248,[13],13
Q128-0,you blasted madmen,52857,52875,[9],9
Q128-1,you,52939,52942,[9],9
Q130-0,Comrade Syme,53733,53745,[9],9
Q131-0,you,53797,53800,[9],9
Q134-0,This man,54287,54295,[9],9
Q134-0,He,54315,54317,[9],9
Q135-1,he,54371,54373,[9],9
Q136-0,He,54483,54485,[9],9
Q137-0,Comrade Syme,54734,54746,[9],9
Q139-0,Comrade Syme,54877,54889,[9],9
Q142-1,this man,55399,55407,[9],9
Q143-0,Comrade Gregory,55603,55618,[13],13
Q144-1,this man,56132,56140,[9],9
Q145-0,Comrade Gregory,56145,56160,[13],13
Q146-0,Comrade Syme,56485,56497,[9],9
Q147-0,You,57249,57252,[9],9
Q148-0,you,57295,57298,[13],13
Q149-0,you,57350,57353,[9],9
Q150-1,you,57514,57517,[13],13
Q150-1,You,57553,57556,[13],13
Q150-1,you,57585,57588,[13],13
Q152-0,You,58497,58500,[13],13
Q152-0,your,58511,58515,[13],13
Q152-1,You,58565,58568,[13],13
Q152-1,you,58602,58605,[13],13
Q152-1,You,58607,58610,[13],13
Q152-1,you,58685,58688,[13],13
Q152-1,you,58743,58746,[13],13
Q153-0,you,58800,58803,[9],9
Q153-1,you,58858,58861,[9],9
Q156-1,You fellows,62933,62944,[22],22
Q156-1,you,63051,63054,[22],22
Q156-1,you,63115,63118,[22],22
Q156-1,you,63212,63215,[22],22
Q156-1,You policemen,63231,63244,[22],22
Q156-1,you,63288,63291,[22],22
Q156-1,your,63297,63301,[22],22
Q156-1,your,63329,63333,[22],22
Q157-0,we,63346,63348,[22],22
Q162-0,you,63855,63858,[22],22
Q164-0,man,64081,64084,[22],22
Q164-1,you,64097,64100,[22],22
Q166-0,you,64241,64244,[22],22
Q167-0,you,64327,64330,[9],9
Q168-0,you,64651,64654,[22],22
Q168-0,you,64665,64668,[22],22
Q168-0,your,64674,64678,[22],22
Q168-1,you,64717,64720,[22],22
Q168-1,you,64780,64783,[22],22
Q168-1,you,64809,64812,[22],22
Q169-0,You,64884,64887,[9],9
Q169-1,We,65008,65010,[22],22
Q169-1,you,65116,65119,[9],9
Q169-1,you,65175,65178,[9],9
Q169-1,us,65197,65199,[22],22
Q170-0,you,65209,65212,[22],22
Q171-0,you,65249,65252,[9],9
Q171-1,He,65510,65512,[19],19
