COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
31,62,62,PROP,PER,Poirot,308,314,9
32,163,164,PROP,PER,John Cavendish,818,832,12
32,172,172,PRON,PER,him,860,863,12
32,183,183,PRON,PER,him,906,909,12
32,187,187,PRON,PER,He,929,931,12
32,201,201,PRON,PER,he,990,992,12
32,204,204,PRON,PER,his,1007,1010,12
32,223,223,PRON,PER,his,1077,1080,12
32,243,243,PRON,PER,his,1159,1162,12
32,271,271,PRON,PER,he,1288,1290,12
32,289,289,PRON,PER,I,1345,1346,12
33,310,311,PROP,PER,Mrs. Cavendish,1443,1457,14
32,316,316,PROP,PER,John,1475,1479,12
33,340,340,PRON,PER,her,1582,1585,14
33,342,342,PRON,PER,She,1587,1590,14
33,356,356,PRON,PER,her,1654,1657,14
33,384,384,PRON,PER,She,1821,1824,14
33,397,397,PRON,PER,her,1892,1895,14
32,412,413,PROP,PER,Mr. Cavendish,1959,1972,12
34,509,509,PROP,PER,Lawrence,2414,2422,17
34,520,520,PRON,PER,He,2464,2466,17
34,544,544,PRON,PER,his,2604,2607,17
32,552,552,PROP,PER,John,2646,2650,12
32,576,576,PRON,PER,He,2768,2770,12
32,586,586,PRON,PER,his,2812,2815,12
32,600,600,PRON,PER,he,2885,2887,12
32,604,604,PRON,PER,his,2909,2912,12
32,608,608,PRON,PER,his,2932,2935,12
32,615,615,PRON,PER,him,2972,2975,12
32,621,621,PRON,PER,his,2994,2997,12
33,624,625,PROP,PER,Mrs. Cavendish,3003,3017,14
33,636,636,PRON,PER,her,3057,3060,14
33,654,654,PRON,PER,she,3137,3140,14
32,667,667,PROP,PER,John,3198,3202,12
32,675,675,PRON,PER,his,3238,3241,12
32,691,691,PRON,PER,he,3320,3322,12
32,696,696,PRON,PER,I,3339,3340,12
35,701,701,PROP,PER,Hastings,3355,3363,16
36,714,714,PROP,PER,Evie,3413,3417,7
36,717,717,PROP,PER,Evie,3433,3437,7
32,727,727,PRON,PER,I,3453,3454,12
36,729,729,PRON,PER,she,3463,3466,7
36,735,735,PRON,PER,She,3488,3491,7
36,801,801,PROP,PER,Evie,3774,3778,7
36,805,805,PRON,PER,she,3789,3792,7
37,921,921,PROP,PER,Alfred,4348,4354,10
37,961,961,PRON,PER,him,4534,4537,10
32,1028,1029,PROP,PER,John Cavendish,4833,4847,12
32,1058,1058,PRON,PER,he,4955,4957,12
32,1172,1172,PROP,PER,John,5485,5489,12
32,1176,1176,PRON,PER,I,5498,5499,12
35,1188,1188,PROP,PER,Hastings,5546,5554,16
32,1192,1192,PRON,PER,My,5559,5561,12
32,1200,1200,PRON,PER,I,5592,5593,12
32,1220,1220,PRON,PER,I,5663,5664,12
32,1237,1237,PRON,PER,My,5735,5737,12
37,1281,1282,PROP,PER,Alfred Inglethorp,5934,5951,10
32,1285,1285,PRON,PER,He,5954,5956,12
32,1294,1294,PRON,PER,his,5998,6001,12
32,1298,1298,PRON,PER,I,6010,6011,12
38,1307,1307,PROP,PER,Cynthia,6044,6051,15
38,1311,1311,PRON,PER,she,6057,6060,15
38,1323,1323,PROP,PER,Cynthia,6106,6113,15
32,1328,1328,PRON,PER,your,6126,6130,12
38,1335,1335,PROP,PER,Cynthia,6144,6151,15
32,1342,1342,PRON,PER,my,6171,6173,12
32,1376,1376,PRON,PER,My,6329,6331,12
38,1384,1384,PROP,PER,Cynthia,6363,6370,15
38,1394,1394,PRON,PER,She,6410,6413,15
36,1452,1452,PROP,PER,Evie,6665,6669,7
36,1565,1565,PRON,PER,you,7189,7192,7
36,1602,1602,PRON,PER,you,7328,7331,7
36,1609,1609,PRON,PER,You,7349,7352,7
36,1614,1614,PROP,PER,Evie,7365,7369,7
32,1618,1618,PROP,PER,John,7377,7381,12
36,1655,1655,PRON,PER,you,7500,7503,7
36,1674,1674,PRON,PER,you,7581,7584,7
36,1704,1704,PRON,PER,you,7704,7707,7
32,1747,1747,PRON,PER,My,7885,7887,12
32,1754,1754,PROP,PER,John,7910,7914,12
32,1882,1882,PROP,PER,John,8584,8588,12
33,1886,1887,PROP,PER,Mrs. Cavendish,8603,8617,14
33,1894,1894,PRON,PER,her,8640,8643,14
