exp_name,text,start_byte,end_byte,pdncID
a young and rather scared looking nurse,A young and rather scared looking nurse,27365,27404,0
an assistant from parkson's,An assistant from Parkson's,259338,259365,2
one of the other belgians,one of the other Belgians,245521,245546,23
sir ernest heavywether,Sir Ernest Heavywether,253111,253133,8
sir ernest heavywether,Sir Ernest Heavywether,256289,256311,8
sir ernest heavywether,Sir Ernest Heavywether,259703,259725,8
sir ernest heavywether,Sir Ernest Heavywether,260889,260911,8
sir ernest heavywether,Sir Ernest Heavywether,269027,269049,8
sir ernest heavywether,Sir Ernest Heavywether,272680,272702,8
mr. lawrence cavendish,Mr. Lawrence Cavendish,85882,85904,17
mr. lawrence cavendish,Mr. Lawrence Cavendish,96193,96215,17
mr. lawrence cavendish,Mr. Lawrence Cavendish,161743,161765,17
mr. lawrence cavendish,Mr. Lawrence Cavendish,257757,257779,17
mr. lawrence cavendish,Mr. Lawrence Cavendish,258406,258428,17
mr. lawrence cavendish,Mr. Lawrence Cavendish,258592,258614,17
mr. lawrence cavendish,Mr. Lawrence Cavendish,272085,272107,17
mademoiselle cynthia,Mademoiselle Cynthia,30007,30027,15
mademoiselle cynthia,Mademoiselle Cynthia,85772,85792,15
mademoiselle cynthia,Mademoiselle Cynthia,93031,93051,15
mademoiselle cynthia,Mademoiselle Cynthia,177032,177052,15
mademoiselle cynthia,Mademoiselle Cynthia,202094,202114,15
mademoiselle cynthia,Mademoiselle Cynthia,203896,203916,15
mademoiselle cynthia,Mademoiselle Cynthia,204474,204494,15
mademoiselle cynthia,Mademoiselle Cynthia,242217,242237,15
mademoiselle cynthia,Mademoiselle Cynthia,244638,244658,15
mademoiselle cynthia,Mademoiselle Cynthia,279500,279520,15
mademoiselle cynthia,Mademoiselle Cynthia,280660,280680,15
mademoiselle cynthia,Mademoiselle Cynthia,281085,281105,15
mademoiselle cynthia,Mademoiselle Cynthia,282891,282911,15
mademoiselle cynthia,Mademoiselle Cynthia,289087,289107,15
mademoiselle cynthia,Mademoiselle Cynthia,289452,289472,15
mademoiselle cynthia,Mademoiselle Cynthia,289797,289817,15
mademoiselle cynthia,Mademoiselle Cynthia,290111,290131,15
mademoiselle cynthia,Mademoiselle Cynthia,291039,291059,15
mademoiselle cynthia,Mademoiselle Cynthia,291163,291183,15
mademoiselle cynthia,Mademoiselle Cynthia,291802,291822,15
mademoiselle cynthia,Mademoiselle Cynthia,292355,292375,15
mademoiselle cynthia,Mademoiselle Cynthia,296490,296510,15
mademoiselle cynthia,Mademoiselle Cynthia,303786,303806,15
mademoiselle cynthia,Mademoiselle Cynthia,315404,315424,15
mademoiselle cynthia,Mademoiselle Cynthia,316071,316091,15
mademoiselle cynthia,Mademoiselle Cynthia,316277,316297,15
mademoiselle cynthia,Mademoiselle Cynthia,316905,316925,15
mademoiselle cynthia,Mademoiselle Cynthia,317002,317022,15
mademoiselle cynthia,Mademoiselle Cynthia,317155,317175,15
lawrence cavendish,Lawrence Cavendish,16616,16634,17
lawrence cavendish,Lawrence Cavendish,38214,38232,17
lawrence cavendish,Lawrence Cavendish,64339,64357,17
lawrence cavendish,Lawrence Cavendish,135049,135067,17
lawrence cavendish,Lawrence Cavendish,158928,158946,17
lawrence cavendish,Lawrence Cavendish,182284,182302,17
lawrence cavendish,Lawrence Cavendish,243114,243132,17
lawrence cavendish,Lawrence Cavendish,265429,265447,17
alfred inglethorp,Alfred Inglethorp,5934,5951,10
alfred inglethorp,Alfred Inglethorp,17457,17474,10
alfred inglethorp,Alfred Inglethorp,36253,36270,10
alfred inglethorp,Alfred Inglethorp,39368,39385,10
alfred inglethorp,Alfred Inglethorp,46643,46660,10
alfred inglethorp,Alfred Inglethorp,66718,66735,10
alfred inglethorp,Alfred Inglethorp,90339,90356,10
alfred inglethorp,Alfred Inglethorp,104539,104556,10
alfred inglethorp,Alfred Inglethorp,105640,105657,10
alfred inglethorp,Alfred Inglethorp,105827,105844,10
alfred inglethorp,Alfred Inglethorp,107334,107351,10
alfred inglethorp,Alfred Inglethorp,108198,108215,10
alfred inglethorp,Alfred Inglethorp,108461,108478,10
alfred inglethorp,Alfred Inglethorp,117988,118005,10
alfred inglethorp,Alfred Inglethorp,121342,121359,10
alfred inglethorp,Alfred Inglethorp,128044,128061,10
alfred inglethorp,Alfred Inglethorp,129075,129092,10
alfred inglethorp,Alfred Inglethorp,130627,130644,10
alfred inglethorp,Alfred Inglethorp,144275,144292,10
alfred inglethorp,Alfred Inglethorp,145402,145419,10
alfred inglethorp,Alfred Inglethorp,146261,146278,10
alfred inglethorp,Alfred Inglethorp,147553,147570,10
alfred inglethorp,Alfred Inglethorp,148194,148211,10
alfred inglethorp,Alfred Inglethorp,154489,154506,10
alfred inglethorp,Alfred Inglethorp,156209,156226,10
alfred inglethorp,Alfred Inglethorp,158770,158787,10
alfred inglethorp,Alfred Inglethorp,159317,159334,10
alfred inglethorp,Alfred Inglethorp,160154,160171,10
alfred inglethorp,Alfred Inglethorp,161332,161349,10
alfred inglethorp,Alfred Inglethorp,163203,163220,10
alfred inglethorp,Alfred Inglethorp,168175,168192,10
alfred inglethorp,Alfred Inglethorp,169579,169596,10
alfred inglethorp,Alfred Inglethorp,170053,170070,10
alfred inglethorp,Alfred Inglethorp,171536,171553,10
alfred inglethorp,Alfred Inglethorp,177195,177212,10
alfred inglethorp,Alfred Inglethorp,180468,180485,10
alfred inglethorp,Alfred Inglethorp,183781,183798,10
alfred inglethorp,Alfred Inglethorp,193211,193228,10
alfred inglethorp,Alfred Inglethorp,195017,195034,10
alfred inglethorp,Alfred Inglethorp,196003,196020,10
alfred inglethorp,Alfred Inglethorp,205888,205905,10
alfred inglethorp,Alfred Inglethorp,250375,250392,10
alfred inglethorp,Alfred Inglethorp,256821,256838,10
alfred inglethorp,Alfred Inglethorp,265335,265352,10
alfred inglethorp,Alfred Inglethorp,268725,268742,10
alfred inglethorp,Alfred Inglethorp,274495,274512,10
alfred inglethorp,Alfred Inglethorp,279906,279923,10
alfred inglethorp,Alfred Inglethorp,298412,298429,10
alfred inglethorp,Alfred Inglethorp,298722,298739,10
alfred inglethorp,Alfred Inglethorp,299252,299269,10
alfred inglethorp,Alfred Inglethorp,302148,302165,10
alfred inglethorp,Alfred Inglethorp,305138,305155,10
alfred inglethorp,Alfred Inglethorp,305413,305430,10
alfred inglethorp,Alfred Inglethorp,305534,305551,10
alfred inglethorp,Alfred Inglethorp,305903,305920,10
alfred inglethorp,Alfred Inglethorp,311756,311773,10
alfred inglethorp,Alfred Inglethorp,313742,313759,10
mrs. inglethorp,Mrs. Inglethorp,9476,9491,21
mrs. inglethorp,Mrs. Inglethorp,9818,9833,21
mrs. inglethorp,Mrs. Inglethorp,10905,10920,21
mrs. inglethorp,Mrs. Inglethorp,11479,11494,21
mrs. inglethorp,Mrs. Inglethorp,13764,13779,21
mrs. inglethorp,Mrs. Inglethorp,15056,15071,21
mrs. inglethorp,Mrs. Inglethorp,15263,15278,21
mrs. inglethorp,Mrs. Inglethorp,16123,16138,21
mrs. inglethorp,Mrs. Inglethorp,19162,19177,21
mrs. inglethorp,Mrs. Inglethorp,23627,23642,21
mrs. inglethorp,Mrs. Inglethorp,24223,24238,21
mrs. inglethorp,Mrs. Inglethorp,24575,24590,21
mrs. inglethorp,Mrs. Inglethorp,24732,24747,21
mrs. inglethorp,Mrs. Inglethorp,24964,24979,21
mrs. inglethorp,Mrs. Inglethorp,25259,25274,21
mrs. inglethorp,Mrs. Inglethorp,25867,25882,21
mrs. inglethorp,Mrs. Inglethorp,30063,30078,21
mrs. inglethorp,Mrs. Inglethorp,31520,31535,21
mrs. inglethorp,Mrs. Inglethorp,31701,31716,21
mrs. inglethorp,Mrs. Inglethorp,32832,32847,21
mrs. inglethorp,Mrs. Inglethorp,33366,33381,21
mrs. inglethorp,Mrs. Inglethorp,34748,34763,21
mrs. inglethorp,Mrs. Inglethorp,35072,35087,21
mrs. inglethorp,Mrs. Inglethorp,35428,35443,21
mrs. inglethorp,Mrs. Inglethorp,37129,37144,21
mrs. inglethorp,Mrs. Inglethorp,37419,37434,21
mrs. inglethorp,Mrs. Inglethorp,39010,39025,21
mrs. inglethorp,Mrs. Inglethorp,40849,40864,21
mrs. inglethorp,Mrs. Inglethorp,42031,42046,21
mrs. inglethorp,Mrs. Inglethorp,43458,43473,21
mrs. inglethorp,Mrs. Inglethorp,44179,44194,21
mrs. inglethorp,Mrs. Inglethorp,46717,46732,21
mrs. inglethorp,Mrs. Inglethorp,51918,51933,21
mrs. inglethorp,Mrs. Inglethorp,52122,52137,21
mrs. inglethorp,Mrs. Inglethorp,54220,54235,21
mrs. inglethorp,Mrs. Inglethorp,55539,55554,21
mrs. inglethorp,Mrs. Inglethorp,56121,56136,21
mrs. inglethorp,Mrs. Inglethorp,56472,56487,21
mrs. inglethorp,Mrs. Inglethorp,56833,56848,21
mrs. inglethorp,Mrs. Inglethorp,63788,63803,21
mrs. inglethorp,Mrs. Inglethorp,64241,64256,21
mrs. inglethorp,Mrs. Inglethorp,64821,64836,21
mrs. inglethorp,Mrs. Inglethorp,66894,66909,21
mrs. inglethorp,Mrs. Inglethorp,70977,70992,21
mrs. inglethorp,Mrs. Inglethorp,75455,75470,21
mrs. inglethorp,Mrs. Inglethorp,75796,75811,21
mrs. inglethorp,Mrs. Inglethorp,76196,76211,21
mrs. inglethorp,Mrs. Inglethorp,77007,77022,21
mrs. inglethorp,Mrs. Inglethorp,77649,77664,21
mrs. inglethorp,Mrs. Inglethorp,78691,78706,21
mrs. inglethorp,Mrs. Inglethorp,78768,78783,21
mrs. inglethorp,Mrs. Inglethorp,80100,80115,21
mrs. inglethorp,Mrs. Inglethorp,80469,80484,21
mrs. inglethorp,Mrs. Inglethorp,80743,80758,21
mrs. inglethorp,Mrs. Inglethorp,82809,82824,21
mrs. inglethorp,Mrs. Inglethorp,84113,84128,21
mrs. inglethorp,Mrs. Inglethorp,84281,84296,21
mrs. inglethorp,Mrs. Inglethorp,84942,84957,21
mrs. inglethorp,Mrs. Inglethorp,92406,92421,21
mrs. inglethorp,Mrs. Inglethorp,95001,95016,21
mrs. inglethorp,Mrs. Inglethorp,95641,95656,21
mrs. inglethorp,Mrs. Inglethorp,96409,96424,21
mrs. inglethorp,Mrs. Inglethorp,96709,96724,21
mrs. inglethorp,Mrs. Inglethorp,96919,96934,21
mrs. inglethorp,Mrs. Inglethorp,97187,97202,21
mrs. inglethorp,Mrs. Inglethorp,97850,97865,21
mrs. inglethorp,Mrs. Inglethorp,97891,97906,21
mrs. inglethorp,Mrs. Inglethorp,99050,99065,21
mrs. inglethorp,Mrs. Inglethorp,100797,100812,21
mrs. inglethorp,Mrs. Inglethorp,101245,101260,21
mrs. inglethorp,Mrs. Inglethorp,110197,110212,21
mrs. inglethorp,Mrs. Inglethorp,116503,116518,21
mrs. inglethorp,Mrs. Inglethorp,117919,117934,21
mrs. inglethorp,Mrs. Inglethorp,118877,118892,21
mrs. inglethorp,Mrs. Inglethorp,119135,119150,21
mrs. inglethorp,Mrs. Inglethorp,120075,120090,21
mrs. inglethorp,Mrs. Inglethorp,121065,121080,21
mrs. inglethorp,Mrs. Inglethorp,123177,123192,21
mrs. inglethorp,Mrs. Inglethorp,123637,123652,21
mrs. inglethorp,Mrs. Inglethorp,126031,126046,21
mrs. inglethorp,Mrs. Inglethorp,128830,128845,21
mrs. inglethorp,Mrs. Inglethorp,132021,132036,21
mrs. inglethorp,Mrs. Inglethorp,132813,132828,21
mrs. inglethorp,Mrs. Inglethorp,133008,133023,21
mrs. inglethorp,Mrs. Inglethorp,133339,133354,21
mrs. inglethorp,Mrs. Inglethorp,133585,133600,21
mrs. inglethorp,Mrs. Inglethorp,136708,136723,21
mrs. inglethorp,Mrs. Inglethorp,136830,136845,21
mrs. inglethorp,Mrs. Inglethorp,137577,137592,21
mrs. inglethorp,Mrs. Inglethorp,140396,140411,21
mrs. inglethorp,Mrs. Inglethorp,141953,141968,21
mrs. inglethorp,Mrs. Inglethorp,147936,147951,21
mrs. inglethorp,Mrs. Inglethorp,158536,158551,21
mrs. inglethorp,Mrs. Inglethorp,176822,176837,21
mrs. inglethorp,Mrs. Inglethorp,179731,179746,21
mrs. inglethorp,Mrs. Inglethorp,180127,180142,21
mrs. inglethorp,Mrs. Inglethorp,180865,180880,21
mrs. inglethorp,Mrs. Inglethorp,180978,180993,21
mrs. inglethorp,Mrs. Inglethorp,181319,181334,21
mrs. inglethorp,Mrs. Inglethorp,183864,183879,21
mrs. inglethorp,Mrs. Inglethorp,193433,193448,21
mrs. inglethorp,Mrs. Inglethorp,194135,194150,21
mrs. inglethorp,Mrs. Inglethorp,202058,202073,21
mrs. inglethorp,Mrs. Inglethorp,202702,202717,21
mrs. inglethorp,Mrs. Inglethorp,213591,213606,21
mrs. inglethorp,Mrs. Inglethorp,214142,214157,21
mrs. inglethorp,Mrs. Inglethorp,216414,216429,21
mrs. inglethorp,Mrs. Inglethorp,224843,224858,21
mrs. inglethorp,Mrs. Inglethorp,225013,225028,21
mrs. inglethorp,Mrs. Inglethorp,225137,225152,21
mrs. inglethorp,Mrs. Inglethorp,225421,225436,21
mrs. inglethorp,Mrs. Inglethorp,230053,230068,21
mrs. inglethorp,Mrs. Inglethorp,237318,237333,21
mrs. inglethorp,Mrs. Inglethorp,237646,237661,21
mrs. inglethorp,Mrs. Inglethorp,237809,237824,21
mrs. inglethorp,Mrs. Inglethorp,245274,245289,21
mrs. inglethorp,Mrs. Inglethorp,254219,254234,21
mrs. inglethorp,Mrs. Inglethorp,254459,254474,21
mrs. inglethorp,Mrs. Inglethorp,260864,260879,21
mrs. inglethorp,Mrs. Inglethorp,263193,263208,21
mrs. inglethorp,Mrs. Inglethorp,270615,270630,21
mrs. inglethorp,Mrs. Inglethorp,276998,277013,21
mrs. inglethorp,Mrs. Inglethorp,282613,282628,21
mrs. inglethorp,Mrs. Inglethorp,283333,283348,21
mrs. inglethorp,Mrs. Inglethorp,284184,284199,21
mrs. inglethorp,Mrs. Inglethorp,284320,284335,21
mrs. inglethorp,Mrs. Inglethorp,284437,284452,21
mrs. inglethorp,Mrs. Inglethorp,284684,284699,21
mrs. inglethorp,Mrs. Inglethorp,285030,285045,21
mrs. inglethorp,Mrs. Inglethorp,285432,285447,21
mrs. inglethorp,Mrs. Inglethorp,286634,286649,21
mrs. inglethorp,Mrs. Inglethorp,286798,286813,21
mrs. inglethorp,Mrs. Inglethorp,287604,287619,21
mrs. inglethorp,Mrs. Inglethorp,288104,288119,21
mrs. inglethorp,Mrs. Inglethorp,288316,288331,21
mrs. inglethorp,Mrs. Inglethorp,288459,288474,21
mrs. inglethorp,Mrs. Inglethorp,288755,288770,21
mrs. inglethorp,Mrs. Inglethorp,289493,289508,21
