source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,poirot,Poirot,308,314,9
exp,exp_name,john cavendish,John Cavendish,818,832,12
booknlp,COREF,32,him,860,863,12
booknlp,COREF,32,him,906,909,12
booknlp,COREF,32,He,929,931,12
booknlp,COREF,32,he,990,992,12
booknlp,COREF,32,his,1007,1010,12
booknlp,COREF,32,his,1077,1080,12
booknlp,COREF,32,his,1159,1162,12
pdnc,qID,Q0-0,The mater,1217,1226,21
pdnc,qID,Q0-0,you,1252,1255,16
booknlp,COREF,32,he,1288,1290,12
pdnc,qID,Q1-0,Your mother,1300,1311,21
booknlp,COREF,32,I,1345,1346,12
pdnc,qID,Q2-0,you,1355,1358,16
pdnc,qID,Q2-0,she,1369,1372,21
exp,exp_name,mrs. cavendish,Mrs. Cavendish,1443,1457,14
exp,exp_name,john,John,1475,1479,12
booknlp,COREF,33,her,1582,1585,14
booknlp,COREF,33,She,1587,1590,14
booknlp,COREF,33,her,1654,1657,14
booknlp,COREF,33,She,1821,1824,14
booknlp,COREF,33,her,1892,1895,14
exp,exp_name,cavendish,Cavendish,1963,1972,12
exp,exp_name,lawrence,Lawrence,2414,2422,17
booknlp,COREF,34,He,2464,2466,17
booknlp,COREF,34,his,2604,2607,17
exp,exp_name,john,John,2646,2650,12
booknlp,COREF,32,He,2768,2770,12
booknlp,COREF,32,his,2812,2815,12
booknlp,COREF,32,he,2885,2887,12
booknlp,COREF,32,his,2909,2912,12
booknlp,COREF,32,his,2932,2935,12
booknlp,COREF,32,him,2972,2975,12
booknlp,COREF,32,his,2994,2997,12
exp,exp_name,mrs. cavendish,Mrs. Cavendish,3003,3017,14
booknlp,COREF,33,her,3057,3060,14
booknlp,COREF,33,she,3137,3140,14
exp,exp_name,john,John,3198,3202,12
booknlp,COREF,32,his,3238,3241,12
pdnc,qID,Q3-0,Rotten little bounder,3292,3313,10
booknlp,COREF,32,he,3320,3322,12
booknlp,COREF,32,I,3339,3340,12
pdnc,qID,Q3-1,you,3350,3353,16
pdnc,qID,Q3-1,Hastings,3355,3363,16
pdnc,qID,Q3-1,Evie,3413,3417,7
pdnc,qID,Q3-1,you,3420,3423,16
pdnc,qID,Q3-1,Evie,3433,3437,7
booknlp,COREF,32,I,3453,3454,12
pdnc,qID,Q5-0,she,3463,3466,7
pdnc,qID,Q5-0,your,3477,3481,16
pdnc,qID,Q5-0,She,3488,3491,7
pdnc,qID,Q5-0,"the mater's factotum, companion, Jack of all trades",3494,3545,7
pdnc,qID,Q5-0,A great sport,3547,3560,7
pdnc,qID,Q5-0,old Evie,3563,3571,7
pdnc,qID,Q6-0,You,3642,3645,12
pdnc,qID,Q7-0,this fellow,3678,3689,10
pdnc,qID,Q7-0,He,3691,3693,10
pdnc,qID,Q7-0,a second cousin or something of Evie's,3742,3780,10
pdnc,qID,Q7-0,she,3789,3792,7
pdnc,qID,Q7-0,The fellow,3856,3866,10
pdnc,qID,Q7-0,He,3913,3915,10
pdnc,qID,Q7-0,the mater,3995,4004,21
pdnc,qID,Q7-0,him,4017,4020,10
pdnc,qID,Q7-0,him,4035,4038,10
pdnc,qID,Q7-0,you,4057,4060,16
pdnc,qID,Q7-0,she,4070,4073,21
