COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
117,3,4,PROP,PER,Dorian Gray,15,26,4
357,10,11,NOM,PER,The artist,58,68,39
357,24,25,NOM,PER,the artist,131,141,39
364,183,183,NOM,PER,man,934,937,30
357,192,193,NOM,PER,the artist,974,984,39
357,251,252,NOM,PER,The artist,1272,1282,39
357,262,263,NOM,PER,the artist,1335,1345,39
357,274,275,NOM,PER,the artist,1392,1402,39
357,388,389,NOM,PER,the artist,1890,1900,39
357,394,394,PRON,PER,himself,1919,1926,39
357,503,503,PRON,PER,he,2449,2451,39
357,511,511,PRON,PER,his,2479,2482,39
120,517,519,PROP,PER,Lord Henry Wotton,2515,2532,19
357,596,596,PRON,PER,him,2932,2935,39
357,725,726,NOM,PER,the artist,3590,3600,39
357,727,727,PRON,PER,himself,3601,3608,39
121,729,730,PROP,PER,Basil Hallward,3610,3624,2
389,757,758,NOM,PER,the painter,3762,3773,42
389,766,766,PRON,PER,he,3813,3815,42
389,772,772,PRON,PER,his,3845,3848,42
389,781,781,PRON,PER,his,3888,3891,42
389,792,792,PRON,PER,he,3936,3938,42
389,799,799,PRON,PER,his,3972,3975,42
389,803,803,PRON,PER,his,3989,3992,42
389,811,811,PRON,PER,he,4026,4028,42
389,816,816,PRON,PER,his,4055,4058,42
389,823,823,PRON,PER,he,4095,4097,42
389,825,825,PRON,PER,he,4105,4107,42
389,832,832,PRON,PER,your,4129,4133,42
121,836,836,PROP,PER,Basil,4145,4150,2
389,841,841,PRON,PER,you,4167,4170,42
120,848,849,PROP,PER,Lord Henry,4193,4203,19
389,853,853,PRON,PER,You,4216,4219,42
120,874,874,PRON,PER,I,4321,4322,19
120,887,887,PRON,PER,I,4383,4384,19
120,906,906,PRON,PER,I,4470,4471,19
389,930,930,PRON,PER,I,4570,4571,42
389,934,934,PRON,PER,I,4584,4585,42
389,941,941,PRON,PER,he,4611,4613,42
389,945,945,PRON,PER,his,4632,4635,42
389,956,956,PRON,PER,his,4680,4683,42
389,960,960,PRON,PER,him,4701,4704,42
389,967,967,PRON,PER,I,4721,4722,42
120,975,976,PROP,PER,Lord Henry,4749,4759,19
120,978,978,PRON,PER,his,4769,4772,19
389,983,983,PRON,PER,him,4796,4799,42
120,1001,1001,PRON,PER,his,4896,4899,19
120,1015,1015,PRON,PER,My,4955,4957,19
389,1125,1125,PRON,PER,I,5427,5428,42
120,1127,1127,PRON,PER,you,5434,5437,19
389,1131,1131,PRON,PER,me,5452,5454,42
389,1134,1134,PRON,PER,he,5457,5459,42
389,1139,1139,PRON,PER,I,5474,5475,42
389,1146,1146,PRON,PER,I,5501,5502,42
389,1152,1152,PRON,PER,myself,5524,5530,42
120,1157,1158,PROP,PER,Lord Henry,5542,5552,19
120,1160,1160,PRON,PER,himself,5563,5570,19
120,1171,1171,PRON,PER,I,5608,5609,19
120,1173,1173,PRON,PER,you,5615,5618,19
120,1196,1196,PRON,PER,my,5698,5700,19
121,1199,1199,PROP,PER,Basil,5707,5712,2
120,1201,1201,PRON,PER,I,5714,5715,19
121,1205,1205,PRON,PER,you,5728,5731,2
120,1211,1211,PRON,PER,I,5750,5751,19
121,1219,1219,PRON,PER,you,5793,5796,2
121,1222,1222,PRON,PER,your,5803,5807,2
121,1227,1227,PRON,PER,your,5831,5835,2
120,1255,1255,PRON,PER,my,5939,5941,19
121,1257,1257,PROP,PER,Basil,5947,5952,2
121,1265,1265,PRON,PER,you,5977,5980,2
121,1270,1270,PRON,PER,you,5997,6000,2
121,1402,1402,PRON,PER,Your,6636,6640,2
121,1409,1409,PRON,PER,you,6677,6680,2
120,1413,1413,PRON,PER,me,6697,6699,19
120,1420,1420,PRON,PER,me,6737,6739,19
120,1425,1425,PRON,PER,I,6755,6756,19
121,1471,1471,PRON,PER,yourself,6984,6992,2
121,1473,1473,PROP,PER,Basil,6994,6999,2
121,1475,1475,PRON,PER,you,7001,7004,2
121,1486,1486,PRON,PER,You,7039,7042,2
357,1490,1490,PRON,PER,me,7060,7062,39
120,1492,1492,PROP,PER,Harry,7064,7069,19
357,1496,1497,NOM,PER,the artist,7081,7091,39
357,1502,1502,PRON,PER,I,7104,7105,39
357,1508,1508,PRON,PER,I,7123,7124,39
357,1516,1516,PRON,PER,I,7159,7160,39
121,1525,1525,PRON,PER,You,7195,7198,2
121,1527,1527,PRON,PER,your,7205,7209,2
357,1530,1530,PRON,PER,I,7221,7222,39
121,1533,1533,PRON,PER,you,7234,7237,2
121,1649,1649,PRON,PER,Your,7802,7806,2
120,1654,1654,PROP,PER,Harry,7824,7829,19
357,1656,1656,PRON,PER,my,7831,7833,39
357,1663,1663,PRON,PER,my,7859,7861,39
117,1672,1673,PROP,PER,Dorian Gray,7893,7904,4
117,1694,1695,PROP,PER,Dorian Gray,7991,8002,4
117,1699,1699,PRON,PER,his,8012,8015,4
120,1704,1705,PROP,PER,Lord Henry,8029,8039,19
121,1712,1713,PROP,PER,Basil Hallward,8075,8089,2
117,1720,1720,PRON,PER,his,8106,8109,4
