COREF,matches,pdncID
117,"[4, 4, 4, 4]",4
118,[],-1
357,[39],39
358,[],-1
360,[],-1
361,[],-1
362,[],-1
363,[],-1
119,[],-1
364,"[30, 30]",30
366,[],-1
368,[],-1
373,[],-1
374,[],-1
375,[],-1
376,[],-1
377,[],-1
379,[],-1
380,[],-1
381,[],-1
382,[],-1
383,[],-1
384,[],-1
120,"[19, 19, 19]",19
385,[],-1
1,[],-1
2,[],-1
386,[],-1
387,[],-1
121,"[2, 2, 2]",2
389,[42],42
122,[],-1
1903,[],-1
1904,[],-1
1905,[],-1
1906,[],-1
390,[],-1
4,[],-1
1907,[],-1
1908,[],-1
1910,[],-1
5,[],-1
1911,[],-1
1912,[],-1
1913,[],-1
1914,[],-1
1915,[],-1
1918,[],-1
1919,[],-1
1921,[],-1
1922,[],-1
1923,[],-1
1924,[],-1
1925,[],-1
1926,[],-1
1927,[],-1
1928,[],-1
1929,[],-1
1930,[],-1
1931,[],-1
1932,[],-1
1933,[],-1
1934,[],-1
1935,[],-1
1936,[],-1
1938,[],-1
1939,[],-1
1941,[],-1
1942,[],-1
1944,[],-1
1945,[],-1
394,[],-1
1947,[],-1
1950,[],-1
397,[],-1
123,[],-1
1951,[],-1
1952,[],-1
1953,[],-1
1954,[],-1
1955,[],-1
1956,[],-1
1958,[],-1
1959,[],-1
1960,[],-1
1961,[],-1
1962,[],-1
1963,[],-1
1964,[],-1
124,[],-1
1966,[],-1
125,[],-1
1967,[],-1
1968,[],-1
1969,[],-1
1970,[],-1
1971,[],-1
1973,[4],4
1975,[],-1
400,[],-1
1976,[],-1
1977,[],-1
1978,[],-1
1981,[],-1
1984,[],-1
1985,[],-1
1986,[],-1
1987,[],-1
1988,[],-1
402,[],-1
1989,[],-1
1990,[],-1
1992,[],-1
1993,[],-1
1994,[],-1
1996,[],-1
1997,[],-1
1998,[],-1
1999,[],-1
2002,[],-1
2003,[],-1
2004,[],-1
2006,[],-1
2007,[],-1
2009,[],-1
2010,[],-1
2011,[],-1
2012,[],-1
2013,[],-1
2014,[],-1
2015,[],-1
2016,[],-1
126,[],-1
2017,[],-1
2018,[],-1
2019,[],-1
2020,[],-1
2022,[],-1
2023,[10],10
2024,[],-1
2025,[],-1
2027,[],-1
127,[],-1
128,[],-1
2028,[],-1
2029,[],-1
2030,[],-1
2031,[],-1
2032,[],-1
2033,[],-1
2034,[],-1
2035,[],-1
2036,[],-1
129,[],-1
2038,[],-1
2040,[],-1
2041,[],-1
2044,[],-1
2045,[],-1
2047,[],-1
2048,[],-1
2049,[],-1
2050,[],-1
2051,[],-1
2053,[],-1
2054,[],-1
410,[],-1
411,[],-1
130,[],-1
413,[],-1
414,[],-1
415,[],-1
416,[],-1
417,[],-1
418,[],-1
2056,[],-1
131,"[13, 13]",13
2057,[],-1
6,[],-1
2058,[],-1
2059,[],-1
2060,[],-1
2063,[],-1
419,[29],29
422,[],-1
132,[29],29
424,[],-1
2064,[],-1
2065,[],-1
2067,[],-1
2068,[],-1
425,[],-1
7,[],-1
426,[],-1
2070,[4],4
427,[41],41
2071,[],-1
2072,[],-1
2074,[],-1
2075,[],-1
2076,[],-1
8,[],-1
2077,[],-1
428,[4],4
2080,[],-1
133,[13],13
2081,[],-1
2083,[],-1
433,[2],2
2084,[4],4
2085,[],-1
2086,[],-1
9,[],-1
10,[],-1
2087,[],-1
2088,[],-1
2089,[],-1
2090,[],-1
2091,[],-1
2092,[4],4
2093,[],-1
435,[],-1
436,[],-1
2094,[],-1
2095,[],-1
2096,[],-1
2097,[],-1
2100,[],-1
2101,[],-1
134,[],-1
2102,[4],4
2103,[],-1
2104,[],-1
2106,[],-1
2107,[],-1
2108,[],-1
2109,[],-1
439,[],-1
440,[],-1
441,[],-1
443,[],-1
445,[],-1
2116,[],-1
2117,[4],4
2118,[],-1
449,[],-1
450,[],-1
451,[],-1
452,[],-1
453,[],-1
454,[],-1
2121,[],-1
2122,[],-1
2124,[],-1
2128,[],-1
2129,[],-1
2130,[],-1
2131,[],-1
2133,[],-1
135,[],-1
456,[],-1
459,[],-1
465,[],-1
467,[],-1
2137,[],-1
2138,[],-1
2139,[],-1
2140,[],-1
471,[],-1
2143,[4],4
2144,[4],4
2145,[],-1
2146,[],-1
2147,[],-1
2148,[],-1
2149,[],-1
2150,[4],4
2152,[4],4
2153,[],-1
2154,[],-1
2155,[],-1
2158,[],-1
2159,[],-1
2162,[],-1
2163,[4],4
479,[],-1
2164,[],-1
11,[],-1
2165,[],-1
2166,[],-1
2168,[4],4
2169,[],-1
482,[],-1
2172,[],-1
2173,[],-1
484,[],-1
2177,[4],4
485,[4],4
2179,[],-1
486,[],-1
488,[],-1
489,[],-1
136,[18],18
490,[],-1
491,[],-1
137,[],-1
492,[],-1
493,[],-1
494,[],-1
495,[],-1
12,[],-1
138,[],-1
13,[],-1
496,[],-1
497,[],-1
498,[],-1
499,[],-1
500,[],-1
501,[],-1
502,[],-1
503,[],-1
504,[],-1
505,[],-1
506,[],-1
507,[],-1
508,[],-1
509,[],-1
510,[],-1
511,[],-1
514,[],-1
2180,[],-1
139,[18],18
2181,[],-1
2182,[],-1
2184,[],-1
2185,[],-1
14,[],-1
2190,[],-1
2191,[],-1
2192,[],-1
140,[],-1
141,[],-1
2194,[],-1
2197,[],-1
2198,[],-1
2199,[],-1
2200,[],-1
2202,[],-1
