exp_name,text,start_byte,end_byte,pdncID
one of the women who had been drinking at the bar,one of the women who had been drinking at the bar,370430,370479,27
the elder of the two gentlemen,the elder of the two gentlemen,427909,427939,34
sir geoffrey clouston,Sir Geoffrey Clouston,385689,385710,32
duchess of monmouth,Duchess of Monmouth,371954,371973,9
lady alice chapman,Lady Alice Chapman,341202,341220,14
lord henry wotton,Lord Henry Wotton,2515,2532,19
lord henry wotton,Lord Henry Wotton,29514,29531,19
lord henry wotton,Lord Henry Wotton,32523,32540,19
lord henry wotton,Lord Henry Wotton,49342,49359,19
lord henry wotton,Lord Henry Wotton,51941,51958,19
lord henry wotton,Lord Henry Wotton,57988,58005,19
lord henry wotton,Lord Henry Wotton,59140,59157,19
lord henry wotton,Lord Henry Wotton,327033,327050,19
duchess of harley,Duchess of Harley,71536,71553,5
geoffrey clouston,Geoffrey Clouston,350410,350427,32
sir thomas burdon,Sir Thomas Burdon,71809,71826,33
sir thomas burdon,Sir Thomas Burdon,73286,73303,33
adrian singleton,Adrian Singleton,292485,292501,0
adrian singleton,Adrian Singleton,293331,293347,0
adrian singleton,Adrian Singleton,316928,316944,0
adrian singleton,Adrian Singleton,363110,363126,0
adrian singleton,Adrian Singleton,363693,363709,0
adrian singleton,Adrian Singleton,364016,364032,0
adrian singleton,Adrian Singleton,364564,364580,0
adrian singleton,Adrian Singleton,365528,365544,0
ernest harrowden,Ernest Harrowden,340746,340762,6
one of the women,one of the women,195469,195485,26
one of the women,one of the women,364100,364116,26
prince charming,Prince Charming,102188,102203,4
prince charming,Prince Charming,115137,115152,4
prince charming,Prince Charming,116039,116054,4
prince charming,Prince Charming,116949,116964,4
prince charming,Prince Charming,124411,124426,4
prince charming,Prince Charming,128279,128294,4
prince charming,Prince Charming,129098,129113,4
prince charming,Prince Charming,131044,131059,4
prince charming,Prince Charming,164180,164195,4
prince charming,Prince Charming,213580,213595,4
prince charming,Prince Charming,365198,365213,4
prince charming,Prince Charming,371072,371087,4
prince charming,Prince Charming,376501,376516,4
the head-keeper,The head-keeper,387320,387335,35
the head-keeper,the head-keeper,396295,396310,35
lady narborough,Lady Narborough,337793,337808,16
lady narborough,Lady Narborough,338546,338561,16
lady narborough,Lady Narborough,341569,341584,16
lady narborough,Lady Narborough,342095,342110,16
lady narborough,Lady Narborough,342617,342632,16
lady narborough,Lady Narborough,342745,342760,16
lady narborough,Lady Narborough,343056,343071,16
lady narborough,Lady Narborough,343836,343851,16
lady narborough,Lady Narborough,343996,344011,16
lady narborough,Lady Narborough,344509,344524,16
lady narborough,Lady Narborough,345349,345364,16
lady narborough,Lady Narborough,345908,345923,16
lady narborough,Lady Narborough,346472,346487,16
lady narborough,Lady Narborough,346850,346865,16
lady narborough,Lady Narborough,347071,347086,16
lady narborough,Lady Narborough,348063,348078,16
lady narborough,Lady Narborough,348557,348572,16
lady narborough,Lady Narborough,351950,351965,16
lady narborough,Lady Narborough,372480,372495,16
lady narborough,Lady Narborough,379997,380012,16
the gamekeeper,the gamekeeper,396655,396669,35
basil hallward,Basil Hallward,3610,3624,2
basil hallward,Basil Hallward,8075,8089,2
basil hallward,Basil Hallward,9465,9479,2
basil hallward,Basil Hallward,10698,10712,2
basil hallward,Basil Hallward,12102,12116,2
basil hallward,Basil Hallward,26452,26466,2
basil hallward,Basil Hallward,30954,30968,2
basil hallward,Basil Hallward,41470,41484,2
basil hallward,Basil Hallward,49133,49147,2
basil hallward,Basil Hallward,83427,83441,2
basil hallward,Basil Hallward,104613,104627,2
basil hallward,Basil Hallward,148172,148186,2
basil hallward,Basil Hallward,156375,156389,2
basil hallward,Basil Hallward,171356,171370,2
basil hallward,Basil Hallward,172974,172988,2
basil hallward,Basil Hallward,175885,175899,2
basil hallward,Basil Hallward,181017,181031,2
basil hallward,Basil Hallward,182429,182443,2
basil hallward,Basil Hallward,205338,205352,2
basil hallward,Basil Hallward,218474,218488,2
basil hallward,Basil Hallward,235555,235569,2
basil hallward,Basil Hallward,244868,244882,2
basil hallward,Basil Hallward,245966,245980,2
basil hallward,Basil Hallward,277934,277948,2
basil hallward,Basil Hallward,285725,285739,2
basil hallward,Basil Hallward,299816,299830,2
basil hallward,Basil Hallward,306734,306748,2
basil hallward,Basil Hallward,311202,311216,2
basil hallward,Basil Hallward,314314,314328,2
basil hallward,Basil Hallward,316382,316396,2
basil hallward,Basil Hallward,336839,336853,2
basil hallward,Basil Hallward,352655,352669,2
basil hallward,Basil Hallward,363032,363046,2
basil hallward,Basil Hallward,365655,365669,2
basil hallward,Basil Hallward,422482,422496,2
basil hallward,Basil Hallward,422620,422634,2
basil hallward,Basil Hallward,425705,425719,2
basil hallward,Basil Hallward,426944,426958,2
mrs. vandeleur,Mrs. Vandeleur,72337,72351,24
mrs. vandeleur,Mrs. Vandeleur,77728,77742,24
the policeman,the policeman,308955,308968,3
the policeman,The policeman,309318,309331,3
the policeman,the policeman,311736,311749,3
the policeman,the policeman,427977,427990,3
alan campbell,Alan Campbell,313089,313102,1
alan campbell,Alan Campbell,319745,319758,1
alan campbell,Alan Campbell,320118,320131,1
alan campbell,Alan Campbell,323859,323872,1
alan campbell,Alan Campbell,404280,404293,1
alan campbell,Alan Campbell,422320,422333,1
alan campbell,Alan Campbell,423012,423025,1
the gardener,the gardener,390716,390728,8
the gardener,the gardener,390977,390989,8
uncle george,Uncle George,61278,61290,18
uncle george,Uncle George,61672,61684,18
uncle george,Uncle George,62429,62441,18
uncle george,Uncle George,62593,62605,18
uncle george,Uncle George,65662,65674,18
uncle george,Uncle George,66285,66297,18
uncle george,Uncle George,66770,66782,18
uncle george,Uncle George,67302,67314,18
mr. hubbard,Mr. Hubbard,230855,230866,21
mr. hubbard,Mr. Hubbard,230982,230993,21
mr. hubbard,Mr. Hubbard,231761,231772,21
