source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,dorian gray,Dorian Gray,15,26,4
exp,exp_name,the artist,The artist,58,68,39
exp,exp_name,the artist,the artist,131,141,39
exp,exp_name,man,man,934,937,30
exp,exp_name,the artist,the artist,974,984,39
exp,exp_name,the artist,The artist,1272,1282,39
exp,exp_name,the artist,the artist,1335,1345,39
exp,exp_name,the artist,the artist,1392,1402,39
exp,exp_name,the artist,the artist,1890,1900,39
booknlp,COREF,357,himself,1919,1926,39
exp,exp_name,man,man,1945,1948,30
booknlp,COREF,357,he,2449,2451,39
booknlp,COREF,357,his,2479,2482,39
exp,exp_name,lord henry wotton,Lord Henry Wotton,2515,2532,19
booknlp,COREF,357,him,2932,2935,39
exp,exp_name,a young man,a young man,3485,3496,28
exp,exp_name,the artist,the artist,3590,3600,39
booknlp,COREF,357,himself,3601,3608,39
exp,exp_name,basil hallward,Basil Hallward,3610,3624,2
exp,exp_name,the painter,the painter,3762,3773,42
booknlp,COREF,389,he,3813,3815,42
booknlp,COREF,389,his,3845,3848,42
booknlp,COREF,389,his,3888,3891,42
booknlp,COREF,389,he,3936,3938,42
booknlp,COREF,389,his,3972,3975,42
booknlp,COREF,389,his,3989,3992,42
booknlp,COREF,389,he,4026,4028,42
booknlp,COREF,389,his,4055,4058,42
booknlp,COREF,389,he,4095,4097,42
booknlp,COREF,389,he,4105,4107,42
pdnc,qID,Q0-0,your,4129,4133,2
pdnc,qID,Q0-0,Basil,4145,4150,2
pdnc,qID,Q0-0,you,4167,4170,2
exp,exp_name,lord henry,Lord Henry,4193,4203,19
pdnc,qID,Q0-1,You,4216,4219,2
booknlp,COREF,120,I,4321,4322,19
booknlp,COREF,120,I,4383,4384,19
booknlp,COREF,120,I,4470,4471,19
booknlp,COREF,389,I,4570,4571,42
booknlp,COREF,389,I,4584,4585,42
booknlp,COREF,389,he,4611,4613,42
booknlp,COREF,389,his,4632,4635,42
booknlp,COREF,389,his,4680,4683,42
booknlp,COREF,389,him,4701,4704,42
booknlp,COREF,389,I,4721,4722,42
exp,exp_name,lord henry,Lord Henry,4749,4759,19
booknlp,COREF,120,his,4769,4772,19
booknlp,COREF,389,him,4796,4799,42
booknlp,COREF,120,his,4896,4899,19
pdnc,qID,Q2-0,My dear fellow,4955,4969,2
pdnc,qID,Q2-0,you,4981,4984,2
pdnc,qID,Q2-0,you,5012,5015,2
pdnc,qID,Q2-0,You,5030,5033,2
pdnc,qID,Q2-0,you,5092,5095,2
pdnc,qID,Q2-0,you,5106,5109,2
pdnc,qID,Q2-0,you,5156,5159,2
pdnc,qID,Q2-0,you,5300,5303,2
booknlp,COREF,389,I,5427,5428,42
pdnc,qID,Q3-0,you,5434,5437,19
booknlp,COREF,389,me,5452,5454,42
booknlp,COREF,389,he,5457,5459,42
booknlp,COREF,389,I,5474,5475,42
booknlp,COREF,389,I,5501,5502,42
