COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
34,45,46,PROP,PER,Berry Hamilton,244,258,4
34,72,72,PRON,PER,he,386,388,4
34,75,75,PRON,PER,his,400,403,4
35,78,78,PROP,PER,Fannie,410,416,7
34,88,88,PRON,PER,his,458,461,4
38,95,95,PROP,PER,Kit,488,491,16
34,109,109,PRON,PER,his,553,556,4
34,174,175,PROP,PER,Berry Hamilton,852,866,4
39,180,181,PROP,PER,Maurice Oakley,887,901,20
39,183,183,PRON,PER,He,903,905,20
39,238,238,PRON,PER,he,1190,1192,20
39,241,242,PROP,PER,Maurice Oakley,1201,1215,20
39,251,251,PRON,PER,he,1253,1255,20
39,254,254,PRON,PER,him,1270,1273,20
39,263,263,PRON,PER,his,1313,1316,20
39,266,266,PRON,PER,his,1332,1335,20
39,279,279,PROP,PER,Oakley,1397,1403,20
39,286,286,PRON,PER,he,1436,1438,20
39,290,290,PRON,PER,he,1450,1452,20
39,304,304,PRON,PER,he,1508,1510,20
34,314,314,PROP,PER,Berry,1554,1559,4
39,318,318,PRON,PER,my,1578,1580,20
34,326,326,PRON,PER,himself,1615,1622,4
39,329,329,PRON,PER,His,1626,1629,20
34,337,337,PROP,PER,Berry,1667,1672,4
35,344,344,PROP,PER,Fannie,1703,1709,7
35,350,350,PRON,PER,she,1731,1734,7
35,352,352,PRON,PER,her,1744,1747,7
34,368,368,PRON,PER,his,1816,1819,4
35,385,385,PROP,PER,Fannie,1899,1905,7
35,396,396,PROP,PER,Fannie,1951,1957,7
35,400,400,PRON,PER,her,1978,1981,7
34,405,405,PROP,PER,Berry,1998,2003,4
34,411,411,PRON,PER,his,2028,2031,4
34,478,478,PROP,PER,Berry,2362,2367,4
34,482,482,PRON,PER,his,2381,2384,4
35,486,486,PROP,PER,Fannie,2396,2402,7
35,491,491,PRON,PER,her,2421,2424,7
38,565,565,PROP,PER,Kitty,2803,2808,16
38,614,614,PROP,PER,Kitty,3041,3046,16
38,616,616,PRON,PER,her,3055,3058,16
38,626,626,PROP,PER,Kit,3105,3108,16
38,631,631,PRON,PER,her,3128,3131,16
38,636,636,PRON,PER,She,3147,3150,16
35,746,746,PROP,PER,Fannie,3599,3605,7
35,751,751,PRON,PER,she,3628,3631,7
35,761,761,PRON,PER,her,3664,3667,7
35,794,794,PRON,PER,I,3780,3781,7
35,821,821,PRON,PER,Her,3857,3860,7
35,833,833,PRON,PER,she,3920,3923,7
35,836,836,PRON,PER,She,3932,3935,7
34,846,846,PROP,PER,Berry,3973,3978,4
35,852,852,PRON,PER,she,4005,4008,7
38,855,855,PROP,PER,Kit,4022,4025,16
38,1022,1022,PROP,PER,Kit,4813,4816,16
39,1035,1036,PROP,PER,Maurice Oakley,4894,4908,20
39,1041,1041,PRON,PER,his,4930,4933,20
38,1068,1068,PROP,PER,Kit,5059,5062,16
34,1101,1101,PROP,PER,Berry,5223,5228,4
39,1112,1112,PRON,PER,he,5292,5294,20
38,1153,1153,PROP,PER,Kit,5480,5483,16
38,1158,1158,PRON,PER,herself,5505,5512,16
38,1160,1160,PRON,PER,she,5519,5522,16
34,1185,1185,PROP,PER,Berry,5633,5638,4
34,1187,1187,PROP,PER,Berry,5640,5645,4
34,1191,1191,PRON,PER,his,5662,5665,4
34,1200,1200,PRON,PER,he,5708,5710,4
39,1213,1214,PROP,PER,Maurice Oakley,5787,5801,20
34,1235,1235,PRON,PER,his,5911,5914,4
34,1253,1253,PRON,PER,his,6001,6004,4
34,1265,1265,PRON,PER,him,6062,6065,4
34,1272,1272,PRON,PER,his,6101,6104,4
34,1275,1275,PRON,PER,he,6112,6114,4
34,1281,1281,PRON,PER,his,6143,6146,4
34,1287,1287,PRON,PER,he,6176,6178,4
34,1308,1308,PRON,PER,himself,6279,6286,4
34,1313,1313,PRON,PER,he,6306,6308,4
34,1350,1350,PRON,PER,his,6489,6492,4
34,1379,1379,PRON,PER,He,6613,6615,4
34,1384,1384,PRON,PER,His,6631,6634,4
34,1387,1387,PRON,PER,his,6642,6645,4
34,1390,1390,PRON,PER,his,6658,6661,4
34,1397,1397,PRON,PER,he,6700,6702,4
34,1405,1405,PRON,PER,he,6736,6738,4
34,1408,1408,PRON,PER,his,6753,6756,4
34,1416,1416,PRON,PER,he,6798,6800,4
34,1424,1424,PRON,PER,His,6828,6831,4
39,1469,1469,PROP,PER,Maurice,7035,7042,20
39,1561,1561,PROP,PER,Maurice,7494,7501,20
39,1671,1672,PROP,PER,Maurice Oakley,8035,8049,20
39,1681,1681,PRON,PER,his,8086,8089,20
39,1942,1943,PROP,PER,Maurice Oakley,9356,9370,20
39,1945,1945,PRON,PER,his,9375,9378,20
39,1953,1953,PRON,PER,he,9415,9417,20
46,1957,1958,PROP,PER,Claire Lessing,9431,9445,5
39,1960,1960,PRON,PER,He,9447,9449,20
39,1991,1991,PRON,PER,him,9617,9620,20
39,2013,2013,PROP,PER,Maurice,9716,9723,20
39,2015,2015,PRON,PER,his,9728,9731,20
39,2018,2018,PRON,PER,him,9746,9749,20
46,2045,2046,PROP,PER,Claire Lessing,9866,9880,5
46,2202,2202,PROP,PER,Claire,10606,10612,5
46,2223,2223,PRON,PER,her,10722,10725,5
46,2248,2248,PRON,PER,her,10845,10848,5
46,2276,2276,PROP,PER,Claire,10963,10969,5
46,2299,2299,PROP,PER,Claire,11080,11086,5
46,2306,2306,PRON,PER,her,11114,11117,5
46,2602,2602,PROP,PER,Claire,12413,12419,5
46,2612,2612,PRON,PER,she,12460,12463,5
46,2641,2641,PRON,PER,her,12596,12599,5
46,2644,2644,PRON,PER,She,12608,12611,5
46,2680,2680,PRON,PER,her,12755,12758,5
46,2689,2689,PRON,PER,she,12813,12816,5
46,2691,2691,PRON,PER,herself,12826,12833,5
46,2709,2709,PRON,PER,her,12930,12933,5
47,2714,2715,PROP,PER,Miss Claire,12940,12951,5
46,2717,2717,PRON,PER,you,12953,12956,5
46,2750,2750,PRON,PER,you,13099,13102,5
48,2761,2761,PROP,PER,Esterton,13135,13143,14
275,2836,2839,NOM,PER,an old military man,13452,13471,0
48,2844,2844,PROP,PER,Esterton,13483,13491,14
47,2864,2864,PROP,PER,Claire,13573,13579,5
