exp_name,text,start_byte,end_byte,pdncID
an old military man,an old military man,13452,13471,0
minty's young man,Minty's young man,129557,129574,10
beachfield davis,Beachfield Davis,44153,44169,3
beachfield davis,Beachfield Davis,189376,189392,3
colonel saunders,Colonel Saunders,45762,45778,6
colonel saunders,Colonel Saunders,190667,190683,6
colonel saunders,Colonel Saunders,204975,204991,6
hattie sterling,Hattie Sterling,106100,106115,11
hattie sterling,Hattie Sterling,110722,110737,11
hattie sterling,Hattie Sterling,115804,115819,11
hattie sterling,Hattie Sterling,132376,132391,11
hattie sterling,Hattie Sterling,135788,135803,11
hattie sterling,Hattie Sterling,137436,137451,11
hattie sterling,Hattie Sterling,138588,138603,11
hattie sterling,Hattie Sterling,144534,144549,11
hattie sterling,Hattie Sterling,148027,148042,11
hattie sterling,Hattie Sterling,149643,149658,11
hattie sterling,Hattie Sterling,150578,150593,11
hattie sterling,Hattie Sterling,151488,151503,11
hattie sterling,Hattie Sterling,169805,169820,11
hattie sterling,Hattie Sterling,170928,170943,11
hattie sterling,Hattie Sterling,179758,179773,11
fannie hamilton,Fannie Hamilton,79662,79677,7
fannie hamilton,Fannie Hamilton,183899,183914,7
berry hamilton,Berry Hamilton,244,258,4
berry hamilton,Berry Hamilton,852,866,4
berry hamilton,Berry Hamilton,38049,38063,4
berry hamilton,Berry Hamilton,49256,49270,4
berry hamilton,Berry Hamilton,54224,54238,4
berry hamilton,Berry Hamilton,54691,54705,4
berry hamilton,Berry Hamilton,57815,57829,4
berry hamilton,Berry Hamilton,129358,129372,4
berry hamilton,Berry Hamilton,151920,151934,4
berry hamilton,Berry Hamilton,186439,186453,4
berry hamilton,Berry Hamilton,191177,191191,4
berry hamilton,Berry Hamilton,200413,200427,4
berry hamilton,Berry Hamilton,201436,201450,4
berry hamilton,Berry Hamilton,205842,205856,4
berry hamilton,Berry Hamilton,207254,207268,4
berry hamilton,Berry Hamilton,208345,208359,4
one of the men,one of the men,88318,88332,27
maurice oakley,Maurice Oakley,887,901,20
maurice oakley,Maurice Oakley,1201,1215,20
maurice oakley,Maurice Oakley,4894,4908,20
maurice oakley,Maurice Oakley,5787,5801,20
maurice oakley,Maurice Oakley,8035,8049,20
maurice oakley,Maurice Oakley,9356,9370,20
maurice oakley,Maurice Oakley,30695,30709,20
maurice oakley,Maurice Oakley,38236,38250,20
maurice oakley,Maurice Oakley,48372,48386,20
maurice oakley,Maurice Oakley,51341,51355,20
maurice oakley,Maurice Oakley,51961,51975,20
maurice oakley,Maurice Oakley,65071,65085,20
maurice oakley,Maurice Oakley,97800,97814,20
maurice oakley,Maurice Oakley,152112,152126,20
maurice oakley,Maurice Oakley,154545,154559,20
maurice oakley,Maurice Oakley,155299,155313,20
maurice oakley,Maurice Oakley,167449,167463,20
maurice oakley,Maurice Oakley,168128,168142,20
maurice oakley,Maurice Oakley,188409,188423,20
maurice oakley,Maurice Oakley,192217,192231,20
maurice oakley,Maurice Oakley,193135,193149,20
maurice oakley,Maurice Oakley,195231,195245,20
maurice oakley,Maurice Oakley,200805,200819,20
maurice oakley,Maurice Oakley,204086,204100,20
maurice oakley,Maurice Oakley,208031,208045,20
kitty hamilton,Kitty Hamilton,150746,150760,16
