source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,berry hamilton,Berry Hamilton,244,258,4
booknlp,COREF,34,he,386,388,4
booknlp,COREF,34,his,400,403,4
exp,exp_name,fannie,Fannie,410,416,7
booknlp,COREF,34,his,458,461,4
exp,exp_name,joe,Joe,480,483,15
exp,exp_name,kit,Kit,488,491,16
booknlp,COREF,34,his,553,556,4
exp,exp_name,berry hamilton,Berry Hamilton,852,866,4
exp,exp_name,maurice oakley,Maurice Oakley,887,901,20
booknlp,COREF,39,He,903,905,20
booknlp,COREF,39,he,1190,1192,20
exp,exp_name,maurice oakley,Maurice Oakley,1201,1215,20
booknlp,COREF,39,he,1253,1255,20
booknlp,COREF,39,him,1270,1273,20
booknlp,COREF,39,his,1313,1316,20
booknlp,COREF,39,his,1332,1335,20
exp,exp_name,oakley,Oakley,1397,1403,20
booknlp,COREF,39,he,1436,1438,20
booknlp,COREF,39,he,1450,1452,20
booknlp,COREF,39,he,1508,1510,20
pdnc,qID,Q0-0,Berry,1554,1559,4
booknlp,COREF,39,my,1578,1580,20
pdnc,qID,Q0-0,himself,1615,1622,4
booknlp,COREF,39,His,1626,1629,20
exp,exp_name,berry,Berry,1667,1672,4
exp,exp_name,fannie,Fannie,1703,1709,7
booknlp,COREF,35,she,1731,1734,7
booknlp,COREF,35,her,1744,1747,7
exp,exp_name,mrs. oakley,Mrs. Oakley,1767,1778,17
booknlp,COREF,34,his,1816,1819,4
exp,exp_name,fannie,Fannie,1899,1905,7
exp,exp_name,fannie,Fannie,1951,1957,7
booknlp,COREF,35,her,1978,1981,7
exp,exp_name,berry,Berry,1998,2003,4
booknlp,COREF,34,his,2028,2031,4
exp,exp_name,berry,Berry,2362,2367,4
booknlp,COREF,34,his,2381,2384,4
exp,exp_name,fannie,Fannie,2396,2402,7
booknlp,COREF,35,her,2421,2424,7
exp,exp_name,joe,Joe,2795,2798,15
exp,exp_name,kitty,Kitty,2803,2808,16
exp,exp_name,kitty,Kitty,3041,3046,16
booknlp,COREF,38,her,3055,3058,16
exp,exp_name,joe,Joe,3070,3073,15
exp,exp_name,kit,Kit,3105,3108,16
booknlp,COREF,38,her,3128,3131,16
booknlp,COREF,38,She,3147,3150,16
exp,exp_name,joe,Joe,3214,3217,15
pdnc,qID,Q2-0,dat boy,3574,3581,15
pdnc,qID,Q2-0,Be'y,3592,3596,4
exp,exp_name,fannie,Fannie,3599,3605,7
booknlp,COREF,35,she,3628,3631,7
booknlp,COREF,35,her,3664,3667,7
pdnc,qID,Q2-1,him ,3695,3699,15
booknlp,COREF,35,I,3780,3781,7
pdnc,qID,Q2-1,you,3816,3819,4
pdnc,qID,Q2-1,you,3825,3828,4
pdnc,qID,Q2-1,Joe,3850,3853,15
booknlp,COREF,35,Her,3857,3860,7
booknlp,COREF,35,she,3920,3923,7
booknlp,COREF,35,She,3932,3935,7
exp,exp_name,berry,Berry,3973,3978,4
booknlp,COREF,35,she,4005,4008,7
exp,exp_name,kit,Kit,4022,4025,16
