COREF,start_token,end_token,prop,cat,text,start_byte,end_byte,pdncID
200,1047,1047,PROP,PER,Frances,5168,5175,9
200,1379,1379,PROP,PER,Frances,6710,6717,9
200,1385,1385,PRON,PER,her,6734,6737,9
200,1389,1389,PRON,PER,her,6755,6758,9
200,1482,1482,PROP,PER,Frances,7113,7120,9
200,1508,1508,PROP,PER,Frances,7218,7225,9
200,1545,1545,PROP,PER,Frances,7343,7350,9
200,1558,1558,PRON,PER,she,7392,7395,9
202,1649,1649,PROP,PER,Jake,7682,7686,15
202,1693,1693,PRON,PER,You,7835,7838,15
202,1699,1699,PRON,PER,you,7857,7860,15
202,1701,1701,PROP,PER,Jake,7862,7866,15
200,1796,1796,PROP,PER,Frances,8332,8339,9
200,1907,1907,PROP,PER,Frances,8857,8864,9
200,1938,1938,PROP,PER,Frances,8990,8997,9
202,2320,2320,PROP,PER,Jake,10726,10730,15
202,2434,2434,PROP,PER,Jake,11149,11153,15
202,2444,2444,PRON,PER,you,11193,11196,15
202,2951,2951,PROP,PER,Jake,13095,13099,15
202,2964,2964,PRON,PER,you,13139,13142,15
202,2971,2971,PRON,PER,your,13173,13177,15
202,2977,2977,PRON,PER,you,13199,13202,15
202,2986,2986,PRON,PER,you,13237,13240,15
202,2988,2988,PRON,PER,you,13249,13252,15
202,2995,2995,PRON,PER,you,13283,13286,15
202,3014,3014,PRON,PER,you,13346,13349,15
202,3126,3126,PRON,PER,You,13747,13750,15
202,3132,3132,PRON,PER,yourself,13771,13779,15
202,3150,3150,PRON,PER,you,13849,13852,15
202,3165,3165,PRON,PER,you,13911,13914,15
202,3170,3170,PRON,PER,you,13934,13937,15
202,3189,3189,PRON,PER,you,14008,14011,15
202,3192,3192,PRON,PER,your,14025,14029,15
202,3224,3224,PRON,PER,yourself,14144,14152,15
202,3230,3230,PRON,PER,you,14177,14180,15
447,3859,3860,NOM,PER,The waiter,16761,16771,37
454,4103,4104,NOM,PER,the driver,17650,17660,46
205,4361,4361,PROP,PER,Georgette,18709,18718,10
202,4370,4370,PROP,PER,Jacob,18743,18748,15
205,4430,4430,PROP,PER,Georgette,18952,18961,10
205,4460,4460,PRON,PER,you,19063,19066,10
205,4471,4471,PRON,PER,you,19105,19108,10
205,4483,4483,PRON,PER,her,19148,19151,10
205,4545,4545,PROP,PER,Georgette,19417,19426,10
205,4562,4562,PRON,PER,she,19485,19488,10
205,4582,4582,PRON,PER,you,19553,19556,10
205,4592,4592,PRON,PER,you,19584,19587,10
205,4603,4603,PROP,PER,Georgette,19630,19639,10
205,4608,4608,PRON,PER,She,19653,19656,10
205,4613,4613,PRON,PER,her,19679,19682,10
205,4623,4623,PRON,PER,You,19719,19722,10
205,4631,4631,PRON,PER,she,19743,19746,10
205,4639,4639,PRON,PER,you,19767,19770,10
205,4653,4653,PRON,PER,you,19819,19822,10
202,4724,4724,PROP,PER,Barnes,20119,20125,15
202,4729,4729,PROP,PER,Barnes,20134,20140,15
202,4731,4732,PROP,PER,Jacob Barnes,20142,20154,15
200,4764,4765,PROP,PER,Frances Clyne,20269,20282,9
202,4824,4824,PROP,PER,Jake,20503,20507,15
200,4832,4832,PROP,PER,Frances,20527,20534,9
200,4841,4841,PRON,PER,She,20567,20570,9
202,4853,4853,PRON,PER,he,20610,20612,15
202,4870,4870,PROP,PER,Barnes,20674,20680,15
205,4928,4928,PROP,PER,Georgette,20894,20903,10
205,5004,5004,PROP,PER,Georgette,21163,21172,10
205,5006,5006,PRON,PER,her,21180,21183,10
205,5014,5014,PRON,PER,her,21210,21213,10
205,5017,5017,PRON,PER,she,21222,21225,10
205,5027,5027,PRON,PER,her,21266,21269,10
205,5035,5035,PRON,PER,her,21311,21314,10
205,5042,5042,PRON,PER,she,21329,21332,10
205,5073,5075,PROP,PER,Mademoiselle Georgette Leblanc,21458,21488,10
205,5081,5081,PROP,PER,Georgette,21499,21508,10
205,5096,5096,PRON,PER,you,21574,21577,10
205,5099,5100,PROP,PER,Georgette Leblanc,21589,21606,10
205,5115,5115,PROP,PER,Georgette,21659,21668,10
205,5120,5120,PRON,PER,you,21685,21688,10
205,5137,5137,PROP,PER,Georgette,21757,21766,10
205,5144,5144,PRON,PER,My,21781,21783,10
209,5147,5147,PROP,PER,Hobin,21792,21797,10
210,5152,5153,PROP,PER,Mr. Barnes,21806,21816,15
205,5155,5155,PRON,PER,you,21828,21831,10
205,5157,5159,PROP,PER,Mademoiselle Georgette Leblanc,21835,21865,10
210,5162,5162,PRON,PER,he,21874,21876,15
210,5189,5189,PRON,PER,He,21998,22000,15
205,5195,5195,PROP,PER,Georgette,22012,22021,10
205,5218,5218,PROP,PER,Georgette,22090,22099,10
205,5228,5228,PRON,PER,you,22122,22125,10
211,5232,5232,PROP,PER,Henry,22137,22142,28
210,5245,5246,PROP,PER,Mr. Barnes,22197,22207,15
210,5248,5248,PRON,PER,his,22219,22222,15
205,5252,5253,PROP,PER,Mademoiselle Leblanc,22234,22254,10
205,5256,5256,PRON,PER,her,22260,22263,10
209,5260,5260,PROP,PER,Hobin,22281,22286,10
209,5269,5270,PROP,PER,Mademoiselle Hobin,22311,22329,10
205,5272,5272,PRON,PER,I,22331,22332,10
205,5275,5275,PRON,PER,her,22342,22345,10
209,5286,5287,PROP,PER,Mademoiselle Hobin,22375,22393,10
200,5290,5291,PROP,PER,Frances Clyne,22396,22409,9
205,5317,5317,PRON,PER,you,22544,22547,10
205,5324,5324,PRON,PER,you,22571,22574,10
205,5329,5329,PRON,PER,You,22589,22592,10
205,5334,5334,PRON,PER,you,22608,22611,10
205,5341,5341,PRON,PER,she,22626,22629,10
205,5344,5344,PROP,PER,Georgette,22632,22641,10
205,5351,5351,PRON,PER,I,22660,22661,10
205,5356,5356,PRON,PER,her,22678,22681,10
205,5359,5359,PRON,PER,She,22685,22688,10
200,5362,5362,PROP,PER,Frances,22699,22706,9
200,5367,5367,PRON,PER,her,22725,22728,9
200,5371,5371,PRON,PER,her,22743,22746,9
200,5375,5375,PRON,PER,her,22762,22765,9
200,5379,5379,PRON,PER,her,22777,22780,9
200,5391,5391,PRON,PER,I,22829,22830,9
200,5407,5407,PRON,PER,I,22886,22887,9
200,5425,5425,PRON,PER,I,22967,22968,9
200,5437,5437,PRON,PER,you,23012,23015,9
200,5447,5447,PRON,PER,I,23049,23050,9
205,5471,5471,PROP,PER,Georgette,23139,23148,10
200,5483,5483,PROP,PER,Frances,23189,23196,9
205,5725,5725,PRON,PER,My,24293,24295,10
205,5729,5729,PROP,PER,Georgette,24302,24311,10
205,5750,5750,PRON,PER,my,24364,24366,10
205,5757,5757,PRON,PER,your,24384,24388,10
205,5772,5772,PROP,PER,Georgette,24434,24443,10
212,5920,5920,PROP,PER,Brett,25092,25097,6
212,5922,5922,PRON,PER,She,25099,25102,6
212,5927,5927,PRON,PER,she,25126,25129,6
205,5938,5938,PROP,PER,Georgette,25172,25181,10
213,5961,5961,PROP,PER,Lett,25263,25267,17
213,5963,5963,PRON,PER,You,25269,25272,17
213,5974,5974,PROP,PER,Lett,25311,25315,17
205,5981,5981,PRON,PER,you,25330,25333,10
205,5995,5995,PRON,PER,you,25381,25384,10
212,6005,6005,PROP,PER,Brett,25417,25422,6
205,6108,6108,PROP,PER,Georgette,25863,25872,10
200,6188,6188,PROP,PER,Frances,26213,26220,9
214,6201,6202,PROP,PER,Robert Prentiss,26291,26306,24
214,6402,6402,PROP,PER,Robert,27023,27029,24
214,6409,6409,PRON,PER,He,27043,27045,24
205,6462,6462,PROP,PER,Georgette,27244,27253,10
213,6476,6476,PROP,PER,Lett,27308,27312,17
205,6481,6481,PRON,PER,she,27322,27325,10
202,6503,6503,PROP,PER,Jake,27393,27397,15
212,6528,6528,PRON,PER,you,27476,27479,6
212,6530,6530,PRON,PER,You,27481,27484,6
212,6546,6546,PRON,PER,me,27554,27556,6
212,6552,6552,PROP,PER,Brett,27572,27577,6
212,6562,6562,PRON,PER,you,27607,27610,6
212,6569,6569,PROP,PER,Brett,27628,27633,6
212,6579,6579,PRON,PER,you,27656,27659,6
