source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,robert cohn,Robert Cohn,803,814,23
exp,exp_name,cohn,Cohn,959,963,23
exp,exp_name,cohn,Cohn,1560,1564,23
exp,exp_name,cohn,Cohn,1698,1702,23
exp,exp_name,robert cohn,Robert Cohn,2152,2163,23
exp,exp_name,cohn,Cohn,2482,2486,23
exp,exp_name,robert cohn,Robert Cohn,2535,2546,23
exp,exp_name,robert cohn,Robert Cohn,3734,3745,23
exp,exp_name,cohn,Cohn,4038,4042,23
exp,exp_name,cohn,Cohn,4513,4517,23
exp,exp_name,cohn,Cohn,4696,4700,23
exp,exp_name,cohn,Cohn,4848,4852,23
exp,exp_name,robert cohn,Robert Cohn,5021,5032,23
exp,exp_name,braddocks,Braddocks,5050,5059,13
exp,exp_name,braddocks,Braddocks,5072,5081,13
booknlp,COREF,200,Frances,5168,5175,9
exp,exp_name,robert cohn,Robert Cohn,5541,5552,23
exp,exp_name,cohn,Cohn,6183,6187,23
booknlp,COREF,200,Frances,6710,6717,9
booknlp,COREF,200,her,6734,6737,9
booknlp,COREF,200,her,6755,6758,9
exp,exp_name,cohn,Cohn,6863,6867,23
exp,exp_name,cohn,Cohn,6941,6945,23
pdnc,qID,Q3-1,you,7050,7053,15
pdnc,qID,Q3-1,you,7105,7108,15
pdnc,qID,Q3-1,Frances,7113,7120,9
pdnc,qID,Q4-0,Frances,7218,7225,9
pdnc,qID,Q7-0,You,7328,7331,15
pdnc,qID,Q7-0,Frances,7343,7350,9
pdnc,qID,Q7-0,you,7376,7379,15
pdnc,qID,Q7-0,she,7392,7395,9
pdnc,qID,Q12-0,you,7630,7633,23
pdnc,qID,Q13-0,Jake,7682,7686,15
pdnc,qID,Q14-0,You,7730,7733,23
pdnc,qID,Q14-0,your,7748,7752,23
pdnc,qID,Q16-0,You,7835,7838,15
pdnc,qID,Q16-0,you,7857,7860,15
pdnc,qID,Q16-0,Jake,7862,7866,15
pdnc,qID,Q18-0,you,7937,7940,15
exp,exp_name,robert cohn,Robert Cohn,8171,8182,23
booknlp,COREF,200,Frances,8332,8339,9
booknlp,COREF,200,Frances,8857,8864,9
booknlp,COREF,200,Frances,8990,8997,9
exp,exp_name,cohn,Cohn,9774,9778,23
exp,exp_name,cohn,Cohn,10287,10291,23
pdnc,qID,Q19-0,Robert,10634,10640,23
pdnc,qID,Q19-1,you,10656,10659,23
pdnc,qID,Q20-0,you,10693,10696,15
pdnc,qID,Q20-0,Jake,10726,10730,15
pdnc,qID,Q23-0,You,10815,10818,23
pdnc,qID,Q23-0,you,10851,10854,23
pdnc,qID,Q26-0,you,11045,11048,23
pdnc,qID,Q28-0,your,11091,11095,23
pdnc,qID,Q29-0,Jake,11149,11153,15
pdnc,qID,Q29-0,you,11193,11196,15
pdnc,qID,Q31-0,You,11240,11243,15
exp,exp_name,cohn,Cohn,11430,11434,23
pdnc,qID,Q34-1,You,11526,11529,23
pdnc,qID,Q34-1,you,11546,11549,23
pdnc,qID,Q34-1,You,11556,11559,23
pdnc,qID,Q40-0,you,12041,12044,23
pdnc,qID,Q42-0,you,12151,12154,23
pdnc,qID,Q44-0,you,12207,12210,23
pdnc,qID,Q47-0,you,12455,12458,15
exp,exp_name,cohn,Cohn,12962,12966,23
pdnc,qID,Q51-0,Jake,13095,13099,15
pdnc,qID,Q51-1,you,13139,13142,15
pdnc,qID,Q51-1,your,13173,13177,15
pdnc,qID,Q51-1,you,13199,13202,15
pdnc,qID,Q51-1,you,13237,13240,15
pdnc,qID,Q51-1,you,13249,13252,15
pdnc,qID,Q51-1,you,13283,13286,15
pdnc,qID,Q53-0,you,13346,13349,15
pdnc,qID,Q54-0,Robert,13425,13431,23
pdnc,qID,Q57-0,You,13524,13527,15
pdnc,qID,Q60-0,Robert,13664,13670,23
pdnc,qID,Q60-0,You,13747,13750,23
booknlp,COREF,202,yourself,13771,13779,15
pdnc,qID,Q61-0,you,13849,13852,15
pdnc,qID,Q62-0,you,13911,13914,23
pdnc,qID,Q62-0,you,13934,13937,23
pdnc,qID,Q62-0,you,14008,14011,23
pdnc,qID,Q62-0,your,14025,14029,23
booknlp,COREF,202,yourself,14144,14152,15
pdnc,qID,Q64-0,you,14177,14180,23
pdnc,qID,Q69-0,you,14749,14752,15
pdnc,qID,Q71-0,you,14820,14823,15
