qID,menText,start_byte,end_byte,matches,pdncID
Q0-0,us,6453,6455,"[15, 23]",-1
Q2-1,We,6815,6817,"[15, 23]",-1
Q3-1,you,7050,7053,[15],15
Q3-1,you,7105,7108,[15],15
Q3-1,Frances,7113,7120,[9],9
Q4-0,Frances,7218,7225,[9],9
Q7-0,You,7328,7331,[15],15
Q7-0,Frances,7343,7350,[9],9
Q7-0,you,7376,7379,[15],15
Q7-0,she,7392,7395,[9],9
Q8-1,'s,7430,7432,"[15, 23]",-1
Q10-0,we,7510,7512,"[15, 23]",-1
Q12-0,you,7630,7633,[23],23
Q13-0,Jake,7682,7686,[15],15
Q14-0,You,7730,7733,[23],23
Q14-0,your,7748,7752,[23],23
Q16-0,You,7835,7838,[15],15
Q16-0,you,7857,7860,[15],15
Q16-0,Jake,7862,7866,[15],15
Q18-0,you,7937,7940,[15],15
Q19-0,Robert,10634,10640,[23],23
Q19-1,you,10656,10659,[23],23
Q20-0,you,10693,10696,[15],15
Q20-0,Jake,10726,10730,[15],15
Q23-0,You,10815,10818,[23],23
Q23-0,you,10851,10854,[23],23
Q26-0,you,11045,11048,[23],23
Q28-0,your,11091,11095,[23],23
Q29-0,Jake,11149,11153,[15],15
Q29-0,you,11193,11196,[15],15
Q31-0,You,11240,11243,[15],15
Q31-0,us,11299,11301,"[15, 23]",-1
Q34-1,You,11526,11529,[23],23
Q34-1,you,11546,11549,[23],23
Q34-1,You,11556,11559,[23],23
Q39-0,We,12006,12008,"[15, 23]",-1
Q40-0,you,12041,12044,[23],23
Q42-0,you,12151,12154,[23],23
Q44-0,you,12207,12210,[23],23
Q47-0,you,12455,12458,[15],15
Q51-0,Jake,13095,13099,[15],15
Q51-1,you,13139,13142,[15],15
Q51-1,your,13173,13177,[15],15
Q51-1,you,13199,13202,[15],15
Q51-1,you,13237,13240,[15],15
Q51-1,you,13249,13252,[15],15
Q51-1,you,13283,13286,[15],15
Q53-0,you,13346,13349,[15],15
Q53-0,we,13392,13394,"[15, 23]",-1
Q54-0,Robert,13425,13431,[23],23
Q57-0,You,13524,13527,[15],15
Q60-0,Robert,13664,13670,[23],23
Q60-0,You,13747,13750,[23],23
Q61-0,you,13849,13852,[15],15
Q62-0,you,13911,13914,[23],23
Q62-0,you,13934,13937,[23],23
Q62-0,you,14008,14011,[23],23
Q62-0,your,14025,14029,[23],23
Q64-0,you,14177,14180,[23],23
Q69-0,you,14749,14752,[15],15
Q71-0,you,14820,14823,[15],15
Q78-0,you,15728,15731,[23],23
Q82-0,you,16799,16802,[10],10
Q88-0,you,17011,17014,[10],10
Q89-0,You,17033,17036,[15],15
Q90-0,you,17071,17074,[10],10
Q92-0,you,17107,17110,[10],10
Q94-0,You,17157,17160,[10],10
Q96-1,you,17425,17428,[10],10
Q101-0,You,18364,18367,[15],15
Q104-0,You,18533,18536,[15],15
Q104-0,you,18565,18568,[15],15
Q105-0,You,18581,18584,[10],10
Q107-0,you,18694,18697,[10],10
Q108-0,you,18728,18731,[15],15
Q112-0,You,18796,18799,[15],15
Q116-1,you,19063,19066,[10],10
Q116-1,you,19105,19108,[10],10
Q118-0,you,19553,19556,[10],10
Q119-0,you,19584,19587,[15],15
Q120-0,You,19719,19722,[15],15
Q120-1,you,19767,19770,[15],15
Q120-1,We,19780,19782,"[15, 10]",-1
Q120-1,you,19819,19822,[15],15
Q123-0,Barnes,20119,20125,[15],15
Q123-0,Barnes,20134,20140,[15],15
Q123-0,Jacob Barnes,20142,20154,[15],15
Q125-0,You,20333,20336,[15],15
Q125-0,you,20368,20371,[15],15
Q127-0,you,20433,20436,[15],15
Q128-0,You,20488,20491,[15],15
Q128-0,Jake,20503,20507,[15],15
Q128-0,We,20509,20511,"[21, 13, 9, 23]",-1
Q129-0,he,20610,20612,[15],15
Q129-1,us,20670,20672,"[13, 21, 9, 23]",-1
Q129-1,Barnes,20674,20680,[15],15
Q131-0,your friend,20705,20716,[10],10
Q132-0,we,20816,20818,"[15, 10]",-1
Q133-0,your,20879,20883,[15],15
Q139-1,We,21117,21119,"[15, 10]",-1
Q139-1,the others,21149,21159,"[9, 13, 21, 23]",-1
Q141-0,my fianc e,21446,21456,[10],10
Q141-0,Mademoiselle Georgette Leblanc,21458,21488,[10],10
Q142-0,you,21574,21577,[10],10
Q144-0,you,21685,21688,[10],10
Q146-0,Mr. Barnes,21806,21816,[15],15
Q146-0,you,21828,21831,[10],10
Q146-0,he,21874,21876,[15],15
Q147-0,He,21998,22000,[15],15
Q150-0,you,22122,22125,[13],13
Q150-0,Henry,22137,22142,[13],13
Q150-1,Mr. Barnes,22197,22207,[15],15
Q150-1,her,22260,22263,[10],10
Q150-1,Hobin,22281,22286,[10],10
Q151-0,darling,22302,22309,[10],10
Q151-0,Mademoiselle Hobin,22311,22329,[10],10
Q151-0,her,22342,22345,[10],10
Q152-0,Mademoiselle Hobin,22375,22393,[10],10
Q152-1,you,22544,22547,[10],10
Q152-1,you,22571,22574,[10],10
Q152-1,You,22589,22592,[10],10
Q152-1,you,22608,22611,[10],10
Q153-0,she,22626,22629,[9],9
Q153-1,her,22678,22681,[9],9
Q157-0,you,23012,23015,[10],10
Q160-0,You,23164,23167,[15],15
Q165-0,your,24384,24388,[10],10
Q171-0,You,26609,26612,[15],15
Q173-0,you,26671,26674,[15],15
Q176-1,you,26841,26844,[24],24
Q177-0,you,26868,26871,[15],15
Q178-0,Robert,27023,27029,[24],24
Q178-1,He,27043,27045,[24],24
Q178-1,you,27068,27071,[15],15
Q180-0,Your fianc e,27158,27170,[10],10
Q181-0,she,27322,27325,[10],10
Q183-0,Jake,27393,27397,[15],15
Q184-0,you,27476,27479,[15],15
Q184-0,You,27481,27484,[15],15
Q186-0,you chaps,27607,27616,"[15, 23]",-1
Q187-0,Brett,27628,27633,[6],6
Q187-1,you,27656,27659,[6],6
Q189-0,you,28269,28272,[6],6
Q189-0,Brett,28282,28287,[6],6
Q190-0,they,28307,28311,[17],17
Q190-0,you,28324,28327,[15],15
Q190-0,my dear,28329,28336,[15],15
Q190-0,you,28348,28351,[15],15
Q190-0,it,28356,28358,[10],10
Q192-0,you,28394,28397,[15],15
Q194-0,you,28478,28481,[15],15
Q194-0,Jake,28483,28487,[15],15
Q194-0,Frances,28526,28533,[9],9
Q196-0,You,28640,28643,[6],6
Q198-0,you,28815,28818,[6],6
Q198-0,Lady Brett,28839,28849,[6],6
Q199-0,Jacob,28908,28913,[15],15
Q199-1,You,28930,28933,[15],15
Q199-1,Jake,28964,28968,[15],15
Q201-0,We,29008,29010,"[15, 6]",-1
Q201-1,We,29035,29037,"[15, 6]",-1
Q202-0,You,29164,29167,[6],6
Q203-0,Poor chap,29232,29241,[23],23
Q204-1,you,29307,29310,[6],6
Q209-0,you,29596,29599,[15],15
Q209-0,her,29609,29612,[10],10
Q210-0,her,29646,29649,[10],10
Q211-0,You,29654,29657,[15],15
Q215-0,'s,29730,29732,[15],15
Q215-0,She,29750,29753,[10],10
Q216-0,you,29782,29785,[6],6
Q217-0,you,29810,29813,[15],15
Q218-0,the girl I came with,30153,30173,[10],10
Q218-0,you,30192,30195,[35],35
Q218-0,her,30201,30204,[10],10
Q218-1,she,30224,30227,[10],10
Q218-1,you,30271,30274,[35],35
Q219-0,Monsieur,30311,30319,[15],15
Q219-1,You,30342,30345,[15],15
Q221-0,Cohn,30490,30494,[23],23
Q222-0,You,30551,30554,[15],15
Q222-0,your,30572,30576,[15],15
Q225-0,We,30631,30633,"[15, 6]",-1
Q226-0,we,30692,30694,"[15, 6]",-1
Q227-0,You,30752,30755,[6],6
Q229-1,we,30894,30896,"[15, 6]",-1
Q232-0,darling,31389,31396,[15],15
Q236-0,Brett,32645,32650,[6],6
Q237-0,You,32655,32658,[15],15
Q237-0,You,32668,32671,[15],15
Q237-0,darling,32717,32724,[15],15
Q238-0,you,32754,32757,[6],6
Q239-0,you,32775,32778,[15],15
Q239-0,you,32812,32815,[15],15
Q240-0,we,32850,32852,"[15, 6]",-1
Q241-0,we,33359,33361,"[15, 6]",-1
Q243-0,We,33456,33458,"[15, 6]",-1
Q244-0,darling,33503,33510,[15],15
Q244-0,you,33526,33529,[15],15
Q244-0,you,33549,33552,[15],15
Q246-0,we,33618,33620,"[15, 6]",-1
Q246-0,we,33644,33646,"[15, 6]",-1
Q249-0,you,34032,34035,[15],15
Q250-0,'s,34055,34057,"[15, 6]",-1
Q254-0,you,34681,34684,[15],15
Q259-0,you,34905,34908,[6],6
Q261-0,you,35182,35185,[6],6
Q264-0,you,35538,35541,[15],15
Q264-0,you,35568,35571,[15],15
Q266-0,we,35641,35643,"[15, 6]",-1
Q268-0,you chaps,35994,36003,"[42, 15]",-1
Q269-0,Brett,36053,36058,[6],6
Q269-0,Brett,36060,36065,[6],6
Q269-1,you,36210,36213,[6],6
Q270-0,Zizi,36225,36229,[42],42
Q271-0,you,36253,36256,[6],6
Q271-0,a friend,36265,36273,[7],7
Q272-0,Count Mippipopolous,36308,36327,[7],7
Q272-0,my friend Lady Ashley,36334,36355,[6],6
Q273-0,you,36367,36370,[7],7
Q274-0,your Ladyship,36401,36414,[6],6
Q276-1,you,36606,36609,[6],6
Q278-0,Barnes,36734,36740,[15],15
Q278-1,That girl of yours,36767,36785,[10],10
Q280-0,the patronne,36838,36850,[35],35
Q280-0,She,36883,36886,[10],10
Q280-0,her,36925,36928,[10],10
Q280-0,the patronne,36954,36966,[35],35
Q282-0,her,37052,37055,[10],10
Q283-1,Cohn,37184,37188,[23],23
Q284-0,He,37193,37195,[23],23
Q284-0,Frances,37211,37218,[9],9
Q285-0,Poor chap,37245,37254,[23],23
Q285-0,he,37256,37258,[23],23
Q286-0,he,37309,37311,[23],23
Q288-0,you,37462,37465,[15],15
Q288-0,us,37492,37494,"[7, 6]",-1
Q288-0,sir,37496,37499,[15],15
Q292-0,you,37636,37639,[15],15
Q295-0,you,37714,37717,[6],6
Q300-1,you,37907,37910,[15],15
Q303-0,sir,37978,37981,[15],15
Q304-0,You,41486,41489,[15],15
Q304-1,your,41575,41579,[15],15
Q305-0,you,42933,42936,[15],15
Q305-0,Monsieur Barnes,42938,42953,[15],15
Q307-0,She,43115,43118,[6],6
Q307-0,she,43124,43127,[6],6
Q307-0,you,43137,43140,[15],15
Q307-0,her,43152,43155,[6],6
Q307-0,you,43156,43159,[15],15
Q308-0,you,43309,43312,[29],29
Q308-0,her,43318,43321,[6],6
Q309-1,you,43447,43450,[15],15
Q309-1,you,43472,43475,[15],15
Q310-0,you,43489,43492,[6],6
Q312-1,darling,43681,43688,[15],15
Q312-1,the count,43700,43709,[7],7
Q312-1,He,43711,43713,[7],7
Q313-0,he,43741,43743,[7],7
Q314-1,The count,43854,43863,[7],7
Q314-1,He,43877,43879,[7],7
Q315-0,he,43905,43907,[7],7
Q316-0,you,43951,43954,[15],15
Q316-0,he,44040,44042,[7],7
Q317-0,he,44132,44134,[7],7
Q317-0,He,44242,44244,[7],7
Q318-0,You,44369,44372,[15],15
Q318-0,you,44388,44391,[15],15
Q318-0,He,44393,44395,[7],7
Q318-0,Zizi,44413,44417,[42],42
Q318-0,you,44419,44422,[15],15
Q319-0,Zizi,44435,44439,[42],42
Q320-0,you,44490,44493,[15],15
Q320-0,the count,44531,44540,[7],7
Q321-0,you,44555,44558,[6],6
Q321-0,him,44567,44570,[7],7
Q322-0,He,44591,44593,[7],7
Q322-0,him,44675,44678,[7],7
Q324-0,him,44756,44759,[7],7
Q324-0,He,44778,44780,[7],7
Q324-0,him,44813,44816,[7],7
Q325-0,you,44879,44882,[15],15
Q326-1,he,45026,45028,[7],7
Q326-1,him,45060,45063,[7],7
Q326-1,him,45070,45073,[7],7
Q326-1,him,45126,45129,[7],7
Q326-1,him,45174,45177,[7],7
Q326-1,him,45241,45244,[7],7
Q327-1,him,45364,45367,[7],7
Q327-1,you,45387,45390,[15],15
Q327-1,He,45425,45427,[7],7
Q327-1,us,45467,45469,"[7, 6]",-1
Q331-0,you,45577,45580,[15],15
Q331-0,He,45636,45638,[7],7
Q332-0,The count,45676,45685,[7],7
Q333-0,you,45845,45848,[15],15
Q334-1,you,45913,45916,[6],6
Q337-0,him,46000,46003,[7],7
Q339-0,darling,46062,46069,[15],15
Q341-0,You,46099,46102,[15],15
Q342-1,darling,46199,46206,[15],15
Q343-0,You,46211,46214,[6],6
Q345-0,you,49196,49199,[15],15
Q345-0,Jake,49211,49215,[15],15
Q345-1,you,49243,49246,[15],15
Q349-1,You,49447,49450,[15],15
Q353-1,you,49796,49799,"[15, 40]",-1
Q357-0,old man,50156,50163,[15],15
Q359-0,You,50298,50301,[15],15
Q359-0,Jake,50312,50316,[15],15
Q362-0,you,50453,50456,[15],15
Q363-0,You,50487,50490,[16],16
Q364-0,Jake,50576,50580,[15],15
Q366-0,we,50672,50674,"[15, 23]",-1
Q368-0,you,50733,50736,[23],23
Q378-0,you,51306,51309,[23],23
Q379-0,Frances,51324,51331,[9],9
Q380-1,her,51357,51360,[9],9
Q380-1,you,51366,51369,[23],23
Q381-0,She,51374,51377,[9],9
Q381-0,she,51425,51428,[9],9
Q381-0,She,51436,51439,[9],9
Q382-0,her,51478,51481,[9],9
Q383-0,her,51541,51544,[9],9
Q384-0,you,51622,51625,[15],15
Q384-0,Lady Brett Ashley,51637,51654,[6],6
Q384-0,Jake,51656,51660,[15],15
Q385-0,Her,51665,51668,[6],6
Q385-0,Lady Ashley,51676,51687,[6],6
Q385-0,Brett,51689,51694,[6],6
Q385-0,her,51697,51700,[6],6
Q385-0,She,51711,51714,[6],6
Q385-1,She,51740,51743,[6],6
Q385-1,she,51768,51771,[6],6
Q385-1,Mike Campbell,51789,51802,[19],19
Q385-1,He,51804,51806,[19],19
Q386-0,She,51839,51842,[6],6
Q387-0,she,51885,51888,[6],6
Q388-0,her,51925,51928,[6],6
Q388-0,She,51950,51953,[6],6
Q389-0,She,51999,52002,[6],6
Q391-0,You,52102,52105,[23],23
Q391-0,you,52122,52125,[23],23
