,novel,# entities,# iden_entities,# iden_clusters,# pure_clusters,# pure_entities,entity_rec,clus_purity,clus_quality,v_score
0,ARoomWithAView,63,52,60,57,48,0.8253968253968254,0.95,1.1875,1.0555555555555556
1,AgeOfInnocence,55,46,48,39,31,0.8363636363636363,0.8125,1.2580645161290323,0.9873417721518988
2,AliceInWonderland,51,34,34,33,32,0.6666666666666666,0.9705882352941176,1.03125,1.0
3,AnneOfGreenGables,113,98,102,94,87,0.8672566371681416,0.9215686274509803,1.0804597701149425,0.9947089947089948
4,DaisyMiller,10,10,13,13,10,1.0,1.0,1.3,1.1304347826086958
5,Emma,18,16,17,12,11,0.8888888888888888,0.7058823529411765,1.0909090909090908,0.8571428571428572
6,HandfulOfDust,104,85,94,84,73,0.8173076923076923,0.8936170212765957,1.1506849315068493,1.0059880239520957
7,HowardsEnd,55,52,64,57,45,0.9454545454545454,0.890625,1.2666666666666666,1.0458715596330275
8,NightAndDay,50,47,53,41,35,0.94,0.7735849056603774,1.1714285714285715,0.931818181818182
9,NorthangerAbbey,20,18,12,9,9,0.9,0.75,1.0,0.8571428571428572
10,Persuasion,35,30,29,23,18,0.8571428571428571,0.7931034482758621,1.2777777777777777,0.978723404255319
11,PrideAndPrejudice,74,60,62,53,48,0.8108108108108109,0.8548387096774194,1.1041666666666667,0.9636363636363636
12,SenseAndSensibility,24,20,25,14,12,0.8333333333333334,0.56,1.1666666666666667,0.7567567567567568
13,SignOfFour,35,33,32,23,22,0.9428571428571428,0.71875,1.0454545454545454,0.851851851851852
14,TheAwakening,22,18,17,15,14,0.8181818181818182,0.8823529411764706,1.0714285714285714,0.9677419354838711
15,TheGambler,27,19,22,20,17,0.7037037037037037,0.9090909090909091,1.1764705882352942,1.0256410256410255
16,TheInvisibleMan,31,29,40,38,28,0.9354838709677419,0.95,1.3571428571428572,1.1176470588235294
17,TheManWhoWasThursday,30,24,35,34,22,0.8,0.9714285714285714,1.5454545454545454,1.1929824561403506
18,TheMysteriousAffairAtStyles,30,24,25,22,21,0.8,0.88,1.0476190476190477,0.9565217391304348
19,ThePictureOfDorianGray,43,38,43,42,37,0.8837209302325582,0.9767441860465116,1.135135135135135,1.0499999999999998
20,TheSportOfTheGods,37,30,34,32,26,0.8108108108108109,0.9411764705882353,1.2307692307692308,1.0666666666666667
21,TheSunAlsoRises,51,44,51,49,40,0.8627450980392157,0.9607843137254902,1.225,1.0769230769230769
