chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,2,12,36,3,38,121,21424
2,122,21428,21471,123,21473,255,48845
3,256,48849,48896,257,48898,328,67977
4,329,67981,68007,330,68009,402,79739
5,403,79743,79788,404,79790,522,102031
6,523,102035,102266,524,102268,614,122437
7,615,122441,122465,616,122467,743,142583
8,744,142586,142608,745,142610,890,168680
9,891,168684,168717,892,168719,1058,192410
10,1059,192414,192445,1060,192447,1140,208476
11,1141,208480,208526,1142,208528,1180,218230
12,1181,218234,218262,1182,218264,1314,234927
13,1315,234931,234987,1316,234989,1410,249279
14,1411,249283,249341,1412,249343,1473,260367
15,1474,260369,260400,1475,260402,1620,284618
16,1621,284622,284650,1622,284652,1715,299150
17,1716,299154,299182,1717,299184,1770,309963
18,1771,309967,310044,1772,310046,1931,338518
19,1932,338522,338555,1933,338557,2108,366088
20,2109,366092,366130,2110,366132,2165,374679
