source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
pdnc,qID,Q0-0,The Signora,39,50,52,3,1,M_0
exp,exp_name,miss bartlett,Miss Bartlett,83,96,6,3,1,M_1
pdnc,qID,Q0-1,She,119,122,52,3,1,M_2
pdnc,qID,Q0-1,Lucy,266,270,4,3,1,M_3
exp,exp_name,lucy,Lucy,305,309,4,4,1,M_4
exp,exp_name,the signora,the Signora,344,355,52,4,1,M_5
booknlp,COREF,116,She,399,402,4,4,1,M_6
exp,exp_name,rev. cuthbert eager,Rev. Cuthbert Eager,725,744,49,4,1,M_7
pdnc,qID,Q2-0,Charlotte,809,818,6,4,1,M_8
pdnc,qID,Q2-0,you,826,829,6,4,1,M_9
booknlp,COREF,116,I,869,870,4,4,1,M_10
booknlp,COREF,116,I,939,940,4,4,1,M_11
exp,exp_name,miss bartlett,Miss Bartlett,1027,1040,6,5,1,M_12
booknlp,COREF,115,her,1054,1057,6,5,1,M_13
booknlp,COREF,116,I,1066,1067,4,6,1,M_14
exp,exp_name,the arno,the Arno,1083,1091,31,6,1,M_15
pdnc,qID,Q4-0,the Signora,1103,1114,52,6,1,M_16
pdnc,qID,Q4-0,her,1130,1133,52,6,1,M_17
exp,exp_name,the arno,the Arno,1164,1172,31,6,1,M_18
pdnc,qID,Q4-0,The Signora,1174,1185,52,6,1,M_19
booknlp,COREF,115,me,1259,1261,6,7,1,M_20
exp,exp_name,miss bartlett,Miss Bartlett,1264,1277,6,7,1,M_21
pdnc,qID,Q5-1,you,1317,1320,4,7,1,M_22
exp,exp_name,lucy,Lucy,1346,1350,4,8,1,M_23
booknlp,COREF,116,she,1361,1364,4,8,1,M_24
pdnc,qID,Q6-0,Charlotte,1384,1393,6,8,1,M_25
pdnc,qID,Q6-0,you,1395,1398,6,8,1,M_26
booknlp,COREF,116,me,1413,1415,4,8,1,M_27
pdnc,qID,Q6-0,you,1428,1431,6,8,1,M_28
exp,exp_name,the arno,the Arno,1447,1455,31,8,1,M_29
booknlp,COREF,116,I,1462,1463,4,8,1,M_30
pdnc,qID,Q7-0,You,1515,1518,4,8,1,M_31
exp,exp_name,miss bartlett,Miss Bartlett,1539,1552,6,8,1,M_32
exp,exp_name,lucy's mother,Lucy's mother,1601,1614,61,8,1,M_33
booknlp,COREF,115,she,1647,1650,6,8,1,M_34
pdnc,qID,Q8-0,You,1691,1694,6,9,1,M_35
booknlp,COREF,115,I,1712,1713,6,10,1,M_36
booknlp,COREF,116,Your,1728,1732,4,10,1,M_37
booknlp,COREF,115,me,1760,1762,6,10,1,M_38
pdnc,qID,Q9-0,Lucy,1764,1768,4,10,1,M_39
booknlp,COREF,116,me,1797,1799,4,11,1,M_40
exp,exp_name,miss bartlett,Miss Bartlett,2189,2202,6,14,1,M_41
booknlp,COREF,115,She,2366,2369,6,14,1,M_42
booknlp,COREF,115,she,2419,2422,6,14,1,M_43
exp,exp_name,miss bartlett,Miss Bartlett,2627,2640,6,14,1,M_44
booknlp,COREF,115,her,2671,2674,6,14,1,M_45
booknlp,COREF,115,her,2730,2733,6,14,1,M_46
booknlp,COREF,115,she,2823,2826,6,14,1,M_47
booknlp,COREF,115,her,2871,2874,6,14,1,M_48
pdnc,qID,Q13-0, my son,2948,2955,2,15,1,M_49
pdnc,qID,Q13-1,his,2977,2980,2,15,1,M_50
pdnc,qID,Q13-1,George,2988,2994,2,15,1,M_51
pdnc,qID,Q13-1,He,2996,2998,2,15,1,M_52
exp,exp_name,miss bartlett,Miss Bartlett,3028,3041,6,16,1,M_53
exp,exp_name,lucy,Lucy,3054,3058,4,16,1,M_54
booknlp,COREF,115,you,3123,3126,6,17,1,M_55
booknlp,COREF,115,yours,3162,3167,6,17,1,M_56
exp,exp_name,miss bartlett,Miss Bartlett,3271,3284,6,18,1,M_57
booknlp,COREF,115,her,3303,3306,6,18,1,M_58
pdnc,qID,Q16-0,you,3352,3355,11,18,1,M_59
pdnc,qID,Q18-0,you,3509,3512,11,20,1,M_60
pdnc,qID,Q19-0,You,3517,3520,11,21,1,M_61
exp,exp_name,lucy,Lucy,3557,3561,4,21,1,M_62
booknlp,COREF,116,Her,3563,3566,4,21,1,M_63
booknlp,COREF,116,her,3590,3593,4,21,1,M_64
pdnc,qID,Q21-0,George,3748,3754,2,22,1,M_65
exp,exp_name,the son,the son,3824,3831,35,23,1,M_66
exp,exp_name,lucy,Lucy,3951,3955,4,24,1,M_67
booknlp,COREF,116,she,3981,3984,4,24,1,M_68
booknlp,COREF,116,she,4049,4052,4,24,1,M_69
booknlp,COREF,116,she,4254,4257,4,24,1,M_70
exp,exp_name,miss bartlett,Miss Bartlett,4308,4321,6,24,1,M_71
booknlp,COREF,115,she,4351,4354,6,24,1,M_72
booknlp,COREF,115,she,4395,4398,6,24,1,M_73
exp,exp_name,miss bartlett,Miss Bartlett,4439,4452,6,25,1,M_74
booknlp,COREF,115,Her,4592,4595,6,25,1,M_75
booknlp,COREF,115,She,4628,4631,6,25,1,M_76
booknlp,COREF,116,your,4874,4878,4,26,1,M_77
pdnc,qID,Q23-0,dear,4887,4891,4,26,1,M_78
booknlp,COREF,115,she,4894,4897,6,26,1,M_79
exp,exp_name,lucy,Lucy,4906,4910,4,26,1,M_80
booknlp,COREF,115,she,4954,4957,6,26,1,M_81
exp,exp_name,lucy,Lucy,4978,4982,4,27,1,M_82
booknlp,COREF,116,your,5041,5045,4,28,1,M_83
pdnc,qID,Q24-0,dear,5054,5058,4,28,1,M_84
booknlp,COREF,116,she,5133,5136,4,29,1,M_85
booknlp,COREF,116,she,5171,5174,4,29,1,M_86
exp,exp_name,lucy,Lucy,5373,5377,4,29,1,M_87
booknlp,COREF,116,her,5429,5432,4,29,1,M_88
pdnc,qID,Q25-0,Mr. Beebe,5470,5479,10,29,1,M_89
pdnc,qID,Q25-0,Charlotte,5511,5520,6,29,1,M_90
exp,exp_name,miss bartlett,Miss Bartlett,5573,5586,6,30,1,M_91
pdnc,qID,Q26-0,you,5623,5626,10,31,1,M_92
pdnc,qID,Q26-0,Mr. Beebe,5631,5640,10,31,1,M_93
booknlp,COREF,115,I,5642,5643,6,31,1,M_94
pdnc,qID,Q26-0,you,5656,5659,10,31,1,M_95
pdnc,qID,Q26-0,Miss Bartlett,5679,5692,6,31,1,M_96
pdnc,qID,Q26-0,Miss Honeychurch,5697,5713,4,31,1,M_97
pdnc,qID,Q26-0,you,5748,5751,10,31,1,M_98
pdnc,qID,Q26-0,the Vicar of St. Peter's,5759,5783,59,31,1,M_99
exp,exp_name,the clergyman,The clergyman,5809,5822,32,32,1,M_100
exp,exp_name,lucy,Lucy,6021,6025,4,32,1,M_101
booknlp,COREF,332,I,6029,6030,19,33,1,M_102
pdnc,qID,Q27-0,you,6049,6052,10,33,1,M_103
exp,exp_name,the girl,the girl,6060,6068,19,33,1,M_104
booknlp,COREF,332,her,6160,6163,19,33,1,M_105
pdnc,qID,Q28-0,Miss Honeychurch,6277,6293,4,34,1,M_106
exp,exp_name,miss bartlett,Miss Bartlett,6338,6351,6,34,1,M_107
pdnc,qID,Q28-1,she,6378,6381,4,34,1,M_108
booknlp,COREF,115,me,6399,6401,6,34,1,M_109
pdnc,qID,Q28-1,you,6437,6440,10,34,1,M_110
booknlp,COREF,332,I,6481,6482,19,35,1,M_111
pdnc,qID,Q29-0,mother,6494,6500,17,35,1,M_112
booknlp,COREF,332,I,6536,6537,19,35,1,M_113
pdnc,qID,Q29-0,you,6543,6546,10,35,1,M_114
booknlp,COREF,332,I,6571,6572,19,35,1,M_115
booknlp,COREF,332,I,6597,6598,19,35,1,M_116
pdnc,qID,Q29-0,Mr. Beebe,6606,6615,10,35,1,M_117
exp,exp_name,the clergyman,the clergyman,6644,6657,32,36,1,M_118
booknlp,COREF,335,I,6660,6661,32,36,1,M_119
booknlp,COREF,335,I,6712,6713,32,36,1,M_120
booknlp,COREF,332,I,6789,6790,19,37,1,M_121
exp,exp_name,mr. beebe,Mr. Beebe,6835,6844,10,37,1,M_122
booknlp,COREF,332,me,6874,6876,19,38,1,M_123
