qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"The Signora had no business to do it,","[39, 76]",Miss Bartlett,['Lucy'],Explicit,said Miss Bartlett,['The Signora'],"[[39, 50]]",[['Signora Bertolini']],X,0,major,ARoomWithAView,3,3,1,1,6,39,76
Q0-1,"no business at all. She promised us south rooms with a view close together, instead of which here are north rooms, looking into a courtyard, and a long way apart. Oh, Lucy!","[99, 271]",Miss Bartlett,['Lucy'],Explicit,said Miss Bartlett,"['She', 'us', 'Lucy']","[[119, 122], [132, 134], [266, 270]]","[['Signora Bertolini'], ['Miss Bartlett', 'Lucy'], ['Lucy']]",X,0,major,ARoomWithAView,3,3,1,1,6,99,271
Q1-0,"And a Cockney, besides!","[275, 298]",Lucy,['Miss Bartlett'],Explicit,said Lucy,[],[],[],X,1,major,ARoomWithAView,4,4,1,1,4,275,298
Q1-1,It might be London.,"[378, 397]",Lucy,['Miss Bartlett'],Explicit,said Lucy,[],[],[],X,1,major,ARoomWithAView,4,4,1,1,4,378,397
Q2-0,"Charlotte, don't you feel, too, that we might be in London? I can hardly believe that all kinds of other things are just outside. I suppose it is one's being so tired.","[809, 976]",Lucy,['Miss Bartlett'],Implicit,,"['Charlotte', 'you', 'we']","[[809, 818], [826, 829], [846, 848]]","[['Miss Bartlett'], ['Miss Bartlett'], ['Miss Bartlett', 'Lucy']]",X,2,major,ARoomWithAView,4,4,1,1,4,809,976
Q3-0,"This meat has surely been used for soup,","[980, 1020]",Miss Bartlett,['Lucy'],Explicit,said Miss Bartlett,[],[],[],X,3,major,ARoomWithAView,5,5,1,1,6,980,1020
Q4-0,"I want so to see the Arno. The rooms the Signora promised us in her letter would have looked over the Arno. The Signora had no business to do it at all. Oh, it is a shame!","[1066, 1237]",Lucy,['Miss Bartlett'],Implicit,,"['the Signora', 'us', 'her', 'The Signora']","[[1103, 1114], [1124, 1126], [1130, 1133], [1174, 1185]]","[['Signora Bertolini'], ['Miss Bartlett', 'Lucy'], ['Signora Bertolini'], ['Signora Bertolini']]",X,4,major,ARoomWithAView,6,6,1,1,4,1066,1237
Q5-0,"Any nook does for me,","[1241, 1262]",Miss Bartlett,['Lucy'],Explicit,Miss Bartlett continued,[],[],[],X,5,major,ARoomWithAView,7,7,1,1,6,1241,1262
Q5-1,but it does seem hard that you shouldn't have a view.,"[1290, 1343]",Miss Bartlett,['Lucy'],Explicit,Miss Bartlett continued,['you'],"[[1317, 1320]]",[['Lucy']],X,5,major,ARoomWithAView,7,7,1,1,6,1290,1343
Q6-0,"Charlotte, you mustn't spoil me: of course, you must look over the Arno, too. I meant that. The first vacant room in the front--","[1384, 1512]",Lucy,['Miss Bartlett'],Implicit,,"['Charlotte', 'you', 'you']","[[1384, 1393], [1395, 1398], [1428, 1431]]","[['Miss Bartlett'], ['Miss Bartlett'], ['Miss Bartlett']]",X,6,major,ARoomWithAView,8,8,1,1,4,1384,1512
