,chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
0,1,5,52,54,6,56,24,14121
1,2,25,14125,14128,26,14130,54,25595
2,3,55,25599,25603,56,25605,92,38442
3,4,93,38446,38449,94,38451,113,48451
4,5,114,48455,48457,115,48459,171,65046
5,6,172,65050,65053,173,65055,194,80194
6,7,195,80198,80202,196,80204,238,91595
7,8,239,91599,91604,240,91606,279,105477
8,9,280,105481,105484,281,105486,356,127664
9,10,357,127668,127670,358,127672,450,145086
10,11,451,145090,145093,452,145095,504,159592
11,12,505,159596,159600,506,159602,606,180216
12,13,607,180220,180225,608,180227,636,192527
13,14,637,192529,192533,638,192535,670,205803
14,15,671,205807,205810,672,205812,733,224700
15,16,734,224704,224708,735,224710,793,242210
16,17,794,242214,242219,795,242221,879,260085
17,18,880,260089,260095,881,260097,1014,281035
18,19,1015,281039,281043,1016,281045,1065,301678
19,20,1066,301682,301685,1067,301687,1122,323553
20,21,1123,323557,323561,1124,323563,1179,348574
21,22,1180,348578,348583,1181,348585,1222,364287
22,23,1223,364291,364297,1224,364299,1306,381623
23,24,1307,381625,381630,1308,381632,1357,391053
24,25,1358,391057,391061,1359,391063,1431,407349
25,26,1432,407353,407358,1433,407360,1508,427688
26,27,1509,427692,427698,1510,427700,1538,441095
27,28,1539,441099,441106,1540,441108,1576,453720
28,29,1577,453724,453729,1578,453731,1648,466378
29,30,1649,466382,466386,1650,466388,1713,483851
30,31,1714,483855,483860,1715,483862,1830,504925
31,32,1831,504929,504935,1832,504937,1911,521047
32,33,1912,521051,521058,1913,521060,2015,549022
33,34,2016,549026,549032,2017,549034,2110,580146
