source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,The darling,6693,6704,15,16,1
pdnc,qID,Q0-1,She,6807,6810,15,16,1
pdnc,qID,Q7-0,He,20923,20925,6,37,1
pdnc,qID,Q7-0,he,20950,20952,6,37,1
pdnc,qID,Q8-0,him,21099,21102,1,38,1
pdnc,qID,Q8-1,you,21264,21267,48,38,1
pdnc,qID,Q8-1,he,21283,21285,1,38,1
pdnc,qID,Q8-1,he,21304,21306,1,38,1
pdnc,qID,Q10-0,she,21462,21465,6,40,1
pdnc,qID,Q10-0,his,21478,21481,1,40,1
pdnc,qID,Q12-0,her,21577,21580,6,42,1
pdnc,qID,Q12-0,Lovell Mingott,21635,21649,30,42,1
pdnc,qID,Q12-0,her,21666,21669,6,42,1
pdnc,qID,Q12-0,He,21672,21674,1,42,1
pdnc,qID,Q12-0,she,21680,21683,6,42,1
pdnc,qID,Q12-0,her,21746,21749,6,42,1
pdnc,qID,Q13-1,she,21818,21821,6,43,1
pdnc,qID,Q14-0,Granny's,22181,22189,36,46,1
pdnc,qID,Q14-1,the old lady,22234,22246,36,46,1
pdnc,qID,Q14-1,she,22260,22263,36,46,1
pdnc,qID,Q16-0,you,24045,24048,35,50,1
pdnc,qID,Q16-0,Mamma,24062,24067,26,50,1
pdnc,qID,Q17-0,my cousin,24238,24247,6,50,1
pdnc,qID,Q17-0,yourself,24248,24256,35,50,1
pdnc,qID,Q17-0,you,24265,24268,35,50,1
pdnc,qID,Q17-0,She,24277,24280,6,50,1
pdnc,qID,Q17-0,she,24286,24289,6,50,1
pdnc,qID,Q17-0,you,24308,24311,35,50,1
pdnc,qID,Q17-0,you,24317,24320,35,50,1
pdnc,qID,Q18-0,We,24552,24554,35,52,1
pdnc,qID,Q18-0,we,24588,24590,35,52,1
pdnc,qID,Q18-1,You,24637,24640,35,52,1
pdnc,qID,Q25-0,You,35516,35519,35,76,1
pdnc,qID,Q25-0,you,35533,35536,35,76,1
pdnc,qID,Q31-0,you,36036,36039,15,80,1
pdnc,qID,Q32-0,you,36490,36493,35,81,1
pdnc,qID,Q32-0,cousin Ellen,36502,36514,6,81,1
pdnc,qID,Q35-0,You,36888,36891,35,84,1
pdnc,qID,Q35-0,her,36946,36949,6,84,1
pdnc,qID,Q36-0,you,36991,36994,15,85,1
pdnc,qID,Q37-0,you,37135,37138,35,86,1
pdnc,qID,Q37-0,you,37167,37170,35,86,1
pdnc,qID,Q37-0,her,37179,37182,6,86,1
pdnc,qID,Q37-0,she,37256,37259,6,86,1
pdnc,qID,Q37-0,her,37288,37291,6,86,1
pdnc,qID,Q37-0,You,37294,37297,35,86,1
pdnc,qID,Q37-0,she,37303,37306,6,86,1
pdnc,qID,Q37-0,she,37332,37335,6,86,1
pdnc,qID,Q37-0,she,37361,37364,6,86,1
pdnc,qID,Q38-0,her,37465,37468,6,87,1
pdnc,qID,Q39-0,her,37558,37561,6,87,1
pdnc,qID,Q39-0,she,37572,37575,6,87,1
pdnc,qID,Q40-0,she,37608,37611,6,88,1
pdnc,qID,Q42-0,She,37757,37760,6,90,1
pdnc,qID,Q42-1,she,37835,37838,6,90,1
pdnc,qID,Q42-1,her,37847,37850,6,90,1
pdnc,qID,Q42-1,her,37861,37864,6,90,1
pdnc,qID,Q42-1,my aunt,37942,37949,30,90,1
pdnc,qID,Q42-1,her,37962,37965,6,90,1
pdnc,qID,Q44-1,her cousin,38276,38286,6,92,1
pdnc,qID,Q44-1,her,38325,38328,6,92,1
pdnc,qID,Q44-1,Ellen Olenska,38414,38427,6,92,1
pdnc,qID,Q45-0,you,43681,43684,26,101,1
pdnc,qID,Q46-1,Mr. Archer,44026,44036,35,101,1
pdnc,qID,Q47-0,You,44220,44223,26,101,1
pdnc,qID,Q47-0,May's,44236,44241,15,101,1
pdnc,qID,Q47-0,he,44257,44259,35,101,1
pdnc,qID,Q47-0,my child,44277,44285,35,101,1
pdnc,qID,Q47-0,Her,44288,44291,15,101,1
pdnc,qID,Q48-0,you,44581,44584,36,102,1
pdnc,qID,Q48-0,Mrs. Mingott,44600,44612,36,102,1
pdnc,qID,Q49-0,the young man,44882,44895,35,103,1
pdnc,qID,Q49-0,his,44901,44904,35,103,1
pdnc,qID,Q50-0,Beaufort,45506,45514,10,105,1
pdnc,qID,Q51-1,Countess Ellen,45737,45751,6,106,1
pdnc,qID,Q51-1,she,45775,45778,6,106,1
pdnc,qID,Q51-1,her,45820,45823,6,106,1
pdnc,qID,Q52-0,Ellen,45873,45878,6,107,1
pdnc,qID,Q52-1,Beaufort,45957,45965,10,107,1
pdnc,qID,Q52-1,Struthers,46111,46120,53,107,1
pdnc,qID,Q53-0,Regina,46774,46780,27,108,1
pdnc,qID,Q53-0,her,46788,46791,53,108,1
pdnc,qID,Q53-0,she,46865,46868,53,108,1
pdnc,qID,Q54-0,May ,47119,47123,15,110,1
pdnc,qID,Q54-1,She,47180,47183,15,110,1
pdnc,qID,Q54-1,her,47254,47257,15,110,1
pdnc,qID,Q54-1,we,47282,47284,35,110,1
pdnc,qID,Q57-0,she,48111,48114,6,113,1
pdnc,qID,Q57-0,his,48173,48176,10,113,1
pdnc,qID,Q57-0,she,48234,48237,6,113,1
pdnc,qID,Q58-0,her,53951,53954,53,126,1
pdnc,qID,Q58-1,Regina,53993,53999,27,126,1
pdnc,qID,Q58-1,he,54017,54019,10,126,1
pdnc,qID,Q58-1,her,54026,54029,27,126,1
pdnc,qID,Q58-1,BEAUFORT,54035,54043,10,126,1
pdnc,qID,Q59-0,Beaufort,54072,54080,10,127,1
pdnc,qID,Q60-0,Beaufort,54378,54386,10,128,1
