source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,christine nilsson,Christine Nilsson,101,118,0,6,1,M_0
exp,exp_name,madame nilsson,Madame Nilsson,866,880,0,8,1,M_1
booknlp,COREF,213,her,1032,1035,0,8,1,M_2
exp,exp_name,newland archer,Newland Archer,1788,1802,35,9,1,M_3
exp,exp_name,mrs. archer,Mrs. Archer,2192,2203,25,9,1,M_4
exp,exp_name,newland archer,Newland Archer,2434,2448,35,9,1,M_5
exp,exp_name,newland archer,Newland Archer,3582,3596,35,11,1,M_6
exp,exp_name,newland archer,Newland Archer,4219,4233,35,13,1,M_7
exp,exp_name,mrs. manson mingott,Mrs. Manson Mingott,4404,4423,36,13,1,M_8
exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,4686,4705,30,13,1,M_9
exp,exp_name,mrs. welland,Mrs. Welland,4725,4737,26,13,1,M_10
exp,exp_name,madame nilsson,Madame Nilsson,4871,4885,0,13,1,M_11
exp,exp_name,newland archer,Newland Archer,5290,5304,35,13,1,M_12
exp,exp_name,madame nilsson,Madame Nilsson,6241,6255,0,15,1,M_13
booknlp,COREF,213,her,6404,6407,0,15,1,M_14
exp,exp_name,newland archer,Newland Archer,6715,6729,35,16,1,M_15
exp,exp_name,may welland,May Welland,7299,7310,15,16,1,M_16
exp,exp_name,newland archer,Newland Archer,7623,7637,35,17,1,M_17
exp,exp_name,newland archer,Newland Archer,8878,8892,35,18,1,M_18
booknlp,COREF,224,my,9429,9431,11,19,1,M_19
exp,exp_name,lawrence lefferts,Lawrence Lefferts,9449,9466,11,19,1,M_20
booknlp,COREF,224,his,9476,9479,11,19,1,M_21
exp,exp_name,lawrence lefferts,Lawrence Lefferts,9523,9540,11,19,1,M_22
booknlp,COREF,224,He,9607,9609,11,19,1,M_23
booknlp,COREF,224,his,9754,9757,11,19,1,M_24
booknlp,COREF,224,him,9813,9816,11,19,1,M_25
booknlp,COREF,224,his,9836,9839,11,19,1,M_26
booknlp,COREF,224,his,9871,9874,11,19,1,M_27
booknlp,COREF,224,his,9952,9955,11,19,1,M_28
booknlp,COREF,224,him,10189,10192,11,19,1,M_29
exp,exp_name,lefferts,Lefferts,10304,10312,11,19,1,M_30
booknlp,COREF,224,his,10377,10380,11,19,1,M_31
booknlp,COREF,224,My,10418,10420,11,20,1,M_32
booknlp,COREF,224,he,10427,10429,11,20,1,M_33
booknlp,COREF,224,his,10456,10459,11,20,1,M_34
exp,exp_name,sillerton jackson,Sillerton Jackson,10473,10490,22,20,1,M_35
exp,exp_name,newland archer,Newland Archer,10493,10507,35,21,1,M_36
exp,exp_name,lefferts,Lefferts,10519,10527,11,21,1,M_37
booknlp,COREF,224,his,10561,10564,11,21,1,M_38
exp,exp_name,old mrs. mingott,old Mrs. Mingott,10631,10647,36,21,1,M_39
exp,exp_name,may welland,May Welland,10715,10726,15,21,1,M_40
exp,exp_name,mrs. welland,Mrs. Welland,11229,11241,26,21,1,M_41
exp,exp_name,mrs. welland,Mrs. Welland,11387,11399,26,21,1,M_42
exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,11417,11436,30,21,1,M_43
exp,exp_name,mr. sillerton jackson,Mr. Sillerton Jackson,11481,11502,22,22,1,M_44
exp,exp_name,lawrence lefferts,Lawrence Lefferts,11535,11552,11,22,1,M_45
exp,exp_name,mr. jackson,Mr. Jackson,11652,11663,22,22,1,M_46
exp,exp_name,lawrence lefferts,Lawrence Lefferts,11705,11722,11,22,1,M_47
booknlp,COREF,225,He,11739,11741,22,22,1,M_48
exp,exp_name,manson,Manson,12096,12102,43,22,1,M_49
exp,exp_name,medora manson,Medora Manson,12553,12566,43,22,1,M_50
booknlp,COREF,230,her,12604,12607,43,22,1,M_51
exp,exp_name,mr. sillerton jackson,Mr. Sillerton Jackson,12677,12698,22,23,1,M_52
booknlp,COREF,225,his,12715,12718,22,23,1,M_53
booknlp,COREF,225,his,12752,12755,22,23,1,M_54
booknlp,COREF,225,his,12949,12952,22,23,1,M_55
booknlp,COREF,225,his,13002,13005,22,23,1,M_56
booknlp,COREF,225,he,13019,13021,22,23,1,M_57
exp,exp_name,julius beaufort,Julius Beaufort,13082,13097,10,23,1,M_58
exp,exp_name,mrs. manson mingott,Mrs. Manson Mingott,13171,13190,36,23,1,M_59
exp,exp_name,mr. jackson,Mr. Jackson,13524,13535,22,23,1,M_60
booknlp,COREF,225,his,13563,13566,22,23,1,M_61
booknlp,COREF,225,his,13595,13598,22,23,1,M_62
booknlp,COREF,225,he,13642,13644,22,23,1,M_63
booknlp,COREF,225,his,13666,13669,22,23,1,M_64
booknlp,COREF,225,his,13706,13709,22,23,1,M_65
booknlp,COREF,225,he,13744,13746,22,23,1,M_66
exp,exp_name,mr. sillerton jackson,Mr. Sillerton Jackson,13822,13843,22,24,1,M_67
exp,exp_name,lawrence lefferts,Lawrence Lefferts,13856,13873,11,24,1,M_68
booknlp,COREF,225,he,13903,13905,22,24,1,M_69
booknlp,COREF,225,his,13954,13957,22,24,1,M_70
booknlp,COREF,225,he,14008,14010,22,24,1,M_71
booknlp,COREF,225,his,14016,14019,22,24,1,M_72
booknlp,COREF,225,I,14069,14070,22,24,1,M_73
exp,exp_name,newland archer,Newland Archer,14130,14144,35,26,2,M_74
booknlp,COREF,225,his,14354,14357,22,27,2,M_75
booknlp,COREF,225,he,14425,14427,22,27,2,M_76
booknlp,COREF,225,him,14573,14576,22,27,2,M_77
booknlp,COREF,225,him,14775,14778,22,28,2,M_78
exp,exp_name,archer,Archer,14796,14802,35,28,2,M_79
exp,exp_name,may welland,May Welland,14835,14846,15,28,2,M_80
exp,exp_name,ellen olenska,Ellen Olenska,14910,14923,6,28,2,M_81
exp,exp_name,archer,Archer,14927,14933,35,28,2,M_82
booknlp,COREF,225,he,15006,15008,22,28,2,M_83
exp,exp_name,miss welland,Miss Welland,15029,15041,15,28,2,M_84
exp,exp_name,ellen,Ellen,15093,15098,6,28,2,M_85
exp,exp_name,old mrs. mingott,old Mrs. Mingott,15121,15137,36,28,2,M_86
exp,exp_name,archer,Archer,15140,15146,35,28,2,M_87
booknlp,COREF,225,he,15212,15214,22,28,2,M_88
booknlp,COREF,225,he,15408,15410,22,28,2,M_89
booknlp,COREF,225,his,15425,15428,22,28,2,M_90
exp,exp_name,olenska,Olenska,15559,15566,6,28,2,M_91
booknlp,COREF,235,her,15625,15628,6,28,2,M_92
booknlp,COREF,225,him,15728,15731,22,28,2,M_93
exp,exp_name,newland archer,Newland Archer,15733,15747,35,28,2,M_94
booknlp,COREF,225,he,15794,15796,22,28,2,M_95
exp,exp_name,sillerton jackson,Sillerton Jackson,15809,15826,22,28,2,M_96
booknlp,COREF,225,he,15833,15835,22,28,2,M_97
booknlp,COREF,225,He,15888,15890,22,29,2,M_98
exp,exp_name,mrs. manson mingott,Mrs. Manson Mingott,15972,15991,36,29,2,M_99
booknlp,COREF,225,He,16033,16035,22,29,2,M_100
exp,exp_name,catherine,Catherine,16119,16128,52,29,2,M_101
exp,exp_name,mingott,Mingott,16306,16313,36,29,2,M_102
exp,exp_name,old mrs. mingott,Old Mrs. Mingott,16648,16664,36,30,2,M_103
exp,exp_name,mr. sillerton jackson,Mr. Sillerton Jackson,17396,17417,22,31,2,M_104
exp,exp_name,old catherine,old Catherine,17435,17448,36,31,2,M_105
exp,exp_name,manson mingott,Manson Mingott,17825,17839,36,31,2,M_106
exp,exp_name,sillerton jackson,Sillerton Jackson,18310,18327,22,31,2,M_107
booknlp,COREF,225,he,18422,18424,22,31,2,M_108
exp,exp_name,catherine,Catherine,18478,18487,52,31,2,M_109
exp,exp_name,mrs. manson mingott,Mrs. Manson Mingott,18490,18509,36,32,2,M_110
exp,exp_name,mrs. archer,Mrs. Archer,18940,18951,25,32,2,M_111
exp,exp_name,mingott,Mingott,19066,19073,36,32,2,M_112
exp,exp_name,newland archer,Newland Archer,19481,19495,35,33,2,M_113
exp,exp_name,mingott,Mingott,19567,19574,36,33,2,M_114
exp,exp_name,mrs. welland,Mrs. Welland,19593,19605,26,33,2,M_115
exp,exp_name,old catherine,old Catherine,19701,19714,36,33,2,M_116
exp,exp_name,may welland,May Welland,19762,19773,15,33,2,M_117
booknlp,COREF,226,her,19858,19861,15,33,2,M_118
booknlp,COREF,226,she,19940,19943,15,33,2,M_119
booknlp,COREF,226,her,19962,19965,15,33,2,M_120
booknlp,COREF,226,her,19985,19988,15,33,2,M_121
booknlp,COREF,226,she,20032,20035,15,33,2,M_122
exp,exp_name,newland archer,Newland Archer,20213,20227,35,34,2,M_123
exp,exp_name,madame olenska,Madame Olenska,20362,20376,6,34,2,M_124
booknlp,COREF,241,her,20456,20459,6,34,2,M_125
booknlp,COREF,241,her,20491,20494,6,34,2,M_126
booknlp,COREF,241,her,20540,20543,6,34,2,M_127
exp,exp_name,may welland,May Welland,20607,20618,15,34,2,M_128
pdnc,qID,Q7-0,He,20923,20925,6,37,2,M_129
pdnc,qID,Q7-0,he,20950,20952,6,37,2,M_130
exp,exp_name,thorley,Thorley,20994,21001,48,37,2,M_131
booknlp,COREF,224,I,21092,21093,11,38,2,M_132
pdnc,qID,Q8-0,him,21099,21102,1,38,2,M_133
exp,exp_name,lawrence lefferts,Lawrence Lefferts,21118,21135,11,38,2,M_134
booknlp,COREF,224,I,21254,21255,11,38,2,M_135
pdnc,qID,Q8-1,you,21264,21267,48,38,2,M_136
pdnc,qID,Q8-1,he,21283,21285,1,38,2,M_137
pdnc,qID,Q8-1,he,21304,21306,1,38,2,M_138
booknlp,COREF,224,I,21357,21358,11,38,2,M_139
pdnc,qID,Q10-0,she,21462,21465,6,40,2,M_140
pdnc,qID,Q10-0,his,21478,21481,1,40,2,M_141
booknlp,COREF,224,I,21566,21567,11,42,2,M_142
pdnc,qID,Q12-0,her,21577,21580,6,42,2,M_143
booknlp,COREF,224,I,21625,21626,11,42,2,M_144
pdnc,qID,Q12-0,Lovell Mingott,21635,21649,30,42,2,M_145
pdnc,qID,Q12-0,her,21666,21669,6,42,2,M_146
pdnc,qID,Q12-0,He,21672,21674,1,42,2,M_147
pdnc,qID,Q12-0,she,21680,21683,6,42,2,M_148
pdnc,qID,Q12-0,her,21746,21749,6,42,2,M_149
exp,exp_name,young thorley,young Thorley,21793,21806,48,43,2,M_150
pdnc,qID,Q13-1,she,21818,21821,6,43,2,M_151
exp,exp_name,miss welland,Miss Welland,22064,22076,15,45,2,M_152
exp,exp_name,archer,Archer,22138,22144,35,45,2,M_153
pdnc,qID,Q14-0,Granny's,22181,22189,36,46,2,M_154
exp,exp_name,lefferts,Lefferts,22209,22217,11,46,2,M_155
pdnc,qID,Q14-1,the old lady,22234,22246,36,46,2,M_156
pdnc,qID,Q14-1,she,22260,22263,36,46,2,M_157
exp,exp_name,newland archer,Newland Archer,22357,22371,35,47,2,M_158
exp,exp_name,mrs. mingott,Mrs. Mingott,22455,22467,36,47,2,M_159
exp,exp_name,may welland,May Welland,22526,22537,15,47,2,M_160
booknlp,COREF,226,her,22550,22553,15,47,2,M_161
booknlp,COREF,226,her,22584,22587,15,47,2,M_162
booknlp,COREF,226,her,22631,22634,15,47,2,M_163
exp,exp_name,miss welland,Miss Welland,22823,22835,15,48,2,M_164
booknlp,COREF,234,she,22855,22858,15,48,2,M_165
booknlp,COREF,234,her,22978,22981,15,48,2,M_166
booknlp,COREF,234,she,23116,23119,15,48,2,M_167
booknlp,COREF,234,Her,23241,23244,15,48,2,M_168
exp,exp_name,mamma,Mamma,23270,23275,26,48,2,M_169
booknlp,COREF,234,me,23284,23286,15,48,2,M_170
booknlp,COREF,234,you,23344,23347,15,48,2,M_171
exp,exp_name,olenska,Olenska,23389,23396,6,49,2,M_172
exp,exp_name,mrs. welland,Mrs. Welland,23399,23411,26,49,2,M_173
booknlp,COREF,234,she,23424,23427,15,49,2,M_174
booknlp,COREF,234,her,23445,23448,15,49,2,M_175
exp,exp_name,archer,Archer,23469,23475,35,49,2,M_176
exp,exp_name,ellen olenska,Ellen Olenska,23563,23576,6,49,2,M_177
booknlp,COREF,233,her,23582,23585,6,49,2,M_178
booknlp,COREF,233,her,23609,23612,6,49,2,M_179
booknlp,COREF,233,her,23646,23649,6,49,2,M_180
exp,exp_name,mrs. lovell mingott,Mrs. Lovell Mingott,23694,23713,30,49,2,M_181
exp,exp_name,madame olenska,Madame Olenska,23833,23847,6,49,2,M_182
exp,exp_name,miss welland,Miss Welland,23956,23968,15,50,2,M_183
booknlp,COREF,234,she,24003,24006,15,50,2,M_184
pdnc,qID,Q16-0,you,24045,24048,35,50,2,M_185
pdnc,qID,Q16-0,Mamma,24062,24067,26,50,2,M_186
booknlp,COREF,234,she,24070,24073,15,50,2,M_187
booknlp,COREF,234,she,24189,24192,15,50,2,M_188
pdnc,qID,Q17-0,my cousin,24238,24247,6,50,2,M_189
pdnc,qID,Q17-0,yourself,24248,24256,35,50,2,M_190
booknlp,COREF,234,I,24258,24259,15,50,2,M_191
pdnc,qID,Q17-0,you,24265,24268,35,50,2,M_192
pdnc,qID,Q17-0,She,24277,24280,6,50,2,M_193
pdnc,qID,Q17-0,she,24286,24289,6,50,2,M_194
