paraID,startByte,endByte,chapID
1,0,31,1
2,34,336,1
3,338,627,1
4,629,1368,1
5,1370,1479,1
6,1481,1700,1
7,1702,2417,1
8,2419,2678,1
9,2680,3389,1
10,3391,4078,1
11,4080,5060,1
12,5062,5640,1
13,5642,5870,1
14,5872,6430,1
15,6432,7151,1
16,7153,7576,1
17,7578,8279,1
18,8281,8542,1
19,8544,8587,1
20,8589,8629,1
21,8631,8674,1
22,8677,8756,1
23,8758,9358,1
24,9360,9876,1
25,9878,10510,1
26,10512,10919,1
27,10921,11367,1
28,11369,11425,1
29,11427,11470,1
30,11472,11512,1
31,11514,11557,1
32,11562,11591,2
33,11594,12302,2
34,12304,12509,2
35,12511,12599,2
36,12601,12637,2
37,12639,12822,2
38,12824,13022,2
39,13024,13344,2
40,13346,14043,2
41,14045,14665,2
42,14667,15615,2
43,15617,15737,2
44,15739,15865,2
45,15868,16617,2
46,16619,17175,2
47,17177,17648,2
48,17650,18300,2
49,18302,18551,2
50,18553,18859,2
51,18861,19517,2
52,19519,20078,2
53,20080,20184,2
54,20186,20847,2
55,20849,21060,2
56,21062,21858,2
57,21860,22274,2
58,22276,22537,2
59,22542,22584,3
60,22587,22786,3
61,22788,23311,3
62,23313,23665,3
63,23667,24042,3
64,24044,24080,3
65,24082,24164,3
66,24166,24197,3
67,24199,24404,3
68,24406,24436,3
69,24438,24523,3
70,24525,24682,3
71,24684,24995,3
72,24997,25083,3
73,25085,25235,3
74,25237,25465,3
75,25467,25593,3
76,25595,25789,3
77,25791,25964,3
78,25966,26505,3
79,26507,26831,3
80,26833,26897,3
81,26899,27069,3
82,27071,27301,3
83,27303,27365,3
84,27367,27481,3
85,27483,27518,3
86,27520,27555,3
87,27557,27766,3
88,27768,27991,3
89,27993,28308,3
90,28310,28475,3
91,28477,28556,3
92,28558,28799,3
93,28801,29271,3
94,29273,29359,3
95,29361,29447,3
96,29449,29506,3
97,29508,29632,3
98,29634,29754,3
99,29756,29838,3
100,29840,29872,3
101,29874,30069,3
102,30071,30408,3
103,30410,30532,3
104,30534,30608,3
105,30610,30866,3
106,30868,31295,3
107,31297,31813,3
108,31818,31863,4
109,31866,32525,4
110,32527,32893,4
111,32895,33406,4
112,33408,33868,4
113,33870,34564,4
114,34566,34946,4
115,34948,35432,4
116,35434,35678,4
117,35680,36317,4
118,36319,36521,4
119,36523,36683,4
120,36685,36870,4
121,36872,37210,4
122,37212,37462,4
123,37464,37861,4
124,37863,38028,4
125,38030,38155,4
126,38157,38203,4
127,38205,38265,4
128,38267,38347,4
129,38349,38407,4
130,38409,38478,4
131,38480,39027,4
132,39029,39810,4
133,39812,40054,4
134,40056,40365,4
135,40367,40666,4
136,40668,40937,4
137,40939,40981,4
138,40983,41117,4
139,41119,41394,4
140,41396,41719,4
141,41721,42036,4
142,42038,42552,4
143,42554,42782,4
144,42784,43074,4
145,43076,43451,4
146,43453,44372,4
147,44374,44575,4
148,44577,45010,4
149,45012,45456,4
150,45458,45738,4
151,45743,45779,5
152,45782,45958,5
153,45960,45998,5
154,46000,46245,5
155,46247,46324,5
156,46326,46417,5
157,46419,46455,5
158,46457,46639,5
159,46641,46674,5
160,46676,46902,5
161,46904,46938,5
162,46940,47050,5
163,47052,47112,5
164,47114,47368,5
165,47370,47398,5
166,47400,47575,5
167,47577,47658,5
168,47660,47728,5
169,47730,47771,5
170,47773,47847,5
171,47849,47876,5
172,47878,48184,5
173,48186,48315,5
174,48317,48370,5
