qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"and what is the use of a book,","[254, 284]",Alice,[],Explicit,thought Alice,[],[],[],X,0,major,AliceInWonderland,2,2,1,1,0,254,284
Q0-1,without pictures or conversations?,"[301, 335]",Alice,[],Explicit,thought Alice,[],[],[],X,0,major,AliceInWonderland,2,2,1,1,0,301,335
Q1-0,Oh dear! Oh dear! I shall be late!,"[765, 799]",The White Rabbit,['The White Rabbit'],Explicit,the Rabbit say to itself,[],[],[],X,1,minor,AliceInWonderland,4,4,1,1,21,765,799
Q2-0,Well!,"[2420, 2425]",Alice,['Alice'],Explicit,thought Alice to herself,[],[],[],X,2,major,AliceInWonderland,8,8,1,1,0,2420,2425
Q2-1,"after such a fall as this, I shall think nothing of tumbling down stairs! How brave they'll all think me at home! Why, I wouldn't say anything about it, even if I fell off the top of the house!","[2454, 2647]",Alice,['Alice'],Explicit,thought Alice to herself,[],[],[],X,2,major,AliceInWonderland,8,8,1,1,0,2454,2647
Q3-0,I wonder how many miles I've fallen by this time?,"[2738, 2787]",Alice,[],Anaphoric,she said,[],[],[],X,3,major,AliceInWonderland,9,9,1,1,0,2738,2787
Q3-1,"I must be getting somewhere near the centre of the earth. Let me see: that would be four thousand miles down, I think--","[2806, 2925]",Alice,[],Anaphoric,she said,[],[],[],X,3,major,AliceInWonderland,9,9,1,1,0,2806,2925
Q3-2,"--yes, that's about the right distance--but then I wonder what Latitude or Longitude I've got to?","[3184, 3281]",Alice,[],Anaphoric,she said,[],[],[],X,3,major,AliceInWonderland,9,9,1,1,0,3184,3281
Q4-0,"I wonder if I shall fall right _through_ the earth! How funny it'll seem to come out among the people that walk with their heads downward! The Antipathies, I think--","[3419, 3584]",Alice,[],Anaphoric,she began,[],[],[],X,4,major,AliceInWonderland,10,10,1,1,0,3419,3584
Q4-1,"--but I shall have to ask them what the name of the country is, you know. Please, Ma'am, is this New Zealand or Australia?","[3691, 3813]",Alice,[],Anaphoric,she began,[],[],[],X,4,major,AliceInWonderland,10,10,1,1,0,3691,3813
Q4-2,"And what an ignorant little girl she'll think me for asking! No, it'll never do to ask: perhaps I shall see it written up somewhere.","[3945, 4077]",Alice,[],Anaphoric,she began,[],[],[],X,4,major,AliceInWonderland,10,10,1,1,0,3945,4077
Q5-0,"Dinah'll miss me very much to-night, I should think!","[4164, 4216]",Alice,['Alice'],Explicit,Alice began to get rather sleepy and went on saying to herself,[],[],[],X,5,major,AliceInWonderland,11,11,1,1,0,4164,4216
Q5-1,"I hope they'll remember her saucer of milk at tea-time. Dinah my dear! I wish you were down here with me! There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know. But do cats eat bats, I wonder?","[4240, 4486]",Alice,['Alice'],Explicit,Alice began to get rather sleepy and went on saying to herself,"['her', 'Dinah my dear', 'you', 'you', 'you']","[[4264, 4267], [4296, 4309], [4318, 4321], [4392, 4395], [4445, 4448]]","[['Dinah'], ['Dinah'], ['Dinah'], ['Dinah'], ['Dinah']]",X,5,major,AliceInWonderland,11,11,1,1,0,4240,4486
Q5-2,Do cats eat bats? Do cats eat bats?,"[4588, 4623]",Alice,['Alice'],Explicit,Alice began to get rather sleepy and went on saying to herself,[],[],[],X,5,major,AliceInWonderland,11,11,1,1,0,4588,4623
Q5-3,Do bats eat cats?,"[4641, 4658]",Alice,['Alice'],Explicit,Alice began to get rather sleepy and went on saying to herself,[],[],[],X,5,major,AliceInWonderland,11,11,1,1,0,4641,4658
Q6-0,"Now, Dinah, tell me the truth: did you ever eat a bat?","[4901, 4955]",Alice,['Dinah'],Anaphoric,she was and to she was walking hand in hand with Dinah and saying to her,"['Dinah', 'you']","[[4906, 4911], [4936, 4939]]","[['Dinah'], ['Dinah']]",X,6,major,AliceInWonderland,11,11,1,1,0,4901,4955
Q7-0,"Oh my ears and whiskers, how late it's getting!","[5402, 5449]",The White Rabbit,[],Anaphoric,it say,[],[],[],X,7,minor,AliceInWonderland,12,12,1,1,21,5402,5449
Q8-0,"and even if my head would go through,","[6796, 6833]",Alice,[],Explicit,thought poor Alice,[],[],[],X,8,major,AliceInWonderland,15,15,1,1,0,6796,6833
Q8-1,"it would be of very little use without my shoulders. Oh, how I wish I could shut up like a telescope! I think I could, if I only knew how to begin.","[6856, 7003]",Alice,[],Explicit,thought poor Alice,[],[],[],X,8,major,AliceInWonderland,15,15,1,1,0,6856,7003
Q9-0,"which certainly was not here before,","[7403, 7439]",Alice,[],Explicit,said Alice,[],[],[],X,9,major,AliceInWonderland,16,16,1,1,0,7403,7439
Q10-0,"No, I'll look first,","[7684, 7704]",Alice,[],Anaphoric,she said,[],[],[],X,10,major,AliceInWonderland,17,17,1,1,0,7684,7704
Q10-1,and see whether it's marked '_poison_' or not,"[7717, 7762]",Alice,[],Anaphoric,she said,[],[],[],X,10,major,AliceInWonderland,17,17,1,1,0,7717,7762
Q11-0,What a curious feeling!,"[8678, 8701]",Alice,[],Explicit,said Alice,[],[],[],X,11,major,AliceInWonderland,22,22,1,1,0,8678,8701
Q11-1,I must be shutting up like a telescope.,"[8716, 8755]",Alice,[],Explicit,said Alice,[],[],[],X,11,major,AliceInWonderland,22,22,1,1,0,8716,8755
Q12-0,"for it might end, you know,","[9078, 9105]",Alice,['Alice'],Explicit,said Alice to herself,[],[],[],X,12,major,AliceInWonderland,23,23,1,1,0,9078,9105
Q12-1,"in my going out altogether, like a candle. I wonder what I should be like then?","[9131, 9210]",Alice,['Alice'],Explicit,said Alice to herself,[],[],[],X,12,major,AliceInWonderland,23,23,1,1,0,9131,9210
Q12-2,"Come, there's no use in crying like that!","[9879, 9920]",Alice,['Alice'],Explicit,said Alice to herself,[],[],[],X,12,major,AliceInWonderland,25,25,1,1,0,9879,9920
Q12-3,I advise you to leave off this minute!,"[9962, 10000]",Alice,['Alice'],Explicit,said Alice to herself,['you'],"[[9971, 9974]]",[['Alice']],X,12,major,AliceInWonderland,25,25,1,1,0,9962,10000
Q13-0,"But it's no use now,","[10366, 10386]",Alice,[],Explicit,thought poor Alice,[],[],[],X,13,major,AliceInWonderland,25,25,1,1,0,10366,10386
Q13-1,"to pretend to be two people! Why, there's hardly enough of me left to make _one_ respectable person!","[10409, 10509]",Alice,[],Explicit,thought poor Alice,[],[],[],X,13,major,AliceInWonderland,25,25,1,1,0,10409,10509
Q14-0,"Well, I'll eat it,","[10700, 10718]",Alice,[],Explicit,said Alice,[],[],[],X,14,major,AliceInWonderland,26,26,1,1,0,10700,10718
Q14-1,"and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!","[10733, 10918]",Alice,[],Explicit,said Alice,[],[],[],X,14,major,AliceInWonderland,26,26,1,1,0,10733,10918
