chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,2,25,66,3,69,35,15652
2,36,15657,15698,37,15701,114,42141
3,115,42146,42188,116,42191,183,54116
4,184,54121,54156,185,54159,229,66488
5,230,66493,66518,231,66521,257,77632
6,258,77637,77674,259,77677,296,88093
7,297,88098,88132,298,88135,327,94722
8,328,94727,94768,329,94771,387,110487
9,388,110492,110543,389,110546,439,123951
10,440,123956,123981,441,123984,494,137567
11,495,137572,137619,496,137622,530,147524
12,531,147529,147566,532,147569,578,158586
13,579,158590,158632,580,158635,602,168583
14,603,168588,168618,604,168621,674,185117
15,675,185119,185161,676,185164,773,213973
16,774,213978,214034,775,214037,847,235530
17,848,235534,235570,849,235573,890,246731
18,891,246735,246768,892,246771,945,265133
19,946,265137,265190,947,265193,1044,287186
20,1045,287191,287232,1046,287235,1082,299468
21,1083,299473,299515,1084,299518,1143,319489
22,1144,319494,319534,1145,319537,1155,327577
23,1156,327582,327638,1157,327641,1199,340287
24,1200,340292,340348,1201,340351,1218,348703
25,1219,348708,348754,1220,348757,1282,367901
26,1283,367903,367941,1284,367944,1310,382326
27,1311,382331,382375,1312,382378,1355,395943
28,1356,395948,395988,1357,395991,1404,411652
29,1405,411657,411694,1406,411697,1446,428763
30,1447,428767,428809,1448,428812,1491,451932
31,1492,451937,451981,1493,451984,1524,464333
32,1525,464339,464374,1526,464377,1575,478788
33,1576,478793,478826,1577,478829,1625,497451
34,1626,497456,497485,1627,497488,1654,511249
35,1655,511254,511289,1656,511292,1673,520437
36,1674,520442,520480,1675,520483,1717,530880
37,1718,530885,530931,1719,530934,1761,543434
38,1762,543440,543477,1763,543480,1826,558841
