source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,Marilla,3839,3846,20,8,1
pdnc,qID,Q0-0,he,3853,3855,22,8,1
pdnc,qID,Q0-1,He,3910,3912,22,8,1
pdnc,qID,Q0-1,he,3964,3966,22,8,1
pdnc,qID,Q0-1,he,3986,3988,22,8,1
pdnc,qID,Q0-1,he,4014,4016,22,8,1
pdnc,qID,Q0-1,he,4070,4072,22,8,1
pdnc,qID,Q0-1,him,4185,4188,22,8,1
pdnc,qID,Q0-1,Matthew Cuthbert,4310,4326,22,8,1
pdnc,qID,Q1-1,Matthew,5217,5224,22,10,1
pdnc,qID,Q1-1,Marilla,5229,5236,20,10,1
pdnc,qID,Q2-0,Rachel,7504,7510,48,14,1
pdnc,qID,Q2-1,you,7581,7584,48,14,1
pdnc,qID,Q3-1,you,8340,8343,20,17,1
pdnc,qID,Q3-1,Matthew,8373,8380,22,17,1
pdnc,qID,Q3-1,he,8417,8419,22,17,1
pdnc,qID,Q4-1,Matthew,8719,8726,22,19,1
pdnc,qID,Q5-0,you,9154,9157,20,21,1
pdnc,qID,Q5-0,Marilla,9170,9177,20,21,1
pdnc,qID,Q7-0, your,9751,9756,20,24,1
pdnc,qID,Q9-0,Mrs. Alexander Spencer,9972,9994,43,26,1
pdnc,qID,Q9-0,she,10036,10039,43,26,1
pdnc,qID,Q9-0,she,10045,10048,43,26,1
pdnc,qID,Q9-0,Her,10127,10130,43,26,1
pdnc,qID,Q9-0,Mrs. Spencer,10154,10166,43,26,1
pdnc,qID,Q9-0,Matthew,10211,10218,22,26,1
pdnc,qID,Q9-0,Matthew,10295,10302,22,26,1
pdnc,qID,Q9-0,you,10327,10330,48,26,1
pdnc,qID,Q9-0,he,10337,10339,22,26,1
pdnc,qID,Q9-0,he,10353,10355,22,26,1
pdnc,qID,Q9-0,he,10373,10375,22,26,1
pdnc,qID,Q9-0,His,10386,10389,22,26,1
pdnc,qID,Q9-0,him,10405,10408,22,26,1
pdnc,qID,Q9-0,you,10426,10429,48,26,1
pdnc,qID,Q9-0,Matthew,10706,10713,22,26,1
pdnc,qID,Q9-3,Mrs. Spencer,11065,11077,43,26,1
pdnc,qID,Q9-3,she,11102,11105,43,26,1
pdnc,qID,Q9-3,her,11123,11126,43,26,1
pdnc,qID,Q9-3,she,11159,11162,43,26,1
pdnc,qID,Q9-3,her,11185,11188,43,26,1
pdnc,qID,Q9-3,Richard Spencer,11197,11212,108,26,1
pdnc,qID,Q9-3,Mrs. Alexander Spencer,11494,11516,43,26,1
pdnc,qID,Q9-3,Matthew,11627,11634,22,26,1
pdnc,qID,Q9-3,Mrs. Spencer,11669,11681,43,26,1
pdnc,qID,Q9-3,she,11717,11720,43,26,1
pdnc,qID,Q10-0,Marilla,11925,11932,20,28,1
pdnc,qID,Q10-0,you,11949,11952,20,28,1
pdnc,qID,Q10-0,you,11972,11975,20,28,1
pdnc,qID,Q10-0,You,12037,12040,20,28,1
pdnc,qID,Q10-0,you,12057,12060,20,28,1
pdnc,qID,Q10-0,You,12073,12076,20,28,1
pdnc,qID,Q10-0,your,12110,12114,20,28,1
pdnc,qID,Q10-0,you,12134,12137,20,28,1
pdnc,qID,Q10-0,Marilla,12459,12466,20,28,1
pdnc,qID,Q10-0,you,12618,12621,20,28,1
pdnc,qID,Q10-0,you,12663,12666,20,28,1
pdnc,qID,Q10-0,Marilla,12678,12685,20,28,1
pdnc,qID,Q11-0,you,12898,12901,48,30,1
pdnc,qID,Q11-0,Rachel,12907,12913,48,30,1
pdnc,qID,Q11-0,Matthew,12948,12955,22,30,1
pdnc,qID,Q11-0,Matthew,13027,13034,22,30,1
pdnc,qID,Q11-0,his,13040,13043,22,30,1
pdnc,qID,Q11-0,he,13071,13073,22,30,1
pdnc,qID,Q12-1,you,13617,13620,20,31,1
pdnc,qID,Q13-1,Mrs. Alexander Spencer,14058,14080,43,32,1
pdnc,qID,Q13-1,she,14107,14110,43,32,1
pdnc,qID,Q13-1,she,14167,14170,43,32,1
pdnc,qID,Q13-1,her,14184,14187,43,32,1
pdnc,qID,Q14-1,Matthew,14897,14904,22,34,1
pdnc,qID,Q14-1,Marilla,14909,14916,20,34,1
pdnc,qID,Q14-1,Matthew,15179,15186,22,34,1
