source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,anne of green gables,ANNE OF GREEN GABLES,0,20,2,1,-1,M_0
exp,exp_name,mrs. rachel lynde,Mrs. Rachel Lynde,36,53,48,2,1,M_1
exp,exp_name,mrs. rachel lynde,MRS. Rachel Lynde,70,87,48,3,1,M_2
exp,exp_name,cuthbert,Cuthbert,281,289,22,3,1,M_3
exp,exp_name,lynde,Lynde,456,461,48,3,1,M_4
exp,exp_name,mrs. rachel lynde,Mrs. Rachel Lynde,553,570,48,3,1,M_5
exp,exp_name,mrs. rachel,Mrs. Rachel,653,664,48,3,1,M_6
booknlp,COREF,105,her,680,683,48,3,1,M_7
booknlp,COREF,105,she,780,783,48,3,1,M_8
booknlp,COREF,105,she,821,824,48,3,1,M_9
booknlp,COREF,105,she,848,851,48,3,1,M_10
exp,exp_name,mrs. rachel lynde,Mrs. Rachel Lynde,1045,1062,48,4,1,M_11
booknlp,COREF,105,She,1175,1178,48,4,1,M_12
booknlp,COREF,105,her,1204,1207,48,4,1,M_13
booknlp,COREF,105,she,1244,1247,48,4,1,M_14
exp,exp_name,mrs. rachel,Mrs. Rachel,1406,1417,48,4,1,M_15
booknlp,COREF,105,her,1458,1461,48,4,1,M_16
booknlp,COREF,105,she,1509,1512,48,4,1,M_17
exp,exp_name,mrs. rachel,Mrs. Rachel,1935,1946,48,4,1,M_18
booknlp,COREF,105,She,1966,1969,48,5,1,M_19
exp,exp_name,thomas lynde,Thomas Lynde,2188,2200,58,5,1,M_20
exp,exp_name,rachel lynde,Rachel Lynde,2248,2260,48,5,1,M_21
booknlp,COREF,106,his,2284,2287,58,5,1,M_22
exp,exp_name,matthew cuthbert,Matthew Cuthbert,2344,2360,22,5,1,M_23
booknlp,COREF,107,his,2387,2390,22,5,1,M_24
booknlp,COREF,107,Green Gables,2431,2443,22,5,1,M_25
exp,exp_name,mrs. rachel,Mrs. Rachel,2445,2456,48,5,1,M_26
booknlp,COREF,107,he,2467,2469,22,5,1,M_27
booknlp,COREF,105,she,2484,2487,48,5,1,M_28
booknlp,COREF,107,him,2498,2501,22,5,1,M_29
exp,exp_name,peter,Peter,2507,2512,41,5,1,M_30
exp,exp_name,william j. blair,William J. Blair,2544,2560,59,5,1,M_31
booknlp,COREF,107,he,2590,2592,22,5,1,M_32
booknlp,COREF,107,his,2606,2609,22,5,1,M_33
exp,exp_name,peter,Peter,2642,2647,41,5,1,M_34
booknlp,COREF,107,him,2658,2661,22,5,1,M_35
exp,exp_name,matthew cuthbert,Matthew Cuthbert,2678,2694,22,5,1,M_36
booknlp,COREF,107,his,2759,2762,22,5,1,M_37
exp,exp_name,matthew cuthbert,Matthew Cuthbert,2793,2809,22,6,1,M_38
booknlp,COREF,107,he,2922,2924,22,6,1,M_39
booknlp,COREF,107,his,2949,2952,22,6,1,M_40
booknlp,COREF,107,he,3002,3004,22,6,1,M_41
booknlp,COREF,107,he,3035,3037,22,6,1,M_42
booknlp,COREF,107,he,3094,3096,22,6,1,M_43
exp,exp_name,matthew cuthbert,Matthew Cuthbert,3147,3163,22,6,1,M_44
booknlp,COREF,107,he,3182,3184,22,6,1,M_45
exp,exp_name,mrs. rachel,Mrs. Rachel,3237,3248,48,7,1,M_46
exp,exp_name,matthew,Matthew,3352,3359,22,7,1,M_47
booknlp,COREF,107,him,3449,3452,22,7,1,M_48
booknlp,COREF,107,he,3454,3456,22,7,1,M_49
booknlp,COREF,107,he,3544,3546,22,7,1,M_50
exp,exp_name,matthew,Matthew,3567,3574,22,7,1,M_51
exp,exp_name,mrs. rachel,Mrs. Rachel,3671,3682,48,7,1,M_52
booknlp,COREF,105,she,3694,3697,48,7,1,M_53
booknlp,COREF,105,her,3734,3737,48,7,1,M_54
booknlp,COREF,107,Green Gables,3798,3810,22,8,1,M_55
pdnc,qID,Q0-0,Marilla,3839,3846,20,8,1,M_56
pdnc,qID,Q0-0,he,3853,3855,22,8,1,M_57
pdnc,qID,Q0-1,He,3910,3912,22,8,1,M_58
pdnc,qID,Q0-1,he,3964,3966,22,8,1,M_59
pdnc,qID,Q0-1,he,3986,3988,22,8,1,M_60
pdnc,qID,Q0-1,he,4014,4016,22,8,1,M_61
pdnc,qID,Q0-1,he,4070,4072,22,8,1,M_62
pdnc,qID,Q0-1,him,4185,4188,22,8,1,M_63
pdnc,qID,Q0-1,Matthew Cuthbert,4310,4326,22,8,1,M_64
exp,exp_name,mrs. rachel,Mrs. Rachel,4373,4384,48,9,1,M_65
booknlp,COREF,105,she,4394,4397,48,9,1,M_66
exp,exp_name,lynde,Lynde,4533,4538,48,9,1,M_67
exp,exp_name,matthew cuthbert,Matthew Cuthbert,4604,4620,22,9,1,M_68
booknlp,COREF,107,Green Gables,4806,4818,22,9,1,M_69
booknlp,COREF,107,it,4880,4882,22,9,1,M_70
exp,exp_name,mrs. rachel lynde,Mrs. Rachel Lynde,5002,5019,48,9,1,M_71
booknlp,COREF,105,she,5110,5113,48,10,1,M_72
booknlp,COREF,105,she,5122,5125,48,10,1,M_73
pdnc,qID,Q1-1,Matthew,5217,5224,22,10,1,M_74
pdnc,qID,Q1-1,Marilla,5229,5236,20,10,1,M_75
booknlp,COREF,105,I,5382,5383,48,10,1,M_76
booknlp,COREF,105,I,5459,5460,48,10,1,M_77
exp,exp_name,mrs. rachel,Mrs. Rachel,5579,5590,48,11,1,M_78
booknlp,COREF,107,Green Gables,5636,5648,22,11,1,M_79
exp,exp_name,mrs. rachel,Mrs. Rachel,5834,5845,48,11,1,M_80
booknlp,COREF,105,she,5894,5897,48,11,1,M_81
exp,exp_name,marilla cuthbert,Marilla Cuthbert,5922,5938,20,11,1,M_82
exp,exp_name,mrs. rachel,Mrs. Rachel,6088,6099,48,12,1,M_83
booknlp,COREF,107,Green Gables,6187,6199,22,12,1,M_84
exp,exp_name,marilla cuthbert,Marilla Cuthbert,6684,6700,20,12,1,M_85
exp,exp_name,mrs. rachel,Mrs. Rachel,6952,6963,48,13,1,M_86
booknlp,COREF,105,she,6972,6975,48,13,1,M_87
exp,exp_name,marilla,Marilla,7104,7111,20,13,1,M_88
exp,exp_name,matthew,Matthew,7149,7156,22,13,1,M_89
exp,exp_name,matthew,Matthew,7341,7348,22,13,1,M_90
exp,exp_name,mrs. rachel,Mrs. Rachel,7385,7396,48,13,1,M_91
booknlp,COREF,107,Green Gables,7474,7486,22,13,1,M_92
pdnc,qID,Q2-0,Rachel,7504,7510,48,14,1,M_93
exp,exp_name,marilla,Marilla,7513,7520,20,14,1,M_94
pdnc,qID,Q2-1,you,7581,7584,48,14,1,M_95
booknlp,COREF,105,your,7607,7611,48,14,1,M_96
exp,exp_name,marilla cuthbert,Marilla Cuthbert,7729,7745,20,15,1,M_97
exp,exp_name,mrs. rachel,Mrs. Rachel,7750,7761,48,15,1,M_98
exp,exp_name,marilla,Marilla,7821,7828,20,16,1,M_99
exp,exp_name,mrs. rachel,Mrs. Rachel,8304,8315,48,17,1,M_100
booknlp,COREF,105,I,8318,8319,48,17,1,M_101
pdnc,qID,Q3-1,you,8340,8343,20,17,1,M_102
booknlp,COREF,105,I,8367,8368,48,17,1,M_103
pdnc,qID,Q3-1,Matthew,8373,8380,22,17,1,M_104
booknlp,COREF,105,I,8401,8402,48,17,1,M_105
pdnc,qID,Q3-1,he,8417,8419,22,17,1,M_106
exp,exp_name,the doctor,the doctor,8433,8443,90,17,1,M_107
exp,exp_name,marilla,Marilla,8449,8456,20,18,1,M_108
exp,exp_name,mrs. rachel,Mrs. Rachel,8507,8518,48,18,1,M_109
exp,exp_name,matthew,Matthew,8555,8562,22,18,1,M_110
pdnc,qID,Q4-1,Matthew,8719,8726,22,19,1,M_111
exp,exp_name,marilla,Marilla,8856,8863,20,20,1,M_112
exp,exp_name,matthew,Matthew,8878,8885,22,20,1,M_113
exp,exp_name,mrs. rachel,Mrs. Rachel,8945,8956,48,20,1,M_114
booknlp,COREF,105,She,8994,8997,48,20,1,M_115
exp,exp_name,marilla,Marilla,9068,9075,20,20,1,M_116
exp,exp_name,mrs. rachel,Mrs. Rachel,9103,9114,48,20,1,M_117
pdnc,qID,Q5-0,you,9154,9157,20,21,1,M_118
pdnc,qID,Q5-0,Marilla,9170,9177,20,21,1,M_119
booknlp,COREF,105,she,9180,9183,48,21,1,M_120
exp,exp_name,marilla,Marilla,9245,9252,20,22,1,M_121
exp,exp_name,mrs. rachel,Mrs. Rachel,9422,9433,48,23,1,M_122
booknlp,COREF,105,she,9444,9447,48,23,1,M_123
booknlp,COREF,105,She,9483,9486,48,23,1,M_124
exp,exp_name,marilla,Marilla,9525,9532,20,23,1,M_125
exp,exp_name,matthew cuthbert,Matthew Cuthbert,9537,9553,22,23,1,M_126
pdnc,qID,Q7-0, your,9751,9756,20,24,1,M_127
exp,exp_name,marilla,Marilla,9962,9969,20,26,1,M_128
pdnc,qID,Q9-0,Mrs. Alexander Spencer,9972,9994,43,26,1,M_129
pdnc,qID,Q9-0,she,10036,10039,43,26,1,M_130
pdnc,qID,Q9-0,she,10045,10048,43,26,1,M_131
pdnc,qID,Q9-0,Her,10127,10130,43,26,1,M_132
pdnc,qID,Q9-0,Mrs. Spencer,10154,10166,43,26,1,M_133
pdnc,qID,Q9-0,Matthew,10211,10218,22,26,1,M_134
pdnc,qID,Q9-0,Matthew,10295,10302,22,26,1,M_135
pdnc,qID,Q9-0,you,10327,10330,48,26,1,M_136
pdnc,qID,Q9-0,he,10337,10339,22,26,1,M_137
pdnc,qID,Q9-0,he,10353,10355,22,26,1,M_138
pdnc,qID,Q9-0,he,10373,10375,22,26,1,M_139
pdnc,qID,Q9-0,His,10386,10389,22,26,1,M_140
pdnc,qID,Q9-0,him,10405,10408,22,26,1,M_141
pdnc,qID,Q9-0,you,10426,10429,48,26,1,M_142
pdnc,qID,Q9-0,Matthew,10706,10713,22,26,1,M_143
pdnc,qID,Q9-3,Mrs. Spencer,11065,11077,43,26,1,M_144
pdnc,qID,Q9-3,she,11102,11105,43,26,1,M_145
pdnc,qID,Q9-3,her,11123,11126,43,26,1,M_146
pdnc,qID,Q9-3,she,11159,11162,43,26,1,M_147
pdnc,qID,Q9-3,her,11185,11188,43,26,1,M_148
pdnc,qID,Q9-3,Richard Spencer,11197,11212,108,26,1,M_149
pdnc,qID,Q9-3,Mrs. Alexander Spencer,11494,11516,43,26,1,M_150
pdnc,qID,Q9-3,Matthew,11627,11634,22,26,1,M_151
pdnc,qID,Q9-3,Mrs. Spencer,11669,11681,43,26,1,M_152
pdnc,qID,Q9-3,she,11717,11720,43,26,1,M_153
booknlp,COREF,114,herself,11752,11759,43,26,1,M_154
exp,exp_name,mrs. rachel,Mrs. Rachel,11763,11774,48,27,1,M_155
booknlp,COREF,105,herself,11782,11789,48,27,1,M_156
booknlp,COREF,105,her,11809,11812,48,27,1,M_157
booknlp,COREF,105,she,11819,11822,48,27,1,M_158
booknlp,COREF,105,her,11866,11869,48,27,1,M_159
pdnc,qID,Q10-0,Marilla,11925,11932,20,28,1,M_160
pdnc,qID,Q10-0,you,11949,11952,20,28,1,M_161
pdnc,qID,Q10-0,you,11972,11975,20,28,1,M_162
pdnc,qID,Q10-0,You,12037,12040,20,28,1,M_163
pdnc,qID,Q10-0,you,12057,12060,20,28,1,M_164
pdnc,qID,Q10-0,You,12073,12076,20,28,1,M_165
pdnc,qID,Q10-0,your,12110,12114,20,28,1,M_166
pdnc,qID,Q10-0,you,12134,12137,20,28,1,M_167
pdnc,qID,Q10-0,Marilla,12459,12466,20,28,1,M_168
pdnc,qID,Q10-0,you,12618,12621,20,28,1,M_169
pdnc,qID,Q10-0,you,12663,12666,20,28,1,M_170
pdnc,qID,Q10-0,Marilla,12678,12685,20,28,1,M_171
exp,exp_name,marilla,Marilla,12823,12830,20,29,1,M_172
pdnc,qID,Q11-0,you,12898,12901,48,30,1,M_173
pdnc,qID,Q11-0,Rachel,12907,12913,48,30,1,M_174
pdnc,qID,Q11-0,Matthew,12948,12955,22,30,1,M_175
pdnc,qID,Q11-0,Matthew,13027,13034,22,30,1,M_176
pdnc,qID,Q11-0,his,13040,13043,22,30,1,M_177
pdnc,qID,Q11-0,he,13071,13073,22,30,1,M_178
booknlp,COREF,107,him,13397,13400,22,30,1,M_179
booknlp,COREF,107,He,13429,13431,22,30,1,M_180
booknlp,COREF,105,I,13481,13482,48,31,1,M_181
exp,exp_name,mrs. rachel,Mrs. Rachel,13522,13533,48,31,1,M_182
booknlp,COREF,105,her,13567,13570,48,31,1,M_183
booknlp,COREF,105,I,13603,13604,48,31,1,M_184
pdnc,qID,Q12-1,you,13617,13620,20,31,1,M_185
booknlp,COREF,107,he,13624,13626,22,31,1,M_186
booknlp,COREF,107,Green Gables,13633,13645,22,31,1,M_187
booknlp,COREF,105,I,13683,13684,48,31,1,M_188
exp,exp_name,marilla,Marilla,13886,13893,20,32,1,M_189
booknlp,COREF,105,I,14000,14001,48,32,1,M_190
booknlp,COREF,105,I,14046,14047,48,32,1,M_191
pdnc,qID,Q13-1,Mrs. Alexander Spencer,14058,14080,43,32,1,M_192
