paraID,startByte,endByte,chapID
1,0,20,-1
2,25,66,1
3,69,901,1
4,903,1964,1
5,1966,2774,1
6,2776,3197,1
7,3199,3772,1
8,3774,4349,1
9,4351,5072,1
10,5074,5567,1
11,5569,6086,1
12,6088,6950,1
13,6952,7487,1
14,7489,7619,1
15,7621,7819,1
16,7821,8272,1
17,8274,8447,1
18,8449,8640,1
19,8642,8851,1
20,8853,9147,1
21,9149,9220,1
22,9222,9420,1
23,9422,9712,1
24,9714,9792,1
25,9794,9878,1
26,9880,11761,1
27,11763,11916,1
28,11918,12761,1
29,12763,12856,1
30,12858,13472,1
31,13474,13845,1
32,13847,14194,1
33,14196,14683,1
34,14685,15406,1
35,15408,15652,1
36,15657,15698,2
37,15701,16120,2
38,16122,16208,2
39,16210,16447,2
40,16449,16939,2
41,16941,17673,2
42,17675,17839,2
43,17841,18229,2
44,18231,18397,2
45,18399,18426,2
46,18428,18741,2
47,18743,18850,2
48,18852,19067,2
49,19069,19400,2
50,19402,20028,2
51,20030,20482,2
52,20484,20726,2
53,20728,21443,2
54,21445,21857,2
55,21859,21960,2
56,21962,23624,2
57,23626,24043,2
58,24045,24151,2
59,24153,24273,2
60,24275,24309,2
61,24311,26990,2
62,26992,27026,2
63,27028,27549,2
64,27551,28347,2
65,28349,28402,2
66,28404,28769,2
67,28771,28819,2
68,28821,29880,2
69,29882,29933,2
70,29935,30240,2
71,30242,30458,2
72,30460,30490,2
73,30492,30624,2
74,30626,31398,2
75,31400,31591,2
76,31593,31757,2
77,31759,31816,2
78,31818,31944,2
79,31946,31982,2
80,31984,32222,2
81,32224,32436,2
82,32438,32868,2
83,32870,33597,2
84,33599,33824,2
85,33826,33959,2
86,33961,34056,2
87,34058,34182,2
88,34184,34574,2
89,34576,34627,2
90,34629,35744,2
91,35746,36689,2
92,36691,36727,2
93,36729,36985,2
94,36987,37005,2
95,37007,37149,2
96,37151,37380,2
97,37382,37649,2
98,37651,37732,2
99,37734,37781,2
100,37783,37853,2
101,37855,38118,2
102,38120,38948,2
103,38950,39024,2
104,39026,39082,2
105,39084,39272,2
106,39274,39940,2
107,39942,39984,2
108,39986,40045,2
109,40047,40137,2
110,40139,40822,2
111,40824,41791,2
112,41793,41897,2
113,41899,42026,2
114,42028,42141,2
115,42146,42188,3
116,42191,42417,3
117,42419,42486,3
118,42488,42560,3
119,42562,42636,3
120,42638,42746,3
121,42748,42912,3
122,42914,42977,3
123,42979,43262,3
124,43264,43540,3
125,43542,43858,3
126,43860,43909,3
127,43911,44249,3
128,44251,44351,3
129,44353,44508,3
130,44510,44543,3
131,44545,44598,3
132,44600,44641,3
133,44643,44754,3
134,44756,44832,3
135,44834,45074,3
136,45076,45213,3
137,45215,45525,3
138,45527,45643,3
139,45645,45994,3
140,45996,46170,3
141,46172,46647,3
142,46649,46717,3
143,46719,46888,3
144,46890,46985,3
145,46987,47168,3
146,47170,47314,3
147,47316,47605,3
148,47607,47718,3
149,47720,47811,3
150,47813,47891,3
151,47893,47978,3
152,47980,47995,3
153,47997,48530,3
154,48532,48650,3
155,48652,49264,3
156,49266,49360,3
157,49362,49411,3
158,49413,49425,3
159,49427,49778,3
160,49780,49958,3
161,49960,51170,3
162,51172,51311,3
163,51313,51374,3
164,51376,51464,3
165,51466,51587,3
166,51589,51633,3
167,51635,52005,3
168,52007,52324,3
169,52326,52372,3
170,52374,52412,3
171,52414,52538,3
172,52540,52613,3
173,52615,52731,3
174,52733,52910,3
175,52912,52961,3
176,52963,53034,3
177,53036,53150,3
178,53152,53279,3
179,53281,53611,3
180,53613,53698,3
181,53700,53787,3
182,53789,53909,3
183,53911,54116,3
184,54121,54156,4
185,54159,54387,4
186,54389,54601,4
187,54603,54926,4
188,54928,55186,4
189,55188,55657,4
190,55659,56126,4
191,56128,56258,4
192,56260,56460,4
193,56462,56628,4
194,56630,56676,4
195,56678,56816,4
196,56818,56855,4
197,56857,56951,4
198,56953,57067,4
199,57069,58293,4
200,58295,58591,4
201,58593,58938,4
202,58940,59670,4
203,59672,59769,4
204,59771,60036,4
205,60038,60473,4
206,60475,60864,4
207,60866,60950,4
208,60952,61009,4
209,61011,61168,4
210,61170,61375,4
211,61377,61572,4
212,61574,62016,4
213,62018,62379,4
214,62381,62616,4
215,62618,62660,4
216,62662,63612,4
217,63614,63650,4
218,63652,63877,4
219,63879,63958,4
220,63960,64459,4
221,64461,65034,4
222,65036,65233,4
223,65235,65315,4
224,65317,65407,4
225,65409,65658,4
226,65660,65843,4
227,65845,66047,4
228,66049,66161,4
229,66163,66488,4
230,66493,66518,5
231,66521,67345,5
232,67347,67471,5
233,67473,67485,5
234,67487,67687,5
235,67689,67754,5
236,67756,68061,5
237,68063,68186,5
238,68188,68509,5
239,68511,68652,5
240,68654,68843,5
241,68845,68982,5
242,68984,69409,5
243,69411,69573,5
244,69575,71887,5
245,71889,72928,5
246,72930,73349,5
247,73351,73500,5
248,73502,73593,5
249,73595,74420,5
250,74422,74545,5
251,74547,75072,5
252,75074,75736,5
253,75738,75936,5
254,75938,76529,5
255,76531,77297,5
256,77299,77481,5
257,77483,77632,5
258,77637,77674,6
259,77677,77866,6
260,77868,78024,6
261,78026,78135,6
262,78137,78509,6
263,78511,78742,6
264,78744,78814,6
265,78816,79092,6
266,79094,79434,6
267,79436,79824,6
268,79826,80031,6
269,80033,80463,6
270,80465,80525,6
271,80527,81324,6
272,81326,81891,6
273,81893,82224,6
274,82226,82283,6
275,82285,82338,6
276,82340,82481,6
277,82483,82944,6
278,82946,83444,6
279,83446,84007,6
280,84009,84067,6
281,84069,84454,6
282,84456,84704,6
283,84706,85047,6
284,85049,85176,6
285,85178,85270,6
286,85272,85462,6
287,85464,85578,6
288,85580,86072,6
289,86074,86159,6
290,86161,86593,6
291,86595,86636,6
292,86638,86756,6
293,86758,87183,6
294,87185,87426,6
295,87428,87565,6
296,87567,88093,6
297,88098,88132,7
298,88135,88197,7
299,88199,88511,7
300,88513,88798,7
301,88800,88954,7
302,88956,88998,7
303,89000,89038,7
304,89040,89198,7
305,89200,89361,7
306,89363,89394,7
307,89396,89498,7
308,89500,89850,7
309,89852,90057,7
310,90059,90486,7
311,90488,90595,7
312,90597,90659,7
313,90661,90959,7
314,90961,91014,7
315,91016,91067,7
316,91069,91424,7
317,91426,91984,7
318,91986,92131,7
319,92133,92387,7
320,92389,92984,7
321,92986,93134,7
322,93136,93508,7
323,93510,93782,7
324,93784,93876,7
325,93878,93994,7
326,93996,94088,7
327,94090,94722,7
328,94727,94768,8
329,94771,95321,8
330,95323,95660,8
331,95662,95893,8
332,95895,96055,8
333,96057,96454,8
334,96456,96895,8
335,96897,97284,8
336,97286,97387,8
337,97389,97502,8
338,97504,97574,8
339,97576,97786,8
340,97788,98003,8
341,98005,98099,8
342,98101,98141,8
343,98143,98177,8
344,98179,98267,8
345,98269,98274,8
346,98276,98346,8
347,98348,98874,8
348,98876,99467,8
349,99469,99656,8
350,99658,100123,8
351,100125,100188,8
352,100190,100227,8
353,100229,101406,8
354,101408,101563,8
355,101565,101586,8
356,101588,101672,8
357,101674,102039,8
358,102041,102303,8
359,102305,102834,8
360,102836,102896,8
361,102898,103045,8
362,103047,103146,8
363,103148,103175,8
364,103177,103483,8
365,103485,103866,8
366,103868,103948,8
367,103950,104110,8
368,104112,104256,8
369,104258,104429,8
370,104431,104535,8
371,104537,106593,8
372,106595,106952,8
373,106954,107363,8
374,107365,107637,8
375,107639,107705,8
376,107707,107846,8
377,107848,107914,8
378,107916,108031,8
379,108033,108311,8
380,108313,108365,8
381,108367,108447,8
382,108449,109352,8
383,109354,109482,8
384,109484,109738,8
385,109740,109834,8
386,109837,110322,8
387,110324,110487,8
388,110492,110543,9
389,110546,111294,9
390,111296,111737,9
391,111739,111985,9
392,111987,112447,9
393,112449,112902,9
394,112904,113342,9
395,113344,113409,9
396,113411,113523,9
397,113525,113636,9
398,113638,113859,9
399,113861,113977,9
400,113979,114305,9
401,114307,114474,9
402,114476,115028,9
403,115030,115465,9
404,115467,115706,9
405,115708,115995,9
406,115997,116040,9
407,116042,116193,9
408,116195,116650,9
409,116652,116665,9
410,116667,116741,9
411,116743,116860,9
412,116862,117142,9
413,117144,117251,9
414,117253,117397,9
415,117399,117456,9
416,117458,117617,9
417,117619,117866,9
418,117868,118031,9
419,118033,118924,9
420,118926,119100,9
421,119102,119907,9
422,119909,120025,9
423,120027,120057,9
424,120059,120069,9
425,120071,120173,9
426,120175,120316,9
427,120318,120395,9
428,120397,120486,9
429,120488,120869,9
430,120871,121250,9
431,121252,121468,9
432,121470,121592,9
433,121594,121860,9
434,121862,122373,9
435,122375,122660,9
436,122662,122930,9
