qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"I'll just step over to Green Gables after tea and find out from Marilla where he's gone and why,","[3775, 3871]",Rachel Lynde,[],Anaphoric,the worthy woman finally concluded,"['Marilla', 'he']","[[3839, 3846], [3853, 3855]]","[['Marilla Cuthbert'], ['Matthew Cuthbert']]",X,0,major,AnneOfGreenGables,8,8,1,1,48,3775,3871
Q0-1,"He doesn't generally go to town this time of year and he _never_ visits; if he'd run out of turnip seed he wouldn't dress up and take the buggy to go for more; he wasn't driving fast enough to be going for a doctor. Yet something must have happened since last night to start him off. I'm clean puzzled, that's what, and I won't know a minute's peace of mind or conscience until I know what has taken Matthew Cuthbert out of Avonlea today.","[3910, 4348]",Rachel Lynde,[],Anaphoric,the worthy woman finally concluded,"['He', 'he', 'he', 'he', 'he', 'him', 'Matthew Cuthbert']","[[3910, 3912], [3964, 3966], [3986, 3988], [4014, 4016], [4070, 4072], [4185, 4188], [4310, 4326]]","[['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert']]",X,0,major,AnneOfGreenGables,8,8,1,1,48,3910,4348
Q1-0,"It's just _staying_, that's what,","[5075, 5108]",Rachel Lynde,[],Anaphoric,she said,[],[],[],X,1,major,AnneOfGreenGables,10,10,1,1,48,5075,5108
Q1-1,"It's no wonder Matthew and Marilla are both a little odd, living away back here by themselves. Trees aren't much company, though dear knows if they were there'd be enough of them. I'd ruther look at people. To be sure, they seem contented enough; but then, I suppose, they're used to it. A body can get used to anything, even to being hanged, as the Irishman said.","[5202, 5566]",Rachel Lynde,[],Anaphoric,she said,"['Matthew', 'Marilla', 'themselves']","[[5217, 5224], [5229, 5236], [5285, 5295]]","[['Matthew Cuthbert'], ['Marilla Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert']]",X,1,major,AnneOfGreenGables,10,10,1,1,48,5202,5566
Q2-0,"Good evening, Rachel,","[7490, 7511]",Marilla Cuthbert,['Rachel Lynde'],Explicit,Marilla said,['Rachel'],"[[7504, 7510]]",[['Rachel Lynde']],X,2,major,AnneOfGreenGables,14,14,1,1,20,7490,7511
Q2-1,"This is a real fine evening, isn't it? Won't you sit down? How are all your folks?","[7536, 7618]",Marilla Cuthbert,['Rachel Lynde'],Explicit,Marilla said,['you'],"[[7581, 7584]]",[['Rachel Lynde']],X,2,major,AnneOfGreenGables,14,14,1,1,20,7536,7618
Q3-0,"We're all pretty well,","[8275, 8297]",Rachel Lynde,['Marilla Cuthbert'],Explicit,said Mrs Rachel,[],[],[],X,3,major,AnneOfGreenGables,17,17,1,1,48,8275,8297
Q3-1,"I was kind of afraid _you_ weren't, though, when I saw Matthew starting off today. I thought maybe he was going to the doctor's.","[8318, 8446]",Rachel Lynde,['Marilla Cuthbert'],Explicit,said Mrs Rachel,"['you', 'Matthew', 'he']","[[8340, 8343], [8373, 8380], [8417, 8419]]","[['Marilla Cuthbert'], ['Matthew Cuthbert'], ['Matthew Cuthbert']]",X,3,major,AnneOfGreenGables,17,17,1,1,48,8318,8446
Q4-0,"Oh, no, I'm quite well although I had a bad headache yesterday,","[8643, 8706]",Marilla Cuthbert,['Rachel Lynde'],Anaphoric,she said,[],[],[],X,4,major,AnneOfGreenGables,19,19,1,1,20,8643,8706
Q4-1,Matthew went to Bright River. We're getting a little boy from an orphan asylum in Nova Scotia and he's coming on the train tonight.,"[8719, 8850]",Marilla Cuthbert,['Rachel Lynde'],Anaphoric,she said,"['Matthew', 'We']","[[8719, 8726], [8749, 8751]]","[['Matthew Cuthbert'], ['Marilla Cuthbert', 'Matthew Cuthbert']]",X,4,major,AnneOfGreenGables,19,19,1,1,20,8719,8850
