source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,you,4750,4753,8,8,1
pdnc,qID,Q1-0,you,5007,5010,6,9,1
pdnc,qID,Q3-0,you,5619,5622,6,12,1
pdnc,qID,Q3-0,your,5634,5638,6,12,1
pdnc,qID,Q4-0,My mother,5756,5765,4,13,1
pdnc,qID,Q4-0,She,5825,5828,4,13,1
pdnc,qID,Q4-0,she,5834,5837,4,13,1
pdnc,qID,Q5-0,you,6040,6043,6,14,1
pdnc,qID,Q5-0,your mother,6070,6081,4,14,1
pdnc,qID,Q5-0,you,6102,6105,6,14,1
pdnc,qID,Q6-0,She,6119,6122,4,15,1
pdnc,qID,Q9-0,you,6411,6414,6,18,1
pdnc,qID,Q10-0,you,6465,6468,8,19,1
pdnc,qID,Q12-0,my sister,6916,6925,0,21,1
pdnc,qID,Q12-1,She,6958,6961,0,21,1
pdnc,qID,Q14-0,My sister,7143,7152,0,23,1
pdnc,qID,Q14-1,She,7191,7194,0,23,1
pdnc,qID,Q15-0,your,7240,7244,6,24,1
pdnc,qID,Q15-0,hers,7256,7260,0,24,1
pdnc,qID,Q17-0,Randolph,7946,7954,6,26,1
pdnc,qID,Q17-1,you,7988,7991,6,26,1
pdnc,qID,Q20-0,He,8201,8203,8,29,1
pdnc,qID,Q21-0,you,8368,8371,6,30,1
pdnc,qID,Q23-0,you,9360,9363,6,32,1
pdnc,qID,Q25-0,You,9428,9431,6,34,1
pdnc,qID,Q25-0,you,9450,9453,6,34,1
pdnc,qID,Q27-0,you,9704,9707,6,36,1
pdnc,qID,Q28-0,you,9771,9774,0,37,1
pdnc,qID,Q29-0,sir,9886,9889,8,38,1
pdnc,qID,Q30-0,you,9938,9941,0,39,1
pdnc,qID,Q31-1,Randolph,10073,10081,6,40,1
pdnc,qID,Q37-1,you,10432,10435,6,46,1
pdnc,qID,Q37-1,mother,10463,10469,4,46,1
pdnc,qID,Q40-0,you,12981,12984,8,48,1
pdnc,qID,Q41-0,your,13148,13152,6,49,1
