source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,daisy miller,DAISY MILLER,0,12,0,1,-1,M_0
exp,exp_name,winterbourne,Winterbourne,3403,3415,8,6,1,M_1
booknlp,COREF,43,he,3478,3480,8,6,1,M_2
booknlp,COREF,43,he,3524,3526,8,6,1,M_3
booknlp,COREF,43,his,3595,3598,8,6,1,M_4
booknlp,COREF,43,he,3656,3658,8,6,1,M_5
booknlp,COREF,43,him,3717,3720,8,6,1,M_6
booknlp,COREF,43,his,3741,3744,8,7,1,M_7
booknlp,COREF,43,he,3795,3797,8,7,1,M_8
booknlp,COREF,43,he,3840,3842,8,7,1,M_9
booknlp,COREF,43,his,3858,3861,8,7,1,M_10
booknlp,COREF,43,He,3873,3875,8,7,1,M_11
booknlp,COREF,43,his,3893,3896,8,7,1,M_12
booknlp,COREF,43,he,3912,3914,8,7,1,M_13
booknlp,COREF,43,him,3976,3979,8,7,1,M_14
booknlp,COREF,43,he,4070,4072,8,7,1,M_15
booknlp,COREF,43,his,4082,4085,8,7,1,M_16
exp,exp_name,the child,The child,4191,4200,6,7,1,M_17
booknlp,COREF,150,his,4225,4228,6,7,1,M_18
booknlp,COREF,150,He,4321,4323,6,7,1,M_19
booknlp,COREF,150,his,4391,4394,6,7,1,M_20
booknlp,COREF,150,he,4423,4425,6,7,1,M_21
booknlp,COREF,150,He,4460,4462,6,7,1,M_22
booknlp,COREF,150,his,4474,4477,6,7,1,M_23
booknlp,COREF,150,he,4527,4529,6,7,1,M_24
booknlp,COREF,150,he,4558,4560,6,7,1,M_25
exp,exp_name,winterbourne,Winterbourne,4656,4668,8,7,1,M_26
booknlp,COREF,43,he,4669,4671,8,7,1,M_27
booknlp,COREF,43,him,4691,4694,8,7,1,M_28
pdnc,qID,Q0-0,you,4750,4753,8,8,1,M_29
booknlp,COREF,43,me,4759,4761,8,8,1,M_30
booknlp,COREF,43,he,4780,4782,8,8,1,M_31
exp,exp_name,winterbourne,Winterbourne,4867,4879,8,9,1,M_32
booknlp,COREF,43,him,4912,4915,8,9,1,M_33
booknlp,COREF,43,his,4926,4929,8,9,1,M_34
pdnc,qID,Q1-0,you,5007,5010,6,9,1,M_35
booknlp,COREF,43,he,5026,5028,8,9,1,M_36
booknlp,COREF,43,I,5044,5045,8,9,1,M_37
booknlp,COREF,150,he,5191,5193,6,10,1,M_38
booknlp,COREF,150,his,5218,5221,6,10,1,M_39
booknlp,COREF,150,He,5289,5291,6,10,1,M_40
booknlp,COREF,150,his,5298,5301,6,10,1,M_41
exp,exp_name,winterbourne,Winterbourne,5334,5346,8,10,1,M_42
booknlp,COREF,150,his,5397,5400,6,10,1,M_43
booknlp,COREF,150,he,5437,5439,6,11,1,M_44
exp,exp_name,winterbourne,Winterbourne,5500,5512,8,12,1,M_45
booknlp,COREF,43,he,5544,5546,8,12,1,M_46
pdnc,qID,Q3-0,you,5619,5622,6,12,1,M_47
pdnc,qID,Q3-0,your,5634,5638,6,12,1,M_48
booknlp,COREF,43,he,5647,5649,8,12,1,M_49
pdnc,qID,Q4-0,My mother,5756,5765,4,13,1,M_50
pdnc,qID,Q4-0,She,5825,5828,4,13,1,M_51
pdnc,qID,Q4-0,she,5834,5837,4,13,1,M_52
exp,exp_name,winterbourne,Winterbourne,6006,6018,8,14,1,M_53
pdnc,qID,Q5-0,you,6040,6043,6,14,1,M_54
pdnc,qID,Q5-0,your mother,6070,6081,4,14,1,M_55
pdnc,qID,Q5-0,you,6102,6105,6,14,1,M_56
booknlp,COREF,43,he,6108,6110,8,14,1,M_57
pdnc,qID,Q6-0,She,6119,6122,4,15,1,M_58
booknlp,COREF,43,his,6168,6171,8,15,1,M_59
exp,exp_name,winterbourne,Winterbourne,6335,6347,8,16,1,M_60
booknlp,COREF,150,I,6351,6352,6,17,1,M_61
booknlp,COREF,150,I,6365,6366,6,17,1,M_62
exp,exp_name,the child,the child,6392,6401,6,17,1,M_63
booknlp,COREF,43,I,6405,6406,8,18,1,M_64
pdnc,qID,Q9-0,you,6411,6414,6,18,1,M_65
exp,exp_name,winterbourne,Winterbourne,6445,6457,8,18,1,M_66
pdnc,qID,Q10-0,you,6465,6468,8,19,1,M_67
exp,exp_name,winterbourne,Winterbourne,6531,6543,8,19,1,M_68
booknlp,COREF,43,His,6608,6611,8,20,1,M_69
booknlp,COREF,43,him,6630,6633,8,20,1,M_70
exp,exp_name,the child,the child,6658,6667,6,20,1,M_71
booknlp,COREF,150,his,6696,6699,6,20,1,M_72
