paraID,startByte,endByte,chapID
1,0,21,-1
2,23,35,-1
3,37,106,-1
4,112,118,1
5,121,2040,1
6,2042,3721,1
7,3723,4742,1
8,4744,4865,1
9,4867,5089,1
10,5091,5407,1
11,5409,5498,1
12,5500,5667,1
13,5669,6004,1
14,6006,6116,1
15,6118,6274,1
16,6276,6348,1
17,6350,6402,1
18,6404,6458,1
19,6460,6606,1
20,6608,6902,1
21,6904,6982,1
22,6984,7140,1
23,7142,7219,1
24,7221,7679,1
25,7681,7943,1
26,7945,7999,1
27,8001,8145,1
28,8147,8198,1
29,8200,8265,1
30,8267,8414,1
31,8416,9329,1
32,9331,9389,1
33,9391,9425,1
34,9427,9484,1
35,9486,9544,1
36,9546,9764,1
37,9766,9841,1
38,9843,9931,1
39,9933,10014,1
40,10016,10116,1
41,10118,10152,1
42,10154,10189,1
43,10191,10277,1
44,10279,10336,1
45,10338,10390,1
46,10392,10485,1
47,10487,10581,1
48,10583,13137,1
49,13139,13176,1
50,13178,13296,1
51,13298,13368,1
52,13370,13433,1
53,13435,13545,1
54,13547,13611,1
55,13613,13665,1
56,13667,13728,1
57,13730,13976,1
58,13978,14266,1
59,14268,14526,1
60,14528,14555,1
61,14557,14708,1
62,14710,14771,1
63,14773,15507,1
64,15509,15557,1
65,15559,15664,1
66,15666,15713,1
67,15715,17641,1
68,17643,17695,1
69,17697,18805,1
70,18807,20896,1
71,20898,21034,1
72,21036,21123,1
73,21125,21280,1
74,21282,21419,1
75,21421,21464,1
76,21466,21519,1
77,21521,21850,1
78,21852,21938,1
79,21940,22247,1
80,22249,22375,1
81,22377,22481,1
82,22483,22562,1
83,22564,22620,1
84,22622,22840,1
85,22842,23112,1
86,23114,23154,1
87,23156,23238,1
88,23240,23274,1
89,23276,23500,1
90,23502,24073,1
91,24075,24243,1
92,24245,24340,1
93,24342,24510,1
94,24512,24738,1
95,24740,24788,1
96,24790,24873,1
97,24875,25205,1
98,25207,25527,1
99,25529,25915,1
100,25917,27475,1
101,27477,27627,1
102,27629,27757,1
103,27759,27807,1
104,27809,27871,1
105,27873,27936,1
106,27938,27987,1
107,27989,28061,1
108,28063,28282,1
109,28284,28346,1
110,28348,28438,1
111,28440,28495,1
112,28497,28867,1
113,28869,29087,1
114,29089,29196,1
115,29198,29249,1
116,29251,29295,1
117,29297,29372,1
118,29374,29401,1
119,29403,29462,1
120,29464,29500,1
121,29502,29574,1
122,29576,29643,1
123,29645,29844,1
124,29846,30057,1
125,30059,30119,1
126,30121,30176,1
127,30178,30357,1
128,30359,30392,1
129,30394,30484,1
130,30486,30784,1
131,30786,30876,1
132,30878,30905,1
133,30907,31027,1
134,31029,31105,1
135,31107,31143,1
136,31145,31309,1
137,31311,31400,1
138,31402,31503,1
139,31505,31936,1
140,31938,32588,1
141,32590,32626,1
142,32628,32719,1
143,32721,32743,1
144,32745,33057,1
145,33059,33118,1
146,33120,34536,1
147,34538,34653,1
148,34655,34782,1
149,34784,34888,1
150,34890,35179,1
151,35181,35358,1
152,35360,36670,1
153,36672,36769,1
154,36771,36920,1
155,36922,37030,1
156,37032,37212,1
157,37214,37352,1
158,37354,37410,1
159,37412,37455,1
160,37457,37521,1
161,37523,37964,1
162,37966,38062,1
163,38064,38664,1
164,38666,39242,1
165,39244,39307,1
166,39309,39368,1
167,39370,39423,1
168,39425,39483,1
169,39485,39610,1
170,39612,39776,1
171,39778,39850,1
172,39852,39975,1
173,39977,40041,1
174,40043,40092,1
175,40094,40224,1
176,40226,40293,1
177,40295,40354,1
178,40356,40404,1
179,40406,40471,1
180,40473,40517,1
181,40519,40680,1
182,40682,40765,1
183,40767,40803,1
184,40805,40905,1
185,40907,41306,1
186,41308,41522,1
187,41524,41565,1
188,41567,41657,1
189,41659,41864,1
190,41866,42382,1
191,42384,42499,1
192,42501,42682,1
193,42684,43000,1
194,43002,43495,1
195,43497,43532,1
196,43534,43569,1
197,43571,43613,1
198,43615,43638,1
199,43640,43664,1
200,43666,43709,1
201,43711,43913,1
