chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,4,37,46,5,49,51,17920
2,52,17924,17934,53,17937,66,27833
3,67,27837,27848,68,27851,82,38492
4,83,38496,38506,84,38509,128,57613
5,129,57617,57626,130,57629,160,68343
6,161,68347,68357,162,68360,205,83433
7,206,83437,83448,207,83451,253,96573
8,254,96577,96589,255,96592,312,119927
9,313,119931,119941,314,119944,425,145850
10,426,145854,145863,427,145866,467,160215
11,468,160219,160229,469,160232,496,172225
12,497,172229,172240,498,172243,559,189864
13,560,189868,189880,561,189883,606,206450
14,607,206454,206465,608,206468,634,219710
15,635,219714,219724,636,219727,674,238234
16,675,238238,238249,676,238252,695,248913
17,696,248917,248929,697,248932,711,255638
18,712,255642,255655,713,255658,750,269459
19,751,269463,269472,752,269475,784,285572
20,785,285576,285586,786,285589,802,299399
21,803,299401,299412,804,299415,861,320495
22,862,320499,320509,863,320512,876,329894
23,877,329898,329907,878,329910,926,348237
24,927,348241,348251,928,348254,970,364938
25,971,364942,364953,972,364956,993,377722
26,994,377726,377738,995,377741,1096,413428
27,1097,413432,413442,1098,413445,1150,430486
28,1151,430490,430499,1152,430502,1206,441553
29,1207,441557,441567,1208,441570,1267,459452
30,1268,459456,459467,1269,459470,1310,471353
31,1311,471357,471369,1312,471372,1327,482390
32,1328,482394,482405,1329,482408,1389,503299
33,1390,503303,503313,1391,503316,1434,520039
34,1435,520043,520054,1436,520057,1494,537131
35,1495,537135,537147,1496,537150,1525,549099
36,1526,549103,549116,1527,549119,1577,564421
37,1578,564425,564434,1579,564437,1590,571437
38,1591,571441,571451,1592,571454,1651,596075
39,1652,596077,596088,1653,596091,1665,605757
40,1666,605761,605771,1667,605774,1706,617038
41,1707,617042,617051,1708,617054,1747,633616
42,1748,633620,633630,1749,633633,1824,662049
43,1825,662053,662064,1826,662067,1888,680468
44,1889,680472,680484,1890,680487,1923,695532
45,1924,695536,695546,1925,695549,1945,709525
46,1946,709529,709538,1947,709541,2015,726877
47,2016,726881,726891,2017,726894,2066,751059
48,2067,751063,751074,2068,751077,2088,767934
49,2089,767938,767950,2090,767953,2131,786799
50,2132,786803,786814,2133,786817,2145,807211
51,2146,807215,807225,2147,807228,2184,820367
52,2185,820371,820382,2186,820385,2244,838654
53,2245,838658,838670,2246,838673,2281,855770
54,2282,855774,855787,2283,855790,2362,876019
55,2363,876023,876034,2364,876037,2376,883052
