source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,Poor Miss Taylor,6317,6333,15,15,1
pdnc,qID,Q0-0,she,6343,6346,15,15,1
pdnc,qID,Q0-0,Mr. Weston,6387,6397,9,15,1
pdnc,qID,Q0-0,her,6414,6417,15,15,1
pdnc,qID,Q1-0,papa,6447,6451,10,16,1
pdnc,qID,Q1-0,you,6453,6456,10,16,1
pdnc,qID,Q1-0,Mr. Weston,6472,6482,9,16,1
pdnc,qID,Q1-0,he,6538,6540,9,16,1
pdnc,qID,Q1-0,you,6579,6582,10,16,1
pdnc,qID,Q1-0,Miss Taylor,6602,6613,15,16,1
pdnc,qID,Q1-0,she,6671,6674,15,16,1
pdnc,qID,Q1-0,her,6697,6700,15,16,1
pdnc,qID,Q2-0,her,6720,6723,15,17,1
pdnc,qID,Q2-0,her,6771,6774,15,17,1
pdnc,qID,Q2-0,you,6815,6818,0,17,1
pdnc,qID,Q2-0,my dear,6847,6854,0,17,1
pdnc,qID,Q4-0,My dear,7020,7027,0,19,1
pdnc,qID,Q5-0,papa,7119,7123,10,20,1
pdnc,qID,Q5-0,your,7143,7147,10,20,1
pdnc,qID,Q7-0,Mr. Weston,7377,7387,9,22,1
pdnc,qID,Q7-0,papa,7398,7402,10,22,1
pdnc,qID,Q7-0,You,7404,7407,10,22,1
pdnc,qID,Q7-0,we,7413,7415,0,22,1
pdnc,qID,Q7-0,We,7447,7449,0,22,1
pdnc,qID,Q7-0,Mr. Weston,7474,7484,9,22,1
pdnc,qID,Q7-0,you,7515,7518,10,22,1
pdnc,qID,Q7-0,your,7690,7694,10,22,1
pdnc,qID,Q7-0,papa,7702,7706,10,22,1
pdnc,qID,Q7-0,You,7708,7711,10,22,1
pdnc,qID,Q7-0,you,7770,7773,10,22,1
pdnc,qID,Q7-0,you,7812,7815,10,22,1
pdnc,qID,Q8-0,poor Miss Taylor,8363,8379,15,23,1
pdnc,qID,Q8-0,her,8403,8406,15,23,1
pdnc,qID,Q8-0,she,8412,8415,15,23,1
pdnc,qID,Q8-0,you,8478,8481,0,23,1
pdnc,qID,Q8-0,she,8488,8491,15,23,1
pdnc,qID,Q8-0,her,8539,8542,15,23,1
pdnc,qID,Q9-0,you,9691,9694,6,25,1
pdnc,qID,Q9-0,Mr. Knightley,9696,9709,6,25,1
pdnc,qID,Q9-0,you,9770,9773,6,25,1
pdnc,qID,Q10-0,sir,9820,9823,10,26,1
pdnc,qID,Q10-0,your,9899,9903,10,26,1
pdnc,qID,Q11-0,you,9923,9926,6,27,1
pdnc,qID,Q11-0,you,9974,9977,6,27,1
pdnc,qID,Q12-0,sir,10008,10011,10,28,1
pdnc,qID,Q15-0,poor Miss Taylor,10489,10505,15,31,1
pdnc,qID,Q16-0,you,10563,10566,10,32,1
pdnc,qID,Q17-0,you,10647,10650,10,32,1
pdnc,qID,Q17-0,Emma,10655,10659,0,32,1
pdnc,qID,Q18-1,you,10911,10914,6,33,1
pdnc,qID,Q18-1,your,10923,10927,6,33,1
pdnc,qID,Q18-1,you,10951,10954,6,33,1
pdnc,qID,Q18-1,my father,10978,10987,10,33,1
pdnc,qID,Q19-0,my dear,11031,11038,0,34,1
pdnc,qID,Q20-0,My dearest papa,11144,11159,10,35,1
pdnc,qID,Q20-0,You,11161,11164,10,35,1
pdnc,qID,Q20-0,you,11192,11195,10,35,1
pdnc,qID,Q20-0,Mr. Knightley,11209,11222,6,35,1
pdnc,qID,Q20-0,you,11232,11235,10,35,1
pdnc,qID,Q20-0,Mr. Knightley,11288,11301,6,35,1
pdnc,qID,Q20-0,you,11331,11334,10,35,1
pdnc,qID,Q21-0,Emma,11778,11782,0,37,1
pdnc,qID,Q21-0,her,11805,11808,0,37,1
pdnc,qID,Q21-1,Miss Taylor,11871,11882,15,37,1
pdnc,qID,Q22-1,you,12044,12047,6,38,1
pdnc,qID,Q22-1,you,12109,12112,6,38,1
pdnc,qID,Q23-0,Dear Emma,12356,12365,0,39,1
pdnc,qID,Q23-1,Mr. Knightley,12417,12430,6,39,1
pdnc,qID,Q23-1,she,12432,12435,0,39,1
pdnc,qID,Q23-1,poor Miss Taylor,12465,12481,15,39,1
pdnc,qID,Q23-1,she,12497,12500,0,39,1
pdnc,qID,Q23-1,she,12527,12530,0,39,1
pdnc,qID,Q24-0,Emma,12629,12633,0,40,1
pdnc,qID,Q24-1,sir,12731,12734,10,40,1
pdnc,qID,Q24-1,she,12764,12767,0,40,1
pdnc,qID,Q24-1,Miss Taylor,12802,12813,15,40,1
pdnc,qID,Q24-1,she,12827,12830,0,40,1
pdnc,qID,Q24-1,Miss Taylor,12872,12883,15,40,1
