source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,emma,EMMA,0,4,0,1,-1,M_0
exp,exp_name,jane,Jane,9,13,4,2,-1,M_1
exp,exp_name,emma woodhouse,Emma Woodhouse,49,63,0,5,1,M_2
booknlp,COREF,94,her,284,287,0,5,1,M_3
booknlp,COREF,94,She,290,293,0,6,1,M_4
booknlp,COREF,94,her,401,404,0,6,1,M_5
booknlp,COREF,94,Her,477,480,0,6,1,M_6
booknlp,COREF,94,her,514,517,0,6,1,M_7
booknlp,COREF,94,her,583,586,0,6,1,M_8
exp,exp_name,miss taylor,Miss Taylor,720,731,15,7,1,M_9
exp,exp_name,mr. woodhouse,Mr. Woodhouse,740,753,10,7,1,M_10
exp,exp_name,emma,Emma,848,852,0,7,1,M_11
exp,exp_name,miss taylor,Miss Taylor,918,929,15,7,1,M_12
exp,exp_name,emma,Emma,1192,1196,0,7,1,M_13
booknlp,COREF,94,she,1213,1216,0,7,1,M_14
exp,exp_name,miss taylor,Miss Taylor,1241,1252,15,7,1,M_15
booknlp,COREF,94,her,1289,1292,0,7,1,M_16
exp,exp_name,emma,Emma,1326,1330,0,8,1,M_17
booknlp,COREF,94,her,1384,1387,0,8,1,M_18
booknlp,COREF,94,herself,1445,1452,0,8,1,M_19
booknlp,COREF,94,her,1509,1512,0,8,1,M_20
booknlp,COREF,94,her,1638,1641,0,8,1,M_21
exp,exp_name,miss taylor,Miss Taylor,1738,1749,15,9,1,M_22
exp,exp_name,miss taylor,Miss Taylor,1766,1777,15,9,1,M_23
exp,exp_name,emma,Emma,1866,1870,0,9,1,M_24
booknlp,COREF,94,her,1966,1969,0,9,1,M_25
booknlp,COREF,94,herself,1981,1988,0,9,1,M_26
booknlp,COREF,94,Her,2070,2073,0,9,1,M_27
booknlp,COREF,94,she,2135,2138,0,9,1,M_28
booknlp,COREF,94,she,2178,2181,0,9,1,M_29
booknlp,COREF,94,her,2238,2241,0,10,1,M_30
exp,exp_name,mr. weston,Mr. Weston,2250,2260,9,10,1,M_31
booknlp,COREF,94,she,2442,2445,0,10,1,M_32
booknlp,COREF,94,her,2526,2529,0,10,1,M_33
exp,exp_name,miss taylor,Miss Taylor,2543,2554,15,10,1,M_34
booknlp,COREF,94,She,2594,2597,0,10,1,M_35
booknlp,COREF,94,her,2607,2610,0,10,1,M_36
booknlp,COREF,94,she,2676,2679,0,10,1,M_37
booknlp,COREF,94,she,2699,2702,0,10,1,M_38
booknlp,COREF,94,her,2719,2722,0,10,1,M_39
booknlp,COREF,94,she,2748,2751,0,10,1,M_40
booknlp,COREF,94,her,2768,2771,0,10,1,M_41
booknlp,COREF,94,her,2799,2802,0,10,1,M_42
booknlp,COREF,94,her,2829,2832,0,10,1,M_43
exp,exp_name,isabella,Isabella,3028,3036,3,10,1,M_44
booknlp,COREF,94,She,3125,3128,0,10,1,M_45
booknlp,COREF,94,herself,3325,3332,0,10,1,M_46
booknlp,COREF,94,hers,3369,3373,0,10,1,M_47
booknlp,COREF,94,she,3387,3390,0,10,1,M_48
booknlp,COREF,94,her,3464,3467,0,10,1,M_49
booknlp,COREF,94,she,3504,3507,0,11,1,M_50
booknlp,COREF,94,her,3546,3549,0,11,1,M_51
exp,exp_name,emma,Emma,3599,3603,0,11,1,M_52
exp,exp_name,mrs. weston,Mrs. Weston,3658,3669,15,11,1,M_53
exp,exp_name,miss taylor,Miss Taylor,3705,3716,15,11,1,M_54
booknlp,COREF,94,her,3744,3747,0,11,1,M_55
booknlp,COREF,94,she,3782,3785,0,11,1,M_56
booknlp,COREF,94,She,3851,3854,0,11,1,M_57
booknlp,COREF,94,her,3868,3871,0,11,1,M_58
booknlp,COREF,94,her,3908,3911,0,11,1,M_59
booknlp,COREF,94,her,3931,3934,0,11,1,M_60
exp,exp_name,mr. woodhouse,Mr. Woodhouse,4026,4039,10,12,1,M_61
booknlp,COREF,94,Her,4387,4390,0,13,1,M_62
booknlp,COREF,94,her,4518,4521,0,13,1,M_63
exp,exp_name,isabella,Isabella,4665,4673,3,13,1,M_64
booknlp,COREF,87,her,4678,4681,3,13,1,M_65
booknlp,COREF,94,her,4746,4749,0,13,1,M_66
booknlp,COREF,94,her,4951,4954,0,14,1,M_67
booknlp,COREF,94,She,5037,5040,0,14,1,M_68
booknlp,COREF,94,her,5081,5084,0,14,1,M_69
exp,exp_name,miss taylor,Miss Taylor,5171,5182,15,14,1,M_70
exp,exp_name,emma,Emma,5236,5240,0,14,1,M_71
booknlp,COREF,94,her,5306,5309,0,14,1,M_72
exp,exp_name,miss taylor,Miss Taylor,5798,5809,15,14,1,M_73
exp,exp_name,miss taylor,Miss Taylor,5983,5994,15,14,1,M_74
exp,exp_name,emma,Emma,6141,6145,0,14,1,M_75
booknlp,COREF,94,she,6182,6185,0,14,1,M_76
pdnc,qID,Q0-0,Poor Miss Taylor,6317,6333,15,15,1,M_77
pdnc,qID,Q0-0,she,6343,6346,15,15,1,M_78
pdnc,qID,Q0-0,Mr. Weston,6387,6397,9,15,1,M_79
pdnc,qID,Q0-0,her,6414,6417,15,15,1,M_80
pdnc,qID,Q1-0,papa,6447,6451,10,16,1,M_81
pdnc,qID,Q1-0,you,6453,6456,10,16,1,M_82
pdnc,qID,Q1-0,Mr. Weston,6472,6482,9,16,1,M_83
pdnc,qID,Q1-0,he,6538,6540,9,16,1,M_84
pdnc,qID,Q1-0,you,6579,6582,10,16,1,M_85
pdnc,qID,Q1-0,Miss Taylor,6602,6613,15,16,1,M_86
pdnc,qID,Q1-0,she,6671,6674,15,16,1,M_87
pdnc,qID,Q1-0,her,6697,6700,15,16,1,M_88
pdnc,qID,Q2-0,her,6720,6723,15,17,1,M_89
pdnc,qID,Q2-0,her,6771,6774,15,17,1,M_90
pdnc,qID,Q2-0,you,6815,6818,0,17,1,M_91
pdnc,qID,Q2-0,my dear,6847,6854,0,17,1,M_92
pdnc,qID,Q4-0,My dear,7020,7027,0,19,1,M_93
pdnc,qID,Q5-0,papa,7119,7123,10,20,1,M_94
pdnc,qID,Q5-0,your,7143,7147,10,20,1,M_95
pdnc,qID,Q7-0,Mr. Weston,7377,7387,9,22,1,M_96
pdnc,qID,Q7-0,papa,7398,7402,10,22,1,M_97
pdnc,qID,Q7-0,You,7404,7407,10,22,1,M_98
pdnc,qID,Q7-0,we,7413,7415,0,22,1,M_99
pdnc,qID,Q7-0,We,7447,7449,0,22,1,M_100
pdnc,qID,Q7-0,Mr. Weston,7474,7484,9,22,1,M_101
pdnc,qID,Q7-0,you,7515,7518,10,22,1,M_102
booknlp,COREF,86,he,7536,7538,9,22,1,M_103
booknlp,COREF,86,his,7586,7589,9,22,1,M_104
booknlp,COREF,86,he,7645,7647,9,22,1,M_105
pdnc,qID,Q7-0,your,7690,7694,10,22,1,M_106
pdnc,qID,Q7-0,papa,7702,7706,10,22,1,M_107
pdnc,qID,Q7-0,You,7708,7711,10,22,1,M_108
pdnc,qID,Q7-0,you,7770,7773,10,22,1,M_109
pdnc,qID,Q7-0,you,7812,7815,10,22,1,M_110
pdnc,qID,Q8-0,poor Miss Taylor,8363,8379,15,23,1,M_111
pdnc,qID,Q8-0,her,8403,8406,15,23,1,M_112
pdnc,qID,Q8-0,she,8412,8415,15,23,1,M_113
pdnc,qID,Q8-0,you,8478,8481,0,23,1,M_114
pdnc,qID,Q8-0,she,8488,8491,15,23,1,M_115
pdnc,qID,Q8-0,her,8539,8542,15,23,1,M_116
exp,exp_name,emma,Emma,8561,8565,0,24,1,M_117
booknlp,COREF,94,her,8671,8674,0,24,1,M_118
booknlp,COREF,94,her,8747,8750,0,24,1,M_119
exp,exp_name,mr. knightley,Mr. Knightley,8862,8875,6,25,1,M_120
exp,exp_name,isabella,Isabella,9044,9052,3,25,1,M_121
booknlp,COREF,93,Hartfield,9327,9336,0,25,1,M_122
exp,exp_name,mr. woodhouse,Mr. Woodhouse,9426,9439,10,25,1,M_123
exp,exp_name,mr. knightley,Mr. Knightley,9455,9468,6,25,1,M_124
exp,exp_name,isabella,Isabella,9554,9562,3,25,1,M_125
booknlp,COREF,87,her,9568,9571,3,25,1,M_126
exp,exp_name,mr. woodhouse,Mr. Woodhouse,9636,9649,10,25,1,M_127
pdnc,qID,Q9-0,you,9691,9694,6,25,1,M_128
pdnc,qID,Q9-0,Mr. Knightley,9696,9709,6,25,1,M_129
booknlp,COREF,85,I,9758,9759,10,25,1,M_130
pdnc,qID,Q9-0,you,9770,9773,6,25,1,M_131
pdnc,qID,Q10-0,sir,9820,9823,10,26,1,M_132
booknlp,COREF,87,I,9877,9878,3,26,1,M_133
pdnc,qID,Q10-0,your,9899,9903,10,26,1,M_134
pdnc,qID,Q11-0,you,9923,9926,6,27,1,M_135
booknlp,COREF,85,I,9967,9968,10,27,1,M_136
pdnc,qID,Q11-0,you,9974,9977,6,27,1,M_137
pdnc,qID,Q12-0,sir,10008,10011,10,28,1,M_138
booknlp,COREF,87,my,10021,10023,3,28,1,M_139
booknlp,COREF,85,I,10200,10201,10,29,1,M_140
booknlp,COREF,87,I,10253,10254,3,30,1,M_141
booknlp,COREF,87,I,10350,10351,3,30,1,M_142
booknlp,COREF,87,my,10379,10381,3,30,1,M_143
booknlp,COREF,87,I,10403,10404,3,30,1,M_144
pdnc,qID,Q15-0,poor Miss Taylor,10489,10505,15,31,1,M_145
booknlp,COREF,85,Poor Mr.,10531,10539,10,32,1,M_146
exp,exp_name,miss woodhouse,Miss Woodhouse,10544,10558,0,32,1,M_147
pdnc,qID,Q16-0,you,10563,10566,10,32,1,M_148
booknlp,COREF,87,I,10579,10580,3,32,1,M_149
exp,exp_name,miss taylor,Miss Taylor,10607,10618,15,32,1,M_150
booknlp,COREF,87,I,10621,10622,3,32,1,M_151
pdnc,qID,Q17-0,you,10647,10650,10,32,1,M_152
pdnc,qID,Q17-0,Emma,10655,10659,0,32,1,M_153
exp,exp_name,emma,Emma,10881,10885,0,33,1,M_154
pdnc,qID,Q18-1,you,10911,10914,6,33,1,M_155
pdnc,qID,Q18-1,your,10923,10927,6,33,1,M_156
booknlp,COREF,94,I,10934,10935,0,33,1,M_157
pdnc,qID,Q18-1,you,10951,10954,6,33,1,M_158
pdnc,qID,Q18-1,my father,10978,10987,10,33,1,M_159
booknlp,COREF,85,I,11004,11005,10,34,1,M_160
pdnc,qID,Q19-0,my dear,11031,11038,0,34,1,M_161
exp,exp_name,mr. woodhouse,Mr. Woodhouse,11054,11067,10,34,1,M_162
booknlp,COREF,85,I,11083,11084,10,34,1,M_163
booknlp,COREF,85,I,11095,11096,10,34,1,M_164
pdnc,qID,Q20-0,My dearest papa,11144,11159,10,35,1,M_165
pdnc,qID,Q20-0,You,11161,11164,10,35,1,M_166
pdnc,qID,Q20-0,you,11192,11195,10,35,1,M_167
pdnc,qID,Q20-0,Mr. Knightley,11209,11222,6,35,1,M_168
pdnc,qID,Q20-0,you,11232,11235,10,35,1,M_169
pdnc,qID,Q20-0,Mr. Knightley,11288,11301,6,35,1,M_170
pdnc,qID,Q20-0,you,11331,11334,10,35,1,M_171
exp,exp_name,mr. knightley,Mr. Knightley,11415,11428,6,36,1,M_172
exp,exp_name,emma woodhouse,Emma Woodhouse,11489,11503,0,36,1,M_173
booknlp,COREF,94,her,11536,11539,0,36,1,M_174
exp,exp_name,emma,Emma,11599,11603,0,36,1,M_175
booknlp,COREF,94,herself,11604,11611,0,36,1,M_176
booknlp,COREF,94,she,11613,11616,0,36,1,M_177
booknlp,COREF,94,her,11653,11656,0,36,1,M_178
booknlp,COREF,94,she,11670,11673,0,36,1,M_179
booknlp,COREF,94,her,11731,11734,0,36,1,M_180
pdnc,qID,Q21-0,Emma,11778,11782,0,37,1,M_181
pdnc,qID,Q21-0,her,11805,11808,0,37,1,M_182
exp,exp_name,mr. knightley,Mr. Knightley,11816,11829,6,37,1,M_183
pdnc,qID,Q21-1,Miss Taylor,11871,11882,15,37,1,M_184
exp,exp_name,emma,Emma,12013,12017,0,38,1,M_185
pdnc,qID,Q22-1,you,12044,12047,6,38,1,M_186
booknlp,COREF,94,I,12084,12085,0,38,1,M_187
pdnc,qID,Q22-1,you,12109,12112,6,38,1,M_188
pdnc,qID,Q23-0,Dear Emma,12356,12365,0,39,1,M_189
booknlp,COREF,94,her,12399,12402,0,39,1,M_190
pdnc,qID,Q23-1,Mr. Knightley,12417,12430,6,39,1,M_191
pdnc,qID,Q23-1,she,12432,12435,0,39,1,M_192
pdnc,qID,Q23-1,poor Miss Taylor,12465,12481,15,39,1,M_193
pdnc,qID,Q23-1,she,12497,12500,0,39,1,M_194
pdnc,qID,Q23-1,she,12527,12530,0,39,1,M_195
exp,exp_name,emma,Emma,12545,12549,0,40,1,M_196
booknlp,COREF,94,her,12562,12565,0,40,1,M_197
pdnc,qID,Q24-0,Emma,12629,12633,0,40,1,M_198
exp,exp_name,mr. knightley,Mr. Knightley,12674,12687,6,40,1,M_199
pdnc,qID,Q24-1,sir,12731,12734,10,40,1,M_200
pdnc,qID,Q24-1,she,12764,12767,0,40,1,M_201
pdnc,qID,Q24-1,Miss Taylor,12802,12813,15,40,1,M_202
pdnc,qID,Q24-1,she,12827,12830,0,40,1,M_203
pdnc,qID,Q24-1,Miss Taylor,12872,12883,15,40,1,M_204
