paraID,startByte,endByte,chapID
1,0,4,-1
2,6,20,-1
3,25,33,-1
4,37,46,1
5,49,288,1
6,290,700,1
7,702,1297,1
8,1299,1642,1
9,1644,2191,1
10,2193,3494,1
11,3496,3972,1
12,3974,4385,1
13,4387,4773,1
14,4775,6314,1
15,6316,6419,1
16,6421,6706,1
17,6708,6856,1
18,6858,7017,1
19,7019,7112,1
20,7114,7197,1
21,7199,7350,1
22,7352,7817,1
23,7819,8559,1
24,8561,8860,1
25,8862,9805,1
26,9807,9916,1
27,9918,9998,1
28,10000,10052,1
29,10054,10238,1
30,10240,10482,1
31,10484,10528,1
32,10530,10795,1
33,10797,11001,1
34,11003,11141,1
35,11143,11413,1
36,11415,11775,1
37,11777,11998,1
38,12000,12353,1
39,12355,12543,1
40,12545,13144,1
41,13146,13457,1
42,13459,13670,1
43,13672,14478,1
44,14480,14899,1
45,14901,15601,1
46,15603,16267,1
47,16269,16506,1
48,16508,16739,1
49,16741,17273,1
50,17275,17574,1
51,17576,17920,1
52,17924,17934,2
53,17937,18402,2
54,18404,18750,2
55,18752,19800,2
56,19802,20764,2
57,20766,21516,2
58,21518,22401,2
59,22403,23269,2
60,23271,23533,2
61,23535,24372,2
62,24374,24961,2
63,24963,25692,2
64,25694,26330,2
65,26332,27656,2
66,27658,27833,2
67,27837,27848,3
68,27851,28851,3
69,28853,29195,3
70,29197,29573,3
71,29575,31171,3
72,31173,32535,3
73,32537,33037,3
74,33039,33513,3
75,33515,33970,3
76,33972,34339,3
77,34341,35847,3
78,35849,36649,3
79,36651,37041,3
80,37043,37262,3
81,37264,37916,3
82,37918,38492,3
83,38496,38506,4
84,38509,39420,4
85,39422,40385,4
86,40387,40868,4
87,40870,42081,4
88,42083,42770,4
89,42772,43984,4
90,43986,44056,4
91,44058,44345,4
92,44347,44454,4
93,44456,45075,4
94,45077,45100,4
95,45102,45143,4
96,45145,45456,4
97,45458,46010,4
98,46012,46137,4
99,46139,46294,4
100,46296,46430,4
101,46432,46798,4
102,46800,46869,4
103,46871,47376,4
104,47378,47548,4
105,47550,48149,4
