qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,Poor Miss Taylor!--I wish she were here again. What a pity it is that Mr. Weston ever thought of her!,"[6317, 6418]",Mr. Woodhouse,['Emma'],Anaphoric,he had said,"['Poor Miss Taylor', 'she', 'Mr. Weston', 'her']","[[6317, 6333], [6343, 6346], [6387, 6397], [6414, 6417]]","[['Mrs. Weston'], ['Mrs. Weston'], ['Mr. Weston'], ['Mrs. Weston']]",X,0,minor,Emma,15,15,1,1,10,6317,6418
Q1-0,"I cannot agree with you, papa; you know I cannot. Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own?","[6422, 6705]",Emma,['Mr. Woodhouse'],Implicit,,"['papa', 'you', 'Mr. Weston', 'he', 'you', 'Miss Taylor', 'us', 'she', 'her']","[[6447, 6451], [6453, 6456], [6472, 6482], [6538, 6540], [6579, 6582], [6602, 6613], [6624, 6626], [6671, 6674], [6697, 6700]]","[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Woodhouse'], ['Mrs. Weston'], ['Emma', 'Mr. Woodhouse'], ['Mrs. Weston'], ['Mrs. Weston']]",X,1,major,Emma,16,16,1,1,0,6422,6705
Q2-0,"A house of her own!--But where is the advantage of a house of her own? This is three times as large.--And you have never any odd humours, my dear.","[6709, 6855]",Mr. Woodhouse,['Emma'],Implicit,,"['her', 'her', 'you', 'my dear']","[[6720, 6723], [6771, 6774], [6815, 6818], [6847, 6854]]","[['Mrs. Weston'], ['Mrs. Weston'], ['Emma'], ['Emma']]",X,2,minor,Emma,17,17,1,1,10,6709,6855
Q3-0,"How often we shall be going to see them, and they coming to see us!--We shall be always meeting! _We_ must begin; we must go and pay wedding visit very soon.","[6859, 7016]",Emma,['Mr. Woodhouse'],Implicit,,"['we', 'them', 'they', 'us', 'We', 'We', 'we']","[[6869, 6871], [6894, 6898], [6904, 6908], [6923, 6925], [6928, 6930], [6957, 6959], [6973, 6975]]","[['Emma', 'Mr. Woodhouse'], ['Mr. Weston', 'Mrs. Weston'], ['Mr. Weston', 'Mrs. Weston'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]",X,3,major,Emma,18,18,1,1,0,6859,7016
Q4-0,"My dear, how am I to get so far? Randalls is such a distance. I could not walk half so far.","[7020, 7111]",Mr. Woodhouse,['Emma'],Implicit,,['My dear'],"[[7020, 7027]]",[['Emma']],X,4,minor,Emma,19,19,1,1,10,7020,7111
Q5-0,"No, papa, nobody thought of your walking. We must go in the carriage, to be sure.","[7115, 7196]",Emma,['Mr. Woodhouse'],Implicit,,"['papa', 'your', 'We']","[[7119, 7123], [7143, 7147], [7157, 7159]]","[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]",X,5,major,Emma,20,20,1,1,0,7115,7196
Q6-0,The carriage! But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?,"[7200, 7349]",Mr. Woodhouse,['Emma'],Implicit,,"['we', 'our']","[[7325, 7327], [7339, 7342]]","[['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]",X,6,minor,Emma,21,21,1,1,10,7200,7349
Q7-0,"They are to be put into Mr. Weston's stable, papa. You know we have settled all that already. We talked it all over with Mr. Weston last night. And as for James, you may be very sure he will always like going to Randalls, because of his daughter's being housemaid there. I only doubt whether he will ever take us anywhere else. That was your doing, papa. You got Hannah that good place. Nobody thought of Hannah till you mentioned her--James is so obliged to you!","[7353, 7816]",Emma,['Mr. Woodhouse'],Implicit,,"['Mr. Weston', 'papa', 'You', 'we', 'We', 'Mr. Weston', 'you', 'us', 'your', 'papa', 'You', 'you', 'you']","[[7377, 7387], [7398, 7402], [7404, 7407], [7413, 7415], [7447, 7449], [7474, 7484], [7515, 7518], [7663, 7665], [7690, 7694], [7702, 7706], [7708, 7711], [7770, 7773], [7812, 7815]]","[['Mr. Weston'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Emma'], ['Emma'], ['Mr. Weston'], ['Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse']]",X,7,major,Emma,22,22,1,1,0,7353,7816
Q8-0,"I am very glad I did think of her. It was very lucky, for I would not have had poor James think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty-spoken girl; I have a great opinion of her. Whenever I see her, she always curtseys and asks me how I do, in a very pretty manner; and when you have had her here to do needlework, I observe she always turns the lock of the door the right way and never bangs it. I am sure she will be an excellent servant; and it will be a great comfort to poor Miss Taylor to have somebody about her that she is used to see. Whenever James goes over to see his daughter, you know, she will be hearing of us. He will be able to tell her how we all are.","[7820, 8558]",Mr. Woodhouse,['Emma'],Implicit,,"['poor Miss Taylor', 'her', 'she', 'you', 'she', 'us', 'her', 'we']","[[8363, 8379], [8403, 8406], [8412, 8415], [8478, 8481], [8488, 8491], [8511, 8513], [8539, 8542], [8547, 8549]]","[['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston'], ['Emma'], ['Mrs. Weston'], ['Emma', 'Mr. Woodhouse'], ['Mrs. Weston'], ['Emma', 'Mr. Woodhouse']]",X,8,minor,Emma,23,23,1,1,10,7820,8558
Q9-0,"It is very kind of you, Mr. Knightley, to come out at this late hour to call upon us. I am afraid you must have had a shocking walk.","[9672, 9804]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Explicit,Mr Woodhouse gratefully observed,"['you', 'Mr. Knightley', 'us', 'you']","[[9691, 9694], [9696, 9709], [9754, 9756], [9770, 9773]]","[['Mr. Knightley'], ['Mr. Knightley'], ['Emma', 'Mr. Woodhouse'], ['Mr. Knightley']]",X,9,minor,Emma,25,25,1,1,10,9672,9804
Q10-0,"Not at all, sir. It is a beautiful moonlight night; and so mild that I must draw back from your great fire.","[9808, 9915]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"['sir', 'your']","[[9820, 9823], [9899, 9903]]","[['Mr. Woodhouse'], ['Mr. Woodhouse']]",X,10,major,Emma,26,26,1,1,6,9808,9915
Q11-0,But you must have found it very damp and dirty. I wish you may not catch cold.,"[9919, 9997]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Implicit,,"['you', 'you']","[[9923, 9926], [9974, 9977]]","[['Mr. Knightley'], ['Mr. Knightley']]",X,11,minor,Emma,27,27,1,1,10,9919,9997
Q12-0,"Dirty, sir! Look at my shoes. Not a speck on them.","[10001, 10051]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,['sir'],"[[10008, 10011]]",[['Mr. Woodhouse']],X,12,major,Emma,28,28,1,1,6,10001,10051
Q13-0,"Well! that is quite surprising, for we have had a vast deal of rain here. It rained dreadfully hard for half an hour while we were at breakfast. I wanted them to put off the wedding.","[10055, 10237]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Implicit,,"['we', 'we']","[[10091, 10093], [10178, 10180]]","[['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]",X,13,minor,Emma,29,29,1,1,10,10055,10237
Q14-0,"By the bye--I have not wished you joy. Being pretty well aware of what sort of joy you must both be feeling, I have been in no hurry with my congratulations; but I hope it all went off tolerably well. How did you all behave? Who cried most?","[10241, 10481]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"['you', 'you', 'you all']","[[10271, 10274], [10324, 10327], [10450, 10457]]","[['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse']]",X,14,major,Emma,30,30,1,1,6,10241,10481
Q15-0,Ah! poor Miss Taylor! 'Tis a sad business.,"[10485, 10527]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Implicit,,['poor Miss Taylor'],"[[10489, 10505]]",[['Mrs. Weston']],X,15,minor,Emma,31,31,1,1,10,10485,10527
Q16-0,"Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say","[10531, 10600]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"['Poor Mr. and Miss Woodhouse', 'you']","[[10531, 10558], [10563, 10566]]","[['Emma', 'Mr. Woodhouse'], ['Mr. Woodhouse']]",X,16,major,Emma,32,32,1,1,6,10531,10600
Q17-0,"I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two.","[10621, 10794]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Implicit,,"['you', 'Emma']","[[10647, 10650], [10655, 10659]]","[['Mr. Woodhouse'], ['Emma']]",X,17,major,Emma,32,32,1,1,6,10621,10794
Q18-0,"Especially when _one_ of those two is such a fanciful, troublesome creature!","[10798, 10874]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,[],[],[],X,18,major,Emma,33,33,1,1,0,10798,10874
Q18-1,"That is what you have in your head, I know--and what you would certainly say if my father were not by.","[10898, 11000]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,"['you', 'your', 'you', 'my father']","[[10911, 10914], [10923, 10927], [10951, 10954], [10978, 10987]]","[['Mr. Knightley'], ['Mr. Knightley'], ['Mr. Knightley'], ['Mr. Woodhouse']]",X,18,major,Emma,33,33,1,1,0,10898,11000
Q19-0,"I believe it is very true, my dear, indeed,","[11004, 11047]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Explicit,said Mr Woodhouse,['my dear'],"[[11031, 11038]]",[['Emma']],X,19,minor,Emma,34,34,1,1,10,11004,11047
Q19-1,I am afraid I am sometimes very fanciful and troublesome.,"[11083, 11140]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Explicit,said Mr Woodhouse,[],[],[],X,19,minor,Emma,34,34,1,1,10,11083,11140
Q20-0,"My dearest papa! You do not think I could mean _you_, or suppose Mr. Knightley to mean _you_. What a horrible idea! Oh no! I meant only myself. Mr. Knightley loves to find fault with me, you know--in a joke--it is all a joke. We always say what we like to one another.","[11144, 11412]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Implicit,,"['My dearest papa', 'You', 'you', 'Mr. Knightley', 'you', 'Mr. Knightley', 'you', 'We', 'we']","[[11144, 11159], [11161, 11164], [11192, 11195], [11209, 11222], [11232, 11235], [11288, 11301], [11331, 11334], [11370, 11372], [11389, 11391]]","[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Knightley'], ['Mr. Woodhouse'], ['Mr. Knightley'], ['Mr. Woodhouse'], ['Emma', 'Mr. Knightley'], ['Emma', 'Mr. Knightley']]",X,20,major,Emma,35,35,1,1,0,11144,11412
Q21-0,"Emma knows I never flatter her,","[11778, 11809]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Explicit,said Mr Knightley,"['Emma', 'her']","[[11778, 11782], [11805, 11808]]","[['Emma'], ['Emma']]",X,21,major,Emma,37,37,1,1,6,11778,11809
Q21-1,but I meant no reflection on any body. Miss Taylor has been used to have two persons to please; she will now have but one. The chances are that she must be a gainer.,"[11832, 11997]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Explicit,said Mr Knightley,['Miss Taylor'],"[[11871, 11882]]",[['Mrs. Weston']],X,21,major,Emma,37,37,1,1,6,11832,11997
Q22-0,"Well,","[12001, 12006]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,[],[],[],X,22,major,Emma,38,38,1,1,0,12001,12006
Q22-1,"you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly. Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen. Oh no; we all felt that we were going to be only half a mile apart, and were sure of meeting every day.","[12044, 12352]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,"['you', 'you', 'we all', 'we all', 'we']","[[12044, 12047], [12109, 12112], [12118, 12124], [12256, 12262], [12273, 12275]]","[['Mr. Knightley'], ['Mr. Knightley'], ['Emma', 'Mr. Woodhouse'], ['Emma', 'Mr. Woodhouse', 'Mr. Weston', 'Mrs. Weston'], ['Emma', 'Mr. Woodhouse', 'Mr. Weston', 'Mrs. Weston']]",X,22,major,Emma,38,38,1,1,0,12044,12352
Q23-0,"Dear Emma bears every thing so well,","[12356, 12392]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Anaphoric,said her father,['Dear Emma'],"[[12356, 12365]]",[['Emma']],X,23,minor,Emma,39,39,1,1,10,12356,12392
Q23-1,"But, Mr. Knightley, she is really very sorry to lose poor Miss Taylor, and I am sure she _will_ miss her more than she thinks for.","[12412, 12542]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Anaphoric,said her father,"['Mr. Knightley', 'she', 'poor Miss Taylor', 'she', 'she']","[[12417, 12430], [12432, 12435], [12465, 12481], [12497, 12500], [12527, 12530]]","[['Mr. Knightley'], ['Emma'], ['Mrs. Weston'], ['Emma'], ['Emma']]",X,23,minor,Emma,39,39,1,1,10,12412,12542
Q24-0,"It is impossible that Emma should not miss such a companion,","[12607, 12667]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Explicit,said Mr Knightley,['Emma'],"[[12629, 12633]]",[['Emma']],X,24,major,Emma,40,40,1,1,6,12607,12667
Q24-1,"We should not like her so well as we do, sir, if we could suppose it; but she knows how much the marriage is to Miss Taylor's advantage; she knows how very acceptable it must be, at Miss Taylor's time of life, to be settled in a home of her own, and how important to her to be secure of a comfortable provision, and therefore cannot allow herself to feel so much pain as pleasure. Every friend of Miss Taylor must be glad to have her so happily married.","[12690, 13143]",Mr. Knightley,"['Emma', 'Mr. Woodhouse']",Explicit,said Mr Knightley,"['We', 'we', 'sir', 'we', 'she', 'Miss Taylor', 'she', 'Miss Taylor', 'her', 'her', 'Miss Taylor', 'her']","[[12690, 12692], [12724, 12726], [12731, 12734], [12739, 12741], [12764, 12767], [12802, 12813], [12827, 12830], [12872, 12883], [12927, 12930], [12957, 12960], [13087, 13098], [13120, 13123]]","[['Knightley', 'Mr. Woodhouse'], ['Knightley', 'Mr. Woodhouse'], ['Mr. Woodhouse'], ['Knightley', 'Mr. Woodhouse'], ['Emma'], ['Mrs. Weston'], ['Emma'], ['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston'], ['Mrs. Weston']]",X,24,major,Emma,40,40,1,1,6,12690,13143
Q25-0,"And you have forgotten one matter of joy to me,","[13147, 13194]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,['you'],"[[13151, 13154]]",[['Mr. Knightley']],X,25,major,Emma,41,41,1,1,0,13147,13194
Q25-1,"and a very considerable one--that I made the match myself. I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said Mr. Weston would never marry again, may comfort me for any thing.","[13208, 13456]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Explicit,said Emma,['Mr. Weston'],"[[13391, 13401]]",[['Mr. Weston']],X,25,major,Emma,41,41,1,1,0,13208,13456
Q26-0,"Ah! my dear, I wish you would not make matches and foretell things, for whatever you say always comes to pass. Pray do not make any more matches.","[13524, 13669]",Mr. Woodhouse,"['Emma', 'Mr. Knightley']",Anaphoric,Her father fondly replied,"['my dear', 'you', 'you']","[[13528, 13535], [13544, 13547], [13605, 13608]]","[['Emma'], ['Emma'], ['Emma']]",X,26,minor,Emma,42,42,1,1,10,13524,13669
Q27-0,"I promise you to make none for myself, papa; but I must, indeed, for other people. It is the greatest amusement in the world! And after such success, you know!--Every body said that Mr. Weston would never marry again. Oh dear, no! Mr. Weston, who had been a widower so long, and who seemed so perfectly comfortable without a wife, so constantly occupied either in his business in town or among his friends here, always acceptable wherever he went, always cheerful--Mr. Weston need not spend a single evening in the year alone if he did not like it. Oh no! Mr. Weston certainly would never marry again. Some people even talked of a promise to his wife on her deathbed, and others of the son and the uncle not letting him. All manner of solemn nonsense was talked on the subject, but I believed none of it.","[13673, 14477]",Emma,"['Mr. Knightley', 'Mr. Woodhouse']",Implicit,,"['you', 'papa', 'you', 'Mr. Weston', 'Mr. Weston', 'his', 'his', 'he', 'Mr. Weston', 'he', 'Mr. Weston', 'his', 'the son', 'him']","[[13683, 13686], [13712, 13716], [13823, 13826], [13855, 13865], [13904, 13914], [14037, 14040], [14067, 14070], [14112, 14114], [14138, 14148], [14202, 14204], [14229, 14239], [14315, 14318], [14355, 14362], [14389, 14392]]","[['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Woodhouse'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Mr. Weston'], ['Frank Churchill'], ['Mr. Weston']]",X,27,major,Emma,43,43,1,1,0,13673,14477
