,chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
0,1,1,0,32,2,35,93,11814
1,2,94,11819,11844,95,11847,94,11844
2,3,95,11847,11850,96,11852,405,56716
3,4,406,56719,56723,407,56725,477,67207
4,5,478,67210,67215,479,67217,620,84526
5,6,621,84529,84533,622,84535,743,103925
6,7,744,103930,103961,745,103964,744,103961
7,8,745,103964,103967,746,103969,1006,124947
8,9,1007,124949,124953,1008,124955,1099,135184
9,10,1100,135187,135192,1101,135194,1290,153170
10,11,1291,153173,153177,1292,153179,1373,159242
11,12,1374,159245,159248,1375,159250,1538,182335
12,13,1539,182338,182342,1540,182344,1678,199089
13,14,1679,199092,199097,1680,199099,1728,202524
14,15,1729,202527,202533,1730,202535,1815,211142
15,16,1816,211147,211176,1817,211179,1816,211176
16,17,1817,211179,211182,1818,211184,1911,222667
17,18,1912,222670,222674,1913,222676,2105,245902
18,19,2106,245904,245909,2107,245911,2202,259532
19,20,2203,259537,259566,2204,259569,2203,259566
20,21,2204,259569,259572,2205,259574,2327,290575
21,22,2328,290578,290582,2329,290584,2421,308495
22,23,2422,308498,308503,2423,308505,2597,334288
23,24,2598,334291,334295,2599,334297,2745,357498
24,25,2746,357503,357534,2747,357537,2877,382769
25,26,2878,382774,382805,2879,382808,2923,389882
