source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q1-1,Sylvia Newport,549,563,86,3,1
pdnc,qID,Q1-1,Mrs Shutter,635,646,73,3,1
pdnc,qID,Q2-0,you,847,850,5,5,1
pdnc,qID,Q2-0,John,865,869,5,5,1
pdnc,qID,Q2-0,You,871,874,5,5,1
pdnc,qID,Q3-0,mumsy,968,973,75,6,1
pdnc,qID,Q3-0,you,1002,1005,75,6,1
pdnc,qID,Q4-0,my son,1028,1034,5,7,1
pdnc,qID,Q5-0,your ,3308,3313,5,16,1
pdnc,qID,Q6-0,Audrey,3325,3331,46,17,1
pdnc,qID,Q6-0,a woman called de Trommet,3460,3485,57,17,1
pdnc,qID,Q7-0,you,3501,3504,5,18,1
pdnc,qID,Q7-0,She,3521,3524,57,18,1
pdnc,qID,Q7-0,her,3580,3583,57,18,1
pdnc,qID,Q8-0,mumsy,3704,3709,75,19,1
pdnc,qID,Q9-0,you,3754,3757,5,20,1
pdnc,qID,Q11-0,Chambers,3907,3915,51,22,1
pdnc,qID,Q11-0,she,3916,3919,51,22,1
pdnc,qID,Q11-0,you,3938,3941,5,22,1
pdnc,qID,Q11-0,you,3966,3969,5,22,1
pdnc,qID,Q13-0,John,4194,4198,5,24,1
pdnc,qID,Q13-0,darling,4200,4207,5,24,1
pdnc,qID,Q13-0,Sonia,4235,4240,83,24,1
pdnc,qID,Q13-0,Reggie,4261,4267,77,24,1
pdnc,qID,Q13-0,you,4275,4278,5,24,1
pdnc,qID,Q13-0,we,4331,4333,83,24,1
pdnc,qID,Q14-0,you,4569,4572,5,25,1
pdnc,qID,Q17-0,Tony Last,4636,4645,35,28,1
pdnc,qID,Q18-0,She,4666,4669,7,29,1
pdnc,qID,Q18-0,he,4680,4682,35,29,1
pdnc,qID,Q18-0,you,4715,4718,5,29,1
pdnc,qID,Q19-0,Tony ,4755,4760,35,30,1
pdnc,qID,Q19-0,He,4797,4799,35,30,1
pdnc,qID,Q20-0,you ,4963,4967,5,31,1
pdnc,qID,Q21-0,their,5009,5014,35,32,1
pdnc,qID,Q22-0,her,5041,5044,7,33,1
pdnc,qID,Q22-0,she,5064,5067,7,33,1
pdnc,qID,Q22-0,She,5077,5080,7,33,1
pdnc,qID,Q22-0,"Brenda Rex, Lord St Cloud's daughter",5085,5121,7,33,1
pdnc,qID,Q22-0,her,5179,5182,7,33,1
pdnc,qID,Q22-0,she,5188,5191,7,33,1
pdnc,qID,Q22-0,she,5221,5224,7,33,1
pdnc,qID,Q22-0,Jock Grant-Menzies,5237,5255,11,33,1
pdnc,qID,Q22-0,Tony Last,5279,5288,35,33,1
pdnc,qID,Q22-0,he,5290,5292,35,33,1
pdnc,qID,Q22-0,she,5328,5331,7,33,1
pdnc,qID,Q23-0,Mumsy,5565,5570,75,34,1
pdnc,qID,Q23-0,you,5572,5575,75,34,1
pdnc,qID,Q23-0,you,5601,5604,75,34,1
pdnc,qID,Q25-1,you,6327,6330,61,37,1
pdnc,qID,Q25-1,Joyce,6354,6359,61,37,1
pdnc,qID,Q25-1,you,6375,6378,61,37,1
pdnc,qID,Q26-0,you,6422,6425,75,38,1
pdnc,qID,Q26-0,Mrs Beaver,6427,6437,75,38,1
pdnc,qID,Q27-0,Mr Beaver,6730,6739,5,40,1
pdnc,qID,Q27-0,you,6746,6749,5,40,1
pdnc,qID,Q27-0,sir,6772,6775,5,40,1
pdnc,qID,Q27-0,Mrs Tipping,6777,6788,74,40,1
pdnc,qID,Q27-0,you,6812,6815,5,40,1
pdnc,qID,Q28-0,Mr Beaver,7061,7070,5,42,1
pdnc,qID,Q28-0,you,7099,7102,5,42,1
pdnc,qID,Q28-0,you,7176,7179,5,42,1
pdnc,qID,Q28-0,Madame de Trommet,7211,7228,57,42,1
pdnc,qID,Q28-0,The one with the reddish moustache,7232,7266,11,42,1
pdnc,qID,Q28-0,he,7276,7278,11,42,1
pdnc,qID,Q29-0,you,7310,7313,74,43,1
pdnc,qID,Q29-0,Jock Grant-Menzies,7319,7337,11,43,1
pdnc,qID,Q30-0,You,7364,7367,5,44,1
pdnc,qID,Q30-0,him,7410,7413,11,44,1
pdnc,qID,Q30-0,you,7418,7421,5,44,1
pdnc,qID,Q31-0,He,7426,7428,11,45,1
pdnc,qID,Q31-0,he,7463,7465,11,45,1
pdnc,qID,Q31-0,You ,7485,7489,74,45,1
pdnc,qID,Q31-0,him,7510,7513,11,45,1
pdnc,qID,Q31-0,He,7539,7541,11,45,1
pdnc,qID,Q32-0,Jock Grant-Menzies,7568,7586,11,46,1
pdnc,qID,Q32-0,you,7608,7611,5,46,1
pdnc,qID,Q32-0,you,7644,7647,5,46,1
pdnc,qID,Q32-0,you,7656,7659,5,46,1
pdnc,qID,Q33-0,old boy,9257,9264,5,52,1
pdnc,qID,Q33-1,you,9286,9289,5,52,1
pdnc,qID,Q36-0,the old girl,9458,9470,74,55,1
pdnc,qID,Q36-0,you,9471,9474,5,55,1
pdnc,qID,Q37-0,She,9517,9520,74,56,1
pdnc,qID,Q37-0,Mrs Tipping,9530,9541,74,56,1
pdnc,qID,Q38-0,she,9556,9559,74,57,1
pdnc,qID,Q38-0,her,9681,9684,74,57,1
pdnc,qID,Q39-0,you ,9693,9697,11,58,1
pdnc,qID,Q41-0,Mr Beaver,9839,9848,5,61,1
pdnc,qID,Q41-0,sir,9850,9853,5,61,1
pdnc,qID,Q41-0,you,9885,9888,5,61,1
pdnc,qID,Q42-0,you,9930,9933,87,62,1
pdnc,qID,Q42-0,Macdougal,9935,9944,87,62,1
pdnc,qID,Q42-0,you,9972,9975,87,62,1
pdnc,qID,Q43-0,sir,9991,9994,5,63,1
pdnc,qID,Q45-0,you,10050,10053,5,65,1
pdnc,qID,Q45-0,Tony ,10064,10069,35,65,1
pdnc,qID,Q45-0,Brenda ,10073,10080,7,65,1
pdnc,qID,Q51-0,You,10341,10344,5,71,1
pdnc,qID,Q52-0,Brenda,10396,10402,7,72,1
pdnc,qID,Q53-0,You,10407,10410,5,73,1
pdnc,qID,Q53-0,her,10419,10422,7,73,1
pdnc,qID,Q53-0,she,10424,10427,7,73,1
pdnc,qID,Q53-0,Tony Last,10458,10467,35,73,1
pdnc,qID,Q53-0,He,10502,10504,35,73,1
pdnc,qID,Q53-0,he,10555,10557,35,73,1
pdnc,qID,Q54-0,You,10631,10634,11,74,1
pdnc,qID,Q54-0,you,10674,10677,11,74,1
pdnc,qID,Q60-0,Macdougal,10985,10994,87,81,1
pdnc,qID,Q61-0,you,11054,11057,5,82,1
pdnc,qID,Q61-0,sir,11059,11062,5,82,1
pdnc,qID,Q62-0,you,11075,11078,87,83,1
pdnc,qID,Q63-0,Beaver ,11125,11132,5,84,1
pdnc,qID,Q64-0,He,11152,11154,5,85,1
pdnc,qID,Q65-0,He,11181,11183,5,86,1
pdnc,qID,Q68-0,Mrs Tipping,11513,11524,74,91,1
pdnc,qID,Q68-0,you,11569,11572,5,91,1
pdnc,qID,Q68-0,her,11601,11604,74,91,1
pdnc,qID,Q69-0,you,11621,11624,93,92,1
pdnc,qID,Q69-0,her,11630,11633,74,92,1
pdnc,qID,Q70-0,her ladyship,16937,16949,7,104,3
pdnc,qID,Q71-0,her,17038,17041,7,106,3
pdnc,qID,Q75-0,John,17782,17786,12,115,3
pdnc,qID,Q75-0,him,17818,17821,12,115,3
