source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,beaver,BEAVER,26,32,5,1,1,M_0
exp,exp_name,mrs beaver,Mrs Beaver,92,102,75,3,1,M_1
pdnc,qID,Q1-1,Sylvia Newport,549,563,86,3,1,M_2
pdnc,qID,Q1-1,Mrs Shutter,635,646,73,3,1,M_3
exp,exp_name,mrs beaver,Mrs Beaver,664,674,75,4,1,M_4
pdnc,qID,Q2-0,you,847,850,5,5,1,M_5
pdnc,qID,Q2-0,John,865,869,5,5,1,M_6
pdnc,qID,Q2-0,You,871,874,5,5,1,M_7
pdnc,qID,Q3-0,mumsy,968,973,75,6,1,M_8
pdnc,qID,Q3-0,you,1002,1005,75,6,1,M_9
pdnc,qID,Q4-0,my son,1028,1034,5,7,1,M_10
exp,exp_name,john beaver,John Beaver,1094,1105,5,9,1,M_11
booknlp,COREF,175,his,1117,1120,5,9,1,M_12
booknlp,COREF,175,his,1186,1189,5,9,1,M_13
exp,exp_name,mrs beaver,Mrs Beaver,1278,1288,75,9,1,M_14
exp,exp_name,mrs beaver,Mrs Beaver,1507,1517,75,9,1,M_15
exp,exp_name,beaver,Beaver,1563,1569,5,10,1,M_16
booknlp,COREF,175,his,1651,1654,5,10,1,M_17
booknlp,COREF,175,his,1707,1710,5,10,1,M_18
booknlp,COREF,175,his,1785,1788,5,10,1,M_19
booknlp,COREF,175,his,1822,1825,5,10,1,M_20
booknlp,COREF,175,his,1904,1907,5,10,1,M_21
booknlp,COREF,175,his,1960,1963,5,10,1,M_22
exp,exp_name,beaver,Beaver,2324,2330,5,12,1,M_23
booknlp,COREF,175,he,2335,2337,5,12,1,M_24
booknlp,COREF,175,his,2376,2379,5,12,1,M_25
booknlp,COREF,175,he,2385,2387,5,12,1,M_26
booknlp,COREF,175,he,2408,2410,5,12,1,M_27
booknlp,COREF,175,his,2419,2422,5,12,1,M_28
booknlp,COREF,175,him,2443,2446,5,12,1,M_29
booknlp,COREF,175,him,2520,2523,5,12,1,M_30
booknlp,COREF,175,His,2554,2557,5,13,1,M_31
booknlp,COREF,175,He,2638,2640,5,14,1,M_32
booknlp,COREF,175,he,2721,2723,5,14,1,M_33
booknlp,COREF,175,him,2814,2817,5,14,1,M_34
booknlp,COREF,175,he,2828,2830,5,14,1,M_35
booknlp,COREF,175,his,2856,2859,5,14,1,M_36
exp,exp_name,mrs beaver,Mrs Beaver,2936,2946,75,15,1,M_37
exp,exp_name,beaver,Beaver,3198,3204,5,15,1,M_38
pdnc,qID,Q5-0,your ,3308,3313,5,16,1,M_39
pdnc,qID,Q6-0,Audrey,3325,3331,46,17,1,M_40
pdnc,qID,Q6-0,a woman called de Trommet,3460,3485,57,17,1,M_41
pdnc,qID,Q7-0,you,3501,3504,5,18,1,M_42
pdnc,qID,Q7-0,She,3521,3524,57,18,1,M_43
pdnc,qID,Q7-0,her,3580,3583,57,18,1,M_44
pdnc,qID,Q8-0,mumsy,3704,3709,75,19,1,M_45
pdnc,qID,Q9-0,you,3754,3757,5,20,1,M_46
pdnc,qID,Q11-0,Chambers,3907,3915,51,22,1,M_47
pdnc,qID,Q11-0,she,3916,3919,51,22,1,M_48
pdnc,qID,Q11-0,you,3938,3941,5,22,1,M_49
pdnc,qID,Q11-0,you,3966,3969,5,22,1,M_50
exp,exp_name,beaver,Beaver,4051,4057,5,24,1,M_51
pdnc,qID,Q13-0,John,4194,4198,5,24,1,M_52
pdnc,qID,Q13-0,darling,4200,4207,5,24,1,M_53
