paraID,startByte,endByte,chapID
1,0,32,1
2,35,53,1
3,55,662,1
4,664,803,1
5,805,960,1
6,962,1012,1
7,1014,1036,1
8,1038,1092,1
9,1094,1561,1
10,1563,2238,1
11,2240,2304,1
12,2306,2552,1
13,2554,2636,1
14,2638,2908,1
15,2910,3296,1
16,3298,3322,1
17,3324,3487,1
18,3489,3696,1
19,3698,3711,1
20,3713,3807,1
21,3809,3860,1
22,3862,3994,1
23,3996,4040,1
24,4042,4556,1
25,4558,4597,1
26,4599,4608,1
27,4610,4633,1
28,4635,4647,1
29,4649,4730,1
30,4732,4820,1
31,4822,4999,1
32,5001,5024,1
33,5026,5562,1
34,5564,5626,1
35,5628,5707,1
36,5709,6296,1
37,6298,6413,1
38,6415,6439,1
39,6441,6660,1
40,6662,6817,1
41,6819,7054,1
42,7056,7298,1
43,7300,7339,1
44,7341,7423,1
45,7425,7565,1
46,7567,7703,1
47,7705,7741,1
48,7743,7935,1
49,7937,7991,1
50,7993,8676,1
51,8678,8865,1
52,8867,9300,1
53,9302,9405,1
54,9407,9447,1
55,9449,9514,1
56,9516,9543,1
57,9545,9686,1
58,9688,9704,1
59,9706,9802,1
60,9804,9836,1
61,9838,9917,1
62,9919,9977,1
63,9979,9996,1
64,9998,10043,1
65,10045,10089,1
66,10091,10109,1
67,10111,10138,1
68,10140,10157,1
69,10159,10264,1
70,10266,10280,1
71,10282,10378,1
72,10380,10404,1
73,10406,10613,1
74,10615,10729,1
75,10731,10779,1
76,10781,10819,1
77,10821,10835,1
78,10837,10923,1
79,10925,10943,1
80,10945,10967,1
81,10969,11014,1
82,11016,11064,1
83,11066,11085,1
84,11087,11149,1
85,11151,11178,1
86,11180,11229,1
87,11231,11241,1
88,11243,11311,1
89,11313,11367,1
90,11369,11510,1
91,11512,11613,1
92,11615,11713,1
93,11715,11814,1
94,11819,11844,2
95,11847,11850,3
96,11852,12268,3
97,12270,14402,3
98,14404,14793,3
99,14795,14849,3
100,14851,15586,3
101,15588,16709,3
102,16711,16765,3
103,16767,16930,3
104,16932,16967,3
105,16969,17007,3
106,17009,17048,3
107,17050,17123,3
108,17125,17148,3
109,17150,17445,3
110,17447,17465,3
111,17467,17474,3
112,17476,17690,3
113,17692,17715,3
114,17717,17750,3
115,17752,17919,3
116,17921,17994,3
117,17996,18143,3
118,18145,18186,3
119,18188,18241,3
120,18243,18291,3
121,18293,18364,3
122,18366,18467,3
123,18469,18621,3
124,18623,18916,3
125,18918,18963,3
126,18965,18981,3
127,18983,19524,3
128,19526,19582,3
129,19584,19681,3
130,19683,19733,3
131,19735,19740,3
132,19742,19858,3
133,19860,19883,3
134,19885,19897,3
135,19899,20039,3
136,20041,20532,3
137,20534,20589,3
138,20591,20625,3
139,20627,20740,3
140,20742,20750,3
141,20752,20841,3
142,20843,20957,3
143,20959,21282,3
144,21284,22272,3
145,22274,22418,3
146,22420,23002,3
147,23004,23220,3
148,23222,23355,3
149,23357,23509,3
150,23511,23923,3
151,23925,23983,3
152,23985,24080,3
153,24082,24272,3
154,24274,24340,3
155,24342,24369,3
156,24371,24433,3
157,24435,24582,3
158,24584,24764,3
159,24766,24845,3
160,24847,25066,3
161,25068,25129,3
162,25131,25157,3
163,25159,25180,3
164,25182,25257,3
165,25259,25404,3
166,25406,25437,3
167,25439,25524,3
168,25526,25651,3
169,25653,25668,3
170,25670,25851,3
171,25853,25878,3
172,25880,25897,3
173,25899,25921,3
174,25923,25969,3
175,25971,25988,3
176,25990,26031,3
177,26033,26315,3
178,26317,26407,3
179,26409,26475,3
180,26477,26506,3
181,26508,26562,3
182,26564,26590,3
183,26592,26714,3
184,26716,26784,3
185,26786,26822,3
186,26824,26919,3
187,26921,26993,3
188,26995,27056,3
189,27058,27136,3
190,27138,27187,3
191,27189,27443,3
192,27445,27496,3
193,27498,27655,3
194,27657,27711,3
195,27713,27841,3
196,27843,27875,3
197,27877,27958,3
198,27960,28017,3
199,28019,28042,3
200,28044,28314,3
201,28316,28332,3
202,28334,28769,3
203,28771,28803,3
204,28805,28951,3
205,28953,28965,3
206,28967,29043,3
207,29045,29066,3
208,29068,29090,3
209,29092,29148,3
210,29150,29336,3
211,29338,29430,3
212,29432,29558,3
213,29560,29654,3
214,29656,29676,3
215,29678,29809,3
216,29811,29833,3
217,29835,29925,3
218,29927,29981,3
219,29983,30022,3
220,30024,30042,3
221,30044,30089,3
222,30091,30129,3
223,30131,30582,3
224,30584,31251,3
225,31253,31296,3
226,31298,31529,3
227,31531,31758,3
228,31760,31810,3
229,31812,31864,3
230,31866,31914,3
231,31916,32125,3
232,32127,32174,3
233,32176,32258,3
234,32260,32270,3
235,32272,32324,3
236,32326,32418,3
237,32420,32439,3
238,32441,32465,3
239,32467,32507,3
240,32509,32562,3
241,32564,32744,3
242,32746,32773,3
243,32775,32833,3
244,32835,32973,3
245,32975,33022,3
246,33024,33100,3
247,33102,33160,3
248,33162,33383,3
249,33385,33463,3
250,33465,33704,3
251,33706,33725,3
252,33727,33781,3
253,33783,34203,3
254,34205,35127,3
255,35129,35289,3
256,35291,35384,3
257,35386,35423,3
258,35425,35439,3
259,35441,35468,3
260,35470,35521,3
261,35523,35770,3
262,35772,35809,3
263,35811,35851,3
264,35853,35860,3
265,35862,35898,3
266,35900,35922,3
267,35924,35990,3
268,35992,36016,3
269,36018,36174,3
270,36176,36247,3
271,36249,36445,3
272,36447,36469,3
273,36471,36572,3
274,36574,36602,3
275,36604,36619,3
276,36621,36671,3
277,36673,36690,3
278,36692,36727,3
279,36729,36754,3
280,36756,36779,3
281,36781,36802,3
282,36804,36887,3
283,36889,36907,3
284,36909,36969,3
285,36971,37053,3
286,37055,37073,3
287,37075,37106,3
288,37108,37125,3
289,37127,37142,3
290,37144,37230,3
291,37232,37279,3
292,37281,37320,3
293,37322,37439,3
294,37441,37477,3
295,37479,37532,3
296,37534,37559,3
297,37561,37780,3
298,37782,37824,3
299,37826,37880,3
300,37882,38016,3
301,38018,38117,3
302,38119,38178,3
303,38180,38683,3
304,38685,39308,3
305,39310,39334,3
306,39336,39355,3
307,39357,39398,3
308,39400,39413,3
309,39415,39452,3
310,39454,39480,3
311,39482,39495,3
312,39497,39565,3
313,39567,39605,3
314,39607,40149,3
315,40151,40205,3
316,40207,40802,3
317,40804,41769,3
318,41771,42109,3
319,42111,42140,3
320,42142,42221,3
321,42223,42367,3
322,42369,42417,3
323,42419,42596,3
324,42598,42616,3
325,42618,42656,3
326,42658,42671,3
327,42673,42719,3
328,42721,42788,3
329,42790,42950,3
330,42952,43142,3
331,43144,43160,3
332,43162,43318,3
333,43320,43563,3
334,43565,44017,3
335,44019,44118,3
336,44120,45101,3
337,45103,45214,3
338,45216,45496,3
339,45498,46062,3
340,46064,46776,3
341,46778,46887,3
342,46889,47170,3
343,47172,47265,3
344,47267,47300,3
345,47302,47432,3
346,47434,47546,3
347,47548,47567,3
348,47569,48327,3
349,48329,48548,3
350,48550,48786,3
351,48788,48815,3
352,48817,48871,3
353,48873,49134,3
354,49136,49778,3
355,49780,49813,3
356,49815,49872,3
357,49874,49888,3
358,49890,49909,3
359,49911,49947,3
360,49949,50172,3
361,50174,50198,3
362,50200,50292,3
363,50294,50791,3
364,50793,50881,3
365,50883,50923,3
366,50925,51030,3
367,51032,51092,3
368,51094,51175,3
369,51177,51457,3
370,51459,51489,3
371,51491,51735,3
372,51737,52112,3
373,52114,53200,3
374,53202,53355,3
375,53357,53371,3
376,53373,53418,3
377,53420,53462,3
378,53464,53509,3
379,53511,53542,3
380,53544,54622,3
381,54624,54765,3
382,54767,54832,3
383,54834,54863,3
384,54865,54953,3
385,54955,55014,3
386,55016,55037,3
387,55039,55044,3
388,55046,55454,3
389,55456,55523,3
390,55525,55566,3
391,55568,55592,3
392,55594,55817,3
393,55819,55938,3
394,55940,55966,3
395,55968,56050,3
396,56052,56106,3
397,56108,56185,3
398,56187,56196,3
399,56198,56220,3
400,56222,56356,3
401,56358,56387,3
402,56389,56429,3
403,56431,56551,3
404,56553,56664,3
405,56666,56716,3
406,56719,56723,3
407,56725,57634,3
408,57636,58292,3
409,58294,58406,3
410,58408,58517,3
411,58519,58545,3
412,58547,58575,3
413,58577,58650,3
414,58652,58662,3
415,58664,58688,3
416,58690,58711,3
417,58713,58780,3
418,58782,58867,3
419,58869,58899,3
420,58901,58993,3
421,58995,59030,3
422,59032,59081,3
423,59083,59097,3
424,59099,59760,3
425,59762,59953,3
426,59955,60019,3
427,60021,60085,3
428,60087,60482,3
429,60484,60594,3
430,60596,60825,3
431,60827,61628,3
432,61630,61864,3
433,61866,62002,3
434,62004,62038,3
435,62040,62512,3
436,62514,62734,3
437,62736,62756,3
438,62758,63154,3
439,63156,63194,3
440,63196,63307,3
441,63309,63356,3
442,63358,63394,3
443,63396,63450,3
444,63452,63751,3
445,63753,63805,3
446,63807,64301,3
447,64303,64342,3
448,64344,64425,3
449,64427,64457,3
450,64459,64728,3
451,64730,64761,3
452,64763,64776,3
453,64778,64802,3
454,64804,64823,3
455,64825,65011,3
456,65013,65564,3
457,65566,65632,3
458,65634,65657,3
459,65659,65674,3
460,65676,65708,3
461,65710,65752,3
462,65754,65911,3
463,65913,65952,3
464,65954,66176,3
465,66178,66232,3
