qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,Was anyone hurt?,"[36, 52]",John Beaver,['Mrs. Beaver'],Implicit,,[],[],[],X,0,major,HandfulOfDust,2,2,1,1,5,36,52
Q1-0,"No one, I am thankful to say,","[56, 85]",Mrs. Beaver,['John Beaver'],Explicit,said Mrs Beaver,[],[],[],X,1,minor,HandfulOfDust,3,3,1,1,75,56,85
Q1-1,"except two housemaids who lost their heads and jumped through a glass roof into the paved court. They were in no danger. The fire never reached the bedrooms, I am afraid. Still, they are bound to need doing up, everything black with smoke and drenched in water and luckily they had that old-fashioned sort of extinguisher that ruins _everything_. One really cannot complain. The chief rooms were _completely_ gutted and everything was insured. Sylvia Newport knows the people. I must get on to them this morning before that ghoul Mrs Shutter snaps them up.","[105, 661]",Mrs. Beaver,['John Beaver'],Explicit,said Mrs Beaver,"['Sylvia Newport', 'Mrs Shutter']","[[549, 563], [635, 646]]","[['Sylvia Newport'], ['Mrs Shutter']]",X,1,minor,HandfulOfDust,3,3,1,1,75,105,661
Q2-0,"Heavens, how nasty this stuff is. I wish you'd take to it, John. You're looking so tired lately. I don't know how I should get through my day without it.","[806, 959]",Mrs. Beaver,['John Beaver'],Implicit,,"['you', 'John', 'You']","[[847, 850], [865, 869], [871, 874]]","[['John Beaver'], ['John Beaver'], ['John Beaver']]",X,2,minor,HandfulOfDust,5,5,1,1,75,806,959
Q3-0,"But, mumsy, I haven't as much to do as you have.","[963, 1011]",John Beaver,['Mrs. Beaver'],Implicit,,"['mumsy', 'you']","[[968, 973], [1002, 1005]]","[['Mrs. Beaver'], ['Mrs. Beaver']]",X,3,major,HandfulOfDust,6,6,1,1,5,963,1011
Q4-0,"That's true, my son.","[1015, 1035]",Mrs. Beaver,['John Beaver'],Implicit,,['my son'],"[[1028, 1034]]",[['John Beaver']],X,4,minor,HandfulOfDust,7,7,1,1,75,1015,1035
Q5-0,What was your evening?,"[3299, 3321]",Mrs. Beaver,['John Beaver'],Implicit,,['your '],"[[3308, 3313]]",[['John Beaver']],X,5,minor,HandfulOfDust,16,16,1,1,75,3299,3321
Q6-0,"Audrey rang up at eight and asked me to dinner. Ten of us at the Embassy, rather dreary. Afterwards we all went on to a party given by a woman called de Trommet.","[3325, 3486]",John Beaver,['Mrs. Beaver'],Implicit,,"['Audrey', 'a woman called de Trommet']","[[3325, 3331], [3460, 3485]]","[['Audrey'], ['De Trommet']]",X,6,major,HandfulOfDust,17,17,1,1,5,3325,3486
Q7-0,I know who you mean. American. She hasn't paid for the toile-de-jouy chair covers we made her last April. I had a dull time too; didn't hold a card all the evening and came away four pounds ten to the bad.,"[3490, 3695]",Mrs. Beaver,['John Beaver'],Implicit,,"['you', 'She', 'we', 'her']","[[3501, 3504], [3521, 3524], [3572, 3574], [3580, 3583]]","[['John Beaver'], ['De Trommet'], ['John Beaver', 'Mrs Beaver'], ['De Trommet']]",X,7,minor,HandfulOfDust,18,18,1,1,75,3490,3695
Q8-0,Poor mumsy.,"[3699, 3710]",John Beaver,['Mrs. Beaver'],Implicit,,['mumsy'],"[[3704, 3709]]",[['Mrs. Beaver']],X,8,major,HandfulOfDust,19,19,1,1,5,3699,3710
Q9-0,"I'm lunching at Viola Chasm's. What are you doing? I didn't order anything here, I'm afraid.","[3714, 3806]",Mrs. Beaver,['John Beaver'],Implicit,,['you'],"[[3754, 3757]]",[['John Beaver']],X,9,minor,HandfulOfDust,20,20,1,1,75,3714,3806
Q10-0,Nothing so far. I can always go round to Bratt's.,"[3810, 3859]",John Beaver,['Mrs. Beaver'],Implicit,,[],[],[],X,10,major,HandfulOfDust,21,21,1,1,5,3810,3859
Q11-0,But that's so expensive. I'm sure if we ask Chambers she'll be able to get you something in. I thought you were certain to be out.,"[3863, 3993]",Mrs. Beaver,['John Beaver'],Implicit,,"['we', 'Chambers', 'she', 'you', 'you']","[[3900, 3902], [3907, 3915], [3916, 3919], [3938, 3941], [3966, 3969]]","[['John Beaver', 'Mrs Beaver'], ['Chambers'], ['Chambers'], ['John Beaver'], ['John Beaver']]",X,11,minor,HandfulOfDust,22,22,1,1,75,3863,3993
Q12-0,"Well, I still may be. It isn't twelve yet.","[3997, 4039]",John Beaver,['Mrs. Beaver'],Implicit,,[],[],[],X,12,major,HandfulOfDust,23,23,1,1,5,3997,4039
Q13-0,"John, darling, there's been a muddle and Sonia has arrived without Reggie. Could you be an angel and help me out? Only be quick, because we're going in now","[4194, 4349]",Mrs. Beaver,['John Beaver'],Implicit,,"['John', 'darling', 'Sonia', 'Reggie', 'you', 'we']","[[4194, 4198], [4200, 4207], [4235, 4240], [4261, 4267], [4275, 4278], [4331, 4333]]","[['John Beaver'], ['John Beaver'], ['Sonia'], ['Reggie'], ['John Beaver'], ['Sonia']]",X,13,minor,HandfulOfDust,24,24,1,1,75,4194,4349
Q14-0,Where are you going for the week-end?,"[4559, 4596]",Mrs. Beaver,['John Beaver'],Implicit,,['you'],"[[4569, 4572]]",[['John Beaver']],X,14,minor,HandfulOfDust,25,25,1,1,75,4559,4596
Q15-0,Hetton.,"[4600, 4607]",John Beaver,['Mrs. Beaver'],Implicit,,[],[],[],X,15,major,HandfulOfDust,26,26,1,1,5,4600,4607
Q16-0,Who's that? I forget.,"[4611, 4632]",Mrs. Beaver,['John Beaver'],Implicit,,[],[],[],X,16,minor,HandfulOfDust,27,27,1,1,75,4611,4632
Q17-0,Tony Last.,"[4636, 4646]",John Beaver,['Mrs. Beaver'],Implicit,,['Tony Last'],"[[4636, 4645]]",[['Tony Last']],X,17,major,HandfulOfDust,28,28,1,1,5,4636,4646
Q18-0,"Yes, of course. She's lovely, he's rather a stick. I didn't know you knew them.","[4650, 4729]",Mrs. Beaver,['John Beaver'],Implicit,,"['She', 'he', 'you']","[[4666, 4669], [4680, 4682], [4715, 4718]]","[['Brenda'], ['Tony Last'], ['John Beaver']]",X,18,minor,HandfulOfDust,29,29,1,1,75,4650,4729
Q19-0,"Well, I don't really. Tony asked me in Bratt's the other night. He may have forgotten.","[4733, 4819]",John Beaver,['Mrs. Beaver'],Implicit,,"['Tony ', 'He']","[[4755, 4760], [4797, 4799]]","[['Tony'], ['Tony Last']]",X,19,major,HandfulOfDust,30,30,1,1,5,4733,4819
Q20-0,Send a telegram and remind them. It is far better than ringing up. It gives them less chance to make excuses. Send it to-morrow just before you start. They owe me for a table.,"[4823, 4998]",Mrs. Beaver,['John Beaver'],Implicit,,"['them', 'them', 'you ', 'They']","[[4850, 4854], [4899, 4903], [4963, 4967], [4974, 4978]]","[['Brenda', 'Tony Last'], ['Brenda', 'Tony Last'], ['John Beaver'], ['Brenda', 'Tony Last']]",X,20,minor,HandfulOfDust,31,31,1,1,75,4823,4998
Q21-0,What's their dossier?,"[5002, 5023]",John Beaver,['Mrs. Beaver'],Implicit,,['their'],"[[5009, 5014]]",[['Tony Last']],X,21,major,HandfulOfDust,32,32,1,1,5,5002,5023
Q22-0,"I used to see her quite a lot before she married. She was Brenda Rex, Lord St Cloud's daughter, very fair, underwater look. People used to be mad about her when she was a girl. Everyone thought she would marry Jock Grant-Menzies at one time. Wasted on Tony Last, he's a prig. I should say it was time she began to be bored. They've been married five or six years. Quite well off but everything goes in keeping up the house. I've never seen it but I've an idea it's huge and quite hideous. They've got one child at least, perhaps more.","[5027, 5561]",Mrs. Beaver,['John Beaver'],Implicit,,"['her', 'she', 'She', ""Brenda Rex, Lord St Cloud's daughter"", 'her', 'she', 'she', 'Jock Grant-Menzies', 'Tony Last', 'he', 'she', 'They', 'They']","[[5041, 5044], [5064, 5067], [5077, 5080], [5085, 5121], [5179, 5182], [5188, 5191], [5221, 5224], [5237, 5255], [5279, 5288], [5290, 5292], [5328, 5331], [5351, 5355], [5516, 5520]]","[['Brenda'], ['Brenda'], ['Brenda'], ['Brenda'], ['Brenda'], ['Brenda'], ['Brenda'], ['Jock Grant-Menzies'], ['Tony Last'], ['Tony Last'], ['Brenda'], ['Brenda', 'Tony Last'], ['Brenda', 'Tony Last']]",X,22,minor,HandfulOfDust,33,33,1,1,75,5027,5561
Q23-0,"Mumsy, you are wonderful. I believe you know about everyone.","[5565, 5625]",John Beaver,['Mrs. Beaver'],Implicit,,"['Mumsy', 'you', 'you']","[[5565, 5570], [5572, 5575], [5601, 5604]]","[['Mrs. Beaver'], ['Mrs. Beaver'], ['Mrs. Beaver']]",X,23,major,HandfulOfDust,34,34,1,1,5,5565,5625
Q24-0,It's a great help. All a matter of paying attention while people are talking.,"[5629, 5706]",Mrs. Beaver,['John Beaver'],Implicit,,[],[],[],X,24,minor,HandfulOfDust,35,35,1,1,75,5629,5706
Q25-0,"That's the way,","[6299, 6314]",Mrs. Beaver,['Joyce'],Anaphoric,she said,[],[],[],X,25,minor,HandfulOfDust,37,37,1,1,75,6299,6314
Q25-1,"you are doing very nicely, Joyce. I'll soon get you on to something more interesting.","[6327, 6412]",Mrs. Beaver,['Joyce'],Anaphoric,she said,"['you', 'Joyce', 'you']","[[6327, 6330], [6354, 6359], [6375, 6378]]","[['Joyce'], ['Joyce'], ['Joyce']]",X,25,minor,HandfulOfDust,37,37,1,1,75,6327,6412
Q26-0,"Thank you, Mrs Beaver.","[6416, 6438]",Joyce,['Mrs. Beaver'],Implicit,,"['you', 'Mrs Beaver']","[[6422, 6425], [6427, 6437]]","[['Mrs. Beaver'], ['Mrs. Beaver']]",X,26,minor,HandfulOfDust,38,38,1,1,61,6416,6438
Q27-0,"Mr Beaver? Will you please hold the line, sir, Mrs Tipping would like to speak to you.","[6730, 6816]",Unknowable,['John Beaver'],Anaphoric,a voice said,"['Mr Beaver', 'you', 'sir', 'Mrs Tipping', 'you']","[[6730, 6739], [6746, 6749], [6772, 6775], [6777, 6788], [6812, 6815]]","[['John Beaver'], ['John Beaver'], ['John Beaver'], ['Mrs Tipping'], ['John Beaver']]",X,27,minor,HandfulOfDust,40,40,1,1,36,6730,6816
Q28-0,"Oh, Mr Beaver, I _am_ so sorry to trouble you. I was wondering, could you _possibly_ tell me the name of the young man you introduced to me last night at Madame de Trommet's? The one with the reddish moustache. I think he was in Parliament.","[7057, 7297]",Mrs Tipping,['John Beaver'],Implicit,,"['Mr Beaver', 'you', 'you', 'Madame de Trommet', 'The one with the reddish moustache', 'he']","[[7061, 7070], [7099, 7102], [7176, 7179], [7211, 7228], [7232, 7266], [7276, 7278]]","[['John Beaver'], ['John Beaver'], ['John Beaver'], ['De Trommet'], ['Jock Grant-Menzies'], ['Jock Grant-Menzies']]",X,28,minor,HandfulOfDust,42,42,1,1,74,7057,7297
Q29-0,I expect you mean Jock Grant-Menzies.,"[7301, 7338]",John Beaver,['Mrs Tipping'],Implicit,,"['you', 'Jock Grant-Menzies']","[[7310, 7313], [7319, 7337]]","[['Mrs Tipping'], ['Jock Grant-Menzies']]",X,29,major,HandfulOfDust,43,43,1,1,5,7301,7338
Q30-0,"Yes, that's the name. You don't by any chance know where I can find him, do you?","[7342, 7422]",Mrs Tipping,['John Beaver'],Implicit,,"['You', 'him', 'you']","[[7364, 7367], [7410, 7413], [7418, 7421]]","[['John Beaver'], ['Jock Grant-Menzies'], ['John Beaver']]",X,30,minor,HandfulOfDust,44,44,1,1,74,7342,7422
Q31-0,He's in the book but I don't suppose he'll be at home now. You might be able to get him at Bratt's at about one. He's almost always there.,"[7426, 7564]",John Beaver,['Mrs Tipping'],Implicit,,"['He', 'he', 'You ', 'him', 'He']","[[7426, 7428], [7463, 7465], [7485, 7489], [7510, 7513], [7539, 7541]]","[['Jock Grant-Menzies'], ['Jock Grant-Menzies'], ['Mrs Tipping'], ['Jock Grant-Menzies'], ['Jock Grant-Menzies']]",X,31,major,HandfulOfDust,45,45,1,1,5,7426,7564
Q32-0,"Jock Grant-Menzies, Bratt's Club. Thank you so _very_ much. It _is_ kind of you. I hope you will come and see me some day. _Good_-bye.","[7568, 7702]",Mrs Tipping,['John Beaver'],Implicit,,"['Jock Grant-Menzies', 'you', 'you', 'you']","[[7568, 7586], [7608, 7611], [7644, 7647], [7656, 7659]]","[['Jock Grant-Menzies'], ['John Beaver'], ['John Beaver'], ['John Beaver']]",X,32,minor,HandfulOfDust,46,46,1,1,74,7568,7702
Q33-0,"Well, old boy,","[9251, 9265]",Jock Grant-Menzies,['John Beaver'],Anaphoric,he said,['old boy'],"[[9257, 9264]]",[['John Beaver']],X,33,major,HandfulOfDust,52,52,1,1,11,9251,9265
Q33-1,What are you drinking?,"[9277, 9299]",Jock Grant-Menzies,['John Beaver'],Anaphoric,he said,['you'],"[[9286, 9289]]",[['John Beaver']],X,33,major,HandfulOfDust,52,52,1,1,11,9277,9299
Q34-0,Nothing so far.,"[9303, 9318]",John Beaver,['Jock Grant-Menzies'],Implicit,,[],[],[],X,34,major,HandfulOfDust,53,53,1,1,5,9303,9318
Q35-0,But I think it's time I had one. Brandy and ginger ale.,"[9349, 9404]",John Beaver,['Jock Grant-Menzies'],Implicit,,[],[],[],X,35,major,HandfulOfDust,53,53,1,1,5,9349,9404
Q36-0,Who was the old girl you wished on me at that party last night?,"[9450, 9513]",Jock Grant-Menzies,['John Beaver'],Explicit,Jock called to the barman and then said,"['the old girl', 'you']","[[9458, 9470], [9471, 9474]]","[['Mrs Tipping'], ['John Beaver']]",X,36,major,HandfulOfDust,55,55,1,1,11,9450,9513
Q37-0,She's called Mrs Tipping.,"[9517, 9542]",John Beaver,['Jock Grant-Menzies'],Implicit,,"['She', 'Mrs Tipping']","[[9517, 9520], [9530, 9541]]","[['Mrs Tipping'], ['Mrs Tipping']]",X,37,major,HandfulOfDust,56,56,1,1,5,9517,9542
Q38-0,I thought she might be. That explains it. They gave me a message downstairs that someone with a name like that wanted me to lunch with her.,"[9546, 9685]",Jock Grant-Menzies,['John Beaver'],Implicit,,"['she', 'her']","[[9556, 9559], [9681, 9684]]","[['Mrs Tipping'], ['Mrs Tipping']]",X,38,major,HandfulOfDust,57,57,1,1,11,9546,9685
Q39-0,Are you going?,"[9689, 9703]",John Beaver,['Jock Grant-Menzies'],Implicit,,['you '],"[[9693, 9697]]",[['Jock Grant-Menzies']],X,39,major,HandfulOfDust,58,58,1,1,5,9689,9703
Q40-0,"No, I'm no good at lunch parties. Besides, I decided when I got up that I'd have oysters here.","[9707, 9801]",Jock Grant-Menzies,['John Beaver'],Implicit,,[],[],[],X,40,major,HandfulOfDust,59,59,1,1,11,9707,9801
Q41-0,"Mr Beaver, sir, there's ten shillings against you in my books for last month.","[9839, 9916]",The Barman,"['Jock Grant-Menzies', 'John Beaver']",Implicit,,"['Mr Beaver', 'sir', 'you']","[[9839, 9848], [9850, 9853], [9885, 9888]]","[['John Beaver'], ['John Beaver'], ['John Beaver']]",X,41,minor,HandfulOfDust,61,61,1,1,87,9839,9916
Q42-0,"Ah, thank you, Macdougal, remind me some time, will you?","[9920, 9976]",John Beaver,"['Jock Grant-Menzies', 'The Barman']",Implicit,,"['you', 'Macdougal', 'you']","[[9930, 9933], [9935, 9944], [9972, 9975]]","[['The Barman'], ['The Barman'], ['The Barman']]",X,42,major,HandfulOfDust,62,62,1,1,5,9920,9976
Q43-0,"Very good, sir.","[9980, 9995]",The Barman,"['Jock Grant-Menzies', 'John Beaver']",Implicit,,['sir'],"[[9991, 9994]]",[['John Beaver']],X,43,minor,HandfulOfDust,63,63,1,1,87,9980,9995
Q44-0,I'm going to Hetton to-morrow.,"[10012, 10042]",John Beaver,['Jock Grant-Menzies'],Explicit,Beaver said,[],[],[],X,44,major,HandfulOfDust,64,64,1,1,5,10012,10042
Q45-0,Are you now? Give Tony and Brenda my love.,"[10046, 10088]",Jock Grant-Menzies,['John Beaver'],Implicit,,"['you', 'Tony ', 'Brenda ']","[[10050, 10053], [10064, 10069], [10073, 10080]]","[['John Beaver'], ['Tony Last'], ['Brenda']]",X,45,major,HandfulOfDust,65,65,1,1,11,10046,10088
Q46-0,What's the form?,"[10092, 10108]",John Beaver,['Jock Grant-Menzies'],Implicit,,[],[],[],X,46,major,HandfulOfDust,66,66,1,1,5,10092,10108
Q47-0,Very quiet and enjoyable.,"[10112, 10137]",Jock Grant-Menzies,['John Beaver'],Implicit,,[],[],[],X,47,major,HandfulOfDust,67,67,1,1,11,10112,10137
Q48-0,No paper games?,"[10141, 10156]",John Beaver,['Jock Grant-Menzies'],Implicit,,[],[],[],X,48,major,HandfulOfDust,68,68,1,1,5,10141,10156
Q49-0,"Oh, no, nothing like that. A certain amount of bridge and backgammon and low poker with the neighbours.","[10160, 10263]",Jock Grant-Menzies,['John Beaver'],Implicit,,[],[],[],X,49,major,HandfulOfDust,69,69,1,1,11,10160,10263
Q50-0,Comfortable?,"[10267, 10279]",John Beaver,['Jock Grant-Menzies'],Implicit,,[],[],[],X,50,major,HandfulOfDust,70,70,1,1,5,10267,10279
Q51-0,Not bad. Plenty to drink. Rather a shortage of bathrooms. You can stay in bed all the morning.,"[10283, 10377]",Jock Grant-Menzies,['John Beaver'],Implicit,,['You'],"[[10341, 10344]]",[['John Beaver']],X,51,major,HandfulOfDust,71,71,1,1,11,10283,10377
Q52-0,I've never met Brenda.,"[10381, 10403]",John Beaver,['Jock Grant-Menzies'],Implicit,,['Brenda'],"[[10396, 10402]]",[['Brenda']],X,52,major,HandfulOfDust,72,72,1,1,5,10381,10403
