,chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
0,1,3,34,43,4,46,22,6258
1,2,23,6262,6272,24,6274,79,18422
2,3,80,18426,18437,81,18439,184,36097
3,4,185,36101,36111,186,36113,217,51844
4,5,218,51848,51857,219,51859,332,78192
5,6,333,78196,78206,334,78208,429,97319
6,7,430,97323,97334,431,97336,511,111877
7,8,512,111881,111893,513,111895,626,128228
8,9,627,128232,128242,628,128244,663,138110
9,10,664,138114,138123,665,138125,743,153991
10,11,744,153995,154005,745,154007,861,180642
11,12,862,180646,180657,863,180659,878,191280
12,13,879,191284,191296,880,191298,943,204447
13,14,944,204449,204460,945,204462,1038,223271
14,15,1039,223275,223285,1040,223287,1156,245247
15,16,1157,245251,245262,1158,245264,1310,265510
16,17,1311,265514,265526,1312,265528,1384,279058
17,18,1385,279062,279075,1386,279077,1481,296836
18,19,1482,296840,296851,1483,296853,1571,313579
19,20,1572,313583,313593,1573,313595,1654,327813
20,21,1655,327817,327828,1656,327830,1671,330271
21,22,1672,330275,330287,1673,330289,1760,343706
22,23,1761,343710,343723,1762,343725,1822,360150
23,24,1823,360154,360166,1824,360168,1849,368660
24,25,1850,368664,368675,1851,368677,1914,388332
25,26,1915,388336,388348,1916,388350,2084,417715
26,27,2085,417717,417730,2086,417732,2150,428975
27,28,2151,428979,428993,2152,428995,2181,435945
28,29,2182,435949,435961,2183,435963,2233,447097
29,30,2234,447101,447112,2235,447114,2284,459210
30,31,2285,459214,459226,2286,459228,2313,469846
31,32,2314,469850,469863,2315,469865,2365,476765
32,33,2366,476769,476783,2367,476785,2438,493537
33,34,2439,493541,493554,2440,493556,2533,511183
34,35,2534,511187,511199,2535,511201,2576,518348
35,36,2577,518351,518364,2578,518366,2613,522829
36,37,2614,522833,522847,2615,522849,2780,540044
37,38,2781,540048,540063,2782,540065,2856,550775
38,39,2857,550779,550792,2858,550794,2873,554741
39,40,2874,554745,554755,2875,554757,2911,562311
40,41,2912,562315,562326,2913,562328,2964,580549
41,42,2965,580553,580565,2966,580567,3015,588210
42,43,3016,588214,588227,3017,588229,3052,598179
43,44,3053,598183,598195,3054,598197,3152,612608
