source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,you,6437,6440,6,25,2
pdnc,qID,Q0-0,Aunt Juley,6450,6460,6,25,2
pdnc,qID,Q0-0,you,6482,6485,6,25,2
pdnc,qID,Q0-0,the father and mother,6510,6531,17,25,2
pdnc,qID,Q0-0,their son,6593,6602,34,25,2
pdnc,qID,Q2-0,Aunt Juley,6718,6728,6,27,2
pdnc,qID,Q3-0,Margaret,6749,6757,25,28,2
pdnc,qID,Q3-0,dear,6759,6763,25,28,2
pdnc,qID,Q5-0,Margaret,6877,6885,25,30,2
pdnc,qID,Q5-0,dear,6887,6891,25,30,2
pdnc,qID,Q6-0,her,6909,6912,16,31,2
pdnc,qID,Q6-1,Helen,7092,7097,16,31,2
pdnc,qID,Q7-0,Margaret,7409,7417,25,32,2
pdnc,qID,Q8-0,Helen,7877,7882,16,33,2
pdnc,qID,Q8-0,Helen,8051,8056,16,33,2
pdnc,qID,Q8-0,Tibby,8110,8115,45,33,2
pdnc,qID,Q8-0,she,8155,8158,16,33,2
pdnc,qID,Q8-0,You,8183,8186,6,33,2
pdnc,qID,Q8-0,a young man,8218,8229,34,33,2
pdnc,qID,Q8-0,She,8250,8253,16,33,2
pdnc,qID,Q12-0,Helen,9860,9865,16,40,2
pdnc,qID,Q13-0,Aunt Juley,9887,9897,6,41,2
pdnc,qID,Q13-0,Helen,9929,9934,16,41,2
pdnc,qID,Q13-0,her,9976,9979,16,41,2
pdnc,qID,Q13-0,her,10001,10004,16,41,2
pdnc,qID,Q14-1,Margaret,10141,10149,25,42,2
pdnc,qID,Q14-1,you,10207,10210,25,42,2
pdnc,qID,Q14-1,Helen,10299,10304,16,42,2
pdnc,qID,Q14-1,you,10422,10425,25,42,2
pdnc,qID,Q14-1,the son,10497,10504,34,42,2
pdnc,qID,Q14-1,She,10509,10512,16,42,2
pdnc,qID,Q14-1,he,10539,10541,34,42,2
pdnc,qID,Q14-1,he,10572,10574,34,42,2
pdnc,qID,Q14-1,Helen,10590,10595,16,42,2
pdnc,qID,Q14-1,you,10607,10610,25,42,2
pdnc,qID,Q17-0,you,10738,10741,6,46,2
pdnc,qID,Q19-0,Helen,10809,10814,16,48,2
pdnc,qID,Q21-1,you,11468,11471,25,51,2
pdnc,qID,Q21-1,you,11507,11510,25,51,2
pdnc,qID,Q21-1,Dear,11569,11573,25,51,2
pdnc,qID,Q21-2,your,11663,11667,25,51,2
pdnc,qID,Q21-2,you,11738,11741,25,51,2
pdnc,qID,Q22-0,Aunt Juley,11746,11756,6,52,2
pdnc,qID,Q23-0,You,11829,11832,6,52,2
pdnc,qID,Q23-0,you,11884,11887,6,52,2
pdnc,qID,Q24-1,You,12094,12097,25,53,2
pdnc,qID,Q24-1,you,12140,12143,25,53,2
pdnc,qID,Q24-1,your,12154,12158,25,53,2
pdnc,qID,Q24-1,Helen,12171,12176,16,53,2
pdnc,qID,Q24-1,you,12189,12192,25,53,2
pdnc,qID,Q24-1,your,12251,12255,25,53,2
pdnc,qID,Q25-0,Helen,12354,12359,16,54,2
pdnc,qID,Q25-0,she,12375,12378,16,54,2
pdnc,qID,Q25-0,she,12441,12444,16,54,2
pdnc,qID,Q25-0,you,12515,12518,6,54,2
pdnc,qID,Q25-0,Aunt Juley,12579,12589,6,54,2
pdnc,qID,Q26-0,Helen,12861,12866,16,56,2
pdnc,qID,Q27-0,Dear Margaret,12943,12956,25,57,2
pdnc,qID,Q27-0,Your,13002,13006,25,57,2
pdnc,qID,Q28-0,she,13056,13059,16,58,2
pdnc,qID,Q29-1,you,13499,13502,25,59,2
pdnc,qID,Q29-1,you,13525,13528,25,59,2
pdnc,qID,Q29-1,you,13623,13626,25,59,2
pdnc,qID,Q29-1,Helen,13662,13667,16,59,2
pdnc,qID,Q30-0,you,13837,13840,6,61,2
pdnc,qID,Q32-0,you,13946,13949,6,63,2
pdnc,qID,Q34-0,you,14247,14250,25,64,2
pdnc,qID,Q34-0,you,14299,14302,25,64,2
pdnc,qID,Q35-0,you,15521,15524,6,69,2
pdnc,qID,Q36-0,You,15706,15709,6,71,2
pdnc,qID,Q36-0,Aunt Juley,15725,15735,6,71,2
pdnc,qID,Q36-0,Helen,15803,15808,16,71,2
pdnc,qID,Q36-0,you,15827,15830,6,71,2
pdnc,qID,Q38-0,you,16144,16147,6,73,2
pdnc,qID,Q38-0,Helen,16185,16190,16,73,2
pdnc,qID,Q39-0,Helen,16205,16210,16,74,2
pdnc,qID,Q41-0,dear,19685,19689,25,81,3
pdnc,qID,Q42-0,poor Margaret,20030,20043,25,81,3
pdnc,qID,Q43-1,you,22981,22984,43,85,3
pdnc,qID,Q44-0,Mr. Wilcox,23006,23016,8,86,3
pdnc,qID,Q45-0,She,23082,23085,6,88,3
pdnc,qID,Q46-0,the younger Mr. Wilcox,23335,23357,34,89,3
pdnc,qID,Q47-0,you,23410,23413,6,90,3
pdnc,qID,Q51-0,Miss Schlegel,23721,23734,16,92,3
