source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,helen,Helen,73,78,16,4,1,M_0
exp,exp_name,meg,Meg,143,146,25,7,1,M_1
exp,exp_name,paul,Paul,325,329,34,8,1,M_2
exp,exp_name,mrs. wilcox,Mrs. Wilcox,1347,1358,32,9,1,M_3
exp,exp_name,mr. wilcox,Mr. Wilcox,1410,1420,17,9,1,M_4
exp,exp_name,tibby,Tibby,1592,1597,45,10,1,M_5
booknlp,COREF,259,he,1615,1617,45,10,1,M_6
booknlp,COREF,259,he,1669,1671,45,10,1,M_7
booknlp,COREF,259,he,1714,1716,45,10,1,M_8
booknlp,COREF,259,him,1803,1806,45,10,1,M_9
exp,exp_name,charles wilcox,Charles Wilcox,1812,1826,8,10,1,M_10
exp,exp_name,tibby,Tibby,1962,1967,45,10,1,M_11
exp,exp_name,mrs. wilcox,Mrs. Wilcox,2193,2204,32,11,1,M_12
exp,exp_name,charles wilcox,Charles Wilcox,2728,2742,8,11,1,M_13
exp,exp_name,mr. wilcox,Mr. Wilcox,2869,2879,17,11,1,M_14
exp,exp_name,evie,Evie,2949,2953,14,11,1,M_15
booknlp,COREF,262,she,3091,3094,14,11,1,M_16
booknlp,COREF,262,she,3119,3122,14,11,1,M_17
exp,exp_name,mrs. wilcox,Mrs. Wilcox,3141,3152,32,11,1,M_18
exp,exp_name,meg,Meg,3428,3431,25,11,1,M_19
exp,exp_name,mrs. wilcox,Mrs. Wilcox,3564,3575,32,11,1,M_20
exp,exp_name,mrs. wilcox,Mrs. Wilcox,3634,3645,32,12,1,M_21
exp,exp_name,evie,Evie,3670,3674,14,12,1,M_22
exp,exp_name,tibby,Tibby,4161,4166,45,12,1,M_23
exp,exp_name,aunt juley,Aunt Juley,4176,4186,6,12,1,M_24
booknlp,COREF,263,her,4200,4203,6,12,1,M_25
exp,exp_name,helen,HELEN,4292,4297,16,13,1,M_26
exp,exp_name,meg,Meg,4337,4340,25,16,1,M_27
exp,exp_name,mrs. wilcox,Mrs. Wilcox,4391,4402,32,17,1,M_28
exp,exp_name,mr. wilcox,Mr. Wilcox,4757,4767,17,17,1,M_29
exp,exp_name,meg,Meg,5033,5036,25,17,1,M_30
exp,exp_name,mr. wilcox,Mr. Wilcox,5458,5468,17,17,1,M_31
exp,exp_name,charles,Charles,5588,5595,8,17,1,M_32
exp,exp_name,evie,Evie,5866,5870,14,17,1,M_33
exp,exp_name,helen,HELEN,6093,6098,16,19,1,M_34
exp,exp_name,meg,Meg,6149,6152,25,22,1,M_35
exp,exp_name,paul,Paul,6188,6192,34,22,1,M_36
exp,exp_name,margaret,Margaret,6274,6282,25,24,2,M_37
pdnc,qID,Q0-0,you,6437,6440,6,25,2,M_38
pdnc,qID,Q0-0,Aunt Juley,6450,6460,6,25,2,M_39
pdnc,qID,Q0-0,you,6482,6485,6,25,2,M_40
pdnc,qID,Q0-0,the father and mother,6510,6531,17,25,2,M_41
pdnc,qID,Q0-0,their son,6593,6602,34,25,2,M_42
pdnc,qID,Q2-0,Aunt Juley,6718,6728,6,27,2,M_43
pdnc,qID,Q3-0,Margaret,6749,6757,25,28,2,M_44
pdnc,qID,Q3-0,dear,6759,6763,25,28,2,M_45
pdnc,qID,Q5-0,Margaret,6877,6885,25,30,2,M_46
pdnc,qID,Q5-0,dear,6887,6891,25,30,2,M_47
pdnc,qID,Q6-0,her,6909,6912,16,31,2,M_48
exp,exp_name,margaret,Margaret,6934,6942,25,31,2,M_49
pdnc,qID,Q6-1,Helen,7092,7097,16,31,2,M_50
pdnc,qID,Q7-0,Margaret,7409,7417,25,32,2,M_51
pdnc,qID,Q8-0,Helen,7877,7882,16,33,2,M_52
pdnc,qID,Q8-0,Helen,8051,8056,16,33,2,M_53
pdnc,qID,Q8-0,Tibby,8110,8115,45,33,2,M_54
pdnc,qID,Q8-0,she,8155,8158,16,33,2,M_55
pdnc,qID,Q8-0,You,8183,8186,6,33,2,M_56
pdnc,qID,Q8-0,a young man,8218,8229,34,33,2,M_57
pdnc,qID,Q8-0,She,8250,8253,16,33,2,M_58
exp,exp_name,mrs. munt,Mrs. Munt,9105,9114,6,36,2,M_59
booknlp,COREF,264,her,9119,9122,6,36,2,M_60
booknlp,COREF,264,her,9150,9153,6,36,2,M_61
booknlp,COREF,264,She,9162,9165,6,36,2,M_62
exp,exp_name,margaret,Margaret,9179,9187,25,36,2,M_63
booknlp,COREF,264,she,9288,9291,6,36,2,M_64
booknlp,COREF,264,she,9359,9362,6,36,2,M_65
booknlp,COREF,264,her,9408,9411,6,36,2,M_66
booknlp,COREF,264,she,9505,9508,6,36,2,M_67
exp,exp_name,margaret,Margaret,9624,9632,25,37,2,M_68
booknlp,COREF,264,I,9703,9704,6,38,2,M_69
exp,exp_name,mrs. munt,Mrs. Munt,9744,9753,6,38,2,M_70
exp,exp_name,margaret,Margaret,9791,9799,25,39,2,M_71
booknlp,COREF,264,me,9856,9858,6,40,2,M_72
pdnc,qID,Q12-0,Helen,9860,9865,16,40,2,M_73
pdnc,qID,Q13-0,Aunt Juley,9887,9897,6,41,2,M_74
pdnc,qID,Q13-0,Helen,9929,9934,16,41,2,M_75
pdnc,qID,Q13-0,her,9976,9979,16,41,2,M_76
pdnc,qID,Q13-0,her,10001,10004,16,41,2,M_77
exp,exp_name,mrs. munt,Mrs. Munt,10073,10082,6,42,2,M_78
booknlp,COREF,264,her,10099,10102,6,42,2,M_79
pdnc,qID,Q14-1,Margaret,10141,10149,25,42,2,M_80
booknlp,COREF,264,I,10154,10155,6,42,2,M_81
pdnc,qID,Q14-1,you,10207,10210,25,42,2,M_82
pdnc,qID,Q14-1,Helen,10299,10304,16,42,2,M_83
booknlp,COREF,264,my,10316,10318,6,42,2,M_84
pdnc,qID,Q14-1,you,10422,10425,25,42,2,M_85
pdnc,qID,Q14-1,the son,10497,10504,34,42,2,M_86
pdnc,qID,Q14-1,She,10509,10512,16,42,2,M_87
pdnc,qID,Q14-1,he,10539,10541,34,42,2,M_88
pdnc,qID,Q14-1,he,10572,10574,34,42,2,M_89
pdnc,qID,Q14-1,Helen,10590,10595,16,42,2,M_90
pdnc,qID,Q14-1,you,10607,10610,25,42,2,M_91
pdnc,qID,Q17-0,you,10738,10741,6,46,2,M_92
pdnc,qID,Q19-0,Helen,10809,10814,16,48,2,M_93
exp,exp_name,margaret,Margaret,10875,10883,25,50,2,M_94
exp,exp_name,helen,Helen,11221,11226,16,50,2,M_95
booknlp,COREF,264,I,11344,11345,6,51,2,M_96
exp,exp_name,mrs. munt,Mrs. Munt,11381,11390,6,51,2,M_97
pdnc,qID,Q21-1,you,11468,11471,25,51,2,M_98
booknlp,COREF,264,I,11500,11501,6,51,2,M_99
pdnc,qID,Q21-1,you,11507,11510,25,51,2,M_100
pdnc,qID,Q21-1,Dear,11569,11573,25,51,2,M_101
booknlp,COREF,264,I,11575,11576,6,51,2,M_102
booknlp,COREF,264,me,11598,11600,6,51,2,M_103
booknlp,COREF,264,She,11619,11622,6,51,2,M_104
booknlp,COREF,264,her,11634,11637,6,51,2,M_105
booknlp,COREF,264,I,11651,11652,6,51,2,M_106
pdnc,qID,Q21-2,your,11663,11667,25,51,2,M_107
booknlp,COREF,264,me,11682,11684,6,51,2,M_108
booknlp,COREF,264,I,11718,11719,6,51,2,M_109
pdnc,qID,Q21-2,you,11738,11741,25,51,2,M_110
pdnc,qID,Q22-0,Aunt Juley,11746,11756,6,52,2,M_111
pdnc,qID,Q23-0,You,11829,11832,6,52,2,M_112
pdnc,qID,Q23-0,you,11884,11887,6,52,2,M_113
booknlp,COREF,264,I,11914,11915,6,53,2,M_114
exp,exp_name,mrs. munt,Mrs. Munt,11941,11950,6,53,2,M_115
