paraID,startByte,endByte,chapID
1,0,11,-1
2,13,29,-1
3,34,43,1
4,46,103,1
5,106,120,1
6,122,132,1
7,134,148,1
8,150,746,1
9,748,1472,1
10,1474,2041,1
11,2043,3589,1
12,3591,4289,1
13,4291,4299,1
14,4303,4316,1
15,4318,4326,1
16,4328,4342,1
17,4344,6069,1
18,6071,6090,1
19,6092,6100,1
20,6104,6118,1
21,6120,6129,1
22,6131,6258,1
23,6262,6272,2
24,6274,6423,2
25,6425,6666,2
26,6668,6704,2
27,6706,6741,2
28,6743,6855,2
29,6857,6869,2
30,6871,6894,2
31,6896,7359,2
32,7361,7419,2
33,7421,8348,2
34,8350,8934,2
35,8936,9103,2
36,9105,9606,2
37,9608,9690,2
38,9692,9789,2
39,9791,9836,2
40,9838,9876,2
41,9878,10041,2
42,10043,10620,2
43,10622,10643,2
44,10645,10672,2
45,10674,10695,2
46,10697,10747,2
47,10749,10768,2
48,10770,10829,2
49,10831,10873,2
50,10875,11341,2
51,11343,11743,2
52,11745,11911,2
53,11913,12312,2
54,12314,12595,2
55,12597,12855,2
56,12857,12940,2
57,12942,13045,2
58,13047,13424,2
59,13426,13802,2
60,13804,13830,2
61,13832,13898,2
62,13900,13939,2
63,13941,14222,2
64,14224,14472,2
65,14474,14561,2
66,14563,14582,2
67,14584,14927,2
68,14929,15340,2
69,15342,15535,2
70,15537,15703,2
71,15705,15991,2
72,15993,16093,2
73,16095,16192,2
74,16194,16212,2
75,16214,16488,2
76,16490,17312,2
77,17314,18279,2
78,18281,18340,2
79,18342,18422,2
80,18426,18437,3
81,18439,21018,3
82,21020,21900,3
83,21902,22567,3
84,22569,22898,3
85,22900,23003,3
86,23005,23034,3
87,23036,23079,3
88,23081,23109,3
89,23111,23372,3
90,23374,23415,3
91,23417,23642,3
92,23644,23781,3
93,23783,23794,3
94,23796,23889,3
95,23891,23911,3
96,23913,24002,3
97,24004,24045,3
98,24047,24186,3
99,24188,24447,3
100,24449,24661,3
101,24663,24731,3
102,24733,24771,3
103,24773,25027,3
104,25029,25181,3
105,25183,25594,3
106,25596,25792,3
107,25794,25838,3
108,25840,26215,3
109,26217,26583,3
110,26585,26614,3
111,26616,26641,3
112,26643,26755,3
113,26757,26857,3
114,26859,27184,3
115,27186,27384,3
116,27386,27621,3
117,27623,27635,3
118,27637,27743,3
119,27745,27968,3
120,27970,28211,3
121,28213,28810,3
122,28812,28927,3
123,28929,29049,3
124,29051,29089,3
125,29091,29315,3
126,29317,29376,3
127,29378,29481,3
128,29483,29494,3
129,29496,29554,3
130,29556,29638,3
131,29640,29752,3
132,29754,29946,3
133,29948,29967,3
134,29969,29979,3
135,29981,30022,3
136,30024,30053,3
137,30055,30084,3
138,30086,30137,3
139,30139,30337,3
140,30339,30375,3
141,30377,30527,3
142,30529,30580,3
143,30582,30852,3
144,30854,30935,3
145,30937,31041,3
146,31043,31178,3
147,31180,31536,3
148,31538,31562,3
149,31564,31681,3
150,31683,31748,3
151,31750,31960,3
152,31962,31977,3
153,31979,32040,3
154,32042,32090,3
155,32092,32279,3
156,32281,32554,3
157,32556,32573,3
158,32575,32639,3
159,32641,32859,3
160,32861,32944,3
161,32946,32972,3
162,32974,33011,3
163,33013,33018,3
164,33020,33093,3
165,33095,33108,3
166,33110,33763,3
167,33765,33873,3
168,33875,33935,3
169,33937,34046,3
170,34048,34101,3
171,34103,34149,3
172,34151,34175,3
173,34177,34190,3
174,34192,34231,3
175,34233,34268,3
176,34270,34291,3
177,34293,34370,3
178,34372,34502,3
179,34504,34545,3
180,34547,35824,3
181,35826,35905,3
182,35907,35968,3
183,35970,35985,3
184,35987,36097,3
185,36101,36111,4
186,36113,36900,4
187,36902,36987,4
188,36989,39077,4
189,39079,39419,4
190,39421,40815,4
191,40817,40969,4
192,40971,40993,4
193,40995,41008,4
194,41010,41235,4
195,41237,41254,4
196,41256,41344,4
197,41346,41499,4
198,41501,41971,4
199,41973,42065,4
200,42067,43766,4
201,43768,43780,4
202,43782,43874,4
203,43876,43910,4
204,43912,44162,4
205,44164,44290,4
206,44292,44305,4
207,44307,44856,4
208,44858,44997,4
209,44999,45023,4
210,45025,45207,4
211,45209,45216,4
212,45218,46219,4
213,46221,49491,4
214,49493,49561,4
215,49563,50804,4
216,50806,51735,4
217,51737,51844,4
218,51848,51857,5
219,51859,52982,5
220,52984,53124,5
221,53126,53205,5
222,53207,53275,5
223,53277,53456,5
224,53458,53531,5
225,53533,55230,5
