chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,2,18,27,3,30,91,26738
2,92,26743,26753,93,26756,164,51036
3,165,51041,51052,166,51055,182,73260
4,183,73265,73275,184,73278,307,104193
5,308,104198,104207,309,104210,400,127153
6,401,127158,127168,402,127171,512,165970
7,513,165975,165986,514,165989,557,181275
8,558,181280,181292,559,181295,596,194623
9,597,194628,194638,598,194641,658,219089
10,659,219094,219103,660,219106,690,239375
11,691,239380,239390,692,239393,738,257645
12,739,257650,257661,740,257664,842,284249
13,843,284254,284266,844,284269,883,293205
14,884,293210,293221,885,293224,941,317812
15,942,317814,317824,943,317827,1012,346869
16,1013,346874,346885,1014,346888,1126,372256
17,1127,372261,372273,1128,372276,1168,395265
18,1169,395270,395283,1170,395286,1325,451678
19,1326,451683,451694,1327,451697,1363,464886
20,1364,464891,464901,1365,464904,1404,488560
21,1405,488565,488576,1406,488579,1464,511929
22,1465,511934,511946,1466,511949,1536,536259
23,1537,536264,536277,1538,536280,1607,559548
24,1608,559553,559565,1609,559568,1713,607218
25,1714,607223,607234,1715,607237,1777,630065
26,1778,630067,630079,1779,630082,1937,675327
27,1938,675332,675345,1939,675348,2069,712721
28,2070,712726,712740,2071,712743,2147,743029
29,2148,743034,743046,2149,743049,2316,772096
30,2317,772101,772112,2318,772115,2406,792083
31,2407,792088,792100,2408,792103,2598,840401
32,2599,840406,840419,2600,840422,2747,887303
33,2748,887308,887322,2749,887325,2872,931903
34,2873,931908,931921,2874,931924,2917,945362
