source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,you,1740,1743,35,4,1
pdnc,qID,Q1-0,Mr. Denham,1792,1802,35,4,1
pdnc,qID,Q1-0,mother,1804,1810,32,4,1
pdnc,qID,Q2-0,you,3107,3110,35,6,1
pdnc,qID,Q2-0,you,3117,3120,35,6,1
pdnc,qID,Q2-0,Mr. Denham,3181,3191,35,6,1
pdnc,qID,Q5-0,you,4006,4009,19,9,1
pdnc,qID,Q7-0,you,4088,4091,19,11,1
pdnc,qID,Q9-0,Katharine,5123,5132,19,14,1
pdnc,qID,Q10-0,Mr. Fortescue,5862,5875,27,15,1
pdnc,qID,Q14-0,Katharine,8916,8925,19,20,1
pdnc,qID,Q15-0,mother,8962,8968,32,21,1
pdnc,qID,Q16-0,Mr. Fortescue,9082,9095,27,22,1
pdnc,qID,Q17-0,you,10614,10617,35,23,1
pdnc,qID,Q17-0,Mr. Denham,10624,10634,35,23,1
pdnc,qID,Q17-0,you,10636,10639,35,23,1
pdnc,qID,Q17-0,his,10687,10690,35,23,1
pdnc,qID,Q17-0,Katharine,10696,10705,19,23,1
pdnc,qID,Q17-0,his,10710,10713,35,23,1
pdnc,qID,Q17-0,he,10731,10733,35,23,1
pdnc,qID,Q17-0,his,10742,10745,35,23,1
pdnc,qID,Q17-0,Mr. Denham,10765,10775,35,23,1
pdnc,qID,Q17-0,you,10781,10784,35,23,1
pdnc,qID,Q17-0,Mrs. Hilbery,10875,10887,32,23,1
pdnc,qID,Q18-0,Mr. Denham,11234,11244,35,25,1
pdnc,qID,Q18-0,Katharine,11275,11284,19,25,1
pdnc,qID,Q18-0,he,11295,11297,35,25,1
pdnc,qID,Q19-0,you,11710,11713,35,26,1
pdnc,qID,Q20-0,his,13202,13205,3,30,1
pdnc,qID,Q20-0,He,13221,13223,3,30,1
pdnc,qID,Q21-0,my grandfather,13550,13564,3,31,1
pdnc,qID,Q21-1,you,13806,13809,35,31,1
pdnc,qID,Q23-0,uncle ,14740,14746,48,34,1
pdnc,qID,Q23-0,he,14762,14764,48,34,1
pdnc,qID,Q23-0,Sir Richard Warburton,14769,14790,48,34,1
pdnc,qID,Q23-0,you,14792,14795,35,34,1
pdnc,qID,Q24-0,You,16729,16732,19,36,1
pdnc,qID,Q24-0,your,16755,16759,19,36,1
pdnc,qID,Q24-0,Miss Hilbery,16768,16780,19,36,1
pdnc,qID,Q25-1,you,16836,16839,35,37,1
pdnc,qID,Q30-1,your grandfather,17342,17358,3,42,1
pdnc,qID,Q30-1,You ,17365,17369,19,42,1
pdnc,qID,Q30-1,you,17409,17412,19,42,1
pdnc,qID,Q30-1,you,17518,17521,19,42,1
pdnc,qID,Q30-1,you,17555,17558,19,42,1
pdnc,qID,Q33-1,you,17775,17778,35,45,1
pdnc,qID,Q35-0,you,18795,18798,35,49,1
pdnc,qID,Q35-0,your,18808,18812,35,49,1
pdnc,qID,Q38-0,You,19011,19014,19,52,1
pdnc,qID,Q39-0,you,19081,19084,35,53,1
pdnc,qID,Q46-0,You,19783,19786,35,61,1
pdnc,qID,Q48-0,You,19888,19891,35,63,1
pdnc,qID,Q48-0,you,19912,19915,35,63,1
pdnc,qID,Q49-0,you,20082,20085,19,65,1
pdnc,qID,Q53-0,You,20784,20787,19,70,1
pdnc,qID,Q53-1,you,20878,20881,19,70,1
pdnc,qID,Q53-1,You,20883,20886,19,70,1
pdnc,qID,Q55-0,you,21203,21206,19,72,1
pdnc,qID,Q55-0,your ,21213,21218,19,72,1
pdnc,qID,Q55-1,you,21272,21275,19,72,1
pdnc,qID,Q55-1,You,21303,21306,19,72,1
pdnc,qID,Q55-1,your grandfather,21329,21345,3,72,1
pdnc,qID,Q55-1,you,21354,21357,19,72,1
pdnc,qID,Q56-0,You,21667,21670,35,74,1
pdnc,qID,Q56-1,my mother,21728,21737,32,74,1
pdnc,qID,Q57-0,you,21767,21770,19,75,1
pdnc,qID,Q57-0,yourself,21783,21791,19,75,1
pdnc,qID,Q58-0,you,21817,21820,35,76,1
pdnc,qID,Q60-1,You,22313,22316,35,79,1
pdnc,qID,Q62-1,you,24301,24304,35,83,1
