paraID,startByte,endByte,chapID
1,0,13,-1
2,18,27,1
3,30,952,1
4,954,1880,1
5,1882,3088,1
6,3090,3193,1
7,3195,3365,1
8,3367,3998,1
9,4000,4055,1
10,4057,4078,1
11,4080,4112,1
12,4114,4803,1
13,4805,5073,1
14,5075,5855,1
15,5857,6223,1
16,6225,6350,1
17,6352,6450,1
18,6452,7324,1
19,7326,8854,1
20,8856,8948,1
21,8950,8970,1
22,8972,9227,1
23,9229,11021,1
24,11023,11222,1
25,11224,11558,1
26,11560,11819,1
27,11821,12220,1
28,12222,13106,1
29,13108,13191,1
30,13193,13539,1
31,13541,13830,1
32,13832,14343,1
33,14345,14668,1
34,14670,15122,1
35,15124,16726,1
36,16728,16782,1
37,16784,16878,1
38,16880,16995,1
39,16997,17029,1
40,17031,17095,1
41,17097,17161,1
42,17163,17602,1
43,17604,17651,1
44,17653,17731,1
45,17733,17799,1
46,17801,18026,1
47,18028,18297,1
48,18299,18781,1
49,18783,18841,1
50,18843,18960,1
51,18962,19008,1
52,19010,19060,1
53,19062,19222,1
54,19224,19332,1
55,19334,19401,1
56,19403,19512,1
57,19514,19619,1
58,19621,19652,1
59,19654,19715,1
60,19717,19780,1
61,19782,19845,1
62,19847,19885,1
63,19887,19972,1
64,19974,20056,1
65,20058,20182,1
66,20184,20234,1
67,20236,20289,1
68,20291,20326,1
69,20328,20781,1
70,20783,21017,1
71,21019,21172,1
72,21174,21498,1
73,21500,21664,1
74,21666,21761,1
75,21763,21806,1
76,21808,21893,1
77,21895,21915,1
78,21917,22243,1
79,22245,22506,1
80,22508,22718,1
81,22720,23806,1
82,23808,24273,1
83,24275,24334,1
84,24336,24451,1
85,24453,24500,1
86,24502,25056,1
87,25058,25092,1
88,25094,25613,1
89,25615,25747,1
90,25749,26148,1
91,26150,26738,1
92,26743,26753,2
93,26756,27982,2
94,27984,28621,2
95,28623,29117,2
96,29119,29196,2
97,29198,31124,2
98,31126,32145,2
99,32147,33700,2
100,33702,33761,2
101,33763,35709,2
102,35711,38398,2
103,38400,39243,2
104,39245,39280,2
105,39282,39289,2
106,39291,39332,2
107,39334,39434,2
108,39436,39614,2
109,39616,40207,2
110,40209,40398,2
111,40400,40437,2
112,40439,40499,2
113,40501,40621,2
114,40623,40660,2
115,40662,40776,2
116,40778,40854,2
117,40856,40953,2
118,40955,41212,2
119,41214,41364,2
120,41366,41691,2
121,41693,41761,2
122,41763,41818,2
123,41820,42162,2
124,42164,42301,2
125,42303,42451,2
126,42453,42624,2
127,42626,42644,2
128,42646,42672,2
129,42674,42864,2
130,42866,42893,2
131,42895,43307,2
132,43309,43337,2
133,43339,43387,2
134,43389,43493,2
135,43495,44401,2
136,44403,44589,2
137,44591,45042,2
138,45044,45151,2
139,45153,45179,2
140,45181,45295,2
141,45297,45503,2
142,45505,47317,2
143,47319,47486,2
144,47488,47513,2
145,47515,47616,2
146,47618,47656,2
147,47658,47798,2
148,47800,47907,2
149,47909,48015,2
150,48017,48035,2
151,48037,48179,2
152,48181,48262,2
153,48264,48396,2
154,48398,48460,2
155,48462,48519,2
156,48521,48672,2
157,48674,49015,2
158,49017,49063,2
159,49065,49111,2
160,49113,49179,2
161,49181,49306,2
162,49308,49530,2
163,49532,50217,2
164,50219,51036,2
165,51041,51052,3
166,51055,52483,3
167,52485,53675,3
168,53677,54387,3
169,54389,55382,3
170,55384,56892,3
171,56894,58492,3
172,58494,59121,3
173,59123,61971,3
174,61973,62351,3
175,62353,63504,3
176,63506,63958,3
177,63960,65587,3
178,65589,67030,3
179,67032,69129,3
180,69131,69864,3
181,69866,71783,3
182,71785,73260,3
183,73265,73275,4
184,73278,74477,4
185,74479,75363,4
186,75365,76429,4
187,76431,76534,4
188,76536,77397,4
189,77399,78535,4
190,78537,78603,4
191,78605,78641,4
192,78643,78762,4
193,78764,78893,4
194,78895,79010,4
195,79012,79098,4
196,79100,79420,4
197,79422,79498,4
198,79500,79594,4
199,79596,79680,4
200,79682,79780,4
201,79782,80176,4
202,80178,80386,4
203,80388,80427,4
204,80429,80477,4
205,80479,80631,4
206,80633,80685,4
207,80687,80849,4
208,80851,80888,4
209,80890,80937,4
210,80939,80976,4
211,80978,81202,4
212,81204,81357,4
213,81359,81440,4
214,81442,81501,4
215,81503,81568,4
216,81570,81964,4
217,81966,82611,4
218,82613,83062,4
219,83064,83135,4
220,83137,84775,4
221,84777,85738,4
222,85740,85972,4
223,85974,86088,4
224,86090,86586,4
225,86588,86650,4
226,86652,86702,4
227,86704,86835,4
228,86837,88630,4
229,88632,88674,4
230,88676,89032,4
231,89034,89284,4
232,89286,89470,4
233,89472,89571,4
234,89573,89654,4
235,89656,89706,4
236,89708,89820,4
237,89822,89884,4
238,89886,90046,4
239,90048,90226,4
240,90228,90356,4
241,90358,90421,4
242,90423,90486,4
243,90488,90652,4
244,90654,90815,4
245,90817,90961,4
246,90963,91089,4
247,91091,91606,4
248,91608,92781,4
249,92783,93531,4
250,93533,94152,4
251,94154,94289,4
252,94291,94319,4
253,94321,94381,4
254,94383,94413,4
255,94415,94532,4
256,94534,94643,4
257,94645,94724,4
258,94726,94792,4
259,94794,94994,4
260,94996,95164,4
261,95166,95198,4
262,95200,95378,4
263,95380,95526,4
264,95528,95739,4
265,95741,96105,4
266,96107,96282,4
267,96284,96381,4
268,96383,96850,4
269,96852,96908,4
270,96910,97007,4
271,97009,97157,4
272,97159,97213,4
273,97215,97246,4
274,97248,97342,4
275,97344,97372,4
276,97374,97604,4
277,97606,97634,4
278,97636,97695,4
279,97697,98270,4
280,98272,98433,4
281,98435,98562,4
282,98564,98577,4
283,98579,98626,4
284,98628,98647,4
285,98649,98732,4
286,98734,98739,4
287,98741,98773,4
288,98775,98846,4
289,98848,98879,4
290,98881,99049,4
291,99051,99144,4
292,99146,99796,4
293,99798,99878,4
294,99880,100023,4
295,100025,100267,4
296,100269,100421,4
297,100423,100653,4
298,100655,101635,4
299,101637,101815,4
300,101817,101864,4
301,101866,101913,4
302,101915,101959,4
303,101961,102016,4
304,102018,102247,4
305,102249,102544,4
306,102546,103037,4
307,103039,104193,4
308,104198,104207,5
309,104210,104563,5
310,104565,106829,5
311,106831,106915,5
312,106917,106972,5
313,106974,107399,5
314,107401,107892,5
315,107894,108093,5
316,108095,108210,5
317,108212,108280,5
318,108282,108357,5
319,108359,108684,5
320,108686,109285,5
321,109287,109402,5
322,109404,109505,5
323,109507,109807,5
324,109809,109897,5
325,109899,109913,5
326,109915,110174,5
327,110176,110201,5
328,110203,110252,5
329,110254,110279,5
330,110281,110568,5
331,110570,111040,5
332,111042,111155,5
333,111157,111226,5
334,111228,111294,5
335,111296,111374,5
336,111376,111516,5
337,111518,111652,5
338,111654,111856,5
339,111858,111955,5
340,111957,112096,5
341,112098,112252,5
342,112254,112342,5
343,112344,112378,5
344,112380,112569,5
345,112571,112623,5
346,112625,112741,5
347,112743,112866,5
348,112868,113037,5
349,113039,113172,5
350,113174,113283,5
351,113285,113359,5
352,113361,113510,5
353,113512,113800,5
354,113802,114181,5
355,114183,115204,5
356,115206,115229,5
357,115231,115845,5
358,115847,116245,5
359,116247,116944,5
360,116946,117063,5
361,117065,117288,5
362,117290,117522,5
363,117524,117580,5
364,117582,117740,5
365,117742,119015,5
366,119017,119072,5
367,119074,119260,5
368,119262,119810,5
369,119812,119858,5
370,119860,119879,5
371,119881,119999,5
372,120001,120017,5
373,120019,120301,5
374,120303,120674,5
375,120676,121474,5
376,121476,121568,5
377,121570,121845,5
378,121847,121955,5
379,121957,123298,5
380,123300,123413,5
381,123415,123533,5
382,123535,123560,5
383,123562,123635,5
384,123637,123809,5
385,123811,123842,5
386,123844,123942,5
387,123944,124100,5
388,124102,124145,5
389,124147,124226,5
390,124228,124234,5
391,124236,124421,5
392,124423,124854,5
393,124856,125136,5
394,125138,125400,5
395,125402,125429,5
396,125431,125498,5
397,125500,125913,5
398,125915,126433,5
399,126435,126595,5
400,126597,127153,5
401,127158,127168,6
402,127171,127853,6
403,127855,129032,6
404,129034,129747,6
405,129749,130881,6
406,130883,132488,6
407,132490,133311,6
408,133313,134548,6
409,134550,135823,6
410,135825,136286,6
411,136288,136852,6
412,136854,136961,6
413,136963,137013,6
414,137015,137187,6
415,137189,137544,6
416,137546,138251,6
417,138253,139303,6
418,139305,139883,6
419,139885,140005,6
420,140007,140119,6
421,140121,141049,6
422,141051,141736,6
423,141738,142854,6
424,142856,143346,6
425,143348,143632,6
426,143634,143874,6
427,143876,144221,6
428,144223,145172,6
429,145174,145292,6
430,145294,145438,6
431,145440,145640,6
432,145642,145758,6
433,145760,145792,6
434,145794,145926,6
435,145928,146141,6
436,146143,146592,6
437,146594,146617,6
438,146619,146863,6
439,146865,147381,6
440,147383,147524,6
441,147526,147825,6
442,147827,147992,6
443,147994,148240,6
444,148242,149069,6
445,149071,149543,6
446,149545,150062,6
447,150064,150237,6
448,150239,150405,6
449,150407,150851,6
450,150853,150909,6
451,150911,151134,6
452,151136,151160,6
453,151162,151501,6
454,151503,151531,6
455,151533,151798,6
456,151800,151900,6
457,151902,151974,6
458,151976,152042,6
459,152044,152242,6
460,152244,152353,6
461,152355,152481,6
462,152483,152627,6
463,152629,152668,6
464,152670,152942,6
465,152944,153069,6
466,153071,153395,6
467,153397,153448,6
468,153450,153503,6
469,153505,153576,6
470,153578,153645,6
471,153647,153915,6
472,153917,154241,6
473,154243,154379,6
474,154381,154732,6
475,154734,155049,6
476,155051,156056,6
