chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,3,34,43,4,46,21,7948
2,22,7953,7962,23,7965,50,20288
3,51,20293,20302,52,20305,102,29728
4,103,29733,29742,104,29745,112,37245
5,113,37250,37259,114,37262,117,44470
6,118,44475,44484,119,44487,162,53509
7,163,53514,53523,164,53526,217,69017
8,218,69022,69031,219,69034,256,83983
9,257,83988,83997,258,84000,308,102178
10,309,102183,102193,310,102196,372,123619
11,373,123624,123634,374,123637,438,139812
12,439,139814,139824,440,139827,463,150942
13,464,150947,150957,465,150960,505,168150
14,506,168155,168165,507,168168,561,186864
15,562,186869,186879,563,186882,610,204656
16,611,204661,204671,612,204674,661,219875
17,662,219880,219890,663,219893,675,227942
18,676,227947,227957,677,227960,706,239184
19,707,239189,239199,708,239202,739,247700
20,740,247705,247715,741,247718,768,265675
21,769,265680,265690,770,265693,781,282502
22,782,282507,282517,783,282520,823,301545
23,824,301547,301557,825,301560,843,316282
24,844,316287,316297,845,316300,874,332159
25,875,332164,332174,876,332177,917,348784
26,918,348789,348799,919,348802,946,362990
27,947,362995,363005,948,363008,965,370156
28,966,370161,370171,967,370174,997,389645
29,998,389650,389660,999,389663,1026,408540
30,1027,408545,408555,1028,408558,1043,425122
31,1044,425127,425137,1045,425140,1051,432204
