source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,Catherine,9582,9591,0,24,2
pdnc,qID,Q0-0,you,9593,9596,0,24,2
pdnc,qID,Q0-0,you,9659,9662,0,24,2
pdnc,qID,Q0-0,you,9704,9707,0,24,2
pdnc,qID,Q0-0,you,9752,9755,0,24,2
pdnc,qID,Q0-0,you,9775,9778,0,24,2
pdnc,qID,Q1-0,you,15249,15252,0,31,2
pdnc,qID,Q1-0,my dear,15266,15273,0,31,2
pdnc,qID,Q1-0,you,15281,15284,0,31,2
pdnc,qID,Q2-1,you,16765,16768,0,33,2
pdnc,qID,Q4-0,my dear,16869,16876,0,35,2
pdnc,qID,Q8-0,my dear,17257,17264,0,39,2
pdnc,qID,Q8-0,we,17289,17291,0,39,2
pdnc,qID,Q9-0,you,17448,17451,13,40,2
pdnc,qID,Q10-0,my dear,17601,17608,0,41,2
pdnc,qID,Q11-0,dear Mrs. Allen,17705,17720,13,42,2
pdnc,qID,Q11-0,you,17726,17729,13,42,2
pdnc,qID,Q11-0,you,17751,17754,13,42,2
pdnc,qID,Q11-0,you,17801,17804,13,42,2
pdnc,qID,Q12-0,you,17946,17949,0,43,2
pdnc,qID,Q12-0,you,17989,17992,0,43,2
pdnc,qID,Q13-0,Miss Morland,18448,18460,0,45,2
pdnc,qID,Q13-1,you,18490,18493,0,45,2
pdnc,qID,Q15-0,she,18613,18616,0,47,2
pdnc,qID,Q15-1,her,18697,18700,0,47,2
pdnc,qID,Q15-1,she,18848,18851,0,47,2
pdnc,qID,Q15-1,she,18903,18906,0,47,2
pdnc,qID,Q16-0,We,18933,18935,13,48,2
pdnc,qID,Q17-0,madam,21645,21650,0,53,3
pdnc,qID,Q17-0,you,21717,21720,0,53,3
pdnc,qID,Q17-0,you,21730,21733,0,53,3
pdnc,qID,Q17-0,you,21761,21764,0,53,3
pdnc,qID,Q17-0,you,21796,21799,0,53,3
pdnc,qID,Q17-0,you,21868,21871,0,53,3
pdnc,qID,Q17-0,you,21934,21937,0,53,3
pdnc,qID,Q17-0,you,21992,21995,0,53,3
pdnc,qID,Q18-0,You,22026,22029,4,54,3
pdnc,qID,Q18-0,sir,22067,22070,4,54,3
pdnc,qID,Q19-0,"you, madam",22096,22106,0,55,3
pdnc,qID,Q19-1,you,22227,22230,0,55,3
pdnc,qID,Q19-1,madam,22250,22255,0,55,3
pdnc,qID,Q20-0,sir,22274,22277,4,56,3
pdnc,qID,Q22-0,you,22372,22375,4,58,3
pdnc,qID,Q22-0, sir,22389,22393,4,58,3
pdnc,qID,Q23-1, your,22487,22492,0,59,3
pdnc,qID,Q23-1,you,22600,22603,0,59,3
pdnc,qID,Q23-1,madam,22623,22628,0,59,3
pdnc,qID,Q24-0,sir,22640,22643,4,60,3
pdnc,qID,Q25-0,you,22661,22664,0,61,3
pdnc,qID,Q26-0,sir,22703,22706,4,62,3
pdnc,qID,Q27-0,you,22741,22744,0,63,3
pdnc,qID,Q28-0,sir,22774,22777,4,64,3
pdnc,qID,Q30-0,sir,22836,22839,4,66,3
pdnc,qID,Q31-0,you,22866,22869,0,67,3
pdnc,qID,Q34-0,you,23086,23089,0,69,3
pdnc,qID,Q34-1,your,23155,23159,0,69,3
pdnc,qID,Q36-0,you,23221,23224,0,71,3
pdnc,qID,Q36-0,him,23448,23451,4,71,3
pdnc,qID,Q36-0,his,23474,23477,4,71,3
pdnc,qID,Q38-0,you,23541,23544,0,73,3
pdnc,qID,Q38-0,you,23550,23553,0,73,3
