qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"I beg, Catherine, you will always wrap yourself up very warm about the throat, when you come from the rooms at night; and I wish you would try to keep some account of the money you spend; I will give you this little book on purpose.","[9575, 9807]",Mrs. Morland,['Catherine Morland'],Anaphoric,Her cautions were,"['Catherine', 'you', 'you', 'you', 'you', 'you']","[[9582, 9591], [9593, 9596], [9659, 9662], [9704, 9707], [9752, 9755], [9775, 9778]]","[['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]",X,0,minor,NorthangerAbbey,24,24,2,2,15,9575,9807
Q1-0,"I wish you could dance, my dear I wish you could get a partner.","[15242, 15305]",Mrs. Allen,['Catherine Morland'],Explicit,Mrs Allen did all that she could do in such a case by saying,"['you', 'my dear', 'you']","[[15249, 15252], [15266, 15273], [15281, 15284]]","[['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]",X,1,minor,NorthangerAbbey,31,31,2,2,13,15242,15305
Q2-0,"It would have been very shocking to have it torn,","[16579, 16628]",Mrs. Allen,['Catherine Morland'],Anaphoric,said she,[],[],[],X,2,minor,NorthangerAbbey,33,33,2,2,13,16579,16628
Q2-1,"would not it? It is such a delicate muslin. For my part I have not seen anything I like so well in the whole room, I assure you.","[16641, 16769]",Mrs. Allen,['Catherine Morland'],Anaphoric,said she,['you'],"[[16765, 16768]]",[['Catherine Morland']],X,2,minor,NorthangerAbbey,33,33,2,2,13,16641,16769
Q3-0,"How uncomfortable it is,","[16773, 16797]",Catherine Morland,['Mrs. Allen'],Explicit,whispered Catherine,[],[],[],X,3,major,NorthangerAbbey,34,34,2,2,0,16773,16797
Q3-1,not to have a single acquaintance here!,"[16821, 16860]",Catherine Morland,['Mrs. Allen'],Explicit,whispered Catherine,[],[],[],X,3,major,NorthangerAbbey,34,34,2,2,0,16821,16860
Q4-0,"Yes, my dear,","[16864, 16877]",Mrs. Allen,['Catherine Morland'],Explicit,replied Mrs Allen,['my dear'],"[[16869, 16876]]",[['Catherine Morland']],X,4,minor,NorthangerAbbey,35,35,2,2,13,16864,16877
Q4-1,it is very uncomfortable indeed.,"[16923, 16955]",Mrs. Allen,['Catherine Morland'],Explicit,replied Mrs Allen,[],[],[],X,4,minor,NorthangerAbbey,35,35,2,2,13,16923,16955
Q5-0,What shall we do? The gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party.,"[16959, 17101]",Catherine Morland,['Mrs. Allen'],Implicit,,"['we', 'we', 'we']","[[16970, 16972], [17045, 17047], [17058, 17060]]","[['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland']]",X,5,major,NorthangerAbbey,36,36,2,2,0,16959,17101
Q6-0,"Aye, so we do. That is very disagreeable. I wish we had a large acquaintance here.","[17105, 17187]",Mrs. Allen,['Catherine Morland'],Implicit,,"['we', 'we']","[[17113, 17115], [17154, 17156]]","[['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland']]",X,6,minor,NorthangerAbbey,37,37,2,2,13,17105,17187
Q7-0,I wish we had _any;_ it would be somebody to go to.,"[17191, 17242]",Catherine Morland,['Mrs. Allen'],Implicit,,['we'],"[[17198, 17200]]","[['Mrs. Allen', 'Catherine Morland']]",X,7,major,NorthangerAbbey,38,38,2,2,0,17191,17242
Q8-0,"Very true, my dear; and if we knew anybody we would join them directly. The Skinners were here last year I wish they were here now.","[17246, 17377]",Mrs. Allen,['Catherine Morland'],Implicit,,"['my dear', 'we', 'we']","[[17257, 17264], [17273, 17275], [17289, 17291]]","[['Catherine Morland'], ['Mrs. Allen', 'Catherine Morland'], ['Catherine Morland']]",X,8,minor,NorthangerAbbey,39,39,2,2,13,17246,17377
Q9-0,"Had not we better go away as it is? Here are no tea-things for us, you see.","[17381, 17456]",Catherine Morland,['Mrs. Allen'],Implicit,,"['we', 'us', 'you']","[[17389, 17391], [17444, 17446], [17448, 17451]]","[['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen', 'Catherine Morland'], ['Mrs. Allen']]",X,9,major,NorthangerAbbey,40,40,2,2,0,17381,17456
Q10-0,"No more there are, indeed. How very provoking! But I think we had better sit still, for one gets so tumbled in such a crowd! How is my head, my dear? Somebody gave me a push that has hurt it, I am afraid.","[17460, 17664]",Mrs. Allen,['Catherine Morland'],Implicit,,"['we', 'my dear']","[[17519, 17521], [17601, 17608]]","[['Mrs. Allen', 'Catherine Morland'], ['Catherine Morland']]",X,10,minor,NorthangerAbbey,41,41,2,2,13,17460,17664
Q11-0,"No, indeed, it looks very nice. But, dear Mrs. Allen, are you sure there is nobody you know in all this multitude of people? I think you _must_ know somebody.","[17668, 17826]",Catherine Morland,['Mrs. Allen'],Implicit,,"['dear Mrs. Allen', 'you', 'you', 'you']","[[17705, 17720], [17726, 17729], [17751, 17754], [17801, 17804]]","[['Mrs. Allen'], ['Mrs. Allen'], ['Mrs. Allen'], ['Mrs. Allen']]",X,11,major,NorthangerAbbey,42,42,2,2,0,17668,17826
Q12-0,"I don t, upon my word I wish I did. I wish I had a large acquaintance here with all my heart, and then I should get you a partner. I should be so glad to have you dance. There goes a strange-looking woman! What an odd gown she has got on! How old-fashioned it is! Look at the back.","[17830, 18111]",Mrs. Allen,['Catherine Morland'],Implicit,,"['you', 'you']","[[17946, 17949], [17989, 17992]]","[['Catherine Morland'], ['Catherine Morland']]",X,12,minor,NorthangerAbbey,43,43,2,2,13,17830,18111
Q13-0,"Well, Miss Morland,","[18442, 18461]",Mr. Allen,"['Mrs. Allen', 'Catherine Morland']",Anaphoric,said he,['Miss Morland'],"[[18448, 18460]]",[['Catherine Morland']],X,13,minor,NorthangerAbbey,45,45,2,2,10,18442,18461
Q13-1,I hope you have had an agreeable ball.,"[18483, 18521]",Mr. Allen,"['Mrs. Allen', 'Catherine Morland']",Anaphoric,said he,['you'],"[[18490, 18493]]",[['Catherine Morland']],X,13,minor,NorthangerAbbey,45,45,2,2,10,18483,18521
Q14-0,"Very agreeable indeed,","[18525, 18547]",Catherine Morland,"['Mrs. Allen', 'Mr. Allen']",Anaphoric,she replied,[],[],[],X,14,major,NorthangerAbbey,46,46,2,2,0,18525,18547
Q15-0,"I wish she had been able to dance,","[18606, 18640]",Mrs. Allen,"['Catherine Morland', 'Mr. Allen']",Anaphoric,said his wife,['she'],"[[18613, 18616]]",[['Catherine Morland']],X,15,minor,NorthangerAbbey,47,47,2,2,13,18606,18640
Q15-1,"I wish we could have got a partner for her. I have been saying how glad I should be if the Skinners were here this winter instead of last; or if the Parrys had come, as they talked of once, she might have danced with George Parry. I am so sorry she has not had a partner!","[18658, 18929]",Mrs. Allen,"['Catherine Morland', 'Mr. Allen']",Anaphoric,said his wife,"['we', 'her', 'she', 'she']","[[18665, 18667], [18697, 18700], [18848, 18851], [18903, 18906]]","[['Mrs. Allen', 'Mr. Allen'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]",X,15,minor,NorthangerAbbey,47,47,2,2,13,18658,18929
Q16-0,"We shall do better another evening I hope,","[18933, 18975]",Mr. Allen,"['Mrs. Allen', 'Catherine Morland']",Explicit,was Mr Allen s consolation,['We'],"[[18933, 18935]]",[['Mrs. Allen']],X,16,minor,NorthangerAbbey,48,48,2,2,10,18933,18975
Q17-0,"I have hitherto been very remiss, madam, in the proper attentions of a partner here; I have not yet asked you how long you have been in Bath; whether you were ever here before; whether you have been at the Upper Rooms, the theatre, and the concert; and how you like the place altogether. I have been very negligent but are you now at leisure to satisfy me in these particulars? If you are I will begin directly.","[21611, 22022]",Henry Tilney,['Catherine Morland'],Anaphoric,he suddenly addressed her,"['madam', 'you', 'you', 'you', 'you', 'you', 'you', 'you']","[[21645, 21650], [21717, 21720], [21730, 21733], [21761, 21764], [21796, 21799], [21868, 21871], [21934, 21937], [21992, 21995]]","[['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]",X,17,major,NorthangerAbbey,53,53,3,3,4,21611,22022
Q18-0,"You need not give yourself that trouble, sir.","[22026, 22071]",Catherine Morland,['Henry Tilney'],Implicit,,"['You', 'sir']","[[22026, 22029], [22067, 22070]]","[['Henry Tilney'], ['Henry Tilney']]",X,18,major,NorthangerAbbey,54,54,3,3,0,22026,22071
Q19-0,"No trouble, I assure you, madam.","[22075, 22107]",Henry Tilney,['Catherine Morland'],Anaphoric,he added,"['you, madam']","[[22096, 22106]]",[['Catherine Morland']],X,19,major,NorthangerAbbey,55,55,3,3,4,22075,22107
Q19-1,"Have you been long in Bath, madam?","[22222, 22256]",Henry Tilney,['Catherine Morland'],Anaphoric,he added,"['you', 'madam']","[[22227, 22230], [22250, 22255]]","[['Catherine Morland'], ['Catherine Morland']]",X,19,major,NorthangerAbbey,55,55,3,3,4,22222,22256
Q20-0,"About a week, sir,","[22260, 22278]",Catherine Morland,['Henry Tilney'],Explicit,replied Catherine,['sir'],"[[22274, 22277]]",[['Henry Tilney']],X,20,major,NorthangerAbbey,56,56,3,3,0,22260,22278
Q21-0,Really!,"[22322, 22329]",Henry Tilney,['Catherine Morland'],Implicit,,[],[],[],X,21,major,NorthangerAbbey,57,57,3,3,4,22322,22329
Q22-0,"Why should you be surprised, sir?","[22361, 22394]",Catherine Morland,['Henry Tilney'],Implicit,,"['you', ' sir']","[[22372, 22375], [22389, 22393]]","[['Henry Tilney'], ['Henry Tilney']]",X,22,major,NorthangerAbbey,58,58,3,3,0,22361,22394
Q23-0,"Why, indeed!","[22398, 22410]",Henry Tilney,['Catherine Morland'],Anaphoric,said he,[],[],[],X,23,major,NorthangerAbbey,59,59,3,3,4,22398,22410
Q23-1,"But some emotion must appear to be raised by your reply, and surprise is more easily assumed, and not less reasonable than any other. Now let us go on. Were you never here before, madam?","[22443, 22629]",Henry Tilney,['Catherine Morland'],Anaphoric,said he,"[' your', 'us', 'you', 'madam']","[[22487, 22492], [22585, 22587], [22600, 22603], [22623, 22628]]","[['Catherine Morland'], ['Henry Tilney', 'Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]",X,23,major,NorthangerAbbey,59,59,3,3,4,22443,22629
Q24-0,"Never, sir.","[22633, 22644]",Catherine Morland,['Henry Tilney'],Implicit,,['sir'],"[[22640, 22643]]",[['Henry Tilney']],X,24,major,NorthangerAbbey,60,60,3,3,0,22633,22644
Q25-0,Indeed! Have you yet honoured the Upper Rooms?,"[22648, 22694]",Henry Tilney,['Catherine Morland'],Implicit,,['you'],"[[22661, 22664]]",[['Catherine Morland']],X,25,major,NorthangerAbbey,61,61,3,3,4,22648,22694
Q26-0,"Yes, sir, I was there last Monday.","[22698, 22732]",Catherine Morland,['Henry Tilney'],Implicit,,['sir'],"[[22703, 22706]]",[['Henry Tilney']],X,26,major,NorthangerAbbey,62,62,3,3,0,22698,22732
Q27-0,Have you been to the theatre?,"[22736, 22765]",Henry Tilney,['Catherine Morland'],Implicit,,['you'],"[[22741, 22744]]",[['Catherine Morland']],X,27,major,NorthangerAbbey,63,63,3,3,4,22736,22765
Q28-0,"Yes, sir, I was at the play on Tuesday.","[22769, 22808]",Catherine Morland,['Henry Tilney'],Implicit,,['sir'],"[[22774, 22777]]",[['Henry Tilney']],X,28,major,NorthangerAbbey,64,64,3,3,0,22769,22808
Q29-0,To the concert?,"[22812, 22827]",Henry Tilney,['Catherine Morland'],Implicit,,[],[],[],X,29,major,NorthangerAbbey,65,65,3,3,4,22812,22827
Q30-0,"Yes, sir, on Wednesday.","[22831, 22854]",Catherine Morland,['Henry Tilney'],Implicit,,['sir'],"[[22836, 22839]]",[['Henry Tilney']],X,30,major,NorthangerAbbey,66,66,3,3,0,22831,22854
Q31-0,And are you altogether pleased with Bath?,"[22858, 22899]",Henry Tilney,['Catherine Morland'],Implicit,,['you'],"[[22866, 22869]]",[['Catherine Morland']],X,31,major,NorthangerAbbey,67,67,3,3,4,22858,22899
Q32-0,Yes I like it very well.,"[22903, 22927]",Catherine Morland,['Henry Tilney'],Implicit,,[],[],[],X,32,major,NorthangerAbbey,68,68,3,3,0,22903,22927
Q33-0,"Now I must give one smirk, and then we may be rational again.","[22931, 22992]",Henry Tilney,['Catherine Morland'],Implicit,,['we'],"[[22967, 22969]]","[['Henry Tilney', 'Catherine Morland']]",X,33,major,NorthangerAbbey,69,69,3,3,4,22931,22992
Q34-0,"I see what you think of me,","[23075, 23102]",Henry Tilney,['Catherine Morland'],Anaphoric,said he,['you'],"[[23086, 23089]]",[['Catherine Morland']],X,34,major,NorthangerAbbey,69,69,3,3,4,23075,23102
Q34-1,I shall make but a poor figure in your journal tomorrow.,"[23121, 23177]",Henry Tilney,['Catherine Morland'],Anaphoric,said he,['your'],"[[23155, 23159]]",[['Catherine Morland']],X,34,major,NorthangerAbbey,69,69,3,3,4,23121,23177
Q35-0,My journal!,"[23181, 23192]",Catherine Morland,['Henry Tilney'],Implicit,,[],[],[],X,35,major,NorthangerAbbey,70,70,3,3,0,23181,23192
Q36-0,"Yes, I know exactly what you will say: Friday, went to the Lower Rooms; wore my sprigged muslin robe with blue trimmings plain black shoes appeared to much advantage; but was strangely harassed by a queer, half-witted man, who would make me dance with him, and distressed me by his nonsense.","[23196, 23487]",Henry Tilney,['Catherine Morland'],Implicit,,"['you', 'him', 'his']","[[23221, 23224], [23448, 23451], [23474, 23477]]","[['Catherine Morland'], ['Henry Tilney'], ['Henry Tilney']]",X,36,major,NorthangerAbbey,71,71,3,3,4,23196,23487
Q37-0,Indeed I shall say no such thing.,"[23491, 23524]",Catherine Morland,['Henry Tilney'],Implicit,,[],[],[],X,37,major,NorthangerAbbey,72,72,3,3,0,23491,23524
Q38-0,Shall I tell you what you ought to say?,"[23528, 23567]",Henry Tilney,['Catherine Morland'],Implicit,,"['you', 'you']","[[23541, 23544], [23550, 23553]]","[['Catherine Morland'], ['Catherine Morland']]",X,38,major,NorthangerAbbey,73,73,3,3,4,23528,23567
Q39-0,If you please.,"[23571, 23585]",Catherine Morland,['Henry Tilney'],Implicit,,['you'],"[[23574, 23577]]",[['Henry Tilney']],X,39,major,NorthangerAbbey,74,74,3,3,0,23571,23585
Q40-0,"I danced with a very agreeable young man, introduced by Mr. King; had a great deal of conversation with him seems a most extraordinary genius hope I may know more of him. _That_, madam, is what I _wish_ you to say.","[23589, 23803]",Henry Tilney,['Catherine Morland'],Implicit,,"['young man', 'him', 'him', 'madam', 'you']","[[23620, 23629], [23693, 23696], [23755, 23758], [23768, 23773], [23792, 23795]]","[['Henry Tilney'], ['Henry Tilney'], ['Henry Tilney'], ['Catherine Morland'], ['Catherine Morland']]",X,40,major,NorthangerAbbey,75,75,3,3,4,23589,23803
Q41-0,"But, perhaps, I keep no journal.","[23807, 23839]",Catherine Morland,['Henry Tilney'],Implicit,,[],[],[],X,41,major,NorthangerAbbey,76,76,3,3,0,23807,23839
Q42-0,"Perhaps you are not sitting in this room, and I am not sitting by you. These are points in which a doubt is equally possible. Not keep a journal! How are your absent cousins to understand the tenour of your life in Bath without one? How are the civilities and compliments of every day to be related as they ought to be, unless noted down every evening in a journal? How are your various dresses to be remembered, and the particular state of your complexion, and curl of your hair to be described in all their diversities, without having constant recourse to a journal? My dear madam, I am not so ignorant of young ladies  ways as you wish to believe me; it is this delightful habit of journaling which largely contributes to form the easy style of writing for which ladies are so generally celebrated. Everybody allows that the talent of writing agreeable letters is peculiarly female. Nature may have done something, but I am sure it must be essentially assisted by the practice of keeping a journal.","[23843, 24844]",Henry Tilney,['Catherine Morland'],Implicit,,"['you', 'you', 'your ', 'your', 'your', 'your', 'your', 'My dear madam', 'you']","[[23851, 23854], [23909, 23912], [23997, 24002], [24045, 24049], [24217, 24221], [24284, 24288], [24313, 24317], [24412, 24425], [24473, 24476]]","[['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland'], ['Catherine Morland']]",X,42,major,NorthangerAbbey,77,77,3,3,4,23843,24844
Q43-0,"I have sometimes thought,","[24848, 24873]",Catherine Morland,['Henry Tilney'],Explicit,said Catherine,[],[],[],X,43,major,NorthangerAbbey,78,78,3,3,0,24848,24873
Q43-1,whether ladies do write so much better letters than gentlemen! That is I should not think the superiority was always on our side.,"[24904, 25033]",Catherine Morland,['Henry Tilney'],Explicit,said Catherine,[],[],[],X,43,major,NorthangerAbbey,78,78,3,3,0,24904,25033
Q44-0,"As far as I have had opportunity of judging, it appears to me that the usual style of letter-writing among women is faultless, except in three particulars.","[25037, 25192]",Henry Tilney,['Catherine Morland'],Implicit,,[],[],[],X,44,major,NorthangerAbbey,79,79,3,3,4,25037,25192
Q45-0,And what are they?,"[25196, 25214]",Catherine Morland,['Henry Tilney'],Implicit,,[],[],[],X,45,major,NorthangerAbbey,80,80,3,3,0,25196,25214
Q46-0,"A general deficiency of subject, a total inattention to stops, and a very frequent ignorance of grammar.","[25218, 25322]",Henry Tilney,['Catherine Morland'],Implicit,,[],[],[],X,46,major,NorthangerAbbey,81,81,3,3,4,25218,25322
Q47-0,Upon my word! I need not have been afraid of disclaiming the compliment. You do not think too highly of us in that way.,"[25326, 25445]",Catherine Morland,['Henry Tilney'],Implicit,,"['You', 'us']","[[25399, 25402], [25430, 25432]]","[['Henry Tilney'], ['Catherine Morland', 'Henry Tilney']]",X,47,major,NorthangerAbbey,82,82,3,3,0,25326,25445
Q48-0,"I should no more lay it down as a general rule that women write better letters than men, than that they sing better duets, or draw better landscapes. In every power, of which taste is the foundation, excellence is pretty fairly divided between the sexes.","[25449, 25703]",Henry Tilney,['Catherine Morland'],Implicit,,[],[],[],X,48,major,NorthangerAbbey,83,83,3,3,4,25449,25703
