source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q2-0,your father,17803,17814,26,33,2
pdnc,qID,Q2-1,he,17895,17897,26,33,2
pdnc,qID,Q2-1,he,17943,17945,26,33,2
pdnc,qID,Q2-1,him,17999,18002,26,33,2
pdnc,qID,Q2-1,Elizabeth,18007,18016,8,33,2
pdnc,qID,Q2-1,Sir Walter Elliot,18143,18160,26,33,2
pdnc,qID,Q2-1,he ,18270,18273,26,33,2
pdnc,qID,Q2-1,his,18395,18398,26,33,2
pdnc,qID,Q2-1,your father,18740,18751,26,33,2
pdnc,qID,Q4-0,Sir Walter,26577,26587,26,48,3
pdnc,qID,Q4-1,Sir Walter,26844,26854,26,48,3
pdnc,qID,Q4-1,Sir Walter,27010,27020,26,48,3
pdnc,qID,Q5-0,He,27026,27028,32,49,3
pdnc,qID,Q5-0,Shepherd,27056,27064,18,49,3
pdnc,qID,Q5-1,him,27159,27162,32,49,3
pdnc,qID,Q5-1,him,27202,27205,32,49,3
pdnc,qID,Q5-1,Shepherd,27243,27251,18,49,3
pdnc,qID,Q6-0,Sir Walter,27350,27360,26,51,3
pdnc,qID,Q6-0,Sir Walter,27664,27674,26,51,3
pdnc,qID,Q6-0,your,27771,27775,26,51,3
pdnc,qID,Q6-0,we,27843,27845,18,51,3
pdnc,qID,Q6-0,John Shepherd,28000,28013,18,51,3
pdnc,qID,Q6-0,Sir Walter Elliot,28125,28142,26,51,3
pdnc,qID,Q6-0,him,28157,28160,26,51,3
pdnc,qID,Q6-0,our ,28293,28297,18,51,3
pdnc,qID,Q6-0,you,28616,28619,26,51,3
pdnc,qID,Q8-1,Sir Walter,29355,29365,26,54,3
pdnc,qID,Q8-1,you,29370,29373,26,54,3
pdnc,qID,Q8-1,You,29579,29582,1,54,3
pdnc,qID,Q8-1,Miss Elliot,29603,29614,1,54,3
pdnc,qID,Q8-1,your ,29619,29624,1,54,3
pdnc,qID,Q9-1,him,29913,29916,32,55,3
pdnc,qID,Q9-1,Miss Elliot,30197,30208,1,55,3
pdnc,qID,Q9-1,her,30218,30221,1,55,3
pdnc,qID,Q9-1,her,30244,30247,1,55,3
pdnc,qID,Q9-1,you,30360,30363,26,55,3
pdnc,qID,Q10-0,Your ,30561,30566,26,57,3
pdnc,qID,Q10-0,Sir Walter,30576,30586,26,57,3
pdnc,qID,Q10-0,his,30674,30677,32,57,3
pdnc,qID,Q10-0,Sir Walter Elliot,30716,30733,26,57,3
pdnc,qID,Q10-0,his,30764,30767,26,57,3
pdnc,qID,Q10-0,John Shepherd,30776,30789,18,57,3
pdnc,qID,Q12-0,Miss Anne,31099,31108,1,60,3
pdnc,qID,Q16-0,Admiral,32275,32282,33,63,3
pdnc,qID,Q16-0,you,32330,32333,18,63,3
pdnc,qID,Q16-0,his,32347,32350,33,63,3
pdnc,qID,Q16-0,Admiral,32667,32674,33,63,3
pdnc,qID,Q16-0,you,32693,32696,18,63,3
pdnc,qID,Q16-0,his,32702,32705,33,63,3
pdnc,qID,Q16-0,Admiral,32872,32879,33,63,3
pdnc,qID,Q17-0,Sir Walter,33236,33246,26,64,3
pdnc,qID,Q17-2,you,34007,34010,26,64,3
pdnc,qID,Q18-0,Admiral Croft,36042,36055,0,66,3
pdnc,qID,Q19-0,He,36243,36245,0,68,3
pdnc,qID,Q19-0,He,36279,36281,0,68,3
pdnc,qID,Q19-0,he,36350,36352,0,68,3
pdnc,qID,Q20-1,his,36459,36462,0,69,3
pdnc,qID,Q21-0,she,37927,37930,27,72,3
pdnc,qID,Q21-1,the Admiral,38026,38037,0,72,3
pdnc,qID,Q21-1,himself,38038,38045,0,72,3
pdnc,qID,Q21-1,Sir Walter,38103,38113,26,72,3
pdnc,qID,Q21-1,she,38123,38126,27,72,3
pdnc,qID,Q21-1,her husband,38184,38195,0,72,3
pdnc,qID,Q21-1,she ,38213,38217,27,72,3
pdnc,qID,Q21-1,sister to a gentleman,38220,38241,27,72,3
pdnc,qID,Q21-1,us,38263,38265,18,72,3
pdnc,qID,Q21-1,she,38272,38275,27,72,3
pdnc,qID,Q21-1,herself,38287,38294,27,72,3
pdnc,qID,Q21-1,sister to the gentleman who lived a few years back at Monkford,38296,38358,27,72,3
pdnc,qID,Q21-1,his,38379,38382,4,72,3
pdnc,qID,Q21-1,his,38423,38426,4,72,3
pdnc,qID,Q21-1,Penelope,38467,38475,20,72,3
pdnc,qID,Q21-1,you,38490,38493,20,72,3
pdnc,qID,Q21-1,the gentleman who lived at Monkford,38517,38552,4,72,3
pdnc,qID,Q21-1,Mrs Croft's brother,38554,38573,4,72,3
pdnc,qID,Q22-0,you,38693,38696,18,74,3
pdnc,qID,Q22-0,Shepherd,38707,38715,18,74,3
pdnc,qID,Q23-0,the gentleman,38924,38937,4,75,3
pdnc,qID,Q23-0,him,38961,38964,4,75,3
pdnc,qID,Q23-0,his,39046,39049,4,75,3
pdnc,qID,Q23-0,his,39089,39092,4,75,3
pdnc,qID,Q24-0,You,39285,39288,18,77,3
pdnc,qID,Q24-0,Mr Wentworth,39294,39306,4,77,3
pdnc,qID,Q25-0,Wentworth,39365,39374,4,79,3
pdnc,qID,Q25-0,Mr Wentworth,39395,39407,4,79,3
pdnc,qID,Q25-0,He,39427,39429,4,79,3
pdnc,qID,Q25-0,you,39458,39461,26,79,3
pdnc,qID,Q25-0,Sir Walter,39468,39478,26,79,3
pdnc,qID,Q25-0,him,39578,39581,4,79,3
pdnc,qID,Q26-0,Wentworth,39597,39606,4,80,3
pdnc,qID,Q26-0,Mr Wentworth,39618,39630,4,80,3
pdnc,qID,Q26-0,You,39657,39660,18,80,3
pdnc,qID,Q26-0,you,39705,39708,18,80,3
pdnc,qID,Q26-0,Mr Wentworth,39749,39761,4,80,3
pdnc,qID,Q27-0,he,42215,42217,4,85,3
pdnc,qID,Q28-0,my dear,54384,54391,27,103,5
pdnc,qID,Q28-0,they,54410,54414,32,103,5
pdnc,qID,Q28-0,him,54516,54519,26,103,5
pdnc,qID,Q29-0,Anne,56122,56126,1,107,5
pdnc,qID,Q30-0,Anne,56194,56198,1,107,5
pdnc,qID,Q30-0,her,56237,56240,1,107,5
pdnc,qID,Q31-0,Mrs Clay,58704,58712,20,113,5
pdnc,qID,Q31-1,she,58752,58755,20,113,5
pdnc,qID,Q31-1,her,58802,58805,20,113,5
pdnc,qID,Q31-1,you,58822,58825,1,113,5
pdnc,qID,Q31-1,you,58847,58850,1,113,5
pdnc,qID,Q31-1,she,58923,58926,20,113,5
pdnc,qID,Q31-1,my father,59018,59027,26,113,5
pdnc,qID,Q31-1,he,59067,59069,26,113,5
pdnc,qID,Q31-1,himself,59084,59091,26,113,5
pdnc,qID,Q31-1,Mrs Clay,59149,59157,20,113,5
pdnc,qID,Q31-1,you,59195,59198,1,113,5
pdnc,qID,Q31-1,her,59226,59229,20,113,5
pdnc,qID,Q31-1,he,59344,59346,26,113,5
pdnc,qID,Q31-1,Mrs Clay,59384,59392,20,113,5
pdnc,qID,Q31-1,her,59407,59410,20,113,5
pdnc,qID,Q31-1,Clay,59490,59494,20,113,5
pdnc,qID,Q31-1,you,59553,59556,1,113,5
pdnc,qID,Q31-1,you,59632,59635,1,113,5
pdnc,qID,Q31-1,her,59669,59672,20,113,5
pdnc,qID,Q31-1,him,59747,59750,26,113,5
pdnc,qID,Q31-1,he,59813,59815,26,113,5
pdnc,qID,Q31-1,You,59834,59837,1,113,5
pdnc,qID,Q31-1,him,59854,59857,26,113,5
pdnc,qID,Q31-1,Mrs Clay,59865,59873,20,113,5
pdnc,qID,Q33-1,you,60283,60286,1,115,5
pdnc,qID,Q34-0,you,63549,63552,1,121,5
pdnc,qID,Q34-0,you,63608,63611,1,121,5
pdnc,qID,Q35-0,you,63715,63718,16,122,5
pdnc,qID,Q35-1,You,63744,63747,16,122,5
pdnc,qID,Q35-1,yourself,63779,63787,16,122,5
pdnc,qID,Q36-0,Lady Russell,64108,64120,12,123,5
pdnc,qID,Q36-0,she,64156,64159,12,123,5
pdnc,qID,Q37-0,Charles ,64275,64283,6,124,5
pdnc,qID,Q37-0,him,64317,64320,6,124,5
pdnc,qID,Q37-0,He,64343,64345,6,124,5
pdnc,qID,Q37-0,him,64370,64373,6,124,5
pdnc,qID,Q37-0,He,64390,64392,6,124,5
pdnc,qID,Q37-0,he,64398,64400,6,124,5
pdnc,qID,Q37-0,he,64431,64433,6,124,5
pdnc,qID,Q37-0,you,64491,64494,1,124,5
pdnc,qID,Q38-0,You,64547,64550,16,125,5
pdnc,qID,Q38-0,you,64582,64585,16,125,5
pdnc,qID,Q39-0,Little Charles,64699,64713,13,126,5
pdnc,qID,Q39-0,Walter,64746,64752,14,126,5
pdnc,qID,Q40-0,you,64787,64790,16,127,5
pdnc,qID,Q40-1,You,64845,64848,16,127,5
pdnc,qID,Q40-1,you,64868,64871,16,127,5
pdnc,qID,Q41-0,you,64944,64947,1,128,5
pdnc,qID,Q41-0,Mr Musgrove,65012,65023,19,128,5
pdnc,qID,Q41-0,his,65096,65099,19,128,5
pdnc,qID,Q41-0,him,65125,65128,19,128,5
pdnc,qID,Q41-0,Miss Musgroves,65210,65224,15,128,5
pdnc,qID,Q42-0,You,65288,65291,16,129,5
pdnc,qID,Q43-0,you,65393,65396,1,130,5
pdnc,qID,Q43-0,Anne,65454,65458,1,130,5
