source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,sir walter elliot,Sir Walter Elliot,53,70,26,6,1,M_0
exp,exp_name,kellynch hall,Kellynch Hall,75,88,10,6,1,M_1
exp,exp_name,kellynch hall,KELLYNCH HALL,765,778,10,7,1,M_2
exp,exp_name,walter elliot,Walter Elliot,783,796,26,8,1,M_3
exp,exp_name,elizabeth,Elizabeth,842,851,8,8,1,M_4
exp,exp_name,elizabeth,Elizabeth,974,983,8,8,1,M_5
exp,exp_name,anne,Anne,1004,1008,1,8,1,M_6
exp,exp_name,mary,Mary,1067,1071,16,8,1,M_7
exp,exp_name,sir walter,Sir Walter,1179,1189,26,9,1,M_8
exp,exp_name,mary,Mary,1295,1299,16,9,1,M_9
exp,exp_name,charles,Charles,1339,1346,13,9,1,M_10
exp,exp_name,charles musgrove,Charles Musgrove,1364,1380,6,9,1,M_11
exp,exp_name,charles,Charles,1838,1845,13,10,1,M_12
exp,exp_name,kellynch hall,Kellynch Hall,2009,2022,10,10,1,M_13
exp,exp_name,sir walter,Sir Walter,2056,2066,26,10,1,M_14
exp,exp_name,william walter elliot,William Walter Elliot,2125,2146,30,11,1,M_15
exp,exp_name,sir walter,Sir Walter,2183,2193,26,11,1,M_16
exp,exp_name,sir walter elliot,Sir Walter Elliot,2237,2254,26,12,1,M_17
exp,exp_name,sir walter elliot,Sir Walter Elliot,2656,2673,26,12,1,M_18
booknlp,COREF,6,Kellynch,3850,3858,10,13,1,M_19
exp,exp_name,sir walter,Sir Walter,4060,4070,26,14,1,M_20
exp,exp_name,lady russell,Lady Russell,4330,4342,12,15,1,M_21
exp,exp_name,sir walter,Sir Walter,4594,4604,26,15,1,M_22
exp,exp_name,sir walter,Sir Walter,4678,4688,26,15,1,M_23
exp,exp_name,elizabeth,Elizabeth,4983,4992,8,15,1,M_24
booknlp,COREF,91,her,5049,5052,8,15,1,M_25
booknlp,COREF,91,her,5134,5137,8,15,1,M_26
exp,exp_name,mary,Mary,5269,5273,16,15,1,M_27
exp,exp_name,charles musgrove,Charles Musgrove,5335,5351,6,15,1,M_28
exp,exp_name,anne,Anne,5357,5361,1,15,1,M_29
exp,exp_name,anne,Anne,5605,5609,1,15,1,M_30
exp,exp_name,lady russell,Lady Russell,5615,5627,12,16,1,M_31
booknlp,COREF,101,she,5637,5640,12,16,1,M_32
exp,exp_name,lady russell,Lady Russell,5713,5725,12,16,1,M_33
exp,exp_name,anne,Anne,5761,5765,1,16,1,M_34
booknlp,COREF,101,she,5771,5774,12,16,1,M_35
exp,exp_name,anne elliot,Anne Elliot,5836,5847,1,17,1,M_36
exp,exp_name,elizabeth,Elizabeth,6311,6320,8,17,1,M_37
exp,exp_name,mary,Mary,6326,6330,16,17,1,M_38
booknlp,COREF,94,herself,6352,6359,16,17,1,M_39
exp,exp_name,elizabeth,Elizabeth,6482,6491,8,17,1,M_40
exp,exp_name,elizabeth,Elizabeth,6776,6785,8,18,1,M_41
exp,exp_name,miss elliot,Miss Elliot,6811,6822,17,18,1,M_42
exp,exp_name,sir walter,Sir Walter,6872,6882,26,18,1,M_43
exp,exp_name,elizabeth,Elizabeth,7002,7011,8,18,1,M_44
exp,exp_name,anne,Anne,7179,7183,1,18,1,M_45
exp,exp_name,mary,Mary,7193,7197,16,18,1,M_46
exp,exp_name,lady russell,Lady Russell,7296,7308,12,18,1,M_47
exp,exp_name,elizabeth,Elizabeth,7353,7362,8,19,1,M_48
booknlp,COREF,91,her,7383,7386,8,19,1,M_49
booknlp,COREF,91,her,7443,7446,8,19,1,M_50
exp,exp_name,kellynch hall,Kellynch Hall,7459,7472,10,19,1,M_51
booknlp,COREF,91,her,7575,7578,8,19,1,M_52
booknlp,COREF,91,she,7598,7601,8,19,1,M_53
booknlp,COREF,91,she,7631,7634,8,19,1,M_54
exp,exp_name,lady russell,Lady Russell,7775,7787,12,19,1,M_55
booknlp,COREF,91,her,7895,7898,8,19,1,M_56
booknlp,COREF,91,she,8013,8016,8,19,1,M_57
booknlp,COREF,91,her,8045,8048,8,19,1,M_58
booknlp,COREF,91,She,8112,8115,8,19,1,M_59
booknlp,COREF,91,she,8149,8152,8,19,1,M_60
booknlp,COREF,91,her,8208,8211,8,19,1,M_61
booknlp,COREF,91,she,8249,8252,8,19,1,M_62
booknlp,COREF,91,she,8319,8322,8,19,1,M_63
booknlp,COREF,91,her,8328,8331,8,19,1,M_64
booknlp,COREF,91,she,8496,8499,8,19,1,M_65
booknlp,COREF,91,her,8561,8564,8,19,1,M_66
booknlp,COREF,91,she,8586,8589,8,19,1,M_67
booknlp,COREF,91,her,8645,8648,8,19,1,M_68
