paraID,startByte,endByte,chapID
1,0,10,-1
2,13,15,-1
3,17,28,-1
4,30,36,-1
5,41,50,1
6,53,741,1
7,743,780,1
8,782,1097,1
9,1099,1514,1
10,1516,2104,1
11,2106,2195,1
12,2197,2759,1
13,2761,4041,1
14,4043,4323,1
15,4325,5610,1
16,5612,5814,1
17,5816,6532,1
18,6534,7351,1
19,7353,8873,1
20,8875,9158,1
21,9160,9759,1
22,9761,10399,1
23,10401,10960,1
24,10962,12004,1
25,12006,12407,1
26,12409,14451,1
27,14453,14827,1
28,14829,15189,1
29,15193,15202,2
30,15205,15641,2
31,15643,17042,2
32,17044,17781,2
33,17783,18812,2
34,18814,19642,2
35,19644,20103,2
36,20105,20842,2
37,20844,21049,2
38,21051,21599,2
39,21601,22361,2
40,22363,23002,2
41,23004,23442,2
42,23444,23927,2
43,23929,24429,2
44,24431,25209,2
45,25211,26221,2
46,26223,26530,2
47,26534,26543,3
48,26546,27023,3
49,27025,27253,3
50,27255,27325,3
51,27327,28645,3
52,28647,28748,3
53,28750,28887,3
54,28889,29666,3
55,29668,30390,3
56,30392,30442,3
57,30444,30807,3
58,30809,30826,3
59,30828,31068,3
60,31070,31246,3
61,31248,31346,3
62,31348,31401,3
63,31403,33228,3
64,33230,34685,3
65,34687,36028,3
66,36030,36099,3
67,36101,36240,3
68,36242,36400,3
69,36402,36524,3
70,36526,37209,3
71,37211,37878,3
72,37880,38575,3
73,38577,38664,3
74,38666,38800,3
75,38802,39250,3
76,39252,39282,3
77,39284,39330,3
78,39332,39362,3
79,39364,39594,3
80,39596,39915,3
81,39917,40508,3
82,40510,40903,3
83,40905,41656,3
84,41658,41896,3
85,41898,42249,3
86,42253,42262,4
87,42265,43289,4
88,43291,43773,4
89,43775,44557,4
90,44559,45461,4
91,45463,46619,4
92,46621,46912,4
93,46914,48698,4
94,48700,50412,4
95,50414,50796,4
96,50798,52304,4
97,52306,52586,4
98,52588,52829,4
99,52833,52842,5
100,52845,53133,5
101,53135,53701,5
102,53703,53983,5
103,53985,54590,5
104,54592,54791,5
105,54793,55613,5
106,55615,56090,5
107,56092,56250,5
108,56252,56563,5
109,56565,56827,5
110,56829,57395,5
111,57397,58505,5
112,58507,58701,5
113,58703,59886,5
114,59888,60006,5
115,60008,60306,5
116,60308,60467,5
117,60469,60874,5
118,60876,61575,5
119,61577,62387,5
120,62389,63542,5
121,63544,63693,5
122,63695,63801,5
123,63803,64208,5
124,64210,64544,5
125,64546,64587,5
126,64589,64778,5
127,64780,64930,5
128,64932,65285,5
129,65287,65362,5
130,65364,65534,5
131,65536,65970,5
132,65972,66016,5
133,66018,66752,5
134,66754,66874,5
135,66876,66990,5
136,66992,67137,5
137,67139,67214,5
138,67216,67671,5
139,67673,68071,5
140,68073,68217,5
141,68219,68396,5
142,68398,68623,5
143,68625,69485,5
144,69487,70844,5
145,70846,71212,5
146,71216,71225,6
147,71228,72665,6
148,72667,72856,6
149,72858,73510,6
150,73512,73977,6
151,73979,75361,6
152,75363,75797,6
153,75799,76502,6
154,76504,77755,6
