qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"For they must have been seen together,","[10566, 10604]",Sir Walter Elliot,['_unknowable'],Anaphoric,he observed,['they'],"[[10570, 10574]]","[['Mr Elliot', '_unknowable']]",X,0,minor,Persuasion,23,23,1,1,26,10566,10604
Q0-1,"once at Tattersall's, and twice in the lobby of the House of Commons.","[10620, 10689]",Sir Walter Elliot,['_unknowable'],Anaphoric,he observed,[],[],[],X,0,minor,Persuasion,23,23,1,1,26,10620,10689
Q1-0,Can we retrench?  Does it occur to you that there is any one article in which we can retrench?,"[13471, 13565]",Sir Walter Elliot,['Elizabeth'],Anaphoric,he had gone so far even as to say,"['we', 'we']","[[13475, 13477], [13549, 13551]]","[['Sir Walter Elliot', 'Anne Elliot'], ['Sir Walter Elliot', 'Anne Elliot']]",X,1,minor,Persuasion,26,26,1,1,26,13471,13565
Q2-0,"If we can persuade your father to all this,","[17784, 17827]",Lady Russell,['Anne Elliot'],Explicit,said Lady Russell,"['we', 'your father']","[[17787, 17789], [17803, 17814]]","[['Anne Elliot', 'Lady Russell'], ['Sir Walter Elliot']]",X,2,minor,Persuasion,33,33,2,2,12,17784,17827
Q2-1,"much may be done.  If he will adopt these regulations, in seven years he will be clear; and I hope we may be able to convince him and Elizabeth, that Kellynch Hall has a respectability in itself which cannot be affected by these reductions; and that the true dignity of Sir Walter Elliot will be very far from lessened in the eyes of sensible people, by acting like a man of principle.  What will he be doing, in fact, but what very many of our first families have done, or ought to do?  There will be nothing singular in his case; and it is singularity which often makes the worst part of our suffering, as it always does of our conduct.  I have great hope of prevailing.  We must be serious and decided; for after all, the person who has contracted debts must pay them; and though a great deal is due to the feelings of the gentleman, and the head of a house, like your father, there is still more due to the character of an honest man.","[17873, 18811]",Lady Russell,['Anne Elliot'],Explicit,said Lady Russell,"['he', 'he', 'we', 'him', 'Elizabeth', 'Sir Walter Elliot', 'he ', 'his', 'We', 'your father']","[[17895, 17897], [17943, 17945], [17972, 17974], [17999, 18002], [18007, 18016], [18143, 18160], [18270, 18273], [18395, 18398], [18547, 18549], [18740, 18751]]","[['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Anne Elliot', 'Lady Russell'], ['Sir Walter Elliot'], ['Elizabeth'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Anne Elliot', 'Lady Russell'], ['Sir Walter Elliot']]",X,2,minor,Persuasion,33,33,2,2,12,17873,18811
Q3-0,"advertise,","[24063, 24073]",Mr Shepherd,['Sir Walter Elliot'],,Mr Shepherd had once mentioned,[],[],[],X,3,minor,Persuasion,43,43,2,2,18,24063,24073
Q4-0,"I must take leave to observe, Sir Walter,","[26547, 26588]",Mr Shepherd,"['Mrs Clay', 'Sir Walter Elliot', 'Anne Elliot']",Explicit,said Mr Shepherd,['Sir Walter'],"[[26577, 26587]]",[['Sir Walter Elliot']],X,4,minor,Persuasion,48,48,3,3,18,26547,26588
Q4-1,"that the present juncture is much in our favour.  This peace will be turning all our rich naval officers ashore.  They will be all wanting a home. Could not be a better time, Sir Walter, for having a choice of tenants, very responsible tenants.  Many a noble fortune has been made during the war.  If a rich admiral were to come in our way, Sir Walter--","[26669, 27022]",Mr Shepherd,"['Mrs Clay', 'Sir Walter Elliot', 'Anne Elliot']",Explicit,said Mr Shepherd,"['our ', 'Sir Walter', 'Sir Walter']","[[26706, 26710], [26844, 26854], [27010, 27020]]","[['Mr Shepherd', 'Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot']]",X,4,minor,Persuasion,48,48,3,3,18,26669,27022
Q5-0,"He would be a very lucky man, Shepherd,","[27026, 27065]",Sir Walter Elliot,"['Mr Shepherd', 'Mrs Clay', 'Anne Elliot']",Explicit,replied Sir Walter,"['He', 'Shepherd']","[[27026, 27028], [27056, 27064]]","[['_unknowable'], ['Mr Shepherd']]",X,5,minor,Persuasion,49,49,3,3,26,27026,27065
Q5-1,"that's all I have to remark.  A prize indeed would Kellynch Hall be to him; rather the greatest prize of all, let him have taken ever so many before; hey, Shepherd?","[27088, 27252]",Sir Walter Elliot,"['Mr Shepherd', 'Mrs Clay', 'Anne Elliot']",Explicit,replied Sir Walter,"['him', 'him', 'Shepherd']","[[27159, 27162], [27202, 27205], [27243, 27251]]","[['_unknowable'], ['_unknowable'], ['Mr Shepherd']]",X,5,minor,Persuasion,49,49,3,3,26,27088,27252
Q6-0,"I presume to observe, Sir Walter, that, in the way of business, gentlemen of the navy are well to deal with.  I have had a little knowledge of their methods of doing business; and I am free to confess that they have very liberal notions, and are as likely to make desirable tenants as any set of people one should meet with. Therefore, Sir Walter, what I would take leave to suggest is, that if in consequence of any rumours getting abroad of your intention; which must be contemplated as a possible thing, because we know how difficult it is to keep the actions and designs of one part of the world from the notice and curiosity of the other; consequence has its tax; I, John Shepherd, might conceal any family-matters that I chose, for nobody would think it worth their while to observe me; but Sir Walter Elliot has eyes upon him which it may be very difficult to elude; and therefore, thus much I venture upon, that it will not greatly surprise me if, with all our caution, some rumour of the truth should get abroad; in the supposition of which, as I was going to observe, since applications will unquestionably follow, I should think any from our wealthy naval commanders particularly worth attending to; and beg leave to add, that two hours will bring me over at any time, to save you the trouble of replying.","[27328, 28644]",Mr Shepherd,"['Mrs Clay', 'Sir Walter Elliot', 'Anne Elliot']",Explicit,Mr Shepherd laughed as he knew he must at this wit and then added,"['Sir Walter', 'Sir Walter', 'your', 'we', 'John Shepherd', 'Sir Walter Elliot', 'him', 'our ', 'you']","[[27350, 27360], [27664, 27674], [27771, 27775], [27843, 27845], [28000, 28013], [28125, 28142], [28157, 28160], [28293, 28297], [28616, 28619]]","[['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Mr Shepherd'], ['Mr Shepherd'], ['Sir Walter Elliot'], ['Sir Walter Elliot'], ['Mr Shepherd'], ['Sir Walter Elliot']]",X,6,minor,Persuasion,51,51,3,3,18,27328,28644
Q7-0,"There are few among the gentlemen of the navy, I imagine, who would not be surprised to find themselves in a house of this description.","[28751, 28886]",Sir Walter Elliot,"['Mr Shepherd', 'Mrs Clay', 'Anne Elliot']",Anaphoric,he observed,[],[],[],X,7,minor,Persuasion,53,53,3,3,26,28751,28886
Q8-0,"They would look around them, no doubt, and bless their good fortune,","[28890, 28958]",Mrs Clay,"['Mr Shepherd', 'Sir Walter Elliot', 'Anne Elliot']",Explicit,said Mrs Clay,[],[],[],X,8,minor,Persuasion,54,54,3,3,20,28890,28958
