source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,My dear Mr. Bennet,395,413,16,4,1
pdnc,qID,Q0-1,you,452,455,16,4,1
pdnc,qID,Q1-1,Mrs. Long,571,580,31,6,1
pdnc,qID,Q1-1,she,605,608,31,6,1
pdnc,qID,Q2-0,you,669,672,16,8,1
pdnc,qID,Q3-0,You,736,739,25,9,1
pdnc,qID,Q4-0,my dear,834,841,16,11,1
pdnc,qID,Q4-0,you,843,846,16,11,1
pdnc,qID,Q4-0,Mrs. Long,858,867,31,11,1
pdnc,qID,Q4-0,a young man,902,913,17,11,1
pdnc,qID,Q4-0,he,963,965,17,11,1
pdnc,qID,Q4-0,he,1064,1066,17,11,1
pdnc,qID,Q4-0,Mr. Morris,1079,1089,71,11,1
pdnc,qID,Q4-0,he,1108,1110,17,11,1
pdnc,qID,Q4-0,his,1164,1167,17,11,1
pdnc,qID,Q5-0,his,1236,1239,17,12,1
pdnc,qID,Q6-0,Bingley,1249,1256,17,13,1
pdnc,qID,Q7-0,he,1264,1266,17,14,1
pdnc,qID,Q8-0,my dear,1301,1308,16,15,1
pdnc,qID,Q10-0,Mr. Bennet,1462,1472,16,17,1
pdnc,qID,Q10-1,you,1502,1505,16,17,1
pdnc,qID,Q10-1,his,1558,1561,17,17,1
pdnc,qID,Q11-0,his,1595,1598,17,18,1
pdnc,qID,Q12-0,you,1653,1656,16,19,1
pdnc,qID,Q12-0,he,1693,1695,17,19,1
pdnc,qID,Q12-0,you,1747,1750,16,19,1
pdnc,qID,Q12-0,him,1762,1765,17,19,1
pdnc,qID,Q12-0,he,1777,1779,17,19,1
pdnc,qID,Q13-0,You,1818,1821,25,20,1
pdnc,qID,Q13-0,you,1847,1850,25,20,1
pdnc,qID,Q13-0,you,1923,1926,25,20,1
pdnc,qID,Q13-0,you,1982,1985,25,20,1
pdnc,qID,Q14-0,My dear,2012,2019,16,21,1
pdnc,qID,Q14-0,you,2021,2024,16,21,1
pdnc,qID,Q16-0,my dear,2302,2309,16,23,1
pdnc,qID,Q16-0,you,2311,2314,16,23,1
pdnc,qID,Q16-0,Mr. Bingley,2338,2349,17,23,1
pdnc,qID,Q16-0,he,2355,2357,17,23,1
pdnc,qID,Q17-0,you,2430,2433,25,24,1
pdnc,qID,Q18-0,Sir William,2529,2540,35,25,1
pdnc,qID,Q18-0,Lady Lucas,2545,2555,1,25,1
pdnc,qID,Q18-0,you,2617,2620,16,25,1
pdnc,qID,Q18-0,you,2659,2662,16,25,1
pdnc,qID,Q18-0,you,2724,2727,16,25,1
pdnc,qID,Q19-0,You,2739,2742,25,26,1
pdnc,qID,Q19-0,Mr. Bingley,2782,2793,17,26,1
pdnc,qID,Q19-0,him,2869,2872,17,26,1
pdnc,qID,Q19-0,his,2897,2900,17,26,1
pdnc,qID,Q19-0,he,2921,2923,17,26,1
pdnc,qID,Q19-0,my little Lizzy,2984,2999,5,26,1
pdnc,qID,Q20-0,you,3013,3016,16,27,1
pdnc,qID,Q20-0,Lizzy,3040,3045,5,27,1
pdnc,qID,Q20-0,she,3097,3100,5,27,1
pdnc,qID,Q20-0,Jane,3128,3132,7,27,1
pdnc,qID,Q20-0,Lydia,3163,3168,11,27,1
pdnc,qID,Q20-0,you,3174,3177,16,27,1
pdnc,qID,Q20-0,her,3197,3200,5,27,1
pdnc,qID,Q21-1,Lizzy,3336,3341,5,28,1
pdnc,qID,Q22-0,Mr. Bennet,3395,3405,16,29,1
pdnc,qID,Q22-0,you,3415,3418,16,29,1
pdnc,qID,Q22-0,You,3458,3461,16,29,1
pdnc,qID,Q22-0,You,3489,3492,16,29,1
pdnc,qID,Q23-0,You,3534,3537,25,30,1
pdnc,qID,Q23-0,my dear,3550,3557,25,30,1
pdnc,qID,Q23-0,your,3585,3589,25,30,1
pdnc,qID,Q23-0,you,3636,3639,25,30,1
pdnc,qID,Q24-0,you,3708,3711,16,31,1
pdnc,qID,Q25-0,you,3753,3756,25,32,1
pdnc,qID,Q26-0,you,3920,3923,16,33,1
pdnc,qID,Q27-0,my dear,3964,3971,25,34,1
pdnc,qID,Q28-0,Mr. Bingley,4910,4921,17,38,2
pdnc,qID,Q28-0,Lizzy,4935,4940,5,38,2
pdnc,qID,Q29-0,Mr. Bingley,4980,4991,17,39,2
pdnc,qID,Q30-0,you,5064,5067,25,40,2
pdnc,qID,Q30-0,mama,5076,5080,25,40,2
pdnc,qID,Q30-1,him,5119,5122,17,40,2
pdnc,qID,Q30-1,Mrs. Long,5151,5160,31,40,2
pdnc,qID,Q30-1,him,5187,5190,17,40,2
pdnc,qID,Q31-0,Mrs. Long,5212,5221,31,41,2
pdnc,qID,Q31-0,She,5246,5249,31,41,2
pdnc,qID,Q31-0,her,5268,5271,31,41,2
pdnc,qID,Q31-0,She,5277,5280,31,41,2
pdnc,qID,Q31-0,her,5340,5343,31,41,2
pdnc,qID,Q32-1,you,5410,5413,25,42,2
pdnc,qID,Q32-1,her,5431,5434,31,42,2
pdnc,qID,Q32-1,you,5443,5446,25,42,2
pdnc,qID,Q33-0,Kitty,5587,5592,9,44,2
pdnc,qID,Q33-0,You,5652,5655,9,44,2
pdnc,qID,Q34-0,Kitty,5680,5685,9,45,2
pdnc,qID,Q34-0,her,5707,5710,9,45,2
pdnc,qID,Q34-1,she,5738,5741,9,45,2
pdnc,qID,Q37-1,Mrs. Long,5929,5938,31,49,2
pdnc,qID,Q37-1,her,6009,6012,31,49,2
pdnc,qID,Q37-1,him,6026,6029,17,49,2
pdnc,qID,Q37-1,she,6035,6038,31,49,2
pdnc,qID,Q37-1,him,6053,6056,17,49,2
pdnc,qID,Q38-0,my dear,6075,6082,25,50,2
pdnc,qID,Q38-0,you,6084,6087,25,50,2
pdnc,qID,Q38-0,your friend,6114,6125,31,50,2
pdnc,qID,Q38-0,Mr. Bingley,6141,6152,17,50,2
pdnc,qID,Q38-0,her,6157,6160,31,50,2
pdnc,qID,Q39-0,Mr. Bennet,6178,6188,16,51,2
pdnc,qID,Q39-0,him,6232,6235,17,51,2
pdnc,qID,Q39-0,you,6252,6255,16,51,2
pdnc,qID,Q40-0,Mrs. Long,6484,6493,31,52,2
pdnc,qID,Q40-0,her,6498,6501,31,52,2
pdnc,qID,Q40-0,their,6520,6525,31,52,2
pdnc,qID,Q40-0,she,6552,6555,31,52,2
pdnc,qID,Q40-0,you,6593,6596,25,52,2
pdnc,qID,Q42-1,you,6911,6914,25,54,2
pdnc,qID,Q42-1,you,6933,6936,13,54,2
pdnc,qID,Q42-1,Mary,6938,6942,13,54,2
pdnc,qID,Q42-1,you,6948,6951,13,54,2
pdnc,qID,Q43-0,Mary,7109,7113,13,56,2
pdnc,qID,Q43-0,her,7127,7130,13,56,2
pdnc,qID,Q43-1,Mr. Bingley,7171,7182,17,56,2
pdnc,qID,Q44-0,Mr. Bingley,7200,7211,17,57,2
pdnc,qID,Q45-0,you,7275,7278,25,58,2
pdnc,qID,Q45-0,him,7372,7375,17,58,2
pdnc,qID,Q46-0,you,7719,7722,16,60,2
pdnc,qID,Q46-0,my dear Mr. Bennet,7724,7742,16,60,2
pdnc,qID,Q46-0,you,7773,7776,16,60,2
pdnc,qID,Q46-0,you,7797,7800,16,60,2
pdnc,qID,Q46-0,you,7922,7925,16,60,2
pdnc,qID,Q47-0,Kitty,8006,8011,9,61,2
pdnc,qID,Q47-0,you,8013,8016,9,61,2
pdnc,qID,Q47-0,you,8038,8041,9,61,2
pdnc,qID,Q48-1,him,8260,8263,16,62,2
pdnc,qID,Q48-1,his,8275,8278,16,62,2
pdnc,qID,Q48-1,Lydia,8463,8468,11,62,2
pdnc,qID,Q48-1,my love,8470,8477,11,62,2
pdnc,qID,Q48-1,you,8486,8489,11,62,2
pdnc,qID,Q48-1,Mr. Bingley,8521,8532,17,62,2
pdnc,qID,Q48-1,you,8549,8552,11,62,2
pdnc,qID,Q51-0,Darcy,13613,13618,19,73,3
pdnc,qID,Q51-1,you,13643,13646,19,73,3
pdnc,qID,Q51-1,you,13668,13671,19,73,3
pdnc,qID,Q51-1,You,13722,13725,19,73,3
pdnc,qID,Q52-0,You,13775,13778,17,74,3
pdnc,qID,Q53-0,you,14073,14076,19,75,3
pdnc,qID,Q53-1,you,14236,14239,19,75,3
pdnc,qID,Q54-0,You,14267,14270,17,76,3
pdnc,qID,Q55-0,she,14383,14386,7,77,3
pdnc,qID,Q55-0,one of her sisters,14446,14464,5,77,3
pdnc,qID,Q55-0,my partner,14561,14571,7,77,3
pdnc,qID,Q56-0,you,14602,14605,17,78,3
pdnc,qID,Q56-1,She,14730,14733,5,78,3
pdnc,qID,Q56-1,You,14887,14890,17,78,3
pdnc,qID,Q56-1,your partner,14912,14924,7,78,3
pdnc,qID,Q56-1,her,14935,14938,7,78,3
pdnc,qID,Q56-1,you,14951,14954,17,78,3
pdnc,qID,Q56-1,your,14967,14971,17,78,3
pdnc,qID,Q57-0,my dear Mr. Bennet,16343,16361,16,81,3
pdnc,qID,Q58-0,you,16459,16462,16,81,3
pdnc,qID,Q58-0,Jane,16479,16483,7,81,3
pdnc,qID,Q58-0,she,16551,16554,7,81,3
pdnc,qID,Q58-0,Mr. Bingley,16567,16578,17,81,3
pdnc,qID,Q58-0,her,16587,16590,7,81,3
pdnc,qID,Q58-0,her,16624,16627,7,81,3
pdnc,qID,Q58-0,my dear,16656,16663,16,81,3
pdnc,qID,Q58-0,he,16665,16667,17,81,3
pdnc,qID,Q58-0,her,16689,16692,7,81,3
pdnc,qID,Q58-0,she,16704,16707,7,81,3
pdnc,qID,Q58-0,he,16747,16749,17,81,3
pdnc,qID,Q58-0,he,16785,16787,17,81,3
pdnc,qID,Q58-0,Miss Lucas,16794,16804,1,81,3
pdnc,qID,Q58-0,him,16828,16831,17,81,3
pdnc,qID,Q58-0,her,16846,16849,1,81,3
pdnc,qID,Q58-0,he,16865,16867,17,81,3
pdnc,qID,Q58-0,her,16883,16886,1,81,3
pdnc,qID,Q58-0,you,16915,16918,16,81,3
pdnc,qID,Q58-0,he,16929,16931,17,81,3
