source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
pdnc,qID,Q0-0,My dear Mr. Bennet,395,413,16,4,1,M_0
pdnc,qID,Q0-1,you,452,455,16,4,1,M_1
exp,exp_name,mr. bennet,Mr. Bennet,502,512,16,5,1,M_2
booknlp,COREF,86,he,526,528,16,5,1,M_3
pdnc,qID,Q1-1,Mrs. Long,571,580,31,6,1,M_4
pdnc,qID,Q1-1,she,605,608,31,6,1,M_5
exp,exp_name,mr. bennet,Mr. Bennet,633,643,16,7,1,M_6
pdnc,qID,Q2-0,you,669,672,16,8,1,M_7
pdnc,qID,Q3-0,You,736,739,25,9,1,M_8
pdnc,qID,Q4-0,my dear,834,841,16,11,1,M_9
pdnc,qID,Q4-0,you,843,846,16,11,1,M_10
pdnc,qID,Q4-0,Mrs. Long,858,867,31,11,1,M_11
pdnc,qID,Q4-0,a young man,902,913,17,11,1,M_12
pdnc,qID,Q4-0,he,963,965,17,11,1,M_13
pdnc,qID,Q4-0,he,1064,1066,17,11,1,M_14
pdnc,qID,Q4-0,Mr. Morris,1079,1089,71,11,1,M_15
pdnc,qID,Q4-0,he,1108,1110,17,11,1,M_16
pdnc,qID,Q4-0,his,1164,1167,17,11,1,M_17
pdnc,qID,Q5-0,his,1236,1239,17,12,1,M_18
pdnc,qID,Q6-0,Bingley,1249,1256,17,13,1,M_19
pdnc,qID,Q7-0,he,1264,1266,17,14,1,M_20
pdnc,qID,Q8-0,my dear,1301,1308,16,15,1,M_21
pdnc,qID,Q10-0,Mr. Bennet,1462,1472,16,17,1,M_22
pdnc,qID,Q10-1,you,1502,1505,16,17,1,M_23
booknlp,COREF,86,You,1522,1525,16,17,1,M_24
pdnc,qID,Q10-1,his,1558,1561,17,17,1,M_25
pdnc,qID,Q11-0,his,1595,1598,17,18,1,M_26
pdnc,qID,Q12-0,you,1653,1656,16,19,1,M_27
pdnc,qID,Q12-0,he,1693,1695,17,19,1,M_28
pdnc,qID,Q12-0,you,1747,1750,16,19,1,M_29
pdnc,qID,Q12-0,him,1762,1765,17,19,1,M_30
pdnc,qID,Q12-0,he,1777,1779,17,19,1,M_31
pdnc,qID,Q13-0,You,1818,1821,25,20,1,M_32
pdnc,qID,Q13-0,you,1847,1850,25,20,1,M_33
pdnc,qID,Q13-0,you,1923,1926,25,20,1,M_34
exp,exp_name,mr. bingley,Mr. Bingley,1959,1970,17,20,1,M_35
pdnc,qID,Q13-0,you,1982,1985,25,20,1,M_36
pdnc,qID,Q14-0,My dear,2012,2019,16,21,1,M_37
pdnc,qID,Q14-0,you,2021,2024,16,21,1,M_38
pdnc,qID,Q16-0,my dear,2302,2309,16,23,1,M_39
pdnc,qID,Q16-0,you,2311,2314,16,23,1,M_40
pdnc,qID,Q16-0,Mr. Bingley,2338,2349,17,23,1,M_41
pdnc,qID,Q16-0,he,2355,2357,17,23,1,M_42
pdnc,qID,Q17-0,you,2430,2433,25,24,1,M_43
booknlp,COREF,86,your,2451,2455,16,25,1,M_44
pdnc,qID,Q18-0,Sir William,2529,2540,35,25,1,M_45
pdnc,qID,Q18-0,Lady Lucas,2545,2555,1,25,1,M_46
pdnc,qID,Q18-0,you,2617,2620,16,25,1,M_47
pdnc,qID,Q18-0,you,2659,2662,16,25,1,M_48
booknlp,COREF,90,him,2716,2719,17,25,1,M_49
pdnc,qID,Q18-0,you,2724,2727,16,25,1,M_50
pdnc,qID,Q19-0,You,2739,2742,25,26,1,M_51
pdnc,qID,Q19-0,Mr. Bingley,2782,2793,17,26,1,M_52
booknlp,COREF,86,you,2819,2822,16,26,1,M_53
booknlp,COREF,86,you,2855,2858,16,26,1,M_54
pdnc,qID,Q19-0,him,2869,2872,17,26,1,M_55
pdnc,qID,Q19-0,his,2897,2900,17,26,1,M_56
pdnc,qID,Q19-0,he,2921,2923,17,26,1,M_57
pdnc,qID,Q19-0,my little Lizzy,2984,2999,5,26,1,M_58
pdnc,qID,Q20-0,you,3013,3016,16,27,1,M_59
pdnc,qID,Q20-0,Lizzy,3040,3045,5,27,1,M_60
pdnc,qID,Q20-0,she,3097,3100,5,27,1,M_61
pdnc,qID,Q20-0,Jane,3128,3132,7,27,1,M_62
pdnc,qID,Q20-0,Lydia,3163,3168,11,27,1,M_63
pdnc,qID,Q20-0,you,3174,3177,16,27,1,M_64
pdnc,qID,Q20-0,her,3197,3200,5,27,1,M_65
pdnc,qID,Q21-1,Lizzy,3336,3341,5,28,1,M_66
pdnc,qID,Q22-0,Mr. Bennet,3395,3405,16,29,1,M_67
pdnc,qID,Q22-0,you,3415,3418,16,29,1,M_68
booknlp,COREF,86,your,3425,3429,16,29,1,M_69
pdnc,qID,Q22-0,You,3458,3461,16,29,1,M_70
pdnc,qID,Q22-0,You,3489,3492,16,29,1,M_71
pdnc,qID,Q23-0,You,3534,3537,25,30,1,M_72
pdnc,qID,Q23-0,my dear,3550,3557,25,30,1,M_73
pdnc,qID,Q23-0,your,3585,3589,25,30,1,M_74
pdnc,qID,Q23-0,you,3636,3639,25,30,1,M_75
pdnc,qID,Q24-0,you,3708,3711,16,31,1,M_76
pdnc,qID,Q25-0,you,3753,3756,25,32,1,M_77
pdnc,qID,Q26-0,you,3920,3923,16,33,1,M_78
pdnc,qID,Q27-0,my dear,3964,3971,25,34,1,M_79
exp,exp_name,mr. bennet,Mr. Bennet,4026,4036,16,35,1,M_80
booknlp,COREF,86,his,4190,4193,16,35,1,M_81
booknlp,COREF,86,his,4210,4213,16,35,1,M_82
exp,exp_name,mr. bennet,Mr. Bennet,4515,4525,16,37,2,M_83
exp,exp_name,mr. bingley,Mr. Bingley,4572,4583,17,37,2,M_84
booknlp,COREF,86,He,4585,4587,16,37,2,M_85
booknlp,COREF,90,him,4617,4620,17,37,2,M_86
booknlp,COREF,86,his,4657,4660,16,37,2,M_87
booknlp,COREF,86,he,4671,4673,16,37,2,M_88
booknlp,COREF,86,his,4821,4824,16,37,2,M_89
booknlp,COREF,86,he,4869,4871,16,37,2,M_90
booknlp,COREF,86,I,4903,4904,16,38,2,M_91
pdnc,qID,Q28-0,Mr. Bingley,4910,4921,17,38,2,M_92
pdnc,qID,Q28-0,Lizzy,4935,4940,5,38,2,M_93
pdnc,qID,Q29-0,Mr. Bingley,4980,4991,17,39,2,M_94
pdnc,qID,Q30-0,you,5064,5067,25,40,2,M_95
pdnc,qID,Q30-0,mama,5076,5080,25,40,2,M_96
exp,exp_name,elizabeth,Elizabeth,5088,5097,5,40,2,M_97
pdnc,qID,Q30-1,him,5119,5122,17,40,2,M_98
pdnc,qID,Q30-1,Mrs. Long,5151,5160,31,40,2,M_99
pdnc,qID,Q30-1,him,5187,5190,17,40,2,M_100
pdnc,qID,Q31-0,Mrs. Long,5212,5221,31,41,2,M_101
pdnc,qID,Q31-0,She,5246,5249,31,41,2,M_102
pdnc,qID,Q31-0,her,5268,5271,31,41,2,M_103
pdnc,qID,Q31-0,She,5277,5280,31,41,2,M_104
pdnc,qID,Q31-0,her,5340,5343,31,41,2,M_105
booknlp,COREF,86,I,5361,5362,16,42,2,M_106
exp,exp_name,mr. bennet,Mr. Bennet,5370,5380,16,42,2,M_107
booknlp,COREF,86,I,5387,5388,16,42,2,M_108
pdnc,qID,Q32-1,you,5410,5413,25,42,2,M_109
pdnc,qID,Q32-1,her,5431,5434,31,42,2,M_110
pdnc,qID,Q32-1,you,5443,5446,25,42,2,M_111
exp,exp_name,mrs. bennet,Mrs. Bennet,5450,5461,25,43,2,M_112
booknlp,COREF,96,herself,5515,5522,25,43,2,M_113
booknlp,COREF,96,her,5546,5549,25,43,2,M_114
pdnc,qID,Q33-0,Kitty,5587,5592,9,44,2,M_115
booknlp,COREF,86,my,5641,5643,16,44,2,M_116
pdnc,qID,Q33-0,You,5652,5655,9,44,2,M_117
pdnc,qID,Q34-0,Kitty,5680,5685,9,45,2,M_118
pdnc,qID,Q34-0,her,5707,5710,9,45,2,M_119
pdnc,qID,Q34-1,she,5738,5741,9,45,2,M_120
exp,exp_name,kitty,Kitty,5807,5812,9,46,2,M_121
exp,exp_name,lizzy,Lizzy,5856,5861,5,47,2,M_122
pdnc,qID,Q37-1,Mrs. Long,5929,5938,31,49,2,M_123
pdnc,qID,Q37-1,her,6009,6012,31,49,2,M_124
pdnc,qID,Q37-1,him,6026,6029,17,49,2,M_125
pdnc,qID,Q37-1,she,6035,6038,31,49,2,M_126
pdnc,qID,Q37-1,him,6053,6056,17,49,2,M_127
booknlp,COREF,87,herself,6057,6064,31,49,2,M_128
pdnc,qID,Q38-0,my dear,6075,6082,25,50,2,M_129
pdnc,qID,Q38-0,you,6084,6087,25,50,2,M_130
pdnc,qID,Q38-0,your friend,6114,6125,31,50,2,M_131
pdnc,qID,Q38-0,Mr. Bingley,6141,6152,17,50,2,M_132
pdnc,qID,Q38-0,her,6157,6160,31,50,2,M_133
pdnc,qID,Q39-0,Mr. Bennet,6178,6188,16,51,2,M_134
pdnc,qID,Q39-0,him,6232,6235,17,51,2,M_135
pdnc,qID,Q39-0,you,6252,6255,16,51,2,M_136
booknlp,COREF,86,your,6283,6287,16,52,2,M_137
pdnc,qID,Q40-0,Mrs. Long,6484,6493,31,52,2,M_138
pdnc,qID,Q40-0,her,6498,6501,31,52,2,M_139
pdnc,qID,Q40-0,their,6520,6525,31,52,2,M_140
pdnc,qID,Q40-0,she,6552,6555,31,52,2,M_141
pdnc,qID,Q40-0,you,6593,6596,25,52,2,M_142
exp,exp_name,mrs. bennet,Mrs. Bennet,6679,6690,25,53,2,M_143
pdnc,qID,Q42-1,you,6911,6914,25,54,2,M_144
pdnc,qID,Q42-1,you,6933,6936,13,54,2,M_145
pdnc,qID,Q42-1,Mary,6938,6942,13,54,2,M_146
pdnc,qID,Q42-1,you,6948,6951,13,54,2,M_147
exp,exp_name,mary,Mary,7039,7043,13,55,2,M_148
pdnc,qID,Q43-0,Mary,7109,7113,13,56,2,M_149
pdnc,qID,Q43-0,her,7127,7130,13,56,2,M_150
pdnc,qID,Q43-1,Mr. Bingley,7171,7182,17,56,2,M_151
pdnc,qID,Q44-0,Mr. Bingley,7200,7211,17,57,2,M_152
