paraID,startByte,endByte,chapID
1,0,10,1
2,13,130,1
3,132,392,1
4,394,500,1
5,502,537,1
6,539,631,1
7,633,659,1
8,661,732,1
9,734,797,1
10,799,826,1
11,828,1225,1
12,1227,1246,1
13,1248,1258,1
14,1260,1286,1
15,1288,1416,1
16,1418,1451,1
17,1453,1584,1
18,1586,1624,1
19,1626,1787,1
20,1789,2009,1
21,2011,2229,1
22,2231,2294,1
23,2296,2388,1
24,2390,2435,1
25,2437,2736,1
26,2738,3001,1
27,3003,3218,1
28,3220,3392,1
29,3394,3531,1
30,3533,3701,1
31,3703,3739,1
32,3741,3859,1
33,3861,3945,1
34,3947,4024,1
35,4026,4496,1
36,4501,4512,2
37,4515,4900,2
38,4902,4942,2
39,4944,5057,2
40,5059,5192,2
41,5194,5345,2
42,5347,5448,2
43,5450,5560,2
44,5562,5677,2
45,5679,5758,2
46,5760,5823,2
47,5825,5863,2
48,5865,5887,2
49,5889,6066,2
50,6068,6163,2
51,6165,6271,2
52,6273,6643,2
53,6645,6723,2
54,6725,7037,2
55,7039,7100,2
56,7102,7184,2
57,7186,7229,2
58,7231,7475,2
59,7477,7697,2
60,7699,7998,2
61,8000,8142,2
62,8144,8571,2
63,8573,8666,2
64,8668,8814,2
65,8819,8831,3
66,8834,9646,3
67,9648,9828,3
68,9830,10228,3
69,10230,11438,3
70,11440,12430,3
71,12432,13301,3
72,13303,13604,3
73,13606,13749,3
74,13751,14038,3
75,14040,14263,3
76,14265,14376,3
77,14378,14590,3
78,14592,14986,3
79,14988,15256,3
80,15258,16336,3
81,16338,17246,3
82,17248,17460,3
83,17462,17712,3
84,17714,17969,3
85,17971,18397,3
86,18402,18413,4
87,18416,18577,4
88,18579,18750,4
89,18752,18890,4
90,18892,18996,4
91,18998,19435,4
92,19437,19450,4
93,19452,19666,4
94,19668,19753,4
95,19755,20219,4
96,20221,20448,4
97,20450,21457,4
98,21459,21960,4
99,21962,22588,4
100,22590,23362,4
101,23364,24015,4
102,24017,24336,4
103,24341,24351,5
104,24354,25271,5
105,25273,25510,5
106,25512,25707,5
107,25709,25848,5
108,25850,25898,5
109,25900,26131,5
110,26133,26546,5
111,26548,26674,5
112,26676,26868,5
113,26870,27142,5
114,27144,27261,5
115,27263,27416,5
116,27418,27560,5
117,27562,27865,5
118,27867,27968,5
119,27970,28056,5
120,28058,28129,5
121,28131,28431,5
122,28433,28546,5
123,28548,29154,5
124,29156,29345,5
125,29347,29495,5
126,29497,29620,5
127,29625,29636,6
128,29639,30900,6
129,30902,31729,6
130,31731,31886,6
131,31888,31958,6
132,31960,32056,6
133,32058,32512,6
134,32514,33118,6
135,33120,33353,6
136,33355,33563,6
137,33565,34202,6
138,34204,34333,6
139,34335,35414,6
140,35416,35643,6
141,35645,35751,6
142,35753,35806,6
143,35808,36009,6
144,36011,36248,6
145,36250,36396,6
146,36398,36476,6
147,36478,36501,6
148,36503,36633,6
149,36635,37239,6
150,37241,37617,6
151,37619,38202,6
152,38204,38458,6
153,38460,38636,6
154,38638,38779,6
155,38781,38981,6
156,38983,39029,6
157,39031,39136,6
158,39138,39151,6
159,39153,39217,6
160,39219,39289,6
161,39291,39330,6
162,39332,39348,6
163,39350,39522,6
164,39524,39739,6
165,39741,40157,6
166,40159,40299,6
167,40301,40493,6
168,40495,40727,6
169,40729,40784,6
170,40786,40931,6
171,40933,41115,6
172,41117,41159,6
173,41161,41184,6
174,41186,41508,6
175,41510,41713,6
176,41715,41895,6
177,41897,41921,6
178,41923,42072,6
179,42074,42275,6
180,42277,42470,6
181,42472,42645,6
182,42647,42659,7
183,42662,43043,7
184,43045,43224,7
185,43226,44075,7
186,44077,44643,7
187,44645,44736,7
188,44738,44903,7
189,44905,45142,7
190,45144,45346,7
191,45348,45415,7
192,45417,45476,7
193,45478,45703,7
194,45705,46221,7
195,46223,46427,7
196,46429,46688,7
197,46690,46812,7
198,46814,46875,7
199,46877,46898,7
200,46900,47271,7
201,47273,47297,7
202,47299,47378,7
203,47380,47435,7
204,47437,47474,7
205,47476,47589,7
206,47591,47700,7
207,47702,47815,7
208,47817,47853,7
209,47855,47973,7
210,47975,48038,7
211,48040,48130,7
212,48132,48584,7
213,48586,48905,7
214,48907,48931,7
215,48933,49339,7
216,49341,49358,7
217,49360,49607,7
218,49609,49830,7
219,49832,50028,7
220,50030,50174,7
221,50176,50231,7
222,50233,50306,7
223,50308,50447,7
224,50449,50648,7
225,50650,50796,7
226,50798,50916,7
227,50918,51308,7
228,51310,52105,7
229,52107,52733,7
230,52735,53388,7
231,53390,53905,7
232,53910,53923,8
233,53926,54610,8
234,54612,55211,8
235,55213,55520,8
236,55522,55680,8
237,55682,55886,8
238,55888,56063,8
239,56065,56296,8
240,56298,56458,8
241,56460,56476,8
242,56478,56740,8
243,56742,56817,8
244,56819,56962,8
245,56964,57094,8
246,57096,57325,8
247,57327,57402,8
248,57404,57469,8
249,57471,57539,8
250,57541,57657,8
251,57659,57774,8
252,57776,57954,8
253,57956,58649,8
254,58651,58720,8
255,58722,58839,8
256,58841,58972,8
257,58974,59106,8
258,59108,59282,8
259,59284,59446,8
260,59448,59531,8
261,59533,59697,8
262,59699,59777,8
263,59779,59857,8
264,59859,59935,8
265,59937,60115,8
266,60117,60133,8
267,60135,60307,8
268,60309,60380,8
269,60382,60423,8
270,60425,60530,8
271,60532,60777,8
272,60779,60873,8
273,60875,60961,8
274,60963,61170,8
275,61172,61290,8
276,61292,61359,8
277,61361,61616,8
278,61618,62017,8
279,62019,62057,8
280,62059,62160,8
281,62162,62204,8
282,62206,62660,8
283,62662,62819,8
284,62821,62937,8
285,62939,63018,8
286,63020,63145,8
287,63147,63507,8
288,63509,63789,8
289,63791,64012,8
290,64014,64100,8
291,64102,64937,8
292,64942,64953,9
293,64956,65603,9
294,65605,66306,9
295,66308,66487,9
296,66489,66595,9
297,66597,66753,9
298,66755,66802,9
299,66804,67407,9
300,67409,67615,9
301,67617,67686,9
302,67688,67756,9
303,67758,67796,9
304,67798,67899,9
305,67901,68041,9
306,68043,68169,9
307,68171,68295,9
308,68297,68387,9
309,68389,68552,9
310,68554,68653,9
311,68655,68834,9
312,68836,69021,9
313,69023,69202,9
314,69204,69392,9
315,69394,69536,9
316,69538,69783,9
317,69785,69985,9
318,69987,70328,9
319,70330,70681,9
320,70683,70713,9
321,70715,71129,9
322,71131,71185,9
323,71187,71790,9
324,71792,71988,9
325,71990,72062,9
326,72064,72270,9
327,72272,73172,9
328,73174,73854,9
329,73856,74061,9
330,74063,74391,9
331,74393,74720,9
332,74725,74735,10
333,74738,75265,10
334,75267,75667,10
335,75669,75729,10
336,75731,75749,10
337,75751,75779,10
338,75781,75823,10
339,75825,75959,10
340,75961,76031,10
341,76033,76080,10
342,76082,76132,10
343,76134,76226,10
344,76228,76266,10
345,76268,76308,10
346,76310,76324,10
347,76326,76550,10
348,76552,76667,10
349,76669,76797,10
350,76799,76885,10
351,76887,76982,10
352,76984,77168,10
353,77170,77221,10
354,77223,77352,10
355,77354,77499,10
356,77501,77569,10
357,77571,77721,10
358,77723,77794,10
359,77796,78547,10
360,78549,78883,10
361,78885,79271,10
362,79273,79441,10
363,79443,79801,10
364,79803,79925,10
365,79927,80008,10
366,80010,80403,10
367,80405,80486,10
368,80488,80566,10
369,80568,81254,10
370,81256,81486,10
371,81488,82012,10
372,82014,82258,10
373,82260,82360,10
374,82362,82554,10
375,82556,82666,10
376,82668,82721,10
377,82723,83019,10
378,83021,83703,10
379,83705,83861,10
380,83863,83962,10
381,83964,84056,10
382,84058,84483,10
383,84485,84508,10
384,84510,84879,10
385,84881,85067,10
386,85069,85214,10
387,85216,85664,10
