source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-1,his widow,10816,10825,13,23,2
pdnc,qID,Q1-0,He,10844,10846,6,24,2
pdnc,qID,Q1-0,he,10865,10867,6,24,2
pdnc,qID,Q1-0,he,10911,10913,6,24,2
pdnc,qID,Q1-0,he,10948,10950,6,24,2
pdnc,qID,Q1-0,his,10959,10962,6,24,2
pdnc,qID,Q1-0,he,10977,10979,6,24,2
pdnc,qID,Q1-0,you,11030,11033,6,24,2
pdnc,qID,Q2-0,He,11089,11091,6,25,2
pdnc,qID,Q2-0,my dear Fanny,11134,11147,5,25,2
pdnc,qID,Q2-0,he,11149,11151,6,25,2
pdnc,qID,Q2-0,their,11214,11219,4,25,2
pdnc,qID,Q2-0,his,11262,11265,6,25,2
pdnc,qID,Q2-0,he,11317,11319,6,25,2
pdnc,qID,Q2-0,He,11350,11352,6,25,2
pdnc,qID,Q2-0,he,11404,11406,6,25,2
pdnc,qID,Q4-1,Harry,12055,12060,23,27,2
pdnc,qID,Q4-1,he,12113,12115,23,27,2
pdnc,qID,Q7-0,his,12464,12467,6,30,2
pdnc,qID,Q7-0,his,12494,12497,6,30,2
pdnc,qID,Q7-0,you,12541,12544,6,30,2
pdnc,qID,Q9-1,you,12934,12937,6,32,2
pdnc,qID,Q12-0,she,13639,13642,13,35,2
pdnc,qID,Q13-1,Mrs. Dashwood,14013,14026,13,37,2
pdnc,qID,Q14-0,my dear Fanny,14104,14117,5,38,2
pdnc,qID,Q14-0,her,14119,14122,13,38,2
pdnc,qID,Q15-0,you,14189,14192,6,39,2
pdnc,qID,Q15-0,them,14266,14270,7,39,2
pdnc,qID,Q15-0,she,14276,14279,13,39,2
pdnc,qID,Q15-0,You,14434,14437,6,39,2
pdnc,qID,Q15-0,you,14460,14463,6,39,2
pdnc,qID,Q15-0,my mother,14534,14543,14,39,2
pdnc,qID,Q15-0,she,14668,14671,14,39,2
pdnc,qID,Q15-0,them,14780,14784,12,39,2
pdnc,qID,Q15-0,them,14802,14806,3,39,2
pdnc,qID,Q15-0,My mother,14880,14889,14,39,2
pdnc,qID,Q15-0,Her,14912,14915,14,39,2
pdnc,qID,Q15-0,her,14931,14934,14,39,2
pdnc,qID,Q15-0,she,14940,14943,14,39,2
pdnc,qID,Q15-0,my mother,15083,15092,14,39,2
pdnc,qID,Q17-0,you,15615,15618,6,41,2
pdnc,qID,Q17-0,you,15672,15675,6,41,2
pdnc,qID,Q17-0,you,15755,15758,6,41,2
pdnc,qID,Q18-0,you,15993,15996,5,42,2
pdnc,qID,Q18-0,my love,16008,16015,5,42,2
pdnc,qID,Q19-0,your,16618,16622,6,43,2
pdnc,qID,Q19-0,your,16645,16649,6,43,2
pdnc,qID,Q19-0,he,16695,16697,6,43,2
pdnc,qID,Q19-0,you,16771,16774,6,43,2
pdnc,qID,Q19-0,he,16994,16996,6,43,2
pdnc,qID,Q19-0,he,17073,17075,6,43,2
pdnc,qID,Q19-0,my dear Mr. Dashwood,17098,17118,6,43,2
pdnc,qID,Q19-0,your mother-in-law,17148,17166,13,43,2
pdnc,qID,Q19-0,your,17866,17870,6,43,2
pdnc,qID,Q19-0,you,17961,17964,6,43,2
pdnc,qID,Q20-1,you,18025,18028,5,44,2
pdnc,qID,Q20-1,his,18097,18100,6,44,2
pdnc,qID,Q20-1,you,18125,18128,5,44,2
pdnc,qID,Q20-1,you,18255,18258,5,44,2
pdnc,qID,Q20-1,my mother,18280,18289,13,44,2
pdnc,qID,Q20-1,her,18367,18370,13,44,2
pdnc,qID,Q21-1,your,18545,18549,6,45,2
