source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,dashwood,Dashwood,74,82,6,5,1,M_0
exp,exp_name,dashwood,Dashwood,727,735,6,5,1,M_1
exp,exp_name,dashwood,Dashwood,1023,1031,6,5,1,M_2
exp,exp_name,dashwood,Dashwood,1288,1296,6,6,1,M_3
exp,exp_name,mr. dashwood,Mr. Dashwood,2331,2343,6,7,1,M_4
exp,exp_name,mr. dashwood,Mr. Dashwood,3327,3339,6,8,1,M_5
exp,exp_name,mr. dashwood,Mr. Dashwood,3901,3913,6,9,1,M_6
exp,exp_name,john dashwood,John Dashwood,4042,4055,6,10,1,M_7
exp,exp_name,john dashwood,John Dashwood,4316,4329,6,10,1,M_8
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,4870,4888,5,11,1,M_9
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,5695,5713,5,13,1,M_10
exp,exp_name,mrs. dashwood,Mrs. Dashwood,6012,6025,13,13,1,M_11
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,6285,6303,5,13,1,M_12
exp,exp_name,mrs. dashwood,Mrs. Dashwood,6545,6558,13,14,1,M_13
exp,exp_name,elinor,Elinor,6969,6975,4,15,1,M_14
booknlp,COREF,84,her,7111,7114,4,15,1,M_15
booknlp,COREF,84,her,7162,7165,4,15,1,M_16
booknlp,COREF,84,her,7186,7189,4,15,1,M_17
exp,exp_name,mrs. dashwood,Mrs. Dashwood,7272,7285,13,15,1,M_18
booknlp,COREF,84,She,7331,7334,4,15,1,M_19
booknlp,COREF,84,her,7359,7362,4,15,1,M_20
booknlp,COREF,84,her,7397,7400,4,15,1,M_21
booknlp,COREF,84,she,7427,7430,4,15,1,M_22
booknlp,COREF,84,her,7481,7484,4,15,1,M_23
booknlp,COREF,84,her,7527,7530,4,15,1,M_24
exp,exp_name,marianne,Marianne,7573,7581,11,16,1,M_25
exp,exp_name,elinor,Elinor,7633,7639,4,16,1,M_26
booknlp,COREF,84,her,7850,7853,4,16,1,M_27
exp,exp_name,elinor,Elinor,7884,7890,4,17,1,M_28
booknlp,COREF,84,her,7924,7927,4,17,1,M_29
exp,exp_name,mrs. dashwood,Mrs. Dashwood,7957,7970,13,17,1,M_30
exp,exp_name,elinor,Elinor,8372,8378,4,17,1,M_31
booknlp,COREF,84,she,8417,8420,4,17,1,M_32
booknlp,COREF,84,she,8437,8440,4,17,1,M_33
booknlp,COREF,84,herself,8453,8460,4,17,1,M_34
booknlp,COREF,84,She,8462,8465,4,17,1,M_35
booknlp,COREF,84,her,8485,8488,4,17,1,M_36
booknlp,COREF,84,her,8512,8515,4,17,1,M_37
booknlp,COREF,84,her,8533,8536,4,17,1,M_38
booknlp,COREF,84,her,8556,8559,4,17,1,M_39
booknlp,COREF,84,her,8609,8612,4,17,1,M_40
exp,exp_name,margaret,Margaret,8684,8692,10,18,1,M_41
booknlp,COREF,86,she,8759,8762,10,18,1,M_42
exp,exp_name,marianne,Marianne,8798,8806,11,18,1,M_43
booknlp,COREF,86,her,8841,8844,10,18,1,M_44
booknlp,COREF,86,she,8852,8855,10,18,1,M_45
booknlp,COREF,86,her,8896,8899,10,18,1,M_46
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,8961,8979,5,20,2,M_47
exp,exp_name,mrs. dashwood,Mrs. Dashwood,9404,9417,13,20,2,M_48
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,9945,9963,5,22,2,M_49
exp,exp_name,harry,Harry,10674,10679,23,22,2,M_50
pdnc,qID,Q0-1,his widow,10816,10825,13,23,2,M_51
pdnc,qID,Q1-0,He,10844,10846,6,24,2,M_52
pdnc,qID,Q1-0,he,10865,10867,6,24,2,M_53
pdnc,qID,Q1-0,he,10911,10913,6,24,2,M_54
pdnc,qID,Q1-0,he,10948,10950,6,24,2,M_55
pdnc,qID,Q1-0,his,10959,10962,6,24,2,M_56
pdnc,qID,Q1-0,he,10977,10979,6,24,2,M_57
pdnc,qID,Q1-0,you,11030,11033,6,24,2,M_58
pdnc,qID,Q2-0,He,11089,11091,6,25,2,M_59
pdnc,qID,Q2-0,my dear Fanny,11134,11147,5,25,2,M_60
pdnc,qID,Q2-0,he,11149,11151,6,25,2,M_61
pdnc,qID,Q2-0,their,11214,11219,4,25,2,M_62
pdnc,qID,Q2-0,his,11262,11265,6,25,2,M_63
pdnc,qID,Q2-0,he,11317,11319,6,25,2,M_64
pdnc,qID,Q2-0,He,11350,11352,6,25,2,M_65
pdnc,qID,Q2-0,he,11404,11406,6,25,2,M_66
pdnc,qID,Q4-1,Harry,12055,12060,23,27,2,M_67
pdnc,qID,Q4-1,he,12113,12115,23,27,2,M_68
pdnc,qID,Q7-0,his,12464,12467,6,30,2,M_69
pdnc,qID,Q7-0,his,12494,12497,6,30,2,M_70
pdnc,qID,Q7-0,you,12541,12544,6,30,2,M_71
pdnc,qID,Q9-1,you,12934,12937,6,32,2,M_72
pdnc,qID,Q12-0,she,13639,13642,13,35,2,M_73
pdnc,qID,Q13-1,Mrs. Dashwood,14013,14026,13,37,2,M_74
pdnc,qID,Q14-0,my dear Fanny,14104,14117,5,38,2,M_75
pdnc,qID,Q14-0,her,14119,14122,13,38,2,M_76
pdnc,qID,Q15-0,you,14189,14192,6,39,2,M_77
pdnc,qID,Q15-0,them,14266,14270,7,39,2,M_78
pdnc,qID,Q15-0,she,14276,14279,13,39,2,M_79
pdnc,qID,Q15-0,You,14434,14437,6,39,2,M_80
pdnc,qID,Q15-0,you,14460,14463,6,39,2,M_81
pdnc,qID,Q15-0,my mother,14534,14543,14,39,2,M_82
pdnc,qID,Q15-0,she,14668,14671,14,39,2,M_83
pdnc,qID,Q15-0,them,14780,14784,12,39,2,M_84
pdnc,qID,Q15-0,them,14802,14806,3,39,2,M_85
pdnc,qID,Q15-0,My mother,14880,14889,14,39,2,M_86
pdnc,qID,Q15-0,Her,14912,14915,14,39,2,M_87
pdnc,qID,Q15-0,her,14931,14934,14,39,2,M_88
pdnc,qID,Q15-0,she,14940,14943,14,39,2,M_89
pdnc,qID,Q15-0,my mother,15083,15092,14,39,2,M_90
exp,exp_name,mr. dashwood,Mr. Dashwood,15321,15333,6,40,2,M_91
pdnc,qID,Q17-0,you,15615,15618,6,41,2,M_92
pdnc,qID,Q17-0,you,15672,15675,6,41,2,M_93
pdnc,qID,Q17-0,you,15755,15758,6,41,2,M_94
pdnc,qID,Q18-0,you,15993,15996,5,42,2,M_95
pdnc,qID,Q18-0,my love,16008,16015,5,42,2,M_96
pdnc,qID,Q19-0,your,16618,16622,6,43,2,M_97
pdnc,qID,Q19-0,your,16645,16649,6,43,2,M_98
pdnc,qID,Q19-0,he,16695,16697,6,43,2,M_99
pdnc,qID,Q19-0,you,16771,16774,6,43,2,M_100
pdnc,qID,Q19-0,he,16994,16996,6,43,2,M_101
pdnc,qID,Q19-0,he,17073,17075,6,43,2,M_102
pdnc,qID,Q19-0,my dear Mr. Dashwood,17098,17118,6,43,2,M_103
pdnc,qID,Q19-0,your mother-in-law,17148,17166,13,43,2,M_104
pdnc,qID,Q19-0,your,17866,17870,6,43,2,M_105
pdnc,qID,Q19-0,you,17961,17964,6,43,2,M_106
exp,exp_name,mr. dashwood,Mr. Dashwood,18000,18012,6,44,2,M_107
pdnc,qID,Q20-1,you,18025,18028,5,44,2,M_108
pdnc,qID,Q20-1,his,18097,18100,6,44,2,M_109
pdnc,qID,Q20-1,you,18125,18128,5,44,2,M_110
pdnc,qID,Q20-1,you,18255,18258,5,44,2,M_111
pdnc,qID,Q20-1,my mother,18280,18289,13,44,2,M_112
pdnc,qID,Q20-1,her,18367,18370,13,44,2,M_113
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,18473,18491,5,45,2,M_114
pdnc,qID,Q21-1,your,18545,18549,6,45,2,M_115
pdnc,qID,Q21-1,your mother,18691,18702,13,45,2,M_116
pdnc,qID,Q23-0,you,19218,19221,6,47,2,M_117
pdnc,qID,Q23-0,him,19253,19256,6,47,2,M_118
pdnc,qID,Q23-0,his,19275,19278,6,47,2,M_119
pdnc,qID,Q23-0,he,19317,19319,6,47,2,M_120
pdnc,qID,Q23-0,he,19327,19329,6,47,2,M_121
exp,exp_name,mrs. dashwood,Mrs. Dashwood,19717,19730,13,50,3,M_122
exp,exp_name,mrs. dashwood,Mrs. Dashwood,20502,20515,13,51,3,M_123
exp,exp_name,mrs. dashwood,Mrs. Dashwood,21792,21805,13,52,3,M_124
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,21936,21954,5,53,3,M_125
exp,exp_name,edward ferrars,Edward Ferrars,22228,22242,3,54,3,M_126
exp,exp_name,mrs. dashwood,Mrs. Dashwood,22447,22460,13,54,3,M_127
exp,exp_name,elinor,Elinor,22600,22606,4,54,3,M_128
exp,exp_name,elinor,Elinor,22791,22797,4,54,3,M_129
booknlp,COREF,84,her,22855,22858,4,54,3,M_130
booknlp,COREF,84,her,22867,22870,4,54,3,M_131
exp,exp_name,edward ferrars,Edward Ferrars,22898,22912,3,55,3,M_132
booknlp,COREF,89,He,23000,23002,3,55,3,M_133
booknlp,COREF,89,his,23025,23028,3,55,3,M_134
booknlp,COREF,89,He,23078,23080,3,55,3,M_135
booknlp,COREF,89,himself,23116,23123,3,55,3,M_136
booknlp,COREF,89,his,23134,23137,3,55,3,M_137
booknlp,COREF,89,his,23168,23171,3,55,3,M_138
booknlp,COREF,89,His,23236,23239,3,55,3,M_139
booknlp,COREF,89,his,23268,23271,3,55,3,M_140
booknlp,COREF,89,he,23318,23320,3,55,3,M_141
booknlp,COREF,89,his,23393,23396,3,55,3,M_142
booknlp,COREF,89,him,23434,23437,3,55,3,M_143
booknlp,COREF,89,him,23490,23493,3,55,3,M_144
booknlp,COREF,89,His,23554,23557,3,55,3,M_145
booknlp,COREF,89,him,23584,23587,3,55,3,M_146
booknlp,COREF,89,him,23618,23621,3,55,3,M_147
booknlp,COREF,89,him,23649,23652,3,55,3,M_148
exp,exp_name,mrs. john dashwood,Mrs. John Dashwood,23702,23720,5,55,3,M_149
booknlp,COREF,89,him,23862,23865,3,55,3,M_150
exp,exp_name,edward,Edward,23890,23896,3,55,3,M_151
booknlp,COREF,89,his,23941,23944,3,55,3,M_152
booknlp,COREF,89,he,24024,24026,3,55,3,M_153
exp,exp_name,edward,Edward,24074,24080,3,56,3,M_154
booknlp,COREF,89,he,24132,24134,3,56,3,M_155
exp,exp_name,mrs. dashwood,Mrs. Dashwood,24151,24164,13,56,3,M_156
booknlp,COREF,89,he,24291,24293,3,56,3,M_157
booknlp,COREF,89,him,24335,24338,3,56,3,M_158
booknlp,COREF,89,He,24347,24349,3,56,3,M_159
booknlp,COREF,89,him,24466,24469,3,56,3,M_160
exp,exp_name,elinor,Elinor,24501,24507,4,56,3,M_161
booknlp,COREF,89,him,24558,24561,3,56,3,M_162
booknlp,COREF,89,his,24566,24569,3,56,3,M_163
booknlp,COREF,89,him,24614,24617,3,56,3,M_164
pdnc,qID,Q24-1,he,24687,24689,3,57,3,M_165
pdnc,qID,Q24-1,Fanny,24700,24705,5,57,3,M_166
pdnc,qID,Q24-1,him,24755,24758,3,57,3,M_167
booknlp,COREF,84,I,24771,24772,4,58,3,M_168
pdnc,qID,Q25-0,you,24779,24782,13,58,3,M_169
pdnc,qID,Q25-0,him,24793,24796,3,58,3,M_170
exp,exp_name,elinor,Elinor,24804,24810,4,58,3,M_171
pdnc,qID,Q25-1,you,24818,24821,13,58,3,M_172
pdnc,qID,Q25-1,him,24835,24838,3,58,3,M_173
pdnc,qID,Q26-0,him,24848,24851,3,59,3,M_174
pdnc,qID,Q27-0,You,24944,24947,13,60,3,M_175
pdnc,qID,Q27-0,him,24959,24962,3,60,3,M_176
exp,exp_name,mrs. dashwood,Mrs. Dashwood,25033,25046,13,62,3,M_177
