qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"It was my father s last request to me,","[10733, 10771]",John Dashwood,['Fanny'],Anaphoric,replied her husband,[],[],[],X,0,minor,SenseAndSensibility,23,23,2,2,6,10733,10771
Q0-1,that I should assist his widow and daughters.,"[10795, 10840]",John Dashwood,['Fanny'],Anaphoric,replied her husband,"['his widow', 'daughters']","[[10816, 10825], [10830, 10839]]","[['Mrs. Dashwood'], ['Marianne', 'Margaret', 'Elinor']]",X,0,minor,SenseAndSensibility,23,23,2,2,6,10795,10840
Q1-0,"He did not know what he was talking of, I dare say; ten to one but he was light-headed at the time. Had he been in his right senses, he could not have thought of such a thing as begging you to give away half your fortune from your own child.","[10844, 11085]",Fanny,['John Dashwood'],Implicit,,"['He', 'he', 'he', 'he', 'his', 'he', 'you']","[[10844, 10846], [10865, 10867], [10911, 10913], [10948, 10950], [10959, 10962], [10977, 10979], [11030, 11033]]","[['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood']]",X,1,minor,SenseAndSensibility,24,24,2,2,5,10844,11085
Q2-0,"He did not stipulate for any particular sum, my dear Fanny; he only requested me, in general terms, to assist them, and make their situation more comfortable than it was in his power to do. Perhaps it would have been as well if he had left it wholly to myself. He could hardly suppose I should neglect them. But as he required the promise, I could not do less than give it; at least I thought so at the time. The promise, therefore, was given, and must be performed. Something must be done for them whenever they leave Norland and settle in a new home.","[11089, 11641]",John Dashwood,['Fanny'],Implicit,,"['He', 'my dear Fanny', 'he', 'them', 'their', 'his', 'he', 'He', 'them', 'he', 'them', 'they']","[[11089, 11091], [11134, 11147], [11149, 11151], [11199, 11203], [11214, 11219], [11262, 11265], [11317, 11319], [11350, 11352], [11391, 11395], [11404, 11406], [11583, 11587], [11597, 11601]]","[['John Dashwood'], ['Fanny'], ['John Dashwood'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['Elinor'], ['John Dashwood'], ['John Dashwood'], ['John Dashwood'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['John Dashwood'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']]",X,2,minor,SenseAndSensibility,25,25,2,2,6,11089,11641
Q3-0,"Well, then, _let_ something be done for them; but _that_ something need not be three thousand pounds. Consider,","[11645, 11756]",Fanny,['John Dashwood'],Anaphoric,she added,['them'],"[[11685, 11689]]","[['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']]",X,3,minor,SenseAndSensibility,26,26,2,2,5,11645,11756
Q3-1,"that when the money is once parted with, it never can return. Your sisters will marry, and it will be gone for ever. If, indeed, it could be restored to our poor little boy ","[11770, 11943]",Fanny,['John Dashwood'],Anaphoric,she added,[],[],[],X,3,minor,SenseAndSensibility,26,26,2,2,5,11770,11943
Q4-0,"Why, to be sure,","[11947, 11963]",John Dashwood,['Fanny'],Anaphoric,said her husband,[],[],[],X,4,minor,SenseAndSensibility,27,27,2,2,6,11947,11963
Q4-1,"that would make great difference. The time may come when Harry will regret that so large a sum was parted with. If he should have a numerous family, for instance, it would be a very convenient addition.","[11998, 12200]",John Dashwood,['Fanny'],Anaphoric,said her husband,"['Harry', 'he']","[[12055, 12060], [12113, 12115]]","[['Harry'], ['Harry']]",X,4,minor,SenseAndSensibility,27,27,2,2,6,11998,12200
Q5-0,To be sure it would.,"[12204, 12224]",Fanny,['John Dashwood'],Implicit,,[],[],[],X,5,minor,SenseAndSensibility,28,28,2,2,5,12204,12224
Q6-0,"Perhaps, then, it would be better for all parties, if the sum were diminished one half. Five hundred pounds would be a prodigious increase to their fortunes!","[12228, 12385]",John Dashwood,['Fanny'],Implicit,,['their'],"[[12370, 12375]]","[['Marianne', 'Elinor', 'Margaret']]",X,6,minor,SenseAndSensibility,29,29,2,2,6,12228,12385
Q7-0,"Oh! beyond anything great! What brother on earth would do half so much for his sisters, even if _really_ his sisters! And as it is only half blood! But you have such a generous spirit!","[12389, 12573]",Fanny,['John Dashwood'],Implicit,,"['his', 'his', 'you']","[[12464, 12467], [12494, 12497], [12541, 12544]]","[['John Dashwood'], ['John Dashwood'], ['John Dashwood']]",X,7,minor,SenseAndSensibility,30,30,2,2,5,12389,12573
Q8-0,"I would not wish to do any thing mean,","[12577, 12615]",John Dashwood,['Fanny'],Anaphoric,he replied,[],[],[],X,8,minor,SenseAndSensibility,31,31,2,2,6,12577,12615
Q8-1,"One had rather, on such occasions, do too much than too little. No one, at least, can think I have not done enough for them: even themselves, they can hardly expect more.","[12630, 12800]",John Dashwood,['Fanny'],Anaphoric,he replied,"['them', 'they']","[[12749, 12753], [12772, 12776]]","[['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']]",X,8,minor,SenseAndSensibility,31,31,2,2,6,12630,12800
Q9-0,"There is no knowing what _they_ may expect,","[12804, 12847]",Fanny,['John Dashwood'],Anaphoric,said the lady,['they'],"[[12830, 12834]]","[['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret']]",X,9,minor,SenseAndSensibility,32,32,2,2,5,12804,12847
Q9-1,"but we are not to think of their expectations: the question is, what you can afford to do.","[12865, 12955]",Fanny,['John Dashwood'],Anaphoric,said the lady,"['their', 'you']","[[12892, 12897], [12934, 12937]]","[['Mrs. Dashwood', 'Marianne', 'Elinor', 'Margaret'], ['John Dashwood']]",X,9,minor,SenseAndSensibility,32,32,2,2,5,12865,12955
Q10-0,"Certainly and I think I may afford to give them five hundred pounds a-piece. As it is, without any addition of mine, they will each have about three thousand pounds on their mother s death a very comfortable fortune for any young woman.","[12959, 13195]",John Dashwood,['Fanny'],Implicit,,"['them', 'they']","[[13002, 13006], [13076, 13080]]","[['Marianne', 'Elinor', 'Margaret'], ['Marianne', 'Elinor', 'Margaret']]",X,10,minor,SenseAndSensibility,33,33,2,2,6,12959,13195
Q11-0,"To be sure it is; and, indeed, it strikes me that they can want no addition at all. They will have ten thousand pounds divided amongst them. If they marry, they will be sure of doing well, and if they do not, they may all live very comfortably together on the interest of ten thousand pounds.","[13199, 13491]",Fanny,['John Dashwood'],Implicit,,"['they', 'They', 'they', 'they', 'they', 'they']","[[13249, 13253], [13283, 13287], [13343, 13347], [13355, 13359], [13395, 13399], [13408, 13412]]","[['Marianne', 'Elinor', 'Margaret'], ['Marianne', 'Elinor', 'Margaret'], ['Marianne', 'Elinor', 'Margaret'], ['Marianne', 'Elinor', 'Margaret'], ['Marianne', 'Elinor', 'Margaret'], ['Marianne', 'Elinor', 'Margaret']]",X,11,minor,SenseAndSensibility,34,34,2,2,5,13199,13491
Q12-0,"That is very true, and, therefore, I do not know whether, upon the whole, it would not be more advisable to do something for their mother while she lives, rather than for them something of the annuity kind I mean. My sisters would feel the good effects of it as well as herself. A hundred a year would make them all perfectly comfortable.","[13495, 13833]",John Dashwood,['Fanny'],Implicit,,"['she', 'them', 'My sisters', 'them']","[[13639, 13642], [13666, 13670], [13709, 13719], [13802, 13806]]","[['Mrs. Dashwood'], ['Marianne', 'Elinor', 'Margaret'], ['Elinor', 'Margaret', 'Marianne'], ['Marianne', 'Elinor', 'Margaret']]",X,12,minor,SenseAndSensibility,35,35,2,2,6,13495,13833
Q13-0,"To be sure,","[13912, 13923]",Fanny,['John Dashwood'],Anaphoric,said she,[],[],[],X,13,minor,SenseAndSensibility,37,37,2,2,5,13912,13923
