source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q1-1,you,1673,1676,21,6,1
pdnc,qID,Q3-0,you,1880,1883,21,8,1
pdnc,qID,Q3-0,Watson,1895,1901,21,8,1
pdnc,qID,Q4-1,Your,2154,2158,14,9,1
pdnc,qID,Q4-1,you,2173,2176,14,9,1
pdnc,qID,Q4-1,You,2333,2336,14,9,1
pdnc,qID,Q4-1,you,2381,2384,14,9,1
pdnc,qID,Q4-1,you,2441,2444,14,9,1
pdnc,qID,Q4-1,you,2522,2525,14,9,1
pdnc,qID,Q7-1,Athelney Jones,3482,3496,3,13,1
pdnc,qID,Q7-1,you,3829,3832,21,13,1
pdnc,qID,Q9-1,you,4188,4191,21,15,1
pdnc,qID,Q9-1,You,4312,4315,21,15,1
pdnc,qID,Q9-1,you,4403,4406,21,15,1
pdnc,qID,Q12-1,you,5614,5617,21,19,1
pdnc,qID,Q15-0,Your,6839,6843,14,22,1
pdnc,qID,Q16-0,you,6865,6868,21,23,1
pdnc,qID,Q17-0,You,7668,7671,14,24,1
pdnc,qID,Q18-0,you,8269,8272,21,25,1
pdnc,qID,Q19-1,your,8423,8427,14,26,1
pdnc,qID,Q19-1,you,8461,8464,14,26,1
pdnc,qID,Q20-1,you,8721,8724,21,27,1
pdnc,qID,Q21-1,you,8930,8933,14,28,1
pdnc,qID,Q22-1,you,9247,9250,21,29,1
pdnc,qID,Q23-0,you,9661,9664,14,30,1
pdnc,qID,Q24-0,you,9716,9719,21,31,1
pdnc,qID,Q24-0,you,9770,9773,21,31,1
pdnc,qID,Q24-0,you,9827,9830,21,31,1
pdnc,qID,Q24-0,you,9899,9902,21,31,1
pdnc,qID,Q25-1,you,10132,10135,14,32,1
pdnc,qID,Q25-1,you,10164,10167,14,32,1
pdnc,qID,Q26-1,you,10389,10392,21,33,1
pdnc,qID,Q27-0,you,10429,10432,14,34,1
pdnc,qID,Q27-0,you,10685,10688,14,34,1
pdnc,qID,Q29-0,You,11413,11416,14,37,1
pdnc,qID,Q30-1,your,11792,11796,21,38,1
pdnc,qID,Q30-1,your,11851,11855,21,38,1
pdnc,qID,Q30-1,your,11893,11897,21,38,1
pdnc,qID,Q31-0,you,11914,11917,14,39,1
pdnc,qID,Q32-0,your,11995,11999,21,40,1
pdnc,qID,Q32-0,Your,12245,12249,21,40,1
pdnc,qID,Q32-0,your,12345,12349,21,40,1
pdnc,qID,Q35-0,you,12803,12806,14,44,1
pdnc,qID,Q35-0,Holmes,12808,12814,14,44,1
pdnc,qID,Q35-1,you,12857,12860,14,44,1
pdnc,qID,Q35-1,You,12891,12894,14,44,1
pdnc,qID,Q35-1,you,12958,12961,14,44,1
pdnc,qID,Q35-1,You,13021,13024,14,44,1
pdnc,qID,Q35-1,you,13058,13061,14,44,1
pdnc,qID,Q36-0,My dear doctor,13176,13190,21,45,1
pdnc,qID,Q36-1,you,13344,13347,21,45,1
pdnc,qID,Q36-1,you,13358,13361,21,45,1
pdnc,qID,Q36-1,you,13400,13403,21,45,1
pdnc,qID,Q36-1,you,13424,13427,21,45,1
pdnc,qID,Q37-0,you,13502,13505,14,46,1
pdnc,qID,Q40-0,you,13838,13841,21,49,1
pdnc,qID,Q40-0,you,13861,13864,21,49,1
pdnc,qID,Q40-0,your,14003,14007,21,49,1
pdnc,qID,Q40-0,you,14035,14038,21,49,1
pdnc,qID,Q40-0,you,14081,14084,21,49,1
pdnc,qID,Q41-0,you,15078,15081,21,51,1
pdnc,qID,Q41-0,you,15285,15288,21,51,1
