source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,sherlock holmes,Sherlock Holmes,36,51,14,2,1,M_0
booknlp,COREF,105,his,57,60,14,2,1,M_1
booknlp,COREF,105,his,108,111,14,2,1,M_2
booknlp,COREF,105,his,164,167,14,2,1,M_3
booknlp,COREF,105,he,197,199,14,2,1,M_4
booknlp,COREF,105,his,246,249,14,2,1,M_5
booknlp,COREF,105,his,288,291,14,2,1,M_6
booknlp,COREF,105,he,415,417,14,2,1,M_7
booknlp,COREF,105,him,1008,1011,14,3,1,M_8
booknlp,COREF,105,His,1093,1096,14,3,1,M_9
booknlp,COREF,105,his,1111,1114,14,3,1,M_10
booknlp,COREF,105,his,1170,1173,14,3,1,M_11
booknlp,COREF,105,him,1251,1254,14,3,1,M_12
booknlp,COREF,105,his,1412,1415,14,4,1,M_13
booknlp,COREF,105,He,1529,1531,14,6,1,M_14
booknlp,COREF,105,his,1539,1542,14,6,1,M_15
booknlp,COREF,105,he,1597,1599,14,6,1,M_16
booknlp,COREF,105,he,1629,1631,14,6,1,M_17
pdnc,qID,Q1-1,you,1673,1676,21,6,1,M_18
booknlp,COREF,105,He,1844,1846,14,8,1,M_19
pdnc,qID,Q3-0,you,1880,1883,21,8,1,M_20
pdnc,qID,Q3-0,Watson,1895,1901,21,8,1,M_21
booknlp,COREF,105,he,1904,1906,14,8,1,M_22
booknlp,COREF,105,I,1914,1915,14,8,1,M_23
booknlp,COREF,105,I,1968,1969,14,8,1,M_24
exp,exp_name,small,small,2086,2091,25,8,1,M_25
pdnc,qID,Q4-1,Your,2154,2158,14,9,1,M_26
pdnc,qID,Q4-1,you,2173,2176,14,9,1,M_27
pdnc,qID,Q4-1,You,2333,2336,14,9,1,M_28
pdnc,qID,Q4-1,you,2381,2384,14,9,1,M_29
pdnc,qID,Q4-1,you,2441,2444,14,9,1,M_30
pdnc,qID,Q4-1,you,2522,2525,14,9,1,M_31
booknlp,COREF,105,he,2654,2656,14,9,1,M_32
booknlp,COREF,105,He,2689,2691,14,10,1,M_33
booknlp,COREF,105,he,2732,2734,14,10,1,M_34
booknlp,COREF,105,his,2739,2742,14,10,1,M_35
booknlp,COREF,105,his,2775,2778,14,10,1,M_36
booknlp,COREF,105,his,2801,2804,14,10,1,M_37
booknlp,COREF,105,My,2858,2860,14,11,1,M_38
booknlp,COREF,105,he,2868,2870,14,11,1,M_39
booknlp,COREF,105,me,2905,2907,14,11,1,M_40
booknlp,COREF,105,me,2923,2925,14,11,1,M_41
booknlp,COREF,105,me,2937,2939,14,11,1,M_42
booknlp,COREF,105,I,3005,3006,14,11,1,M_43
booknlp,COREF,105,my,3013,3015,14,11,1,M_44
booknlp,COREF,105,I,3039,3040,14,11,1,M_45
booknlp,COREF,105,I,3091,3092,14,11,1,M_46
booknlp,COREF,105,I,3130,3131,14,11,1,M_47
booknlp,COREF,105,I,3173,3174,14,11,1,M_48
booknlp,COREF,105,my,3187,3189,14,11,1,M_49
booknlp,COREF,105,I,3243,3244,14,11,1,M_50
booknlp,COREF,105,he,3384,3386,14,13,1,M_51
booknlp,COREF,105,I,3398,3399,14,13,1,M_52
pdnc,qID,Q7-1,Athelney Jones,3482,3496,3,13,1,M_53
booknlp,COREF,105,me,3588,3590,14,13,1,M_54
booknlp,COREF,105,I,3592,3593,14,13,1,M_55
booknlp,COREF,105,I,3664,3665,14,13,1,M_56
booknlp,COREF,105,My,3697,3699,14,13,1,M_57
booknlp,COREF,105,my,3783,3785,14,13,1,M_58
booknlp,COREF,105,my,3806,3808,14,13,1,M_59
pdnc,qID,Q7-1,you,3829,3832,21,13,1,M_60
booknlp,COREF,105,my,3870,3872,14,13,1,M_61
exp,exp_name,small,small,4024,4029,25,14,1,M_62
pdnc,qID,Q9-1,you,4188,4191,21,15,1,M_63
pdnc,qID,Q9-1,You,4312,4315,21,15,1,M_64
pdnc,qID,Q9-1,you,4403,4406,21,15,1,M_65
exp,exp_name,small,small,5165,5170,25,18,1,M_66
booknlp,COREF,105,My,5438,5440,14,19,1,M_67
exp,exp_name,holmes,Holmes,5496,5502,14,19,1,M_68
booknlp,COREF,105,his,5530,5533,14,19,1,M_69
booknlp,COREF,105,I,5556,5557,14,19,1,M_70
pdnc,qID,Q12-1,you,5614,5617,21,19,1,M_71
booknlp,COREF,105,I,5942,5943,14,19,1,M_72
booknlp,COREF,105,him,5962,5965,14,19,1,M_73
booknlp,COREF,105,him,6074,6077,14,19,1,M_74
booknlp,COREF,105,I,6122,6123,14,19,1,M_75
booknlp,COREF,105,my,6155,6157,14,19,1,M_76
booknlp,COREF,105,He,6171,6173,14,19,1,M_77
booknlp,COREF,105,he,6190,6192,14,19,1,M_78
booknlp,COREF,105,He,6438,6440,14,20,1,M_79
booknlp,COREF,105,his,6462,6465,14,20,1,M_80
booknlp,COREF,105,he,6489,6491,14,21,1,M_81
booknlp,COREF,105,my,6498,6500,14,21,1,M_82
exp,exp_name,sherlock holmes,Sherlock Holmes,6530,6545,14,21,1,M_83
booknlp,COREF,105,He,6557,6559,14,21,1,M_84
booknlp,COREF,105,himself,6583,6590,14,21,1,M_85
booknlp,COREF,105,He,6592,6594,14,21,1,M_86
booknlp,COREF,105,He,6671,6673,14,21,1,M_87
booknlp,COREF,105,He,6726,6728,14,21,1,M_88
booknlp,COREF,105,He,6786,6788,14,21,1,M_89
booknlp,COREF,105,my,6808,6810,14,21,1,M_90
exp,exp_name,small,small,6811,6816,25,21,1,M_91
pdnc,qID,Q15-0,Your,6839,6843,14,22,1,M_92
pdnc,qID,Q16-0,you,6865,6868,21,23,1,M_93
booknlp,COREF,105,he,6876,6878,14,23,1,M_94
booknlp,COREF,105,I,6902,6903,14,23,1,M_95
booknlp,COREF,105,I,7081,7082,14,23,1,M_96
pdnc,qID,Q17-0,You,7668,7671,14,24,1,M_97
booknlp,COREF,105,I,7729,7730,14,25,1,M_98
booknlp,COREF,105,my,7768,7770,14,25,1,M_99
booknlp,COREF,105,I,8261,8262,14,25,1,M_100
pdnc,qID,Q18-0,you,8269,8272,21,25,1,M_101
booknlp,COREF,105,my,8278,8280,14,25,1,M_102
pdnc,qID,Q19-1,your,8423,8427,14,26,1,M_103
pdnc,qID,Q19-1,you,8461,8464,14,26,1,M_104
pdnc,qID,Q20-1,you,8721,8724,21,27,1,M_105
booknlp,COREF,105,you,8826,8829,14,27,1,M_106
pdnc,qID,Q21-1,you,8930,8933,14,28,1,M_107
pdnc,qID,Q22-1,you,9247,9250,21,29,1,M_108
booknlp,COREF,105,your,9291,9295,14,29,1,M_109
pdnc,qID,Q23-0,you,9661,9664,14,30,1,M_110
pdnc,qID,Q24-0,you,9716,9719,21,31,1,M_111
pdnc,qID,Q24-0,you,9770,9773,21,31,1,M_112
booknlp,COREF,105,your,9801,9805,14,31,1,M_113
pdnc,qID,Q24-0,you,9827,9830,21,31,1,M_114
pdnc,qID,Q24-0,you,9899,9902,21,31,1,M_115
pdnc,qID,Q25-1,you,10132,10135,14,32,1,M_116
pdnc,qID,Q25-1,you,10164,10167,14,32,1,M_117
booknlp,COREF,105,your,10206,10210,14,32,1,M_118
pdnc,qID,Q26-1,you,10389,10392,21,33,1,M_119
pdnc,qID,Q27-0,you,10429,10432,14,34,1,M_120
pdnc,qID,Q27-0,you,10685,10688,14,34,1,M_121
pdnc,qID,Q29-0,You,11413,11416,14,37,1,M_122
pdnc,qID,Q30-1,your,11792,11796,21,38,1,M_123
pdnc,qID,Q30-1,your,11851,11855,21,38,1,M_124
pdnc,qID,Q30-1,your,11893,11897,21,38,1,M_125
pdnc,qID,Q31-0,you,11914,11917,14,39,1,M_126
pdnc,qID,Q32-0,your,11995,11999,21,40,1,M_127
pdnc,qID,Q32-0,Your,12245,12249,21,40,1,M_128
pdnc,qID,Q32-0,your,12345,12349,21,40,1,M_129
pdnc,qID,Q35-0,you,12803,12806,14,44,1,M_130
pdnc,qID,Q35-0,Holmes,12808,12814,14,44,1,M_131
pdnc,qID,Q35-1,you,12857,12860,14,44,1,M_132
pdnc,qID,Q35-1,You,12891,12894,14,44,1,M_133
pdnc,qID,Q35-1,you,12958,12961,14,44,1,M_134
pdnc,qID,Q35-1,You,13021,13024,14,44,1,M_135
pdnc,qID,Q35-1,you,13058,13061,14,44,1,M_136
pdnc,qID,Q36-0,My dear doctor,13176,13190,21,45,1,M_137
pdnc,qID,Q36-1,you,13344,13347,21,45,1,M_138
pdnc,qID,Q36-1,you,13358,13361,21,45,1,M_139
pdnc,qID,Q36-1,you,13400,13403,21,45,1,M_140
pdnc,qID,Q36-1,you,13424,13427,21,45,1,M_141
pdnc,qID,Q37-0,you,13502,13505,14,46,1,M_142
pdnc,qID,Q40-0,you,13838,13841,21,49,1,M_143
pdnc,qID,Q40-0,you,13861,13864,21,49,1,M_144
exp,exp_name,small,small,13914,13919,25,49,1,M_145
pdnc,qID,Q40-0,your,14003,14007,21,49,1,M_146
pdnc,qID,Q40-0,you,14035,14038,21,49,1,M_147
pdnc,qID,Q40-0,you,14081,14084,21,49,1,M_148
pdnc,qID,Q41-0,you,15078,15081,21,51,1,M_149
pdnc,qID,Q41-0,you,15285,15288,21,51,1,M_150
pdnc,qID,Q42-1,you,15522,15525,14,52,1,M_151
pdnc,qID,Q42-1,your,15559,15563,14,52,1,M_152
pdnc,qID,Q42-1,you,15602,15605,14,52,1,M_153
pdnc,qID,Q44-0,A young lady,16322,16334,12,55,1,M_154
pdnc,qID,Q44-0,you,16339,16342,14,55,1,M_155
pdnc,qID,Q44-0,sir,16344,16347,14,55,1,M_156
pdnc,qID,Q45-0,Miss Mary Morstan,16387,16404,12,56,1,M_157
pdnc,qID,Q45-1,the young lady,16462,16476,12,56,1,M_158
pdnc,qID,Q45-1,Mrs. Hudson,16489,16500,17,56,1,M_159
pdnc,qID,Q45-1,doctor,16512,16518,21,56,1,M_160
pdnc,qID,Q45-1,you,16541,16544,21,56,1,M_161
exp,exp_name,miss morstan,Miss Morstan,16595,16607,12,58,2,M_162
exp,exp_name,small,small,16707,16712,25,58,2,M_163
exp,exp_name,small,small,16967,16972,25,58,2,M_164
exp,exp_name,sherlock holmes,Sherlock Holmes,17480,17495,14,58,2,M_165
pdnc,qID,Q46-0,you,17621,17624,14,59,2,M_166
pdnc,qID,Q46-0,Mr. Holmes,17626,17636,14,59,2,M_167
pdnc,qID,Q46-1,you,17658,17661,14,59,2,M_168
pdnc,qID,Q46-1,my employer,17675,17686,16,59,2,M_169
pdnc,qID,Q46-1,Mrs. Cecil Forrester,17688,17708,16,59,2,M_170
pdnc,qID,Q46-1,She,17753,17756,16,59,2,M_171
pdnc,qID,Q46-1,your,17779,17783,14,59,2,M_172
pdnc,qID,Q47-0,Mrs. Cecil Forrester,17807,17827,16,60,2,M_173
booknlp,COREF,105,he,17830,17832,14,60,2,M_174
booknlp,COREF,105,I,17857,17858,14,60,2,M_175
booknlp,COREF,105,I,17872,17873,14,60,2,M_176
pdnc,qID,Q47-1,her,17904,17907,16,60,2,M_177
booknlp,COREF,105,I,17931,17932,14,60,2,M_178
pdnc,qID,Q48-0,She,17972,17975,16,61,2,M_179
pdnc,qID,Q48-0,you,18007,18010,14,61,2,M_180
booknlp,COREF,105,mine,18034,18038,14,61,2,M_181
booknlp,COREF,105,I,18040,18041,14,61,2,M_182
booknlp,COREF,105,I,18139,18140,14,61,2,M_183
booknlp,COREF,105,myself,18146,18152,14,61,2,M_184
exp,exp_name,holmes,Holmes,18156,18162,14,62,2,M_185
booknlp,COREF,105,his,18170,18173,14,62,2,M_186
booknlp,COREF,105,his,18185,18188,14,62,2,M_187
booknlp,COREF,105,He,18205,18207,14,62,2,M_188
booknlp,COREF,105,his,18226,18229,14,62,2,M_189
booknlp,COREF,105,his,18291,18294,14,62,2,M_190
pdnc,qID,Q49-0,your,18332,18336,12,62,2,M_191
booknlp,COREF,105,he,18349,18351,14,62,2,M_192
pdnc,qID,Q51-0,your friend,18567,18578,21,64,2,M_193
pdnc,qID,Q51-1,he,18622,18624,21,64,2,M_194
pdnc,qID,Q52-1,My father,18741,18750,5,66,2,M_195
pdnc,qID,Q52-1,my father,19036,19045,5,66,2,M_196
pdnc,qID,Q52-1,his,19073,19076,5,66,2,M_197
pdnc,qID,Q52-1,He,19132,19134,5,66,2,M_198
pdnc,qID,Q52-1,he,19170,19172,5,66,2,M_199
pdnc,qID,Q52-1,his,19261,19264,5,66,2,M_200
pdnc,qID,Q52-1,His,19274,19277,5,66,2,M_201
pdnc,qID,Q52-1,Captain Morstan,19398,19413,5,66,2,M_202
pdnc,qID,Q52-1,he,19442,19444,5,66,2,M_203
pdnc,qID,Q52-1,him,19534,19537,5,66,2,M_204
pdnc,qID,Q52-1,my unfortunate father,19765,19786,5,66,2,M_205
pdnc,qID,Q52-1,He,19788,19790,5,66,2,M_206
pdnc,qID,Q52-1,his,19806,19809,5,66,2,M_207
exp,exp_name,holmes,Holmes,19971,19977,14,67,2,M_208
booknlp,COREF,105,his,19987,19990,14,67,2,M_209
pdnc,qID,Q54-0,He,20004,20006,5,68,2,M_210
pdnc,qID,Q55-0,His,20076,20079,5,69,2,M_211
pdnc,qID,Q56-0,He,20251,20253,5,70,2,M_212
pdnc,qID,Q57-0,he,20328,20330,5,71,2,M_213
pdnc,qID,Q58-0,Major Sholto,20381,20393,11,72,2,M_214
pdnc,qID,Q58-0,his,20398,20401,5,72,2,M_215
pdnc,qID,Q58-0,him,20538,20541,11,72,2,M_216
pdnc,qID,Q58-0,he,20558,20560,11,72,2,M_217
pdnc,qID,Q58-0,his,20584,20587,11,72,2,M_218
